year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_emp_fte_rse_t
2019,NUTS,2010,CZ,0,0.0032
2020,NUTS,2010,CZ,0,0.0035
2011,NUTS,2010,CZ0,1,0.0041
2012,NUTS,2010,CZ0,1,0.0043
2013,NUTS,2010,CZ0,1,0.0037
2014,NUTS,2010,CZ0,1,0.0041
2015,NUTS,2010,CZ0,1,0.0034
2016,NUTS,2010,CZ0,1,0.0028
2017,NUTS,2010,CZ0,1,0.0037
2018,NUTS,2010,CZ0,1,0.0032
2019,NUTS,2010,CZ0,1,0.0031
2020,NUTS,2010,CZ0,1,0.0034
2011,NUTS,2010,CZ01,2,0.0155
2012,NUTS,2010,CZ01,2,0.0165
2013,NUTS,2010,CZ01,2,0.0163
2014,NUTS,2010,CZ01,2,0.016
2015,NUTS,2010,CZ01,2,0.0131
2016,NUTS,2010,CZ01,2,0.013
2017,NUTS,2010,CZ01,2,0.0144
2018,NUTS,2010,CZ01,2,0.0118
2019,NUTS,2010,CZ01,2,0.0134
2020,NUTS,2010,CZ01,2,0.0152
2011,NUTS,2010,CZ02,2,0.0008
2012,NUTS,2010,CZ02,2,0.0009
2013,NUTS,2010,CZ02,2,0.0022
2014,NUTS,2010,CZ02,2,0.0011
2015,NUTS,2010,CZ02,2,0.0015
2016,NUTS,2010,CZ02,2,0.001
2017,NUTS,2010,CZ02,2,0.0006
2018,NUTS,2010,CZ02,2,0.0004
2019,NUTS,2010,CZ02,2,0.0003
2020,NUTS,2010,CZ02,2,0.0004
2011,NUTS,2010,CZ03,2,0.0022
2012,NUTS,2010,CZ03,2,0.0031
2013,NUTS,2010,CZ03,2,0.002
2014,NUTS,2010,CZ03,2,0.0057
2015,NUTS,2010,CZ03,2,0.0082
2016,NUTS,2010,CZ03,2,0.0056
2017,NUTS,2010,CZ03,2,0.0087
2018,NUTS,2010,CZ03,2,0.0084
2019,NUTS,2010,CZ03,2,0.0054
2020,NUTS,2010,CZ03,2,0.0062
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.0001
2019,NUTS,2010,CZ04,2,0.0001
2020,NUTS,2010,CZ04,2,0.0001
2011,NUTS,2010,CZ05,2,0.0046
2012,NUTS,2010,CZ05,2,0.0047
2013,NUTS,2010,CZ05,2,0.0023
2014,NUTS,2010,CZ05,2,0.0008
2015,NUTS,2010,CZ05,2,0.0
2016,NUTS,2010,CZ05,2,0.0001
2017,NUTS,2010,CZ05,2,0.0014
2019,NUTS,2010,CZ05,2,0.0007
2020,NUTS,2010,CZ05,2,0.0014
2011,NUTS,2010,CZ06,2,0.0047
2012,NUTS,2010,CZ06,2,0.0029
2013,NUTS,2010,CZ06,2,0.0031
2014,NUTS,2010,CZ06,2,0.0031
2015,NUTS,2010,CZ06,2,0.0016
2016,NUTS,2010,CZ06,2,0.0005
2017,NUTS,2010,CZ06,2,0.0009
2018,NUTS,2010,CZ06,2,0.0018
2019,NUTS,2010,CZ06,2,0.0016
2020,NUTS,2010,CZ06,2,0.001
2011,NUTS,2010,CZ07,2,0.0019
2012,NUTS,2010,CZ07,2,0.0014
2013,NUTS,2010,CZ07,2,0.0014
2014,NUTS,2010,CZ07,2,0.0024
2015,NUTS,2010,CZ07,2,0.0012
2016,NUTS,2010,CZ07,2,0.0012
2017,NUTS,2010,CZ07,2,0.0009
2018,NUTS,2010,CZ07,2,0.0005
2019,NUTS,2010,CZ07,2,0.001
2020,NUTS,2010,CZ07,2,0.0011
2011,NUTS,2010,CZ08,2,0.001
2012,NUTS,2010,CZ08,2,0.0029
2013,NUTS,2010,CZ08,2,0.001
2014,NUTS,2010,CZ08,2,0.0029
2015,NUTS,2010,CZ08,2,0.0013
2016,NUTS,2010,CZ08,2,0.0007
2017,NUTS,2010,CZ08,2,0.0023
2018,NUTS,2010,CZ08,2,0.0022
2019,NUTS,2010,CZ08,2,0.0012
2020,NUTS,2010,CZ08,2,0.0011
2011,NUTS,2010,DK,0,0.0074
2012,NUTS,2010,DK,0,0.0077
2013,NUTS,2010,DK,0,0.0076
2014,NUTS,2010,DK,0,0.0076
2015,NUTS,2010,DK,0,0.0075
2016,NUTS,2010,DK,0,0.008
2017,NUTS,2010,DK,0,0.0071
2018,NUTS,2010,DK,0,0.0064
2019,NUTS,2010,DK,0,0.0077
2020,NUTS,2010,DK,0,0.0078
2011,NUTS,2010,DK0,1,0.0072
2012,NUTS,2010,DK0,1,0.0075
2013,NUTS,2010,DK0,1,0.0073
2014,NUTS,2010,DK0,1,0.0074
2015,NUTS,2010,DK0,1,0.0072
2016,NUTS,2010,DK0,1,0.0078
2017,NUTS,2010,DK0,1,0.0068
2018,NUTS,2010,DK0,1,0.0062
2019,NUTS,2010,DK0,1,0.0075
2011,NUTS,2010,DK01,2,0.022
2012,NUTS,2010,DK01,2,0.0221
2013,NUTS,2010,DK01,2,0.0213
2014,NUTS,2010,DK01,2,0.0211
2015,NUTS,2010,DK01,2,0.0203
2016,NUTS,2010,DK01,2,0.0216
2017,NUTS,2010,DK01,2,0.0193
2019,NUTS,2010,DK01,2,0.0218
2011,NUTS,2010,DK02,2,0.0013
2012,NUTS,2010,DK02,2,0.0013
2013,NUTS,2010,DK02,2,0.0016
2014,NUTS,2010,DK02,2,0.0016
2015,NUTS,2010,DK02,2,0.0022
2016,NUTS,2010,DK02,2,0.0019
2017,NUTS,2010,DK02,2,0.001
