year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_pc_emp_hc_gov_total
1998,NUTS,2010,AT,0,0.157
2002,NUTS,2010,AT,0,0.1632
2004,NUTS,2010,AT,0,0.1515
2006,NUTS,2010,AT,0,0.1457
2007,NUTS,2010,AT,0,0.1423
2009,NUTS,2010,AT,0,0.1537
2011,NUTS,2010,AT,0,0.1553
2013,NUTS,2010,AT,0,0.1546
2015,NUTS,2010,AT,0,0.163
2017,NUTS,2010,AT,0,0.2465
2019,NUTS,2010,AT,0,0.2559
2002,NUTS,2010,AT1,1,0.3058
2004,NUTS,2010,AT1,1,0.2847
2011,NUTS,2010,AT1,1,0.266
2013,NUTS,2010,AT1,1,0.2623
2019,NUTS,2010,AT1,1,0.4521
2002,NUTS,2010,AT11,2,0.0557
2004,NUTS,2010,AT11,2,0.0596
2011,NUTS,2010,AT11,2,0.0478
2013,NUTS,2010,AT11,2,0.0507
2002,NUTS,2010,AT12,2,0.0436
2004,NUTS,2010,AT12,2,0.0473
2006,NUTS,2010,AT12,2,0.0488
2007,NUTS,2010,AT12,2,0.0462
2009,NUTS,2010,AT12,2,0.05
2011,NUTS,2010,AT12,2,0.0548
2013,NUTS,2010,AT12,2,0.0574
2015,NUTS,2010,AT12,2,0.0819
2017,NUTS,2010,AT12,2,0.1098
2002,NUTS,2010,AT13,2,0.6078
2004,NUTS,2010,AT13,2,0.564
2006,NUTS,2010,AT13,2,0.4925
2007,NUTS,2010,AT13,2,0.4957
2009,NUTS,2010,AT13,2,0.5378
2011,NUTS,2010,AT13,2,0.5172
2013,NUTS,2010,AT13,2,0.4993
2015,NUTS,2010,AT13,2,0.5089
2017,NUTS,2010,AT13,2,0.7961
2019,NUTS,2010,AT13,2,0.8382
2002,NUTS,2010,AT2,1,0.0731
2004,NUTS,2010,AT2,1,0.0832
2006,NUTS,2010,AT2,1,0.0893
2015,NUTS,2010,AT2,1,0.0719
2019,NUTS,2010,AT2,1,0.143
2002,NUTS,2010,AT21,2,0.0473
2004,NUTS,2010,AT21,2,0.054
2006,NUTS,2010,AT21,2,0.0509
2011,NUTS,2010,AT21,2,0.0398
2002,NUTS,2010,AT22,2,0.085
2004,NUTS,2010,AT22,2,0.0962
2006,NUTS,2010,AT22,2,0.1063
2009,NUTS,2010,AT22,2,0.1052
2002,NUTS,2010,AT3,1,0.0548
2004,NUTS,2010,AT3,1,0.0464
2007,NUTS,2010,AT3,1,0.0493
2019,NUTS,2010,AT3,1,0.0851
2002,NUTS,2010,AT31,2,0.0342
2004,NUTS,2010,AT31,2,0.0324
2006,NUTS,2010,AT31,2,0.0454
2007,NUTS,2010,AT31,2,0.042
2009,NUTS,2010,AT31,2,0.039
2011,NUTS,2010,AT31,2,0.0398
2013,NUTS,2010,AT31,2,0.038
2015,NUTS,2010,AT31,2,0.0478
2017,NUTS,2010,AT31,2,0.0683
2019,NUTS,2010,AT31,2,0.0669
2002,NUTS,2010,AT32,2,0.106
2004,NUTS,2010,AT32,2,0.0676
2006,NUTS,2010,AT32,2,0.0785
2009,NUTS,2010,AT32,2,0.088
2015,NUTS,2010,AT32,2,0.1441
2017,NUTS,2010,AT32,2,0.1309
2019,NUTS,2010,AT32,2,0.1269
2002,NUTS,2010,AT33,2,0.0525
2004,NUTS,2010,AT33,2,0.0486
2006,NUTS,2010,AT33,2,0.048
2013,NUTS,2010,AT33,2,0.0587
2019,NUTS,2010,AT33,2,0.0765
2002,NUTS,2010,AT34,2,0.0612
2004,NUTS,2010,AT34,2,0.0643
2011,NUTS,2010,AT34,2,0.0929
2013,NUTS,2010,AT34,2,0.0987
2015,NUTS,2010,AT34,2,0.1136
2017,NUTS,2010,AT34,2,0.1166
2019,NUTS,2010,AT34,2,0.1109
2002,NUTS,2010,BE,0,0.095
2003,NUTS,2010,BE,0,0.0968
2004,NUTS,2010,BE,0,0.0947
2005,NUTS,2010,BE,0,0.0959
2006,NUTS,2010,BE,0,0.0913
2007,NUTS,2010,BE,0,0.0913
2008,NUTS,2010,BE,0,0.1168
2009,NUTS,2010,BE,0,0.1235
2010,NUTS,2010,BE,0,0.1175
2011,NUTS,2010,BE,0,0.1209
2012,NUTS,2010,BE,0,0.144
2013,NUTS,2010,BE,0,0.1468
2014,NUTS,2010,BE,0,0.1568
2015,NUTS,2010,BE,0,0.1611
2016,NUTS,2010,BE,0,0.162
2017,NUTS,2010,BE,0,0.1658
2018,NUTS,2010,BE,0,0.1763
2019,NUTS,2010,BE,0,0.1792
2002,NUTS,2010,BE1,1,0.2973
2003,NUTS,2010,BE1,1,0.2895
2004,NUTS,2010,BE1,1,0.2918
2005,NUTS,2010,BE1,1,0.2929
2006,NUTS,2010,BE1,1,0.3079
2007,NUTS,2010,BE1,1,0.3017
2008,NUTS,2010,BE1,1,0.3078
2009,NUTS,2010,BE1,1,0.3046
2010,NUTS,2010,BE1,1,0.3104
2011,NUTS,2010,BE1,1,0.3099
2012,NUTS,2010,BE1,1,0.4701
2013,NUTS,2010,BE1,1,0.4765
2014,NUTS,2010,BE1,1,0.4011
2015,NUTS,2010,BE1,1,0.433
2016,NUTS,2010,BE1,1,0.4333
2017,NUTS,2010,BE1,1,0.4318
2018,NUTS,2010,BE1,1,0.4589
2019,NUTS,2010,BE1,1,0.4513
2002,NUTS,2010,BE10,2,0.2973
2003,NUTS,2010,BE10,2,0.2895
2004,NUTS,2010,BE10,2,0.2918
2005,NUTS,2010,BE10,2,0.2929
2006,NUTS,2010,BE10,2,0.3079
2007,NUTS,2010,BE10,2,0.3017
2008,NUTS,2010,BE10,2,0.3078
2009,NUTS,2010,BE10,2,0.3046
2010,NUTS,2010,BE10,2,0.3104
2011,NUTS,2010,BE10,2,0.3099
2012,NUTS,2010,BE10,2,0.4701
2013,NUTS,2010,BE10,2,0.4765
2014,NUTS,2010,BE10,2,0.4011
2015,NUTS,2010,BE10,2,0.433
2016,NUTS,2010,BE10,2,0.4333
2017,NUTS,2010,BE10,2,0.4318
2018,NUTS,2010,BE10,2,0.4589
2019,NUTS,2010,BE10,2,0.4513
2002,NUTS,2010,BE2,1,0.0948
2003,NUTS,2010,BE2,1,0.097
2004,NUTS,2010,BE2,1,0.1034
2005,NUTS,2010,BE2,1,0.1055
2006,NUTS,2010,BE2,1,0.0969
2007,NUTS,2010,BE2,1,0.0976
2008,NUTS,2010,BE2,1,0.1214
2009,NUTS,2010,BE2,1,0.1311
2010,NUTS,2010,BE2,1,0.133
2011,NUTS,2010,BE2,1,0.1356
2012,NUTS,2010,BE2,1,0.1489
2013,NUTS,2010,BE2,1,0.1532
2014,NUTS,2010,BE2,1,0.1697
2015,NUTS,2010,BE2,1,0.1694
2016,NUTS,2010,BE2,1,0.1783
2017,NUTS,2010,BE2,1,0.1839
2018,NUTS,2010,BE2,1,0.1946
