year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_pc_pop_hrstc
2012,NUTS,2010,AT34,2,7.7
2013,NUTS,2010,AT34,2,8.0
2014,NUTS,2010,AT34,2,10.4
2015,NUTS,2010,AT34,2,11.6
2016,NUTS,2010,AT34,2,12.4
2017,NUTS,2010,AT34,2,12.0
2018,NUTS,2010,AT34,2,11.6
2019,NUTS,2010,AT34,2,12.3
2020,NUTS,2010,AT34,2,12.6
2011,NUTS,2010,BE,0,14.7
2012,NUTS,2010,BE,0,14.9
2013,NUTS,2010,BE,0,15.1
2014,NUTS,2010,BE,0,15.8
2015,NUTS,2010,BE,0,15.9
2016,NUTS,2010,BE,0,16.2
2017,NUTS,2010,BE,0,17.4
2018,NUTS,2010,BE,0,17.8
2019,NUTS,2010,BE,0,17.8
2020,NUTS,2010,BE,0,18.5
2011,NUTS,2010,BE1,1,17.0
2012,NUTS,2010,BE1,1,15.8
2013,NUTS,2010,BE1,1,15.5
2014,NUTS,2010,BE1,1,17.6
2015,NUTS,2010,BE1,1,17.8
2016,NUTS,2010,BE1,1,18.1
2017,NUTS,2010,BE1,1,19.4
2018,NUTS,2010,BE1,1,20.8
2019,NUTS,2010,BE1,1,20.4
2020,NUTS,2010,BE1,1,21.5
2011,NUTS,2010,BE10,2,17.0
2012,NUTS,2010,BE10,2,15.8
2013,NUTS,2010,BE10,2,15.5
2014,NUTS,2010,BE10,2,17.6
2015,NUTS,2010,BE10,2,17.8
2016,NUTS,2010,BE10,2,18.1
2017,NUTS,2010,BE10,2,19.4
2018,NUTS,2010,BE10,2,20.8
2019,NUTS,2010,BE10,2,20.4
2020,NUTS,2010,BE10,2,21.5
2011,NUTS,2010,BE2,1,15.2
2012,NUTS,2010,BE2,1,15.4
2013,NUTS,2010,BE2,1,15.8
2014,NUTS,2010,BE2,1,16.6
2015,NUTS,2010,BE2,1,16.6
2016,NUTS,2010,BE2,1,16.9
2017,NUTS,2010,BE2,1,18.3
2018,NUTS,2010,BE2,1,18.5
2019,NUTS,2010,BE2,1,18.5
2020,NUTS,2010,BE2,1,19.1
2011,NUTS,2010,BE21,2,14.6
2012,NUTS,2010,BE21,2,15.1
2013,NUTS,2010,BE21,2,16.0
2014,NUTS,2010,BE21,2,17.5
2015,NUTS,2010,BE21,2,16.3
2016,NUTS,2010,BE21,2,15.6
2017,NUTS,2010,BE21,2,17.0
2018,NUTS,2010,BE21,2,18.2
2019,NUTS,2010,BE21,2,17.5
2020,NUTS,2010,BE21,2,17.2
2011,NUTS,2010,BE22,2,13.2
2012,NUTS,2010,BE22,2,13.9
2013,NUTS,2010,BE22,2,13.9
2014,NUTS,2010,BE22,2,14.7
2015,NUTS,2010,BE22,2,15.5
2016,NUTS,2010,BE22,2,15.2
2017,NUTS,2010,BE22,2,16.8
2018,NUTS,2010,BE22,2,16.6
2019,NUTS,2010,BE22,2,18.0
2020,NUTS,2010,BE22,2,18.2
2011,NUTS,2010,BE23,2,16.1
2012,NUTS,2010,BE23,2,15.9
2013,NUTS,2010,BE23,2,16.7
2014,NUTS,2010,BE23,2,16.7
2015,NUTS,2010,BE23,2,17.3
2016,NUTS,2010,BE23,2,18.3
2017,NUTS,2010,BE23,2,19.4
2018,NUTS,2010,BE23,2,20.2
2019,NUTS,2010,BE23,2,19.3
2020,NUTS,2010,BE23,2,20.6
2011,NUTS,2010,BE24,2,18.3
2012,NUTS,2010,BE24,2,18.7
2013,NUTS,2010,BE24,2,18.1
2014,NUTS,2010,BE24,2,19.4
2015,NUTS,2010,BE24,2,19.5
2016,NUTS,2010,BE24,2,20.0
2017,NUTS,2010,BE24,2,22.1
2018,NUTS,2010,BE24,2,21.2
2019,NUTS,2010,BE24,2,21.8
2020,NUTS,2010,BE24,2,23.0
2011,NUTS,2010,BE25,2,13.5
2012,NUTS,2010,BE25,2,13.4
2013,NUTS,2010,BE25,2,13.5
2014,NUTS,2010,BE25,2,13.9
2015,NUTS,2010,BE25,2,14.1
2016,NUTS,2010,BE25,2,15.5
2017,NUTS,2010,BE25,2,16.7
2018,NUTS,2010,BE25,2,15.8
2019,NUTS,2010,BE25,2,15.9
2020,NUTS,2010,BE25,2,16.9
2011,NUTS,2010,BE3,1,13.0
2012,NUTS,2010,BE3,1,13.5
2013,NUTS,2010,BE3,1,13.6
2014,NUTS,2010,BE3,1,13.8
2015,NUTS,2010,BE3,1,14.2
2016,NUTS,2010,BE3,1,14.3
2017,NUTS,2010,BE3,1,15.1
2018,NUTS,2010,BE3,1,15.6
2019,NUTS,2010,BE3,1,15.9
2020,NUTS,2010,BE3,1,16.6
2011,NUTS,2010,BE31,2,20.2
2012,NUTS,2010,BE31,2,19.6
2013,NUTS,2010,BE31,2,20.5
2014,NUTS,2010,BE31,2,18.9
2015,NUTS,2010,BE31,2,20.3
2016,NUTS,2010,BE31,2,19.4
2017,NUTS,2010,BE31,2,21.6
2018,NUTS,2010,BE31,2,21.4
2019,NUTS,2010,BE31,2,22.0
2020,NUTS,2010,BE31,2,23.1
2011,NUTS,2010,BE32,2,10.9
2012,NUTS,2010,BE32,2,11.6
2013,NUTS,2010,BE32,2,11.5
2014,NUTS,2010,BE32,2,11.7
2015,NUTS,2010,BE32,2,11.6
2016,NUTS,2010,BE32,2,13.0
2017,NUTS,2010,BE32,2,12.8
2018,NUTS,2010,BE32,2,13.2
2019,NUTS,2010,BE32,2,13.4
2020,NUTS,2010,BE32,2,13.7
2011,NUTS,2010,BE33,2,12.6
2012,NUTS,2010,BE33,2,13.2
2013,NUTS,2010,BE33,2,13.4
2014,NUTS,2010,BE33,2,13.4
2015,NUTS,2010,BE33,2,14.0
2016,NUTS,2010,BE33,2,13.8
2017,NUTS,2010,BE33,2,14.5
2018,NUTS,2010,BE33,2,15.7
2019,NUTS,2010,BE33,2,16.3
2020,NUTS,2010,BE33,2,16.7
2011,NUTS,2010,BE34,2,13.0
2012,NUTS,2010,BE34,2,14.0
2013,NUTS,2010,BE34,2,13.2
2014,NUTS,2010,BE34,2,14.2
2015,NUTS,2010,BE34,2,16.0
2016,NUTS,2010,BE34,2,14.3
2017,NUTS,2010,BE34,2,15.5
2018,NUTS,2010,BE34,2,16.2
2019,NUTS,2010,BE34,2,16.4
2020,NUTS,2010,BE34,2,17.2
2011,NUTS,2010,BE35,2,14.0
2012,NUTS,2010,BE35,2,14.5
2013,NUTS,2010,BE35,2,14.4
2014,NUTS,2010,BE35,2,16.1
2015,NUTS,2010,BE35,2,15.6
2016,NUTS,2010,BE35,2,14.8
2017,NUTS,2010,BE35,2,17.2
2018,NUTS,2010,BE35,2,16.8
2019,NUTS,2010,BE35,2,16.3
2020,NUTS,2010,BE35,2,18.2
2011,NUTS,2010,BG,0,9.1
2012,NUTS,2010,BG,0,9.2
2013,NUTS,2010,BG,0,9.7
2014,NUTS,2010,BG,0,10.7
2015,NUTS,2010,BG,0,11.3
2016,NUTS,2010,BG,0,11.5
2017,NUTS,2010,BG,0,11.6
2018,NUTS,2010,BG,0,11.8
2019,NUTS,2010,BG,0,12.3
2020,NUTS,2010,BG,0,12.9
2011,NUTS,2010,BG3,1,7.4
2012,NUTS,2010,BG3,1,7.5
2013,NUTS,2010,BG3,1,7.7
2014,NUTS,2010,BG3,1,8.4
2015,NUTS,2010,BG3,1,8.7
2016,NUTS,2010,BG3,1,8.8
2017,NUTS,2010,BG3,1,9.1
2018,NUTS,2010,BG3,1,9.4
2019,NUTS,2010,BG3,1,9.3
2020,NUTS,2010,BG3,1,9.5
2011,NUTS,2010,BG31,2,6.6
2012,NUTS,2010,BG31,2,6.6
2013,NUTS,2010,BG31,2,6.9
2014,NUTS,2010,BG31,2,7.9
2015,NUTS,2010,BG31,2,8.7
2016,NUTS,2010,BG31,2,7.9
2017,NUTS,2010,BG31,2,7.8
2018,NUTS,2010,BG31,2,8.4
2019,NUTS,2010,BG31,2,8.2
2020,NUTS,2010,BG31,2,8.8
2011,NUTS,2010,BG32,2,7.6
2012,NUTS,2010,BG32,2,8.0
2013,NUTS,2010,BG32,2,7.9
2014,NUTS,2010,BG32,2,8.1
2015,NUTS,2010,BG32,2,8.2
2016,NUTS,2010,BG32,2,8.6
2017,NUTS,2010,BG32,2,8.7
2018,NUTS,2010,BG32,2,9.7
2019,NUTS,2010,BG32,2,10.8
2020,NUTS,2010,BG32,2,10.7
2011,NUTS,2010,BG33,2,8.1
2012,NUTS,2010,BG33,2,7.9
2013,NUTS,2010,BG33,2,8.4
2014,NUTS,2010,BG33,2,10.1
2015,NUTS,2010,BG33,2,10.0
2016,NUTS,2010,BG33,2,10.3
2017,NUTS,2010,BG33,2,10.9
2018,NUTS,2010,BG33,2,9.9
2019,NUTS,2010,BG33,2,8.8
2020,NUTS,2010,BG33,2,9.2
2011,NUTS,2010,BG34,2,7.2
2012,NUTS,2010,BG34,2,7.4
2013,NUTS,2010,BG34,2,7.5
2014,NUTS,2010,BG34,2,7.3
2015,NUTS,2010,BG34,2,7.8
2016,NUTS,2010,BG34,2,8.3
2017,NUTS,2010,BG34,2,8.8
2018,NUTS,2010,BG34,2,9.3
2019,NUTS,2010,BG34,2,9.3
2020,NUTS,2010,BG34,2,9.3
2011,NUTS,2010,BG4,1,10.8
2012,NUTS,2010,BG4,1,10.9
2013,NUTS,2010,BG4,1,11.8
2014,NUTS,2010,BG4,1,13.0
2015,NUTS,2010,BG4,1,13.9
2016,NUTS,2010,BG4,1,14.1
2017,NUTS,2010,BG4,1,14.0
2018,NUTS,2010,BG4,1,14.3
2019,NUTS,2010,BG4,1,15.2
2020,NUTS,2010,BG4,1,16.1
2011,NUTS,2010,BG41,2,13.4
2012,NUTS,2010,BG41,2,13.7
2013,NUTS,2010,BG41,2,14.5
2014,NUTS,2010,BG41,2,16.0
2015,NUTS,2010,BG41,2,17.4
2016,NUTS,2010,BG41,2,17.9
2017,NUTS,2010,BG41,2,17.6
2018,NUTS,2010,BG41,2,17.8
2019,NUTS,2010,BG41,2,19.1
2020,NUTS,2010,BG41,2,20.7
2011,NUTS,2010,BG42,2,6.9
2012,NUTS,2010,BG42,2,6.9
2013,NUTS,2010,BG42,2,7.8
2014,NUTS,2010,BG42,2,8.5
2015,NUTS,2010,BG42,2,8.7
2016,NUTS,2010,BG42,2,8.4
2017,NUTS,2010,BG42,2,8.4
2018,NUTS,2010,BG42,2,9.0
2019,NUTS,2010,BG42,2,9.4
2020,NUTS,2010,BG42,2,9.3
2011,NUTS,2010,CH,0,15.1
2012,NUTS,2010,CH,0,15.9
2013,NUTS,2010,CH,0,16.8
2014,NUTS,2010,CH,0,17.3
2015,NUTS,2010,CH,0,18.1
2016,NUTS,2010,CH,0,18.9
2017,NUTS,2010,CH,0,19.4
2018,NUTS,2010,CH,0,20.1
2019,NUTS,2010,CH,0,20.8
2020,NUTS,2010,CH,0,21.0
2011,NUTS,2010,CH0,1,15.1
2012,NUTS,2010,CH0,1,15.9
2013,NUTS,2010,CH0,1,16.8
2014,NUTS,2010,CH0,1,17.3
2015,NUTS,2010,CH0,1,18.1
2016,NUTS,2010,CH0,1,18.9
2017,NUTS,2010,CH0,1,19.4
2018,NUTS,2010,CH0,1,20.1
2019,NUTS,2010,CH0,1,20.8
2020,NUTS,2010,CH0,1,21.0
2011,NUTS,2010,CH01,2,16.0
2012,NUTS,2010,CH01,2,16.4
2013,NUTS,2010,CH01,2,16.7
2014,NUTS,2010,CH01,2,17.3
2015,NUTS,2010,CH01,2,17.6
2016,NUTS,2010,CH01,2,18.6
2017,NUTS,2010,CH01,2,18.9
2018,NUTS,2010,CH01,2,19.5
2019,NUTS,2010,CH01,2,19.9
2020,NUTS,2010,CH01,2,20.1
2011,NUTS,2010,CH02,2,13.5
2012,NUTS,2010,CH02,2,14.6
2013,NUTS,2010,CH02,2,15.8
2014,NUTS,2010,CH02,2,16.1
2015,NUTS,2010,CH02,2,16.5
2016,NUTS,2010,CH02,2,16.7
2017,NUTS,2010,CH02,2,17.7
2018,NUTS,2010,CH02,2,17.9
2019,NUTS,2010,CH02,2,18.4
2020,NUTS,2010,CH02,2,18.9
2011,NUTS,2010,CH03,2,16.0
2012,NUTS,2010,CH03,2,16.9
2013,NUTS,2010,CH03,2,18.6
2014,NUTS,2010,CH03,2,18.2
2015,NUTS,2010,CH03,2,19.2
2016,NUTS,2010,CH03,2,19.9
2017,NUTS,2010,CH03,2,19.9
2018,NUTS,2010,CH03,2,21.0
2019,NUTS,2010,CH03,2,21.7
2020,NUTS,2010,CH03,2,21.6
2011,NUTS,2010,CH04,2,19.5
2012,NUTS,2010,CH04,2,20.7
2013,NUTS,2010,CH04,2,21.8
2014,NUTS,2010,CH04,2,22.0
2015,NUTS,2010,CH04,2,23.4
2016,NUTS,2010,CH04,2,25.4
2017,NUTS,2010,CH04,2,25.6
2018,NUTS,2010,CH04,2,26.0
2019,NUTS,2010,CH04,2,27.6
2020,NUTS,2010,CH04,2,28.3
2011,NUTS,2010,CH05,2,11.9
2012,NUTS,2010,CH05,2,12.0
2013,NUTS,2010,CH05,2,12.6
2014,NUTS,2010,CH05,2,14.2
2015,NUTS,2010,CH05,2,15.1
2016,NUTS,2010,CH05,2,15.4
2017,NUTS,2010,CH05,2,15.9
2018,NUTS,2010,CH05,2,17.1
2019,NUTS,2010,CH05,2,17.9
2020,NUTS,2010,CH05,2,17.9
2011,NUTS,2010,CH06,2,13.5
2012,NUTS,2010,CH06,2,14.4
2013,NUTS,2010,CH06,2,15.5
2014,NUTS,2010,CH06,2,16.1
2015,NUTS,2010,CH06,2,16.6
2016,NUTS,2010,CH06,2,18.4
2017,NUTS,2010,CH06,2,18.6
2018,NUTS,2010,CH06,2,19.8
2019,NUTS,2010,CH06,2,19.6
2020,NUTS,2010,CH06,2,19.4
2011,NUTS,2010,CH07,2,12.8
2012,NUTS,2010,CH07,2,12.6
2013,NUTS,2010,CH07,2,13.7
2014,NUTS,2010,CH07,2,14.3
2015,NUTS,2010,CH07,2,15.4
2016,NUTS,2010,CH07,2,15.2
2017,NUTS,2010,CH07,2,16.5
2018,NUTS,2010,CH07,2,17.9
2019,NUTS,2010,CH07,2,18.3
2020,NUTS,2010,CH07,2,17.1
2011,NUTS,2010,CY,0,14.8
2012,NUTS,2010,CY,0,14.8
2013,NUTS,2010,CY,0,14.4
2014,NUTS,2010,CY,0,15.1
2015,NUTS,2010,CY,0,14.9
2016,NUTS,2010,CY,0,14.8
2017,NUTS,2010,CY,0,15.6
2018,NUTS,2010,CY,0,16.5
2019,NUTS,2010,CY,0,16.9
2020,NUTS,2010,CY,0,17.2
2011,NUTS,2010,CY0,1,14.8
2012,NUTS,2010,CY0,1,14.8
2013,NUTS,2010,CY0,1,14.4
2014,NUTS,2010,CY0,1,15.1
2015,NUTS,2010,CY0,1,14.9
2016,NUTS,2010,CY0,1,14.8
2017,NUTS,2010,CY0,1,15.6
2018,NUTS,2010,CY0,1,16.5
2019,NUTS,2010,CY0,1,16.9
2020,NUTS,2010,CY0,1,17.2
2011,NUTS,2010,CY00,2,14.8
2012,NUTS,2010,CY00,2,14.8
2013,NUTS,2010,CY00,2,14.4
2014,NUTS,2010,CY00,2,15.1
2015,NUTS,2010,CY00,2,14.9
2016,NUTS,2010,CY00,2,14.8
2017,NUTS,2010,CY00,2,15.6
2018,NUTS,2010,CY00,2,16.5
2019,NUTS,2010,CY00,2,16.9
2020,NUTS,2010,CY00,2,17.2
2011,NUTS,2010,CZ,0,8.7
2012,NUTS,2010,CZ,0,9.1
2013,NUTS,2010,CZ,0,9.7
2014,NUTS,2010,CZ,0,10.2
2015,NUTS,2010,CZ,0,10.5
2016,NUTS,2010,CZ,0,11.1
2017,NUTS,2010,CZ,0,11.7
2018,NUTS,2010,CZ,0,12.0
2019,NUTS,2010,CZ,0,11.8
2020,NUTS,2010,CZ,0,12.2
2011,NUTS,2010,CZ0,1,8.7
2012,NUTS,2010,CZ0,1,9.1
2013,NUTS,2010,CZ0,1,9.7
2014,NUTS,2010,CZ0,1,10.2
2015,NUTS,2010,CZ0,1,10.5
2016,NUTS,2010,CZ0,1,11.1
2017,NUTS,2010,CZ0,1,11.7
2018,NUTS,2010,CZ0,1,12.0
2019,NUTS,2010,CZ0,1,11.8
2020,NUTS,2010,CZ0,1,12.2
2011,NUTS,2010,CZ01,2,19.6
2012,NUTS,2010,CZ01,2,19.8
2013,NUTS,2010,CZ01,2,20.4
2014,NUTS,2010,CZ01,2,21.1
2015,NUTS,2010,CZ01,2,20.7
2016,NUTS,2010,CZ01,2,22.8
2017,NUTS,2010,CZ01,2,24.1
2018,NUTS,2010,CZ01,2,24.9
2019,NUTS,2010,CZ01,2,25.4
2020,NUTS,2010,CZ01,2,26.3
2011,NUTS,2010,CZ02,2,8.0
2012,NUTS,2010,CZ02,2,8.9
2013,NUTS,2010,CZ02,2,9.3
2014,NUTS,2010,CZ02,2,10.3
2015,NUTS,2010,CZ02,2,10.3
2016,NUTS,2010,CZ02,2,10.0
2017,NUTS,2010,CZ02,2,10.8
2018,NUTS,2010,CZ02,2,12.1
2019,NUTS,2010,CZ02,2,11.2
2020,NUTS,2010,CZ02,2,11.5
2011,NUTS,2010,CZ03,2,7.4
2012,NUTS,2010,CZ03,2,8.1
2013,NUTS,2010,CZ03,2,8.3
2014,NUTS,2010,CZ03,2,8.3
2015,NUTS,2010,CZ03,2,8.7
2016,NUTS,2010,CZ03,2,9.0
2017,NUTS,2010,CZ03,2,9.7
2018,NUTS,2010,CZ03,2,9.9
2019,NUTS,2010,CZ03,2,10.0
2020,NUTS,2010,CZ03,2,9.1
2011,NUTS,2010,CZ04,2,4.5
2012,NUTS,2010,CZ04,2,5.5
2013,NUTS,2010,CZ04,2,5.9
2014,NUTS,2010,CZ04,2,6.2
2015,NUTS,2010,CZ04,2,6.1
2016,NUTS,2010,CZ04,2,7.0
2017,NUTS,2010,CZ04,2,6.4
2018,NUTS,2010,CZ04,2,6.8
2019,NUTS,2010,CZ04,2,6.9
2020,NUTS,2010,CZ04,2,6.0
2011,NUTS,2010,CZ05,2,6.9
2012,NUTS,2010,CZ05,2,6.9
2013,NUTS,2010,CZ05,2,7.7
2014,NUTS,2010,CZ05,2,8.3
2015,NUTS,2010,CZ05,2,8.6
2016,NUTS,2010,CZ05,2,9.2
2017,NUTS,2010,CZ05,2,9.7
2018,NUTS,2010,CZ05,2,9.6
2019,NUTS,2010,CZ05,2,9.2
2020,NUTS,2010,CZ05,2,9.7
2011,NUTS,2010,CZ06,2,8.8
2012,NUTS,2010,CZ06,2,9.5
2013,NUTS,2010,CZ06,2,10.6
2014,NUTS,2010,CZ06,2,11.0
2015,NUTS,2010,CZ06,2,11.1
2016,NUTS,2010,CZ06,2,11.6
2017,NUTS,2010,CZ06,2,12.1
2018,NUTS,2010,CZ06,2,12.5
2019,NUTS,2010,CZ06,2,12.4
2020,NUTS,2010,CZ06,2,13.5
2011,NUTS,2010,CZ07,2,7.0
2012,NUTS,2010,CZ07,2,7.0
2013,NUTS,2010,CZ07,2,7.4
2014,NUTS,2010,CZ07,2,8.5
2015,NUTS,2010,CZ07,2,9.1
2016,NUTS,2010,CZ07,2,8.9
2017,NUTS,2010,CZ07,2,9.3
2018,NUTS,2010,CZ07,2,9.5
2019,NUTS,2010,CZ07,2,9.0
2020,NUTS,2010,CZ07,2,10.0
2011,NUTS,2010,CZ08,2,7.1
2012,NUTS,2010,CZ08,2,7.2
2013,NUTS,2010,CZ08,2,8.0
2014,NUTS,2010,CZ08,2,7.7
2015,NUTS,2010,CZ08,2,9.1
2016,NUTS,2010,CZ08,2,10.1
2017,NUTS,2010,CZ08,2,10.7
2018,NUTS,2010,CZ08,2,10.1
2019,NUTS,2010,CZ08,2,10.0
2020,NUTS,2010,CZ08,2,10.1
2011,NUTS,2010,DE,0,13.9
2012,NUTS,2010,DE,0,13.7
2013,NUTS,2010,DE,0,13.9
2014,NUTS,2010,DE,0,13.0
2015,NUTS,2010,DE,0,13.4
2016,NUTS,2010,DE,0,13.9
2017,NUTS,2010,DE,0,14.1
2018,NUTS,2010,DE,0,14.3
2019,NUTS,2010,DE,0,14.9
2020,NUTS,2010,DE,0,14.4
2011,NUTS,2010,DE1,1,15.6
2012,NUTS,2010,DE1,1,15.3
2013,NUTS,2010,DE1,1,15.8
2014,NUTS,2010,DE1,1,14.7
2015,NUTS,2010,DE1,1,15.3
2016,NUTS,2010,DE1,1,16.0
2017,NUTS,2010,DE1,1,15.7
2018,NUTS,2010,DE1,1,15.8
2019,NUTS,2010,DE1,1,16.8
2020,NUTS,2010,DE1,1,15.9
2011,NUTS,2010,DE11,2,15.8
2012,NUTS,2010,DE11,2,15.3
2013,NUTS,2010,DE11,2,15.9
2014,NUTS,2010,DE11,2,15.2
2015,NUTS,2010,DE11,2,16.2
2016,NUTS,2010,DE11,2,17.0
2017,NUTS,2010,DE11,2,16.4
2018,NUTS,2010,DE11,2,16.9
2019,NUTS,2010,DE11,2,17.8
2020,NUTS,2010,DE11,2,16.3
2011,NUTS,2010,DE12,2,15.8
2012,NUTS,2010,DE12,2,15.6
2013,NUTS,2010,DE12,2,15.6
2014,NUTS,2010,DE12,2,14.6
2015,NUTS,2010,DE12,2,15.3
2016,NUTS,2010,DE12,2,16.0
2017,NUTS,2010,DE12,2,15.2
2018,NUTS,2010,DE12,2,15.4
2019,NUTS,2010,DE12,2,16.3
2020,NUTS,2010,DE12,2,16.3
2011,NUTS,2010,DE13,2,14.8
2012,NUTS,2010,DE13,2,14.3
2013,NUTS,2010,DE13,2,15.0
2014,NUTS,2010,DE13,2,13.3
2015,NUTS,2010,DE13,2,13.4
2016,NUTS,2010,DE13,2,14.5
2017,NUTS,2010,DE13,2,14.8
2018,NUTS,2010,DE13,2,15.0
2019,NUTS,2010,DE13,2,15.6
2020,NUTS,2010,DE13,2,14.9
2011,NUTS,2010,DE14,2,15.8
2012,NUTS,2010,DE14,2,16.3
2013,NUTS,2010,DE14,2,16.8
2014,NUTS,2010,DE14,2,15.2
2015,NUTS,2010,DE14,2,15.3
2016,NUTS,2010,DE14,2,15.6
2017,NUTS,2010,DE14,2,15.7
2018,NUTS,2010,DE14,2,15.1
2019,NUTS,2010,DE14,2,16.6
2020,NUTS,2010,DE14,2,15.4
2011,NUTS,2010,DE2,1,14.9
2012,NUTS,2010,DE2,1,14.9
2013,NUTS,2010,DE2,1,15.2
2014,NUTS,2010,DE2,1,14.5
2015,NUTS,2010,DE2,1,14.7
2016,NUTS,2010,DE2,1,15.0
2017,NUTS,2010,DE2,1,15.4
2018,NUTS,2010,DE2,1,15.6
2019,NUTS,2010,DE2,1,16.1
2020,NUTS,2010,DE2,1,16.0
2011,NUTS,2010,DE21,2,17.9
