year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_pc_pop_hrstc
2011,NUTS,2010,AT,0,8.3
2012,NUTS,2010,AT,0,8.7
2013,NUTS,2010,AT,0,9.2
2014,NUTS,2010,AT,0,12.7
2015,NUTS,2010,AT,0,13.0
2016,NUTS,2010,AT,0,13.4
2017,NUTS,2010,AT,0,14.0
2018,NUTS,2010,AT,0,14.4
2019,NUTS,2010,AT,0,14.7
2020,NUTS,2010,AT,0,14.9
2011,NUTS,2010,AT1,1,9.4
2012,NUTS,2010,AT1,1,9.9
2013,NUTS,2010,AT1,1,10.6
2014,NUTS,2010,AT1,1,14.4
2015,NUTS,2010,AT1,1,14.8
2016,NUTS,2010,AT1,1,15.2
2017,NUTS,2010,AT1,1,16.0
2018,NUTS,2010,AT1,1,16.4
2019,NUTS,2010,AT1,1,16.5
2020,NUTS,2010,AT1,1,16.8
2011,NUTS,2010,AT11,2,6.0
2012,NUTS,2010,AT11,2,5.5
2013,NUTS,2010,AT11,2,6.9
2014,NUTS,2010,AT11,2,10.4
2015,NUTS,2010,AT11,2,11.6
2016,NUTS,2010,AT11,2,11.4
2017,NUTS,2010,AT11,2,11.6
2018,NUTS,2010,AT11,2,11.9
2019,NUTS,2010,AT11,2,13.3
2020,NUTS,2010,AT11,2,14.2
2011,NUTS,2010,AT12,2,6.9
2012,NUTS,2010,AT12,2,7.3
2013,NUTS,2010,AT12,2,7.3
2014,NUTS,2010,AT12,2,12.5
2015,NUTS,2010,AT12,2,12.8
2016,NUTS,2010,AT12,2,13.0
2017,NUTS,2010,AT12,2,14.0
2018,NUTS,2010,AT12,2,14.4
2019,NUTS,2010,AT12,2,14.3
2020,NUTS,2010,AT12,2,14.5
2011,NUTS,2010,AT13,2,12.2
2012,NUTS,2010,AT13,2,13.0
2013,NUTS,2010,AT13,2,14.2
2014,NUTS,2010,AT13,2,16.7
2015,NUTS,2010,AT13,2,17.0
2016,NUTS,2010,AT13,2,17.7
2017,NUTS,2010,AT13,2,18.4
2018,NUTS,2010,AT13,2,18.7
2019,NUTS,2010,AT13,2,18.9
2020,NUTS,2010,AT13,2,19.2
2011,NUTS,2010,AT2,1,7.1
2012,NUTS,2010,AT2,1,7.5
2013,NUTS,2010,AT2,1,7.6
2014,NUTS,2010,AT2,1,11.1
2015,NUTS,2010,AT2,1,11.3
2016,NUTS,2010,AT2,1,11.6
2017,NUTS,2010,AT2,1,12.3
2018,NUTS,2010,AT2,1,13.0
2019,NUTS,2010,AT2,1,13.2
2020,NUTS,2010,AT2,1,13.4
2011,NUTS,2010,AT21,2,6.9
2012,NUTS,2010,AT21,2,7.1
2013,NUTS,2010,AT21,2,7.4
2014,NUTS,2010,AT21,2,11.3
2015,NUTS,2010,AT21,2,10.8
2016,NUTS,2010,AT21,2,11.3
2017,NUTS,2010,AT21,2,12.3
2018,NUTS,2010,AT21,2,12.7
2019,NUTS,2010,AT21,2,12.2
2020,NUTS,2010,AT21,2,13.0
2011,NUTS,2010,AT22,2,7.2
2012,NUTS,2010,AT22,2,7.7
2013,NUTS,2010,AT22,2,7.7
2014,NUTS,2010,AT22,2,11.0
2015,NUTS,2010,AT22,2,11.5
2016,NUTS,2010,AT22,2,11.7
2017,NUTS,2010,AT22,2,12.3
2018,NUTS,2010,AT22,2,13.1
2019,NUTS,2010,AT22,2,13.7
2020,NUTS,2010,AT22,2,13.6
2011,NUTS,2010,AT3,1,7.6
2012,NUTS,2010,AT3,1,8.0
2013,NUTS,2010,AT3,1,8.4
2014,NUTS,2010,AT3,1,11.5
2015,NUTS,2010,AT3,1,11.8
2016,NUTS,2010,AT3,1,12.3
2017,NUTS,2010,AT3,1,12.5
2018,NUTS,2010,AT3,1,12.9
2019,NUTS,2010,AT3,1,13.4
2020,NUTS,2010,AT3,1,13.4
2011,NUTS,2010,AT31,2,7.0
2012,NUTS,2010,AT31,2,7.4
2013,NUTS,2010,AT31,2,7.7
2014,NUTS,2010,AT31,2,11.7
2015,NUTS,2010,AT31,2,11.6
2016,NUTS,2010,AT31,2,11.9
2017,NUTS,2010,AT31,2,12.4
2018,NUTS,2010,AT31,2,12.5
2019,NUTS,2010,AT31,2,13.2
2020,NUTS,2010,AT31,2,13.2
2011,NUTS,2010,AT32,2,8.6
2012,NUTS,2010,AT32,2,8.7
2013,NUTS,2010,AT32,2,9.6
2014,NUTS,2010,AT32,2,12.2
2015,NUTS,2010,AT32,2,12.9
2016,NUTS,2010,AT32,2,13.8
2017,NUTS,2010,AT32,2,13.4
2018,NUTS,2010,AT32,2,14.0
2019,NUTS,2010,AT32,2,14.3
2020,NUTS,2010,AT32,2,13.8
2011,NUTS,2010,AT33,2,8.4
2012,NUTS,2010,AT33,2,8.9
2013,NUTS,2010,AT33,2,8.9
2014,NUTS,2010,AT33,2,11.1
2015,NUTS,2010,AT33,2,11.4
2016,NUTS,2010,AT33,2,12.0
2017,NUTS,2010,AT33,2,12.1
2018,NUTS,2010,AT33,2,13.4
2019,NUTS,2010,AT33,2,13.7
2020,NUTS,2010,AT33,2,13.9
2011,NUTS,2010,AT34,2,7.1
