year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_p_mact_cte
2011,NUTS,2010,AT,0,12.746
2012,NUTS,2010,AT,0,11.227
2011,NUTS,2010,AT1,1,18.151
2012,NUTS,2010,AT1,1,13.597
2011,NUTS,2010,AT11,2,4.813
2011,NUTS,2010,AT12,2,9.885
2012,NUTS,2010,AT12,2,12.467
2011,NUTS,2010,AT13,2,28.4
2012,NUTS,2010,AT13,2,16.911
2011,NUTS,2010,AT2,1,4.519
2012,NUTS,2010,AT2,1,7.888
2011,NUTS,2010,AT21,2,3.433
2012,NUTS,2010,AT21,2,2.763
2011,NUTS,2010,AT22,2,4.999
2012,NUTS,2010,AT22,2,10.183
2011,NUTS,2010,AT3,1,11.149
2012,NUTS,2010,AT3,1,9.412
2011,NUTS,2010,AT31,2,5.309
2012,NUTS,2010,AT31,2,4.927
2011,NUTS,2010,AT32,2,8.105
2012,NUTS,2010,AT32,2,1.18
2011,NUTS,2010,AT33,2,22.249
2012,NUTS,2010,AT33,2,22.697
2011,NUTS,2010,AT34,2,16.788
2012,NUTS,2010,AT34,2,12.84
2011,NUTS,2010,BE,0,25.095
2012,NUTS,2010,BE,0,26.471
2011,NUTS,2010,BE1,1,24.1
2012,NUTS,2010,BE1,1,20.889
2011,NUTS,2010,BE10,2,24.1
2012,NUTS,2010,BE10,2,20.889
2011,NUTS,2010,BE2,1,32.723
2012,NUTS,2010,BE2,1,35.19
2011,NUTS,2010,BE21,2,53.479
2012,NUTS,2010,BE21,2,67.93
2011,NUTS,2010,BE22,2,15.314
2012,NUTS,2010,BE22,2,15.061
2011,NUTS,2010,BE23,2,39.898
2012,NUTS,2010,BE23,2,29.289
2011,NUTS,2010,BE24,2,26.804
2012,NUTS,2010,BE24,2,31.987
2011,NUTS,2010,BE25,2,10.954
2012,NUTS,2010,BE25,2,11.06
2011,NUTS,2010,BE3,1,10.527
2012,NUTS,2010,BE3,1,11.012
2011,NUTS,2010,BE31,2,51.15
2012,NUTS,2010,BE31,2,73.152
2011,NUTS,2010,BE32,2,2.505
2012,NUTS,2010,BE32,2,0.933
2011,NUTS,2010,BE33,2,11.116
2012,NUTS,2010,BE33,2,7.249
2011,NUTS,2010,BE35,2,2.463
2012,NUTS,2010,BG,0,0.299
2012,NUTS,2010,BG4,1,0.58
2012,NUTS,2010,BG41,2,0.939
2011,NUTS,2010,CH,0,27.453
2012,NUTS,2010,CH,0,19.764
2011,NUTS,2010,CH0,1,26.903
2012,NUTS,2010,CH0,1,19.36
2011,NUTS,2010,CH01,2,40.467
2012,NUTS,2010,CH01,2,26.707
2011,NUTS,2010,CH02,2,19.825
2012,NUTS,2010,CH02,2,6.682
2011,NUTS,2010,CH03,2,22.736
