year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_total_fte_f
2012,NUTS,2010,FR,0,122253.0
2013,NUTS,2010,FR,0,123994.0
2014,NUTS,2010,FR,0,131234.0
2016,NUTS,2010,FR,0,141499.0
2017,NUTS,2010,FR,0,144804.0
2011,NUTS,2010,HR,0,5398.0
2012,NUTS,2010,HR,0,5302.0
2013,NUTS,2010,HR,0,5303.0
2014,NUTS,2010,HR,0,5103.0
2015,NUTS,2010,HR,0,5385.0
2016,NUTS,2010,HR,0,5841.0
2017,NUTS,2010,HR,0,5893.0
2018,NUTS,2010,HR,0,6281.0
2019,NUTS,2010,HR,0,6893.0
2020,NUTS,2010,HR,0,7497.0
2011,NUTS,2010,HU,0,12528.0
2012,NUTS,2010,HU,0,12778.0
2013,NUTS,2010,HU,0,12885.0
2014,NUTS,2010,HU,0,12698.0
2015,NUTS,2010,HU,0,12899.0
2016,NUTS,2010,HU,0,12074.0
2017,NUTS,2010,HU,0,13488.0
2018,NUTS,2010,HU,0,16270.0
2019,NUTS,2010,HU,0,18248.0
2011,NUTS,2010,IE,0,6499.0
2012,NUTS,2010,IE,0,6269.0
2013,NUTS,2010,IE,0,10753.0
2015,NUTS,2010,IE,0,11089.0
2017,NUTS,2010,IE,0,12844.0
2019,NUTS,2010,IE,0,11434.0
2011,NUTS,2010,IS,0,1250.0
2011,NUTS,2010,IT,0,78726.0
2012,NUTS,2010,IT,0,83630.0
2013,NUTS,2010,IT,0,85436.0
2014,NUTS,2010,IT,0,85800.0
2015,NUTS,2010,IT,0,89002.0
2016,NUTS,2010,IT,0,95901.0
2017,NUTS,2010,IT,0,101907.0
2018,NUTS,2010,IT,0,109308.0
2019,NUTS,2010,IT,0,114295.0
2011,NUTS,2010,LT,0,5799.0
2012,NUTS,2010,LT,0,5511.0
2013,NUTS,2010,LT,0,5589.0
2014,NUTS,2010,LT,0,5682.0
2015,NUTS,2010,LT,0,5206.0
2016,NUTS,2010,LT,0,5403.0
2017,NUTS,2010,LT,0,5442.0
2018,NUTS,2010,LT,0,5540.0
2019,NUTS,2010,LT,0,5994.0
2011,NUTS,2010,LU,0,1278.0
2013,NUTS,2010,LU,0,1235.0
2014,NUTS,2010,LU,0,930.0
2015,NUTS,2010,LU,0,1335.0
2017,NUTS,2010,LU,0,1432.0
2019,NUTS,2010,LU,0,1545.0
2011,NUTS,2010,LV,0,2872.0
2012,NUTS,2010,LV,0,3002.0
2013,NUTS,2010,LV,0,2819.0
2015,NUTS,2010,LV,0,2862.0
2016,NUTS,2010,LV,0,2731.0
2017,NUTS,2010,LV,0,2889.0
2018,NUTS,2010,LV,0,3044.0
2019,NUTS,2010,LV,0,3130.0
2011,NUTS,2010,ME,0,276.0
2013,NUTS,2010,ME,0,270.0
2014,NUTS,2010,ME,0,308.0
2015,NUTS,2010,ME,0,325.0
2017,NUTS,2010,ME,0,314.0
2018,NUTS,2010,ME,0,354.0
2019,NUTS,2010,ME,0,376.0
2011,NUTS,2010,MK,0,644.0
2012,NUTS,2010,MK,0,958.0
2015,NUTS,2010,MK,0,1035.0
2016,NUTS,2010,MK,0,1128.0
2017,NUTS,2010,MK,0,1027.0
2018,NUTS,2010,MK,0,1099.0
2019,NUTS,2010,MK,0,1076.0
2011,NUTS,2010,MT,0,331.0
2012,NUTS,2010,MT,0,384.0
2013,NUTS,2010,MT,0,375.0
2014,NUTS,2010,MT,0,396.0
2015,NUTS,2010,MT,0,380.0
2016,NUTS,2010,MT,0,406.0
2017,NUTS,2010,MT,0,466.0
2018,NUTS,2010,MT,0,468.0
2019,NUTS,2010,MT,0,498.0
2011,NUTS,2010,NL,0,31692.0
2012,NUTS,2010,NL,0,34112.0
2015,NUTS,2010,PL,0,39892.0
2016,NUTS,2010,PL,0,40423.0
2017,NUTS,2010,PL,0,53014.0
2018,NUTS,2010,PL,0,57966.0
2019,NUTS,2010,PL,0,59391.0
2011,NUTS,2010,PT,0,21311.0
2012,NUTS,2010,PT,0,20680.0
2013,NUTS,2010,PT,0,20396.0
2014,NUTS,2010,PT,0,20403.0
2015,NUTS,2010,PT,0,20949.0
2016,NUTS,2010,PT,0,21779.0
2017,NUTS,2010,PT,0,23857.0
2018,NUTS,2010,PT,0,25186.0
2019,NUTS,2010,PT,0,26404.0
2020,NUTS,2010,PT,0,28035.0
2011,NUTS,2010,RO,0,13848.0
2012,NUTS,2010,RO,0,14419.0
2013,NUTS,2010,RO,0,14979.0
2014,NUTS,2010,RO,0,14159.0
2015,NUTS,2010,RO,0,14006.0
2016,NUTS,2010,RO,0,14462.0
2017,NUTS,2010,RO,0,14579.0
2018,NUTS,2010,RO,0,13897.0
2019,NUTS,2010,RO,0,14043.0
2011,NUTS,2010,RS,0,8889.0
2012,NUTS,2010,RS,0,9011.0
2013,NUTS,2010,RS,0,9333.0
2014,NUTS,2010,RS,0,9630.0
2015,NUTS,2010,RS,0,10689.0
2016,NUTS,2010,RS,0,10614.0
2017,NUTS,2010,RS,0,10369.0
2018,NUTS,2010,RS,0,10568.0
2019,NUTS,2010,RS,0,10626.0
2020,NUTS,2010,RS,0,11123.0
2011,NUTS,2010,SE,0,23521.0
2013,NUTS,2010,SE,0,23992.0
2015,NUTS,2010,SE,0,25294.0
2017,NUTS,2010,SE,0,27721.0
2019,NUTS,2010,SE,0,29033.0
2011,NUTS,2010,SI,0,5396.0
2012,NUTS,2010,SI,0,5174.0
2013,NUTS,2010,SI,0,5314.0
2014,NUTS,2010,SI,0,5165.0
2015,NUTS,2010,SI,0,4832.0
2016,NUTS,2010,SI,0,4859.0
2017,NUTS,2010,SI,0,4957.0
2018,NUTS,2010,SI,0,5495.0
2019,NUTS,2010,SI,0,5965.0
2011,NUTS,2010,SK,0,7930.0
2012,NUTS,2010,SK,0,7773.0
2013,NUTS,2010,SK,0,7338.0
2014,NUTS,2010,SK,0,7431.0
2015,NUTS,2010,SK,0,7512.0
2016,NUTS,2010,SK,0,7344.0
2017,NUTS,2010,SK,0,7622.0
2018,NUTS,2010,SK,0,7893.0
2019,NUTS,2010,SK,0,8196.0
2020,NUTS,2010,SK,0,8575.0
2011,NUTS,2010,TR,0,27506.0
2012,NUTS,2010,TR,0,31626.0
2013,NUTS,2010,TR,0,34246.0
2014,NUTS,2010,TR,0,34826.0
2015,NUTS,2010,TR,0,37510.0
2016,NUTS,2010,TR,0,43048.0
2017,NUTS,2010,TR,0,49235.0
2018,NUTS,2010,TR,0,54308.0
2019,NUTS,2010,TR,0,58224.0
2020,NUTS,2010,TR,0,63655.0
