year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_pc_act_hc_total_f
2018,NUTS,2010,DK0,1,1.2637
2019,NUTS,2010,DK0,1,1.2578
2011,NUTS,2010,DK01,2,1.8526
2012,NUTS,2010,DK01,2,1.8317
2013,NUTS,2010,DK01,2,1.9752
2014,NUTS,2010,DK01,2,1.7658
2015,NUTS,2010,DK01,2,1.9839
2016,NUTS,2010,DK01,2,1.8686
2017,NUTS,2010,DK01,2,1.8629
2019,NUTS,2010,DK01,2,1.9262
2011,NUTS,2010,DK02,2,0.4559
2012,NUTS,2010,DK02,2,0.4451
2013,NUTS,2010,DK02,2,0.4402
2014,NUTS,2010,DK02,2,0.4512
2015,NUTS,2010,DK02,2,0.411
2016,NUTS,2010,DK02,2,0.4777
2017,NUTS,2010,DK02,2,0.4433
2019,NUTS,2010,DK02,2,0.4798
2011,NUTS,2010,DK03,2,0.5745
2012,NUTS,2010,DK03,2,0.6304
2013,NUTS,2010,DK03,2,0.6564
2014,NUTS,2010,DK03,2,0.6865
2015,NUTS,2010,DK03,2,0.7471
2016,NUTS,2010,DK03,2,0.713
2017,NUTS,2010,DK03,2,0.5624
2019,NUTS,2010,DK03,2,0.5554
2011,NUTS,2010,DK04,2,1.1564
2012,NUTS,2010,DK04,2,1.6094
2013,NUTS,2010,DK04,2,1.639
2014,NUTS,2010,DK04,2,1.2104
2015,NUTS,2010,DK04,2,1.2539
2016,NUTS,2010,DK04,2,1.2713
2017,NUTS,2010,DK04,2,1.1689
2019,NUTS,2010,DK04,2,1.1901
2011,NUTS,2010,DK05,2,0.9716
2012,NUTS,2010,DK05,2,1.3459
2013,NUTS,2010,DK05,2,1.3643
2014,NUTS,2010,DK05,2,1.2359
2015,NUTS,2010,DK05,2,1.2185
2016,NUTS,2010,DK05,2,1.1723
2017,NUTS,2010,DK05,2,1.4435
2019,NUTS,2010,DK05,2,1.5819
2011,NUTS,2010,EA19,2,0.6785
2012,NUTS,2010,EA19,2,0.6885
2013,NUTS,2010,EA19,2,0.7004
2014,NUTS,2010,EA19,2,0.7102
2015,NUTS,2010,EA19,2,0.7265
2016,NUTS,2010,EA19,2,0.7209
2017,NUTS,2010,EA19,2,0.7377
2018,NUTS,2010,EA19,2,0.7553
2019,NUTS,2010,EA19,2,0.7699
2011,NUTS,2010,EE,0,0.8891
2012,NUTS,2010,EE,0,0.9476
2013,NUTS,2010,EE,0,0.9911
2014,NUTS,2010,EE,0,1.0406
2015,NUTS,2010,EE,0,0.9781
2016,NUTS,2010,EE,0,0.9138
2017,NUTS,2010,EE,0,0.8945
2018,NUTS,2010,EE,0,0.9084
2019,NUTS,2010,EE,0,0.9084
2011,NUTS,2010,EL,0,0.9941
2013,NUTS,2010,EL,0,1.2832
2015,NUTS,2010,EL,0,1.1961
2017,NUTS,2010,EL,0,1.0091
2019,NUTS,2010,EL,0,1.2053
2011,NUTS,2010,EL3,1,0.8841
2011,NUTS,2010,EL30,2,0.8841
2011,NUTS,2010,EL4,1,1.2655
2011,NUTS,2010,EL41,2,2.2143
2011,NUTS,2010,EL42,2,0.6524
2011,NUTS,2010,EL43,2,1.3401
2011,NUTS,2010,EL5,1,1.0918
2011,NUTS,2010,EL51,2,1.3309
2011,NUTS,2010,EL52,2,0.9288
2011,NUTS,2010,EL53,2,0.7087
2011,NUTS,2010,EL54,2,1.9201
2011,NUTS,2010,EL6,1,0.8651
2011,NUTS,2010,EL61,2,1.8001
2011,NUTS,2010,EL62,2,0.4843
2011,NUTS,2010,EL63,2,1.1427
2011,NUTS,2010,EL64,2,0.1009
2011,NUTS,2010,EL65,2,0.2459
2011,NUTS,2010,ES,0,0.696
2012,NUTS,2010,ES,0,0.6551
2013,NUTS,2010,ES,0,0.6318
2014,NUTS,2010,ES,0,0.6416
2015,NUTS,2010,ES,0,0.6527
2016,NUTS,2010,ES,0,0.6538
2017,NUTS,2010,ES,0,0.6795
2018,NUTS,2010,ES,0,0.6963
2019,NUTS,2010,ES,0,0.7103
2011,NUTS,2010,ES1,1,0.6745
2013,NUTS,2010,ES1,1,0.7032
2015,NUTS,2010,ES1,1,0.6874
2016,NUTS,2010,ES1,1,0.6725
2017,NUTS,2010,ES1,1,0.692
2018,NUTS,2010,ES1,1,0.6785
2011,NUTS,2010,ES11,2,0.6743
2012,NUTS,2010,ES11,2,0.7171
2014,NUTS,2010,ES11,2,0.6992
2015,NUTS,2010,ES11,2,0.7121
2016,NUTS,2010,ES11,2,0.7129
2017,NUTS,2010,ES11,2,0.7247
2018,NUTS,2010,ES11,2,0.7364
2019,NUTS,2010,ES11,2,0.7731
2011,NUTS,2010,ES12,2,0.6557
2012,NUTS,2010,ES12,2,0.6041
2013,NUTS,2010,ES12,2,0.6736
2014,NUTS,2010,ES12,2,0.5817
2015,NUTS,2010,ES12,2,0.6301
2016,NUTS,2010,ES12,2,0.5766
2017,NUTS,2010,ES12,2,0.6292
2018,NUTS,2010,ES12,2,0.5184
2019,NUTS,2010,ES12,2,0.6165
2011,NUTS,2010,ES13,2,0.7091
2015,NUTS,2010,ES13,2,0.6727
2016,NUTS,2010,ES13,2,0.6534
2017,NUTS,2010,ES13,2,0.6478
2018,NUTS,2010,ES13,2,0.6824
2011,NUTS,2010,ES2,1,0.6834
2013,NUTS,2010,ES2,1,0.7095
2019,NUTS,2010,ES2,1,0.774
2011,NUTS,2010,ES21,2,0.6501
2012,NUTS,2010,ES21,2,0.715
2013,NUTS,2010,ES21,2,0.7228
2014,NUTS,2010,ES21,2,0.7333
2015,NUTS,2010,ES21,2,0.7569
2016,NUTS,2010,ES21,2,0.7481
2017,NUTS,2010,ES21,2,0.7839
2018,NUTS,2010,ES21,2,0.785
2019,NUTS,2010,ES21,2,0.7959
2011,NUTS,2010,ES22,2,0.9281
2011,NUTS,2010,ES23,2,0.3449
2012,NUTS,2010,ES23,2,0.3704
2014,NUTS,2010,ES23,2,0.4708
2015,NUTS,2010,ES23,2,0.4492
2016,NUTS,2010,ES23,2,0.6245
2017,NUTS,2010,ES23,2,0.5198
2018,NUTS,2010,ES23,2,0.5868
2011,NUTS,2010,ES24,2,0.7031
2012,NUTS,2010,ES24,2,0.7084
2013,NUTS,2010,ES24,2,0.7176
2014,NUTS,2010,ES24,2,0.7655
2015,NUTS,2010,ES24,2,0.7953
2016,NUTS,2010,ES24,2,0.7569
2017,NUTS,2010,ES24,2,0.7881
2018,NUTS,2010,ES24,2,0.8087
2011,NUTS,2010,ES3,1,0.9487
2012,NUTS,2010,ES3,1,0.7752
2013,NUTS,2010,ES3,1,0.7515
2014,NUTS,2010,ES3,1,0.7847
2015,NUTS,2010,ES3,1,0.7847
2016,NUTS,2010,ES3,1,0.7382
2017,NUTS,2010,ES3,1,0.7789
2018,NUTS,2010,ES3,1,0.826
2019,NUTS,2010,ES3,1,0.8443
2011,NUTS,2010,ES30,2,0.9487
2012,NUTS,2010,ES30,2,0.7752
2013,NUTS,2010,ES30,2,0.7515
2014,NUTS,2010,ES30,2,0.7847
2015,NUTS,2010,ES30,2,0.7847
2016,NUTS,2010,ES30,2,0.7382
2017,NUTS,2010,ES30,2,0.7789
2018,NUTS,2010,ES30,2,0.826
2019,NUTS,2010,ES30,2,0.8443
2011,NUTS,2010,ES4,1,0.6745
2013,NUTS,2010,ES4,1,0.5301
2014,NUTS,2010,ES4,1,0.5424
2015,NUTS,2010,ES4,1,0.5615
2016,NUTS,2010,ES4,1,0.5695
2018,NUTS,2010,ES4,1,0.6078
2019,NUTS,2010,ES4,1,0.606
2011,NUTS,2010,ES41,2,0.9625
2012,NUTS,2010,ES41,2,0.9233
2013,NUTS,2010,ES41,2,0.8783
2014,NUTS,2010,ES41,2,0.8982
2015,NUTS,2010,ES41,2,0.9257
2016,NUTS,2010,ES41,2,0.9375
2017,NUTS,2010,ES41,2,0.9589
2018,NUTS,2010,ES41,2,1.0237
2019,NUTS,2010,ES41,2,1.0424
2011,NUTS,2010,ES42,2,0.441
2012,NUTS,2010,ES42,2,0.3818
2013,NUTS,2010,ES42,2,0.1779
2014,NUTS,2010,ES42,2,0.1852
2015,NUTS,2010,ES42,2,0.2111
2017,NUTS,2010,ES42,2,0.2226
2011,NUTS,2010,ES43,2,0.4354
2013,NUTS,2010,ES43,2,0.4006
2014,NUTS,2010,ES43,2,0.4025
2015,NUTS,2010,ES43,2,0.3909
2011,NUTS,2010,ES5,1,0.6967
2012,NUTS,2010,ES5,1,0.6866
2013,NUTS,2010,ES5,1,0.6638
2014,NUTS,2010,ES5,1,0.6863
2015,NUTS,2010,ES5,1,0.6889
2016,NUTS,2010,ES5,1,0.6992
2017,NUTS,2010,ES5,1,0.7193
2018,NUTS,2010,ES5,1,0.7286
2011,NUTS,2010,ES51,2,0.7303
2012,NUTS,2010,ES51,2,0.7213
2013,NUTS,2010,ES51,2,0.7062
2014,NUTS,2010,ES51,2,0.6955
2015,NUTS,2010,ES51,2,0.6985
2016,NUTS,2010,ES51,2,0.7133
2017,NUTS,2010,ES51,2,0.7259
2018,NUTS,2010,ES51,2,0.7391
2019,NUTS,2010,ES51,2,0.7502
2011,NUTS,2010,ES52,2,0.7276
2012,NUTS,2010,ES52,2,0.719
2013,NUTS,2010,ES52,2,0.6792
2014,NUTS,2010,ES52,2,0.7584
2015,NUTS,2010,ES52,2,0.7619
2016,NUTS,2010,ES52,2,0.7709
2017,NUTS,2010,ES52,2,0.808
2018,NUTS,2010,ES52,2,0.8166
2019,NUTS,2010,ES52,2,0.8624
2011,NUTS,2010,ES53,2,0.3438
2012,NUTS,2010,ES53,2,0.3375
2013,NUTS,2010,ES53,2,0.3283
2014,NUTS,2010,ES53,2,0.3389
2015,NUTS,2010,ES53,2,0.3461
2016,NUTS,2010,ES53,2,0.3279
2017,NUTS,2010,ES53,2,0.3243
2018,NUTS,2010,ES53,2,0.33
2011,NUTS,2010,ES6,1,0.5903
2012,NUTS,2010,ES6,1,0.5532
2013,NUTS,2010,ES6,1,0.5431
2014,NUTS,2010,ES6,1,0.5362
2015,NUTS,2010,ES6,1,0.5545
2016,NUTS,2010,ES6,1,0.5746
2017,NUTS,2010,ES6,1,0.6124
2018,NUTS,2010,ES6,1,0.6262
2019,NUTS,2010,ES6,1,0.627
2011,NUTS,2010,ES61,2,0.5943
2012,NUTS,2010,ES61,2,0.5543
2013,NUTS,2010,ES61,2,0.539
2014,NUTS,2010,ES61,2,0.5302
2015,NUTS,2010,ES61,2,0.5419
2016,NUTS,2010,ES61,2,0.558
2017,NUTS,2010,ES61,2,0.5983
2018,NUTS,2010,ES61,2,0.6123
2019,NUTS,2010,ES61,2,0.607
2011,NUTS,2010,ES62,2,0.6078
2012,NUTS,2010,ES62,2,0.5867
2013,NUTS,2010,ES62,2,0.6082
2014,NUTS,2010,ES62,2,0.6045
2015,NUTS,2010,ES62,2,0.6671
2016,NUTS,2010,ES62,2,0.7091
2018,NUTS,2010,ES62,2,0.7349
2019,NUTS,2010,ES62,2,0.7689
2011,NUTS,2010,ES63,2,0.0935
2011,NUTS,2010,ES64,2,0.1871
2011,NUTS,2010,ES7,1,0.3245
2012,NUTS,2010,ES7,1,0.3002
2013,NUTS,2010,ES7,1,0.2958
2014,NUTS,2010,ES7,1,0.2855
2015,NUTS,2010,ES7,1,0.2841
2016,NUTS,2010,ES7,1,0.3059
2017,NUTS,2010,ES7,1,0.3121
2018,NUTS,2010,ES7,1,0.3212
2011,NUTS,2010,ES70,2,0.3245
2012,NUTS,2010,ES70,2,0.3002
2013,NUTS,2010,ES70,2,0.2958
2014,NUTS,2010,ES70,2,0.2855
2015,NUTS,2010,ES70,2,0.2841
2016,NUTS,2010,ES70,2,0.3059
2017,NUTS,2010,ES70,2,0.3121
2018,NUTS,2010,ES70,2,0.3212
2011,NUTS,2010,EU27_2020,7,0.6542
2012,NUTS,2010,EU27_2020,7,0.6649
2013,NUTS,2010,EU27_2020,7,0.6749
2014,NUTS,2010,EU27_2020,7,0.6816
2015,NUTS,2010,EU27_2020,7,0.6939
2016,NUTS,2010,EU27_2020,7,0.6919
2017,NUTS,2010,EU27_2020,7,0.7206
2018,NUTS,2010,EU27_2020,7,0.7444
2019,NUTS,2010,EU27_2020,7,0.7616
2011,NUTS,2010,FI,0,1.1552
2012,NUTS,2010,FI,0,1.1461
2013,NUTS,2010,FI,0,1.1069
2014,NUTS,2010,FI,0,1.1086
2015,NUTS,2010,FI,0,1.0852
2016,NUTS,2010,FI,0,1.0897
2017,NUTS,2010,FI,0,1.1294
2018,NUTS,2010,FI,0,1.1685
2019,NUTS,2010,FI,0,1.2179
2011,NUTS,2010,FR,0,0.4323
2012,NUTS,2010,FR,0,0.4302
2013,NUTS,2010,FR,0,0.4297
2014,NUTS,2010,FR,0,0.4978
2016,NUTS,2010,FR,0,0.5785
2017,NUTS,2010,FR,0,0.5803
2011,NUTS,2010,HR,0,0.5849
2012,NUTS,2010,HR,0,0.5675
2013,NUTS,2010,HR,0,0.5754
2014,NUTS,2010,HR,0,0.5341
2015,NUTS,2010,HR,0,0.5912
2016,NUTS,2010,HR,0,0.6845
2017,NUTS,2010,HR,0,0.7253
2018,NUTS,2010,HR,0,0.7549
2019,NUTS,2010,HR,0,0.8578
2020,NUTS,2010,HR,0,0.9044
2011,NUTS,2010,HR0,1,0.5707
2012,NUTS,2010,HR0,1,0.5562
2013,NUTS,2010,HR0,1,0.5668
2014,NUTS,2010,HR0,1,0.5266
2015,NUTS,2010,HR0,1,0.5832
2016,NUTS,2010,HR0,1,0.6776
2017,NUTS,2010,HR0,1,0.7171
2018,NUTS,2010,HR0,1,0.7456
2019,NUTS,2010,HR0,1,0.8451
2020,NUTS,2010,HR0,1,0.8935
2011,NUTS,2010,HR03,2,0.6712
2012,NUTS,2010,HR03,2,0.6668
2013,NUTS,2010,HR03,2,0.6817
2014,NUTS,2010,HR03,2,0.5976
2015,NUTS,2010,HR03,2,0.5891
2016,NUTS,2010,HR03,2,0.6316
2017,NUTS,2010,HR03,2,0.6907
2018,NUTS,2010,HR03,2,0.7343
2019,NUTS,2010,HR03,2,0.8801
2020,NUTS,2010,HR03,2,0.9445
2011,NUTS,2010,HR04,2,0.525
2012,NUTS,2010,HR04,2,0.5058
2013,NUTS,2010,HR04,2,0.515
2014,NUTS,2010,HR04,2,0.4916
2015,NUTS,2010,HR04,2,0.5802
2016,NUTS,2010,HR04,2,0.6993
2017,NUTS,2010,HR04,2,0.7299
2018,NUTS,2010,HR04,2,0.7512
2019,NUTS,2010,HR04,2,0.8284
2011,NUTS,2010,HU,0,0.5727
2012,NUTS,2010,HU,0,0.5498
2013,NUTS,2010,HU,0,0.5466
2014,NUTS,2010,HU,0,0.5124
2015,NUTS,2010,HU,0,0.4977
2016,NUTS,2010,HU,0,0.4886
2017,NUTS,2010,HU,0,0.5296
2018,NUTS,2010,HU,0,0.5973
2019,NUTS,2010,HU,0,0.6877
2011,NUTS,2010,HU1,1,0.8281
2012,NUTS,2010,HU1,1,0.755
2013,NUTS,2010,HU1,1,0.7732
2014,NUTS,2010,HU1,1,0.7332
