year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_se_pc_pop
2015,NUTS,2010,BG31,2,2.6
2016,NUTS,2010,BG31,2,2.3
2017,NUTS,2010,BG31,2,2.2
2018,NUTS,2010,BG31,2,2.6
2019,NUTS,2010,BG31,2,2.5
2020,NUTS,2010,BG31,2,2.5
2011,NUTS,2010,BG32,2,2.1
2012,NUTS,2010,BG32,2,2.3
2013,NUTS,2010,BG32,2,2.1
2014,NUTS,2010,BG32,2,2.2
2015,NUTS,2010,BG32,2,2.5
2016,NUTS,2010,BG32,2,2.8
2017,NUTS,2010,BG32,2,2.6
2018,NUTS,2010,BG32,2,3.1
2019,NUTS,2010,BG32,2,3.6
2020,NUTS,2010,BG32,2,2.7
2011,NUTS,2010,BG33,2,2.2
2012,NUTS,2010,BG33,2,2.1
2013,NUTS,2010,BG33,2,2.0
2014,NUTS,2010,BG33,2,2.8
2015,NUTS,2010,BG33,2,2.9
2016,NUTS,2010,BG33,2,2.8
2017,NUTS,2010,BG33,2,3.1
2018,NUTS,2010,BG33,2,2.7
2019,NUTS,2010,BG33,2,2.5
2020,NUTS,2010,BG33,2,3.0
2011,NUTS,2010,BG34,2,2.2
2012,NUTS,2010,BG34,2,2.1
2013,NUTS,2010,BG34,2,2.3
2014,NUTS,2010,BG34,2,2.3
2015,NUTS,2010,BG34,2,2.3
2016,NUTS,2010,BG34,2,2.3
2017,NUTS,2010,BG34,2,2.4
2018,NUTS,2010,BG34,2,2.7
2019,NUTS,2010,BG34,2,2.6
2020,NUTS,2010,BG34,2,2.7
2011,NUTS,2010,BG4,1,3.5
2012,NUTS,2010,BG4,1,3.5
2013,NUTS,2010,BG4,1,3.9
2014,NUTS,2010,BG4,1,4.3
2015,NUTS,2010,BG4,1,4.5
2016,NUTS,2010,BG4,1,4.5
2017,NUTS,2010,BG4,1,4.7
2018,NUTS,2010,BG4,1,4.9
2019,NUTS,2010,BG4,1,5.1
2020,NUTS,2010,BG4,1,5.5
2011,NUTS,2010,BG41,2,4.3
2012,NUTS,2010,BG41,2,4.4
2013,NUTS,2010,BG41,2,4.8
2014,NUTS,2010,BG41,2,5.4
2015,NUTS,2010,BG41,2,5.7
2016,NUTS,2010,BG41,2,5.7
2017,NUTS,2010,BG41,2,6.0
2018,NUTS,2010,BG41,2,6.3
2019,NUTS,2010,BG41,2,6.6
2020,NUTS,2010,BG41,2,7.2
2011,NUTS,2010,BG42,2,2.3
2012,NUTS,2010,BG42,2,2.2
2013,NUTS,2010,BG42,2,2.4
2014,NUTS,2010,BG42,2,2.5
2015,NUTS,2010,BG42,2,2.8
2016,NUTS,2010,BG42,2,2.7
2017,NUTS,2010,BG42,2,2.8
2018,NUTS,2010,BG42,2,2.8
2019,NUTS,2010,BG42,2,2.7
2020,NUTS,2010,BG42,2,2.8
2011,NUTS,2010,CH,0,7.6
2012,NUTS,2010,CH,0,7.9
2013,NUTS,2010,CH,0,8.1
2014,NUTS,2010,CH,0,8.3
2015,NUTS,2010,CH,0,8.5
2016,NUTS,2010,CH,0,8.8
2017,NUTS,2010,CH,0,8.9
2018,NUTS,2010,CH,0,9.2
2019,NUTS,2010,CH,0,9.6
2020,NUTS,2010,CH,0,9.4
2011,NUTS,2010,CH0,1,7.6
2012,NUTS,2010,CH0,1,7.9
2013,NUTS,2010,CH0,1,8.1
2014,NUTS,2010,CH0,1,8.3
2015,NUTS,2010,CH0,1,8.5
2016,NUTS,2010,CH0,1,8.8
2017,NUTS,2010,CH0,1,8.9
2018,NUTS,2010,CH0,1,9.2
2019,NUTS,2010,CH0,1,9.6
2020,NUTS,2010,CH0,1,9.4
2011,NUTS,2010,CH01,2,7.1
2012,NUTS,2010,CH01,2,7.1
2013,NUTS,2010,CH01,2,7.1
2014,NUTS,2010,CH01,2,7.3
2015,NUTS,2010,CH01,2,7.3
2016,NUTS,2010,CH01,2,7.9
2017,NUTS,2010,CH01,2,7.9
2018,NUTS,2010,CH01,2,7.9
2019,NUTS,2010,CH01,2,8.3
2020,NUTS,2010,CH01,2,8.1
2011,NUTS,2010,CH02,2,7.2
2012,NUTS,2010,CH02,2,7.5
2013,NUTS,2010,CH02,2,7.7
2014,NUTS,2010,CH02,2,8.0
2015,NUTS,2010,CH02,2,8.1
2016,NUTS,2010,CH02,2,8.2
2017,NUTS,2010,CH02,2,8.0
2018,NUTS,2010,CH02,2,8.4
2019,NUTS,2010,CH02,2,9.2
2020,NUTS,2010,CH02,2,8.8
2011,NUTS,2010,CH03,2,8.2
2012,NUTS,2010,CH03,2,9.0
2013,NUTS,2010,CH03,2,9.8
2014,NUTS,2010,CH03,2,10.0
2015,NUTS,2010,CH03,2,9.9
2016,NUTS,2010,CH03,2,9.6
2017,NUTS,2010,CH03,2,10.1
2018,NUTS,2010,CH03,2,10.2
2019,NUTS,2010,CH03,2,10.2
2020,NUTS,2010,CH03,2,10.1
2011,NUTS,2010,CH04,2,10.3
2012,NUTS,2010,CH04,2,10.8
2013,NUTS,2010,CH04,2,10.5
2014,NUTS,2010,CH04,2,10.6
2015,NUTS,2010,CH04,2,11.1
2016,NUTS,2010,CH04,2,12.2
2017,NUTS,2010,CH04,2,12.2
2018,NUTS,2010,CH04,2,12.6
2019,NUTS,2010,CH04,2,13.1
2020,NUTS,2010,CH04,2,12.8
2011,NUTS,2010,CH05,2,6.5
2012,NUTS,2010,CH05,2,6.6
2013,NUTS,2010,CH05,2,6.5
2014,NUTS,2010,CH05,2,7.1
2015,NUTS,2010,CH05,2,7.2
2016,NUTS,2010,CH05,2,7.2
2017,NUTS,2010,CH05,2,7.4
2018,NUTS,2010,CH05,2,7.7
2019,NUTS,2010,CH05,2,7.4
2020,NUTS,2010,CH05,2,7.5
2011,NUTS,2010,CH06,2,6.7
2012,NUTS,2010,CH06,2,7.1
2013,NUTS,2010,CH06,2,7.0
2014,NUTS,2010,CH06,2,7.5
2015,NUTS,2010,CH06,2,7.9
2016,NUTS,2010,CH06,2,8.0
2017,NUTS,2010,CH06,2,8.3
2018,NUTS,2010,CH06,2,9.1
2019,NUTS,2010,CH06,2,9.5
2020,NUTS,2010,CH06,2,9.3
2011,NUTS,2010,CH07,2,5.2
2012,NUTS,2010,CH07,2,5.2
2013,NUTS,2010,CH07,2,6.0
2014,NUTS,2010,CH07,2,6.4
2015,NUTS,2010,CH07,2,6.5
2016,NUTS,2010,CH07,2,5.9
2017,NUTS,2010,CH07,2,6.2
2018,NUTS,2010,CH07,2,6.8
2019,NUTS,2010,CH07,2,7.8
2020,NUTS,2010,CH07,2,7.4
2011,NUTS,2010,CY,0,3.5
2012,NUTS,2010,CY,0,3.7
2013,NUTS,2010,CY,0,3.4
2014,NUTS,2010,CY,0,3.6
2015,NUTS,2010,CY,0,3.7
2016,NUTS,2010,CY,0,3.8
2017,NUTS,2010,CY,0,4.3
2018,NUTS,2010,CY,0,4.5
2019,NUTS,2010,CY,0,4.5
2020,NUTS,2010,CY,0,4.5
2011,NUTS,2010,CY0,1,3.5
2012,NUTS,2010,CY0,1,3.7
2013,NUTS,2010,CY0,1,3.4
2014,NUTS,2010,CY0,1,3.6
2015,NUTS,2010,CY0,1,3.7
2016,NUTS,2010,CY0,1,3.8
2017,NUTS,2010,CY0,1,4.3
2018,NUTS,2010,CY0,1,4.5
2019,NUTS,2010,CY0,1,4.5
2020,NUTS,2010,CY0,1,4.5
2011,NUTS,2010,CY00,2,3.5
2012,NUTS,2010,CY00,2,3.7
2013,NUTS,2010,CY00,2,3.4
2014,NUTS,2010,CY00,2,3.6
2015,NUTS,2010,CY00,2,3.7
2016,NUTS,2010,CY00,2,3.8
2017,NUTS,2010,CY00,2,4.3
2018,NUTS,2010,CY00,2,4.5
2019,NUTS,2010,CY00,2,4.5
2020,NUTS,2010,CY00,2,4.5
2011,NUTS,2010,CZ,0,2.8
2012,NUTS,2010,CZ,0,3.1
2013,NUTS,2010,CZ,0,3.4
2014,NUTS,2010,CZ,0,3.7
2015,NUTS,2010,CZ,0,3.9
2016,NUTS,2010,CZ,0,4.1
2017,NUTS,2010,CZ,0,4.1
2018,NUTS,2010,CZ,0,4.3
2019,NUTS,2010,CZ,0,4.5
2020,NUTS,2010,CZ,0,4.7
2011,NUTS,2010,CZ0,1,2.8
2012,NUTS,2010,CZ0,1,3.1
2013,NUTS,2010,CZ0,1,3.4
2014,NUTS,2010,CZ0,1,3.7
2015,NUTS,2010,CZ0,1,3.9
2016,NUTS,2010,CZ0,1,4.1
2017,NUTS,2010,CZ0,1,4.1
2018,NUTS,2010,CZ0,1,4.3
2019,NUTS,2010,CZ0,1,4.5
2020,NUTS,2010,CZ0,1,4.7
2011,NUTS,2010,CZ01,2,6.1
2012,NUTS,2010,CZ01,2,6.2
2013,NUTS,2010,CZ01,2,7.6
2014,NUTS,2010,CZ01,2,7.9
2015,NUTS,2010,CZ01,2,8.2
2016,NUTS,2010,CZ01,2,8.4
2017,NUTS,2010,CZ01,2,8.3
2018,NUTS,2010,CZ01,2,8.5
2019,NUTS,2010,CZ01,2,9.2
2020,NUTS,2010,CZ01,2,10.0
2011,NUTS,2010,CZ02,2,2.3
2012,NUTS,2010,CZ02,2,2.9
2013,NUTS,2010,CZ02,2,3.1
2014,NUTS,2010,CZ02,2,3.6
2015,NUTS,2010,CZ02,2,3.9
2016,NUTS,2010,CZ02,2,3.7
2017,NUTS,2010,CZ02,2,4.0
2018,NUTS,2010,CZ02,2,4.4
2019,NUTS,2010,CZ02,2,4.3
2020,NUTS,2010,CZ02,2,4.3
2011,NUTS,2010,CZ03,2,2.1
2012,NUTS,2010,CZ03,2,2.8
2013,NUTS,2010,CZ03,2,3.1
2014,NUTS,2010,CZ03,2,3.2
2015,NUTS,2010,CZ03,2,3.1
2016,NUTS,2010,CZ03,2,3.3
2017,NUTS,2010,CZ03,2,3.4
2018,NUTS,2010,CZ03,2,3.5
2019,NUTS,2010,CZ03,2,3.6
2020,NUTS,2010,CZ03,2,3.5
2011,NUTS,2010,CZ04,2,1.3
2012,NUTS,2010,CZ04,2,1.8
2013,NUTS,2010,CZ04,2,1.9
2014,NUTS,2010,CZ04,2,2.2
2015,NUTS,2010,CZ04,2,2.1
2016,NUTS,2010,CZ04,2,2.0
2017,NUTS,2010,CZ04,2,1.9
2018,NUTS,2010,CZ04,2,2.0
2019,NUTS,2010,CZ04,2,2.4
2020,NUTS,2010,CZ04,2,2.4
2011,NUTS,2010,CZ05,2,2.5
2012,NUTS,2010,CZ05,2,2.8
2013,NUTS,2010,CZ05,2,2.9
2014,NUTS,2010,CZ05,2,3.1
2015,NUTS,2010,CZ05,2,3.4
2016,NUTS,2010,CZ05,2,3.4
2017,NUTS,2010,CZ05,2,3.4
2018,NUTS,2010,CZ05,2,3.6
2019,NUTS,2010,CZ05,2,3.7
2020,NUTS,2010,CZ05,2,3.6
2011,NUTS,2010,CZ06,2,3.4
2012,NUTS,2010,CZ06,2,3.7
2013,NUTS,2010,CZ06,2,3.7
2014,NUTS,2010,CZ06,2,4.0
2015,NUTS,2010,CZ06,2,4.2
2016,NUTS,2010,CZ06,2,4.7
2017,NUTS,2010,CZ06,2,4.5
2018,NUTS,2010,CZ06,2,4.7
2019,NUTS,2010,CZ06,2,5.1
2020,NUTS,2010,CZ06,2,5.3
2011,NUTS,2010,CZ07,2,2.1
2012,NUTS,2010,CZ07,2,2.2
2013,NUTS,2010,CZ07,2,2.3
2014,NUTS,2010,CZ07,2,2.8
2015,NUTS,2010,CZ07,2,3.4
2016,NUTS,2010,CZ07,2,3.2
2017,NUTS,2010,CZ07,2,2.8
2018,NUTS,2010,CZ07,2,3.0
2019,NUTS,2010,CZ07,2,3.1
2020,NUTS,2010,CZ07,2,3.7
2011,NUTS,2010,CZ08,2,2.1
2012,NUTS,2010,CZ08,2,2.3
2013,NUTS,2010,CZ08,2,2.5
2014,NUTS,2010,CZ08,2,2.7
2015,NUTS,2010,CZ08,2,3.0
2016,NUTS,2010,CZ08,2,3.4
2017,NUTS,2010,CZ08,2,4.0
2018,NUTS,2010,CZ08,2,4.0
2019,NUTS,2010,CZ08,2,3.9
2020,NUTS,2010,CZ08,2,4.1
2011,NUTS,2010,DE,0,4.8
2012,NUTS,2010,DE,0,4.6
2013,NUTS,2010,DE,0,4.7
2014,NUTS,2010,DE,0,4.8
2015,NUTS,2010,DE,0,4.9
2016,NUTS,2010,DE,0,5.2
2017,NUTS,2010,DE,0,5.3
2018,NUTS,2010,DE,0,5.3
2019,NUTS,2010,DE,0,5.4
2020,NUTS,2010,DE,0,5.5
2011,NUTS,2010,DE1,1,5.6
2012,NUTS,2010,DE1,1,5.4
2013,NUTS,2010,DE1,1,5.6
2014,NUTS,2010,DE1,1,5.7
2015,NUTS,2010,DE1,1,5.9
2016,NUTS,2010,DE1,1,6.1
2017,NUTS,2010,DE1,1,6.1
2018,NUTS,2010,DE1,1,6.0
2019,NUTS,2010,DE1,1,6.4
2020,NUTS,2010,DE1,1,6.2
2011,NUTS,2010,DE11,2,5.9
2012,NUTS,2010,DE11,2,5.6
2013,NUTS,2010,DE11,2,5.8
2014,NUTS,2010,DE11,2,6.0
2015,NUTS,2010,DE11,2,6.3
2016,NUTS,2010,DE11,2,6.8
2017,NUTS,2010,DE11,2,6.5
2018,NUTS,2010,DE11,2,6.7
2019,NUTS,2010,DE11,2,7.1
2020,NUTS,2010,DE11,2,7.0
2011,NUTS,2010,DE12,2,5.7
2012,NUTS,2010,DE12,2,5.7
2013,NUTS,2010,DE12,2,5.8
2014,NUTS,2010,DE12,2,5.8
2015,NUTS,2010,DE12,2,6.0
2016,NUTS,2010,DE12,2,6.1
2017,NUTS,2010,DE12,2,6.3
2018,NUTS,2010,DE12,2,6.0
2019,NUTS,2010,DE12,2,6.2
2020,NUTS,2010,DE12,2,6.2
2011,NUTS,2010,DE13,2,4.9
2012,NUTS,2010,DE13,2,4.6
2013,NUTS,2010,DE13,2,4.9
2014,NUTS,2010,DE13,2,4.9
2015,NUTS,2010,DE13,2,5.0
2016,NUTS,2010,DE13,2,5.2
2017,NUTS,2010,DE13,2,5.3
2018,NUTS,2010,DE13,2,5.2
2019,NUTS,2010,DE13,2,5.4
2020,NUTS,2010,DE13,2,5.1
2011,NUTS,2010,DE14,2,5.7
2012,NUTS,2010,DE14,2,5.4
2013,NUTS,2010,DE14,2,5.9
2014,NUTS,2010,DE14,2,5.7
2015,NUTS,2010,DE14,2,5.8
2016,NUTS,2010,DE14,2,5.9
2017,NUTS,2010,DE14,2,5.9
2018,NUTS,2010,DE14,2,5.4
2019,NUTS,2010,DE14,2,6.1
2020,NUTS,2010,DE14,2,6.0
2011,NUTS,2010,DE2,1,5.6
2012,NUTS,2010,DE2,1,5.5
2013,NUTS,2010,DE2,1,5.5
2014,NUTS,2010,DE2,1,5.7
2015,NUTS,2010,DE2,1,5.8
2016,NUTS,2010,DE2,1,6.0
2017,NUTS,2010,DE2,1,6.0
2018,NUTS,2010,DE2,1,6.2
2019,NUTS,2010,DE2,1,6.2
2020,NUTS,2010,DE2,1,6.5
2011,NUTS,2010,DE21,2,7.3
