year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_se_pc_pop
2011,NUTS,2010,AT,0,3.2
2012,NUTS,2010,AT,0,3.5
2013,NUTS,2010,AT,0,3.8
2014,NUTS,2010,AT,0,3.7
2015,NUTS,2010,AT,0,4.0
2016,NUTS,2010,AT,0,4.1
2017,NUTS,2010,AT,0,4.3
2018,NUTS,2010,AT,0,6.1
2019,NUTS,2010,AT,0,6.0
2020,NUTS,2010,AT,0,6.1
2011,NUTS,2010,AT1,1,3.7
2012,NUTS,2010,AT1,1,4.0
2013,NUTS,2010,AT1,1,4.4
2014,NUTS,2010,AT1,1,4.2
2015,NUTS,2010,AT1,1,4.5
2016,NUTS,2010,AT1,1,4.7
2017,NUTS,2010,AT1,1,4.9
2018,NUTS,2010,AT1,1,6.3
2019,NUTS,2010,AT1,1,6.2
2020,NUTS,2010,AT1,1,6.3
2011,NUTS,2010,AT11,2,2.4
2012,NUTS,2010,AT11,2,2.7
2013,NUTS,2010,AT11,2,3.0
2014,NUTS,2010,AT11,2,2.8
2015,NUTS,2010,AT11,2,2.9
2016,NUTS,2010,AT11,2,2.8
2017,NUTS,2010,AT11,2,2.6
2018,NUTS,2010,AT11,2,4.3
2019,NUTS,2010,AT11,2,4.4
2020,NUTS,2010,AT11,2,4.9
2011,NUTS,2010,AT12,2,2.9
2012,NUTS,2010,AT12,2,3.3
2013,NUTS,2010,AT12,2,3.3
2014,NUTS,2010,AT12,2,3.6
2015,NUTS,2010,AT12,2,3.9
2016,NUTS,2010,AT12,2,3.6
2017,NUTS,2010,AT12,2,4.2
2018,NUTS,2010,AT12,2,5.5
2019,NUTS,2010,AT12,2,5.4
2020,NUTS,2010,AT12,2,5.7
2011,NUTS,2010,AT13,2,4.6
2012,NUTS,2010,AT13,2,4.8
2013,NUTS,2010,AT13,2,5.6
2014,NUTS,2010,AT13,2,5.0
2015,NUTS,2010,AT13,2,5.3
2016,NUTS,2010,AT13,2,6.0
2017,NUTS,2010,AT13,2,5.9
2018,NUTS,2010,AT13,2,7.3
2019,NUTS,2010,AT13,2,7.3
2020,NUTS,2010,AT13,2,7.1
2011,NUTS,2010,AT2,1,2.9
2012,NUTS,2010,AT2,1,3.2
2013,NUTS,2010,AT2,1,3.4
2014,NUTS,2010,AT2,1,3.3
2015,NUTS,2010,AT2,1,3.5
2016,NUTS,2010,AT2,1,3.7
2017,NUTS,2010,AT2,1,3.9
2018,NUTS,2010,AT2,1,6.2
2019,NUTS,2010,AT2,1,5.8
2020,NUTS,2010,AT2,1,6.2
2011,NUTS,2010,AT21,2,2.4
2012,NUTS,2010,AT21,2,2.8
2013,NUTS,2010,AT21,2,2.8
2014,NUTS,2010,AT21,2,3.0
2015,NUTS,2010,AT21,2,2.7
2016,NUTS,2010,AT21,2,3.1
2017,NUTS,2010,AT21,2,3.6
2018,NUTS,2010,AT21,2,5.5
2019,NUTS,2010,AT21,2,5.0
2020,NUTS,2010,AT21,2,5.6
2011,NUTS,2010,AT22,2,3.2
2012,NUTS,2010,AT22,2,3.3
2013,NUTS,2010,AT22,2,3.6
2014,NUTS,2010,AT22,2,3.4
2015,NUTS,2010,AT22,2,3.8
2016,NUTS,2010,AT22,2,4.1
2017,NUTS,2010,AT22,2,4.1
2018,NUTS,2010,AT22,2,6.6
2019,NUTS,2010,AT22,2,6.1
2020,NUTS,2010,AT22,2,6.4
2011,NUTS,2010,AT3,1,2.9
2012,NUTS,2010,AT3,1,3.1
2013,NUTS,2010,AT3,1,3.4
2014,NUTS,2010,AT3,1,3.4
2015,NUTS,2010,AT3,1,3.7
2016,NUTS,2010,AT3,1,3.6
2017,NUTS,2010,AT3,1,3.7
2018,NUTS,2010,AT3,1,5.6
2019,NUTS,2010,AT3,1,5.9
2020,NUTS,2010,AT3,1,5.8
2011,NUTS,2010,AT31,2,2.7
2012,NUTS,2010,AT31,2,2.8
2013,NUTS,2010,AT31,2,3.5
2014,NUTS,2010,AT31,2,3.3
2015,NUTS,2010,AT31,2,3.7
2016,NUTS,2010,AT31,2,3.3
2017,NUTS,2010,AT31,2,3.7
2018,NUTS,2010,AT31,2,5.9
2019,NUTS,2010,AT31,2,5.9
2020,NUTS,2010,AT31,2,5.6
2011,NUTS,2010,AT32,2,2.9
2012,NUTS,2010,AT32,2,3.4
2013,NUTS,2010,AT32,2,3.2
2014,NUTS,2010,AT32,2,3.4
2015,NUTS,2010,AT32,2,3.9
2016,NUTS,2010,AT32,2,3.9
2017,NUTS,2010,AT32,2,3.9
2018,NUTS,2010,AT32,2,5.4
2019,NUTS,2010,AT32,2,5.7
2020,NUTS,2010,AT32,2,5.2
2011,NUTS,2010,AT33,2,3.5
2012,NUTS,2010,AT33,2,3.6
2013,NUTS,2010,AT33,2,3.3
2014,NUTS,2010,AT33,2,3.4
2015,NUTS,2010,AT33,2,3.4
2016,NUTS,2010,AT33,2,3.6
2017,NUTS,2010,AT33,2,3.4
2018,NUTS,2010,AT33,2,5.3
2019,NUTS,2010,AT33,2,6.1
2020,NUTS,2010,AT33,2,6.3
2011,NUTS,2010,AT34,2,2.6
2012,NUTS,2010,AT34,2,3.3
2013,NUTS,2010,AT34,2,3.6
2014,NUTS,2010,AT34,2,3.6
2015,NUTS,2010,AT34,2,3.7
2016,NUTS,2010,AT34,2,3.9
2017,NUTS,2010,AT34,2,4.0
2018,NUTS,2010,AT34,2,5.6
2019,NUTS,2010,AT34,2,5.6
2020,NUTS,2010,AT34,2,6.1
2011,NUTS,2010,BE,0,4.1
2012,NUTS,2010,BE,0,4.5
2013,NUTS,2010,BE,0,4.6
2014,NUTS,2010,BE,0,4.8
2015,NUTS,2010,BE,0,5.0
2016,NUTS,2010,BE,0,5.3
2017,NUTS,2010,BE,0,5.8
2018,NUTS,2010,BE,0,5.9
2019,NUTS,2010,BE,0,6.0
2020,NUTS,2010,BE,0,6.2
2011,NUTS,2010,BE1,1,4.7
2012,NUTS,2010,BE1,1,5.0
2013,NUTS,2010,BE1,1,4.7
2014,NUTS,2010,BE1,1,5.0
2015,NUTS,2010,BE1,1,4.9
2016,NUTS,2010,BE1,1,5.2
2017,NUTS,2010,BE1,1,5.6
2018,NUTS,2010,BE1,1,5.6
2019,NUTS,2010,BE1,1,6.0
2020,NUTS,2010,BE1,1,6.2
2011,NUTS,2010,BE10,2,4.7
2012,NUTS,2010,BE10,2,5.0
2013,NUTS,2010,BE10,2,4.7
2014,NUTS,2010,BE10,2,5.0
2015,NUTS,2010,BE10,2,4.9
2016,NUTS,2010,BE10,2,5.2
2017,NUTS,2010,BE10,2,5.6
2018,NUTS,2010,BE10,2,5.6
2019,NUTS,2010,BE10,2,6.0
2020,NUTS,2010,BE10,2,6.2
2011,NUTS,2010,BE2,1,4.3
2012,NUTS,2010,BE2,1,4.6
2013,NUTS,2010,BE2,1,4.8
2014,NUTS,2010,BE2,1,5.1
2015,NUTS,2010,BE2,1,5.4
2016,NUTS,2010,BE2,1,5.5
2017,NUTS,2010,BE2,1,6.2
2018,NUTS,2010,BE2,1,6.1
2019,NUTS,2010,BE2,1,6.1
2020,NUTS,2010,BE2,1,6.4
2011,NUTS,2010,BE21,2,4.4
2012,NUTS,2010,BE21,2,4.7
2013,NUTS,2010,BE21,2,5.1
2014,NUTS,2010,BE21,2,5.7
2015,NUTS,2010,BE21,2,5.4
2016,NUTS,2010,BE21,2,5.5
2017,NUTS,2010,BE21,2,6.3
2018,NUTS,2010,BE21,2,6.4
2019,NUTS,2010,BE21,2,6.1
2020,NUTS,2010,BE21,2,5.8
2011,NUTS,2010,BE22,2,4.1
2012,NUTS,2010,BE22,2,4.6
2013,NUTS,2010,BE22,2,4.9
2014,NUTS,2010,BE22,2,4.9
2015,NUTS,2010,BE22,2,5.2
2016,NUTS,2010,BE22,2,5.6
2017,NUTS,2010,BE22,2,6.0
2018,NUTS,2010,BE22,2,5.3
2019,NUTS,2010,BE22,2,5.9
2020,NUTS,2010,BE22,2,7.1
2011,NUTS,2010,BE23,2,4.3
2012,NUTS,2010,BE23,2,4.4
2013,NUTS,2010,BE23,2,4.7
2014,NUTS,2010,BE23,2,5.0
2015,NUTS,2010,BE23,2,5.9
2016,NUTS,2010,BE23,2,5.7
2017,NUTS,2010,BE23,2,6.6
2018,NUTS,2010,BE23,2,6.3
2019,NUTS,2010,BE23,2,6.4
2020,NUTS,2010,BE23,2,6.9
2011,NUTS,2010,BE24,2,5.0
2012,NUTS,2010,BE24,2,5.6
2013,NUTS,2010,BE24,2,5.3
2014,NUTS,2010,BE24,2,5.7
2015,NUTS,2010,BE24,2,6.1
2016,NUTS,2010,BE24,2,6.0
2017,NUTS,2010,BE24,2,6.8
2018,NUTS,2010,BE24,2,6.8
2019,NUTS,2010,BE24,2,7.1
2020,NUTS,2010,BE24,2,7.5
2011,NUTS,2010,BE25,2,3.6
2012,NUTS,2010,BE25,2,3.4
2013,NUTS,2010,BE25,2,4.1
2014,NUTS,2010,BE25,2,3.7
2015,NUTS,2010,BE25,2,4.3
2016,NUTS,2010,BE25,2,4.9
2017,NUTS,2010,BE25,2,5.3
2018,NUTS,2010,BE25,2,5.1
2019,NUTS,2010,BE25,2,5.1
2020,NUTS,2010,BE25,2,5.4
2011,NUTS,2010,BE3,1,3.7
2012,NUTS,2010,BE3,1,4.1
2013,NUTS,2010,BE3,1,4.3
2014,NUTS,2010,BE3,1,4.3
2015,NUTS,2010,BE3,1,4.3
2016,NUTS,2010,BE3,1,5.1
2017,NUTS,2010,BE3,1,5.2
2018,NUTS,2010,BE3,1,5.7
2019,NUTS,2010,BE3,1,5.9
2020,NUTS,2010,BE3,1,5.7
2011,NUTS,2010,BE31,2,5.6
2012,NUTS,2010,BE31,2,6.8
2013,NUTS,2010,BE31,2,7.4
2014,NUTS,2010,BE31,2,6.4
2015,NUTS,2010,BE31,2,7.3
2016,NUTS,2010,BE31,2,7.6
2017,NUTS,2010,BE31,2,8.3
2018,NUTS,2010,BE31,2,8.1
2019,NUTS,2010,BE31,2,8.9
2020,NUTS,2010,BE31,2,9.3
2011,NUTS,2010,BE32,2,2.9
2012,NUTS,2010,BE32,2,3.0
2013,NUTS,2010,BE32,2,3.1
2014,NUTS,2010,BE32,2,3.0
2015,NUTS,2010,BE32,2,3.0
2016,NUTS,2010,BE32,2,4.1
2017,NUTS,2010,BE32,2,3.6
2018,NUTS,2010,BE32,2,4.2
2019,NUTS,2010,BE32,2,4.5
2020,NUTS,2010,BE32,2,3.9
2011,NUTS,2010,BE33,2,3.9
2012,NUTS,2010,BE33,2,4.5
2013,NUTS,2010,BE33,2,4.5
2014,NUTS,2010,BE33,2,5.1
2015,NUTS,2010,BE33,2,4.8
2016,NUTS,2010,BE33,2,5.6
2017,NUTS,2010,BE33,2,5.8
2018,NUTS,2010,BE33,2,6.3
2019,NUTS,2010,BE33,2,6.5
2020,NUTS,2010,BE33,2,6.3
2011,NUTS,2010,BE34,2,4.3
2012,NUTS,2010,BE34,2,4.6
2013,NUTS,2010,BE34,2,5.1
2014,NUTS,2010,BE34,2,4.6
2015,NUTS,2010,BE34,2,5.2
2016,NUTS,2010,BE34,2,5.1
2017,NUTS,2010,BE34,2,6.3
2018,NUTS,2010,BE34,2,5.5
2019,NUTS,2010,BE34,2,5.4
2020,NUTS,2010,BE34,2,5.7
2011,NUTS,2010,BE35,2,3.7
2012,NUTS,2010,BE35,2,4.0
2013,NUTS,2010,BE35,2,4.0
2014,NUTS,2010,BE35,2,3.9
2015,NUTS,2010,BE35,2,3.8
2016,NUTS,2010,BE35,2,4.7
2017,NUTS,2010,BE35,2,5.1
2018,NUTS,2010,BE35,2,6.3
2019,NUTS,2010,BE35,2,5.9
2020,NUTS,2010,BE35,2,6.3
2011,NUTS,2010,BG,0,2.8
2012,NUTS,2010,BG,0,2.8
2013,NUTS,2010,BG,0,3.0
2014,NUTS,2010,BG,0,3.4
2015,NUTS,2010,BG,0,3.5
2016,NUTS,2010,BG,0,3.5
2017,NUTS,2010,BG,0,3.6
2018,NUTS,2010,BG,0,3.9
2019,NUTS,2010,BG,0,3.9
2020,NUTS,2010,BG,0,4.1
2011,NUTS,2010,BG3,1,2.1
2012,NUTS,2010,BG3,1,2.1
2013,NUTS,2010,BG3,1,2.1
2014,NUTS,2010,BG3,1,2.5
2015,NUTS,2010,BG3,1,2.6
2016,NUTS,2010,BG3,1,2.5
2017,NUTS,2010,BG3,1,2.6
2018,NUTS,2010,BG3,1,2.8
2019,NUTS,2010,BG3,1,2.8
2020,NUTS,2010,BG3,1,2.7
2011,NUTS,2010,BG31,2,2.0
2012,NUTS,2010,BG31,2,2.0
2013,NUTS,2010,BG31,2,2.0
2014,NUTS,2010,BG31,2,2.5
