year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_pc_emp_hc_t
2011,NUTS,2010,CZ04,2,0.2316
2012,NUTS,2010,CZ04,2,0.2952
2013,NUTS,2010,CZ04,2,0.2798
2014,NUTS,2010,CZ04,2,0.3483
2015,NUTS,2010,CZ04,2,0.2943
2016,NUTS,2010,CZ04,2,0.2637
2017,NUTS,2010,CZ04,2,0.2997
2018,NUTS,2010,CZ04,2,0.316
2019,NUTS,2010,CZ04,2,0.3436
2020,NUTS,2010,CZ04,2,0.3388
2011,NUTS,2010,CZ05,2,0.8359
2012,NUTS,2010,CZ05,2,0.9213
2013,NUTS,2010,CZ05,2,0.9895
2014,NUTS,2010,CZ05,2,0.986
2015,NUTS,2010,CZ05,2,0.9757
2016,NUTS,2010,CZ05,2,0.9823
2017,NUTS,2010,CZ05,2,1.0014
2018,NUTS,2010,CZ05,2,1.0229
2019,NUTS,2010,CZ05,2,1.0509
2020,NUTS,2010,CZ05,2,1.0294
2011,NUTS,2010,CZ06,2,0.8516
2012,NUTS,2010,CZ06,2,0.9491
2013,NUTS,2010,CZ06,2,1.0305
2014,NUTS,2010,CZ06,2,1.233
2015,NUTS,2010,CZ06,2,1.3364
2016,NUTS,2010,CZ06,2,1.4084
2017,NUTS,2010,CZ06,2,1.4116
2018,NUTS,2010,CZ06,2,1.4881
2019,NUTS,2010,CZ06,2,1.4782
2020,NUTS,2010,CZ06,2,1.5465
2011,NUTS,2010,CZ07,2,0.7277
2012,NUTS,2010,CZ07,2,0.7662
2013,NUTS,2010,CZ07,2,0.8394
2014,NUTS,2010,CZ07,2,0.8826
2015,NUTS,2010,CZ07,2,0.8671
2016,NUTS,2010,CZ07,2,0.9014
2017,NUTS,2010,CZ07,2,1.0288
2018,NUTS,2010,CZ07,2,1.0477
2019,NUTS,2010,CZ07,2,1.1433
2020,NUTS,2010,CZ07,2,1.1121
2011,NUTS,2010,CZ08,2,0.6023
2012,NUTS,2010,CZ08,2,0.5974
2013,NUTS,2010,CZ08,2,0.6331
2014,NUTS,2010,CZ08,2,0.7411
2015,NUTS,2010,CZ08,2,0.7448
2016,NUTS,2010,CZ08,2,0.7062
2017,NUTS,2010,CZ08,2,0.8485
2018,NUTS,2010,CZ08,2,0.7731
2019,NUTS,2010,CZ08,2,0.7365
2020,NUTS,2010,CZ08,2,0.7505
2011,NUTS,2010,DE,0,1.0939
2013,NUTS,2010,DE,0,1.0714
2015,NUTS,2010,DE,0,1.1668
2017,NUTS,2010,DE,0,1.2307
2019,NUTS,2010,DE,0,1.3262
2011,NUTS,2010,DE1,1,2.0235
2013,NUTS,2010,DE1,1,2.0266
2015,NUTS,2010,DE1,1,2.1746
2017,NUTS,2010,DE1,1,2.4475
2019,NUTS,2010,DE1,1,2.6065
2011,NUTS,2010,DE11,2,2.9493
2013,NUTS,2010,DE11,2,3.0527
2015,NUTS,2010,DE11,2,3.2679
2017,NUTS,2010,DE11,2,3.746
2019,NUTS,2010,DE11,2,3.9145
2011,NUTS,2010,DE12,2,1.5811
2013,NUTS,2010,DE12,2,1.4757
2015,NUTS,2010,DE12,2,1.6377
2017,NUTS,2010,DE12,2,1.9061
2019,NUTS,2010,DE12,2,2.0019
2011,NUTS,2010,DE13,2,0.9807
2013,NUTS,2010,DE13,2,0.9374
2015,NUTS,2010,DE13,2,0.9874
2017,NUTS,2010,DE13,2,1.0665
2019,NUTS,2010,DE13,2,1.1997
2011,NUTS,2010,DE14,2,1.9551
2013,NUTS,2010,DE14,2,1.9491
2015,NUTS,2010,DE14,2,1.9819
2017,NUTS,2010,DE14,2,2.0242
2019,NUTS,2010,DE14,2,2.2644
2011,NUTS,2010,DE2,1,1.3776
2013,NUTS,2010,DE2,1,1.3268
2015,NUTS,2010,DE2,1,1.4713
2017,NUTS,2010,DE2,1,1.497
2019,NUTS,2010,DE2,1,1.6981
2011,NUTS,2010,DE21,2,2.3185
2013,NUTS,2010,DE21,2,2.1479
2015,NUTS,2010,DE21,2,2.3664
2017,NUTS,2010,DE21,2,2.2751
2019,NUTS,2010,DE21,2,2.5699
2011,NUTS,2010,DE22,2,0.4717
2013,NUTS,2010,DE22,2,0.5198
2015,NUTS,2010,DE22,2,0.5467
2017,NUTS,2010,DE22,2,0.7074
2019,NUTS,2010,DE22,2,0.862
2011,NUTS,2010,DE23,2,0.825
2013,NUTS,2010,DE23,2,0.7058
2015,NUTS,2010,DE23,2,0.8065
2017,NUTS,2010,DE23,2,1.013
2019,NUTS,2010,DE23,2,1.2217
2011,NUTS,2010,DE24,2,0.6892
2013,NUTS,2010,DE24,2,0.6809
2015,NUTS,2010,DE24,2,0.7695
2017,NUTS,2010,DE24,2,0.8118
2019,NUTS,2010,DE24,2,1.167
2011,NUTS,2010,DE25,2,1.372
2013,NUTS,2010,DE25,2,1.3635
2015,NUTS,2010,DE25,2,1.4087
2017,NUTS,2010,DE25,2,1.3071
2019,NUTS,2010,DE25,2,1.539
2011,NUTS,2010,DE26,2,0.9667
2013,NUTS,2010,DE26,2,0.9976
2015,NUTS,2010,DE26,2,1.0364
2017,NUTS,2010,DE26,2,1.4148
2019,NUTS,2010,DE26,2,1.4517
2011,NUTS,2010,DE27,2,0.677
2013,NUTS,2010,DE27,2,0.724
2015,NUTS,2010,DE27,2,0.9652
2017,NUTS,2010,DE27,2,0.9227
2019,NUTS,2010,DE27,2,0.914
2011,NUTS,2010,DE3,1,0.8843
2013,NUTS,2010,DE3,1,0.8429
2015,NUTS,2010,DE3,1,0.9214
2017,NUTS,2010,DE3,1,0.8674
2019,NUTS,2010,DE3,1,0.9076
2011,NUTS,2010,DE30,2,0.8843
2013,NUTS,2010,DE30,2,0.8429
2015,NUTS,2010,DE30,2,0.9214
2017,NUTS,2010,DE30,2,0.8674
2019,NUTS,2010,DE30,2,0.9076
2011,NUTS,2010,DE4,1,0.4079
2013,NUTS,2010,DE4,1,0.392
2015,NUTS,2010,DE4,1,0.43
2017,NUTS,2010,DE4,1,0.4657
2019,NUTS,2010,DE4,1,0.4467
2011,NUTS,2010,DE40,2,0.4079
2013,NUTS,2010,DE40,2,0.392
2015,NUTS,2010,DE40,2,0.43
2017,NUTS,2010,DE40,2,0.4657
2019,NUTS,2010,DE40,2,0.4467
2011,NUTS,2010,DE5,1,1.2667
2013,NUTS,2010,DE5,1,0.8462
2015,NUTS,2010,DE5,1,0.9694
2017,NUTS,2010,DE5,1,0.9054
2019,NUTS,2010,DE5,1,1.0252
2011,NUTS,2010,DE50,2,1.2667
2013,NUTS,2010,DE50,2,0.8462
2015,NUTS,2010,DE50,2,0.9694
2017,NUTS,2010,DE50,2,0.9054
2019,NUTS,2010,DE50,2,1.0252
2011,NUTS,2010,DE6,1,0.9525
2013,NUTS,2010,DE6,1,0.9424
2015,NUTS,2010,DE6,1,1.0437
2017,NUTS,2010,DE6,1,1.1722
2019,NUTS,2010,DE6,1,1.1622
2011,NUTS,2010,DE60,2,0.9525
2013,NUTS,2010,DE60,2,0.9424
2015,NUTS,2010,DE60,2,1.0437
2017,NUTS,2010,DE60,2,1.1722
2019,NUTS,2010,DE60,2,1.1622
2011,NUTS,2010,DE7,1,1.3656
2013,NUTS,2010,DE7,1,1.2452
2015,NUTS,2010,DE7,1,1.4093
2017,NUTS,2010,DE7,1,1.4058
2019,NUTS,2010,DE7,1,1.4318
2011,NUTS,2010,DE71,2,1.6861
2013,NUTS,2010,DE71,2,1.4521
2015,NUTS,2010,DE71,2,1.7523
2017,NUTS,2010,DE71,2,1.7142
2019,NUTS,2010,DE71,2,1.7661
2011,NUTS,2010,DE72,2,0.7184
2013,NUTS,2010,DE72,2,0.7676
2015,NUTS,2010,DE72,2,0.775
2017,NUTS,2010,DE72,2,0.8188
2019,NUTS,2010,DE72,2,0.841
2011,NUTS,2010,DE73,2,0.8997
2013,NUTS,2010,DE73,2,0.9828
2015,NUTS,2010,DE73,2,0.8367
2017,NUTS,2010,DE73,2,0.878
2019,NUTS,2010,DE73,2,0.8018
2011,NUTS,2010,DE8,1,0.3944
2013,NUTS,2010,DE8,1,0.3208
2015,NUTS,2010,DE8,1,0.31
2017,NUTS,2010,DE8,1,0.3363
2019,NUTS,2010,DE8,1,0.3684
2011,NUTS,2010,DE80,2,0.3944
2013,NUTS,2010,DE80,2,0.3208
2015,NUTS,2010,DE80,2,0.31
2017,NUTS,2010,DE80,2,0.3363
2019,NUTS,2010,DE80,2,0.3684
2011,NUTS,2010,DE9,1,0.8167
2013,NUTS,2010,DE9,1,0.8407
2015,NUTS,2010,DE9,1,0.904
2017,NUTS,2010,DE9,1,0.9284
2019,NUTS,2010,DE9,1,1.0005
2011,NUTS,2010,DE91,2,2.0899
2013,NUTS,2010,DE91,2,2.2685
2015,NUTS,2010,DE91,2,2.4938
2017,NUTS,2010,DE91,2,2.6056
2019,NUTS,2010,DE91,2,2.7212
2011,NUTS,2010,DE92,2,0.8731
2013,NUTS,2010,DE92,2,0.8159
2015,NUTS,2010,DE92,2,0.8681
2017,NUTS,2010,DE92,2,0.7959
2019,NUTS,2010,DE92,2,0.8511
2011,NUTS,2010,DE93,2,0.3433
2013,NUTS,2010,DE93,2,0.3513
2015,NUTS,2010,DE93,2,0.3272
2017,NUTS,2010,DE93,2,0.3624
2019,NUTS,2010,DE93,2,0.386
2011,NUTS,2010,DE94,2,0.2879
2013,NUTS,2010,DE94,2,0.3227
2015,NUTS,2010,DE94,2,0.3486
2017,NUTS,2010,DE94,2,0.4115
2019,NUTS,2010,DE94,2,0.4933
2011,NUTS,2010,DEA,1,0.7874
2013,NUTS,2010,DEA,1,0.7484
2015,NUTS,2010,DEA,1,0.7856
2017,NUTS,2010,DEA,1,0.8079
2019,NUTS,2010,DEA,1,0.8333
2011,NUTS,2010,DEA1,2,0.8297
2013,NUTS,2010,DEA1,2,0.7161
2015,NUTS,2010,DEA1,2,0.7967
2017,NUTS,2010,DEA1,2,0.8106
2019,NUTS,2010,DEA1,2,0.8374
2011,NUTS,2010,DEA2,2,0.9718
2013,NUTS,2010,DEA2,2,0.8434
2015,NUTS,2010,DEA2,2,0.9206
2017,NUTS,2010,DEA2,2,0.9573
2019,NUTS,2010,DEA2,2,0.9738
2011,NUTS,2010,DEA3,2,0.3332
2013,NUTS,2010,DEA3,2,0.3607
2015,NUTS,2010,DEA3,2,0.3588
2017,NUTS,2010,DEA3,2,0.3664
2019,NUTS,2010,DEA3,2,0.4253
2011,NUTS,2010,DEA4,2,1.0508
2013,NUTS,2010,DEA4,2,1.1048
2015,NUTS,2010,DEA4,2,1.0921
2017,NUTS,2010,DEA4,2,1.1498
2019,NUTS,2010,DEA4,2,1.1779
2011,NUTS,2010,DEA5,2,0.6804
2013,NUTS,2010,DEA5,2,0.7537
2015,NUTS,2010,DEA5,2,0.7383
2017,NUTS,2010,DEA5,2,0.7369
2019,NUTS,2010,DEA5,2,0.7568
2011,NUTS,2010,DEB,1,0.7664
2013,NUTS,2010,DEB,1,0.7882
2015,NUTS,2010,DEB,1,0.886
2017,NUTS,2010,DEB,1,0.8414
2019,NUTS,2010,DEB,1,0.9777
2011,NUTS,2010,DEB1,2,0.3898
2013,NUTS,2010,DEB1,2,0.3993
2015,NUTS,2010,DEB1,2,0.3739
2017,NUTS,2010,DEB1,2,0.4127
2019,NUTS,2010,DEB1,2,0.5403
2011,NUTS,2010,DEB2,2,0.3451
2013,NUTS,2010,DEB2,2,0.31
2015,NUTS,2010,DEB2,2,0.2855
2017,NUTS,2010,DEB2,2,0.2707
2019,NUTS,2010,DEB2,2,0.279
2011,NUTS,2010,DEB3,2,1.1609
2013,NUTS,2010,DEB3,2,1.2013
2015,NUTS,2010,DEB3,2,1.432
2017,NUTS,2010,DEB3,2,1.3156
2019,NUTS,2010,DEB3,2,1.4934
2011,NUTS,2010,DEC,1,0.4525
2013,NUTS,2010,DEC,1,0.4645
2015,NUTS,2010,DEC,1,0.4971
2017,NUTS,2010,DEC,1,0.6552
2019,NUTS,2010,DEC,1,0.7002
2011,NUTS,2010,DEC0,2,0.4525
2013,NUTS,2010,DEC0,2,0.4645
2015,NUTS,2010,DEC0,2,0.4971
2017,NUTS,2010,DEC0,2,0.6552
2019,NUTS,2010,DEC0,2,0.7002
2011,NUTS,2010,DED,1,0.8035
2013,NUTS,2010,DED,1,0.7449
2015,NUTS,2010,DED,1,0.7992
2017,NUTS,2010,DED,1,0.8527
2019,NUTS,2010,DED,1,0.9075
2011,NUTS,2010,DED2,2,1.0954
2013,NUTS,2010,DED2,2,1.0001
2015,NUTS,2010,DED2,2,1.0915
2017,NUTS,2010,DED2,2,1.182
2019,NUTS,2010,DED2,2,1.2152
2011,NUTS,2010,DED4,2,0.7824
2013,NUTS,2010,DED4,2,0.7832
2015,NUTS,2010,DED4,2,0.8125
2017,NUTS,2010,DED4,2,0.8504
2019,NUTS,2010,DED4,2,0.9734
2011,NUTS,2010,DED5,2,0.3597
2013,NUTS,2010,DED5,2,0.2893
2015,NUTS,2010,DED5,2,0.3229
2017,NUTS,2010,DED5,2,0.3507
2019,NUTS,2010,DED5,2,0.3579
2011,NUTS,2010,DEE,1,0.3481
2013,NUTS,2010,DEE,1,0.3608
2015,NUTS,2010,DEE,1,0.3007
2017,NUTS,2010,DEE,1,0.3211
2019,NUTS,2010,DEE,1,0.3506
2011,NUTS,2010,DEE0,2,0.3481
2013,NUTS,2010,DEE0,2,0.3608
2015,NUTS,2010,DEE0,2,0.3007
2017,NUTS,2010,DEE0,2,0.3211
2019,NUTS,2010,DEE0,2,0.3506
2011,NUTS,2010,DEF,1,0.4127
2013,NUTS,2010,DEF,1,0.446
2015,NUTS,2010,DEF,1,0.455
2017,NUTS,2010,DEF,1,0.4835
2019,NUTS,2010,DEF,1,0.4952
2011,NUTS,2010,DEF0,2,0.4127
2013,NUTS,2010,DEF0,2,0.446
2015,NUTS,2010,DEF0,2,0.455
2017,NUTS,2010,DEF0,2,0.4835
2019,NUTS,2010,DEF0,2,0.4952
2011,NUTS,2010,DEG,1,0.6371
2013,NUTS,2010,DEG,1,0.626
2015,NUTS,2010,DEG,1,0.644
2017,NUTS,2010,DEG,1,0.7227
2019,NUTS,2010,DEG,1,0.8083
2011,NUTS,2010,DEG0,2,0.6371
2013,NUTS,2010,DEG0,2,0.626
2015,NUTS,2010,DEG0,2,0.644
2017,NUTS,2010,DEG0,2,0.7227
2019,NUTS,2010,DEG0,2,0.8083
2011,NUTS,2010,DK,0,1.8159
2012,NUTS,2010,DK,0,1.7803
2013,NUTS,2010,DK,0,1.7371
2014,NUTS,2010,DK,0,1.7446
2015,NUTS,2010,DK,0,1.7591
2016,NUTS,2010,DK,0,1.8295
2017,NUTS,2010,DK,0,1.6705
2018,NUTS,2010,DK,0,1.5696
2019,NUTS,2010,DK,0,1.6737
2020,NUTS,2010,DK,0,1.6753
2011,NUTS,2010,DK0,1,1.7295
2012,NUTS,2010,DK0,1,1.7265
2013,NUTS,2010,DK0,1,1.6871
2014,NUTS,2010,DK0,1,1.689
2015,NUTS,2010,DK0,1,1.7032
2016,NUTS,2010,DK0,1,1.7684
2017,NUTS,2010,DK0,1,1.6163
2018,NUTS,2010,DK0,1,1.5179
2019,NUTS,2010,DK0,1,1.6163
2011,NUTS,2010,DK01,2,3.3563
2012,NUTS,2010,DK01,2,3.3166
2013,NUTS,2010,DK01,2,3.1744
2014,NUTS,2010,DK01,2,3.1019
2015,NUTS,2010,DK01,2,3.1405
2016,NUTS,2010,DK01,2,3.1118
2017,NUTS,2010,DK01,2,2.9241
2019,NUTS,2010,DK01,2,2.9989
2011,NUTS,2010,DK02,2,0.5318
2012,NUTS,2010,DK02,2,0.5372
2013,NUTS,2010,DK02,2,0.4906
2014,NUTS,2010,DK02,2,0.4539
2015,NUTS,2010,DK02,2,0.4337
2016,NUTS,2010,DK02,2,0.4729
2017,NUTS,2010,DK02,2,0.6139
2019,NUTS,2010,DK02,2,0.4886
2011,NUTS,2010,DK03,2,1.0484
2012,NUTS,2010,DK03,2,1.0913
2013,NUTS,2010,DK03,2,1.1173
2014,NUTS,2010,DK03,2,1.1708
2015,NUTS,2010,DK03,2,1.1403
2016,NUTS,2010,DK03,2,1.3287
2017,NUTS,2010,DK03,2,0.9968
2019,NUTS,2010,DK03,2,0.9422
2011,NUTS,2010,DK04,2,1.3176
2012,NUTS,2010,DK04,2,1.3164
2013,NUTS,2010,DK04,2,1.3205
2014,NUTS,2010,DK04,2,1.3878
2015,NUTS,2010,DK04,2,1.3814
2016,NUTS,2010,DK04,2,1.3571
2017,NUTS,2010,DK04,2,1.2388
2019,NUTS,2010,DK04,2,1.331
2011,NUTS,2010,DK05,2,0.5743
2012,NUTS,2010,DK05,2,0.537
2013,NUTS,2010,DK05,2,0.5279
2014,NUTS,2010,DK05,2,0.5271
2015,NUTS,2010,DK05,2,0.5668
