year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_pc_emp_hc_t
2011,NUTS,2010,AT,0,1.4727
2013,NUTS,2010,AT,0,1.6208
2015,NUTS,2010,AT,0,1.7455
2017,NUTS,2010,AT,0,1.7043
2019,NUTS,2010,AT,0,1.8522
2011,NUTS,2010,AT1,1,1.3247
2013,NUTS,2010,AT1,1,1.3723
2015,NUTS,2010,AT1,1,1.4386
2017,NUTS,2010,AT1,1,1.3034
2019,NUTS,2010,AT1,1,1.4579
2011,NUTS,2010,AT11,2,0.6318
2013,NUTS,2010,AT11,2,0.7254
2015,NUTS,2010,AT11,2,0.7793
2017,NUTS,2010,AT11,2,0.8066
2019,NUTS,2010,AT11,2,0.8278
2011,NUTS,2010,AT12,2,0.8641
2013,NUTS,2010,AT12,2,0.9358
2015,NUTS,2010,AT12,2,1.0113
2017,NUTS,2010,AT12,2,0.9811
2019,NUTS,2010,AT12,2,1.0853
2011,NUTS,2010,AT13,2,1.9101
2013,NUTS,2010,AT13,2,1.9103
2015,NUTS,2010,AT13,2,1.9707
2017,NUTS,2010,AT13,2,1.697
2019,NUTS,2010,AT13,2,1.9064
2011,NUTS,2010,AT2,1,1.8276
2013,NUTS,2010,AT2,1,2.1393
2015,NUTS,2010,AT2,1,2.3433
2017,NUTS,2010,AT2,1,2.2857
2019,NUTS,2010,AT2,1,2.5048
2011,NUTS,2010,AT21,2,1.2452
2013,NUTS,2010,AT21,2,1.3146
2015,NUTS,2010,AT21,2,1.4556
2017,NUTS,2010,AT21,2,1.3976
2019,NUTS,2010,AT21,2,1.5976
2011,NUTS,2010,AT22,2,2.0837
2013,NUTS,2010,AT22,2,2.5026
2015,NUTS,2010,AT22,2,2.7306
2017,NUTS,2010,AT22,2,2.6713
2019,NUTS,2010,AT22,2,2.8956
2011,NUTS,2010,AT3,1,1.3726
2013,NUTS,2010,AT3,1,1.5355
2015,NUTS,2010,AT3,1,1.6755
2017,NUTS,2010,AT3,1,1.7633
2019,NUTS,2010,AT3,1,1.8588
2011,NUTS,2010,AT31,2,1.7073
2013,NUTS,2010,AT31,2,1.9668
2015,NUTS,2010,AT31,2,2.1666
2017,NUTS,2010,AT31,2,2.1978
2019,NUTS,2010,AT31,2,2.3633
2011,NUTS,2010,AT32,2,0.9106
2013,NUTS,2010,AT32,2,0.9901
2015,NUTS,2010,AT32,2,1.0534
2017,NUTS,2010,AT32,2,1.2285
2019,NUTS,2010,AT32,2,1.3646
2011,NUTS,2010,AT33,2,1.0923
2013,NUTS,2010,AT33,2,1.1801
2015,NUTS,2010,AT33,2,1.2231
2017,NUTS,2010,AT33,2,1.3176
2019,NUTS,2010,AT33,2,1.3569
2011,NUTS,2010,AT34,2,1.2962
2013,NUTS,2010,AT34,2,1.3789
2015,NUTS,2010,AT34,2,1.5677
2017,NUTS,2010,AT34,2,1.7469
2019,NUTS,2010,AT34,2,1.6348
2011,NUTS,2010,BE,0,1.0301
2013,NUTS,2010,BE,0,1.1258
2015,NUTS,2010,BE,0,1.3564
2017,NUTS,2010,BE,0,1.6195
2019,NUTS,2010,BE,0,1.8144
2011,NUTS,2010,BE1,1,1.1666
2013,NUTS,2010,BE1,1,1.5296
2015,NUTS,2010,BE1,1,1.9386
2017,NUTS,2010,BE1,1,2.3731
2019,NUTS,2010,BE1,1,2.7819
2011,NUTS,2010,BE10,2,1.1666
2013,NUTS,2010,BE10,2,1.5296
2015,NUTS,2010,BE10,2,1.9386
2017,NUTS,2010,BE10,2,2.3731
2019,NUTS,2010,BE10,2,2.7819
2011,NUTS,2010,BE2,1,1.0294
2013,NUTS,2010,BE2,1,1.1628
2015,NUTS,2010,BE2,1,1.3775
2017,NUTS,2010,BE2,1,1.6334
2019,NUTS,2010,BE2,1,1.9617
2011,NUTS,2010,BE3,1,0.959
2013,NUTS,2010,BE3,1,0.8875
2015,NUTS,2010,BE3,1,1.0681
2017,NUTS,2010,BE3,1,1.2777
2019,NUTS,2010,BE3,1,1.0946
2011,NUTS,2010,BG,0,0.1029
2012,NUTS,2010,BG,0,0.1238
2013,NUTS,2010,BG,0,0.1594
2014,NUTS,2010,BG,0,0.2211
2015,NUTS,2010,BG,0,0.387
2016,NUTS,2010,BG,0,0.4654
2017,NUTS,2010,BG,0,0.4325
2018,NUTS,2010,BG,0,0.5265
2019,NUTS,2010,BG,0,0.5341
2011,NUTS,2010,BG3,1,0.0647
2012,NUTS,2010,BG3,1,0.0688
2013,NUTS,2010,BG3,1,0.0844
2014,NUTS,2010,BG3,1,0.1022
2015,NUTS,2010,BG3,1,0.2356
2016,NUTS,2010,BG3,1,0.2433
2017,NUTS,2010,BG3,1,0.2389
2018,NUTS,2010,BG3,1,0.3076
2019,NUTS,2010,BG3,1,0.3045
2015,NUTS,2010,BG31,2,0.2707
2016,NUTS,2010,BG31,2,0.323
2017,NUTS,2010,BG31,2,0.31
2018,NUTS,2010,BG31,2,0.4134
2019,NUTS,2010,BG31,2,0.3581
2012,NUTS,2010,BG32,2,0.0644
2013,NUTS,2010,BG32,2,0.0898
2014,NUTS,2010,BG32,2,0.1248
2015,NUTS,2010,BG32,2,0.244
2016,NUTS,2010,BG32,2,0.2249
2017,NUTS,2010,BG32,2,0.2761
2018,NUTS,2010,BG32,2,0.3324
2019,NUTS,2010,BG32,2,0.3575
2011,NUTS,2010,BG33,2,0.0584
2013,NUTS,2010,BG33,2,0.0811
2015,NUTS,2010,BG33,2,0.1779
2016,NUTS,2010,BG33,2,0.1964
2017,NUTS,2010,BG33,2,0.1753
2018,NUTS,2010,BG33,2,0.2213
2019,NUTS,2010,BG33,2,0.2279
2012,NUTS,2010,BG34,2,0.068
2014,NUTS,2010,BG34,2,0.0992
2015,NUTS,2010,BG34,2,0.2615
2016,NUTS,2010,BG34,2,0.2512
2017,NUTS,2010,BG34,2,0.2259
2018,NUTS,2010,BG34,2,0.3026
2019,NUTS,2010,BG34,2,0.3014
2011,NUTS,2010,BG4,1,0.1324
2012,NUTS,2010,BG4,1,0.1669
2013,NUTS,2010,BG4,1,0.2169
2014,NUTS,2010,BG4,1,0.3128
2015,NUTS,2010,BG4,1,0.4993
2016,NUTS,2010,BG4,1,0.6335
2017,NUTS,2010,BG4,1,0.5711
2018,NUTS,2010,BG4,1,0.6778
2019,NUTS,2010,BG4,1,0.6918
2011,NUTS,2010,BG41,2,0.1644
2012,NUTS,2010,BG41,2,0.2157
2015,NUTS,2010,BG41,2,0.6589
2016,NUTS,2010,BG41,2,0.8273
2017,NUTS,2010,BG41,2,0.7673
2018,NUTS,2010,BG41,2,0.8933
2019,NUTS,2010,BG41,2,0.9184
2011,NUTS,2010,BG42,2,0.0764
2012,NUTS,2010,BG42,2,0.0828
2015,NUTS,2010,BG42,2,0.2325
2016,NUTS,2010,BG42,2,0.3063
2017,NUTS,2010,BG42,2,0.2497
2018,NUTS,2010,BG42,2,0.3141
2019,NUTS,2010,BG42,2,0.3144
2012,NUTS,2010,CH,0,1.2272
2015,NUTS,2010,CH,0,1.3025
2017,NUTS,2010,CH,0,1.1757
2019,NUTS,2010,CH,0,1.2957
2012,NUTS,2010,CH01,2,0.7927
2015,NUTS,2010,CH01,2,1.0416
2017,NUTS,2010,CH01,2,0.8715
2019,NUTS,2010,CH01,2,0.9583
2012,NUTS,2010,CH02,2,0.9395
2015,NUTS,2010,CH02,2,0.9598
2017,NUTS,2010,CH02,2,0.877
2019,NUTS,2010,CH02,2,0.8911
2012,NUTS,2010,CH03,2,2.5887
2015,NUTS,2010,CH03,2,2.6151
2017,NUTS,2010,CH03,2,2.37
2019,NUTS,2010,CH03,2,2.4929
2012,NUTS,2010,CH04,2,1.0369
2015,NUTS,2010,CH04,2,1.0907
2017,NUTS,2010,CH04,2,1.0113
2019,NUTS,2010,CH04,2,1.1351
2012,NUTS,2010,CH05,2,1.0907
2015,NUTS,2010,CH05,2,1.0984
2017,NUTS,2010,CH05,2,0.8075
2019,NUTS,2010,CH05,2,1.3647
2012,NUTS,2010,CH06,2,1.0211
2015,NUTS,2010,CH06,2,1.2369
2017,NUTS,2010,CH06,2,1.2041
2019,NUTS,2010,CH06,2,1.0725
2012,NUTS,2010,CH07,2,0.9681
2015,NUTS,2010,CH07,2,0.4994
2017,NUTS,2010,CH07,2,0.9173
2019,NUTS,2010,CH07,2,0.6924
2011,NUTS,2010,CY,0,0.1389
2012,NUTS,2010,CY,0,0.1285
2013,NUTS,2010,CY,0,0.1339
2014,NUTS,2010,CY,0,0.1273
2015,NUTS,2010,CY,0,0.1226
2016,NUTS,2010,CY,0,0.1701
2017,NUTS,2010,CY,0,0.1905
2018,NUTS,2010,CY,0,0.2633
2019,NUTS,2010,CY,0,0.2732
2011,NUTS,2010,CZ,0,0.7806
2012,NUTS,2010,CZ,0,0.8616
2013,NUTS,2010,CZ,0,0.9132
2014,NUTS,2010,CZ,0,0.987
2015,NUTS,2010,CZ,0,0.9982
2016,NUTS,2010,CZ,0,1.0181
2017,NUTS,2010,CZ,0,1.0843
2018,NUTS,2010,CZ,0,1.1348
2019,NUTS,2010,CZ,0,1.1696
2020,NUTS,2010,CZ,0,1.1931
2011,NUTS,2010,CZ0,1,0.7683
2012,NUTS,2010,CZ0,1,0.8475
2013,NUTS,2010,CZ0,1,0.8964
2014,NUTS,2010,CZ0,1,0.9689
2015,NUTS,2010,CZ0,1,0.9769
2016,NUTS,2010,CZ0,1,0.9938
2017,NUTS,2010,CZ0,1,1.0578
2018,NUTS,2010,CZ0,1,1.1033
2019,NUTS,2010,CZ0,1,1.1361
2020,NUTS,2010,CZ0,1,1.1594
2011,NUTS,2010,CZ01,2,1.3757
2012,NUTS,2010,CZ01,2,1.5779
2013,NUTS,2010,CZ01,2,1.7255
2014,NUTS,2010,CZ01,2,1.7938
2015,NUTS,2010,CZ01,2,1.794
2016,NUTS,2010,CZ01,2,1.8259
2017,NUTS,2010,CZ01,2,1.9354
2018,NUTS,2010,CZ01,2,2.0451
2019,NUTS,2010,CZ01,2,2.1047
2020,NUTS,2010,CZ01,2,2.278
2011,NUTS,2010,CZ02,2,0.8257
2012,NUTS,2010,CZ02,2,0.8157
2013,NUTS,2010,CZ02,2,0.8173
2014,NUTS,2010,CZ02,2,0.8274
2015,NUTS,2010,CZ02,2,0.8209
2016,NUTS,2010,CZ02,2,0.8567
2017,NUTS,2010,CZ02,2,0.9241
2018,NUTS,2010,CZ02,2,0.9876
2019,NUTS,2010,CZ02,2,1.0049
2020,NUTS,2010,CZ02,2,0.9913
2011,NUTS,2010,CZ03,2,0.5105
2012,NUTS,2010,CZ03,2,0.6233
2013,NUTS,2010,CZ03,2,0.5952
2014,NUTS,2010,CZ03,2,0.6601
2015,NUTS,2010,CZ03,2,0.6729
2016,NUTS,2010,CZ03,2,0.6747
2017,NUTS,2010,CZ03,2,0.6948
2018,NUTS,2010,CZ03,2,0.7776
2019,NUTS,2010,CZ03,2,0.851
2020,NUTS,2010,CZ03,2,0.8236
