year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_act_hc_rse_f
2011,NUTS,2010,AT,0,0.9719
2013,NUTS,2010,AT,0,1.0525
2015,NUTS,2010,AT,0,1.1295
2017,NUTS,2010,AT,0,1.2042
2019,NUTS,2010,AT,0,1.3415
2011,NUTS,2010,AT1,1,1.2864
2013,NUTS,2010,AT1,1,1.3641
2015,NUTS,2010,AT1,1,1.4314
2017,NUTS,2010,AT1,1,1.4677
2019,NUTS,2010,AT1,1,1.6574
2011,NUTS,2010,AT11,2,0.163
2013,NUTS,2010,AT11,2,0.1862
2015,NUTS,2010,AT11,2,0.2088
2017,NUTS,2010,AT11,2,0.2224
2019,NUTS,2010,AT11,2,0.2414
2011,NUTS,2010,AT12,2,0.2496
2013,NUTS,2010,AT12,2,0.2987
2015,NUTS,2010,AT12,2,0.3326
2017,NUTS,2010,AT12,2,0.369
2019,NUTS,2010,AT12,2,0.4908
2011,NUTS,2010,AT13,2,2.4441
2013,NUTS,2010,AT13,2,2.5117
2015,NUTS,2010,AT13,2,2.6314
2017,NUTS,2010,AT13,2,2.6559
2019,NUTS,2010,AT13,2,2.9032
2011,NUTS,2010,AT2,1,0.9525
2013,NUTS,2010,AT2,1,0.9949
2015,NUTS,2010,AT2,1,1.1001
2017,NUTS,2010,AT2,1,1.2207
2019,NUTS,2010,AT2,1,1.4164
2011,NUTS,2010,AT21,2,0.438
2013,NUTS,2010,AT21,2,0.4235
2015,NUTS,2010,AT21,2,0.4473
2017,NUTS,2010,AT21,2,0.6402
2019,NUTS,2010,AT21,2,0.7871
2011,NUTS,2010,AT22,2,1.1807
2013,NUTS,2010,AT22,2,1.2533
2015,NUTS,2010,AT22,2,1.3912
2017,NUTS,2010,AT22,2,1.4768
2019,NUTS,2010,AT22,2,1.6906
2011,NUTS,2010,AT3,1,0.5849
2013,NUTS,2010,AT3,1,0.689
2015,NUTS,2010,AT3,1,0.751
2017,NUTS,2010,AT3,1,0.8455
2019,NUTS,2010,AT3,1,0.8939
2011,NUTS,2010,AT31,2,0.38
2013,NUTS,2010,AT31,2,0.4542
2015,NUTS,2010,AT31,2,0.5021
2017,NUTS,2010,AT31,2,0.5477
2019,NUTS,2010,AT31,2,0.6335
2011,NUTS,2010,AT32,2,0.7166
2013,NUTS,2010,AT32,2,0.8601
2015,NUTS,2010,AT32,2,1.0097
2017,NUTS,2010,AT32,2,1.1409
2019,NUTS,2010,AT32,2,1.1823
2011,NUTS,2010,AT33,2,1.1146
2013,NUTS,2010,AT33,2,1.2622
2015,NUTS,2010,AT33,2,1.3216
2017,NUTS,2010,AT33,2,1.5003
2019,NUTS,2010,AT33,2,1.5053
2011,NUTS,2010,AT34,2,0.1443
2013,NUTS,2010,AT34,2,0.1987
2015,NUTS,2010,AT34,2,0.2117
2017,NUTS,2010,AT34,2,0.2647
2019,NUTS,2010,AT34,2,0.2744
2011,NUTS,2010,BE,0,0.9633
2013,NUTS,2010,BE,0,0.99
2015,NUTS,2010,BE,0,1.1011
2017,NUTS,2010,BE,0,1.1988
2019,NUTS,2010,BE,0,1.2667
2011,NUTS,2010,BE1,1,0.5751
2013,NUTS,2010,BE1,1,1.9539
2015,NUTS,2010,BE1,1,2.1427
2017,NUTS,2010,BE1,1,2.2337
2019,NUTS,2010,BE1,1,2.6126
2011,NUTS,2010,BE10,2,0.5751
2013,NUTS,2010,BE10,2,1.9539
2015,NUTS,2010,BE10,2,2.1427
2017,NUTS,2010,BE10,2,2.2337
2019,NUTS,2010,BE10,2,2.6126
2011,NUTS,2010,BE2,1,0.3695
2013,NUTS,2010,BE2,1,0.948
2015,NUTS,2010,BE2,1,1.0351
2017,NUTS,2010,BE2,1,1.0935
2019,NUTS,2010,BE2,1,1.2314
2011,NUTS,2010,BE21,2,0.532
2013,NUTS,2010,BE21,2,0.9194
2015,NUTS,2010,BE21,2,0.9881
2011,NUTS,2010,BE22,2,0.1406
2013,NUTS,2010,BE22,2,0.4211
2015,NUTS,2010,BE22,2,0.4579
2011,NUTS,2010,BE23,2,0.3298
2013,NUTS,2010,BE23,2,1.2016
2015,NUTS,2010,BE23,2,1.3184
2011,NUTS,2010,BE24,2,0.5856
2013,NUTS,2010,BE24,2,1.7315
2015,NUTS,2010,BE24,2,1.9137
2011,NUTS,2010,BE25,2,0.1414
2013,NUTS,2010,BE25,2,0.2601
2015,NUTS,2010,BE25,2,0.2799
2011,NUTS,2010,BE3,1,0.3658
2013,NUTS,2010,BE3,1,0.7316
2015,NUTS,2010,BE3,1,0.8588
2017,NUTS,2010,BE3,1,1.0265
2019,NUTS,2010,BE3,1,0.8359
2011,NUTS,2010,BE31,2,1.7136
2013,NUTS,2010,BE31,2,2.4862
2015,NUTS,2010,BE31,2,2.8176
2011,NUTS,2010,BE32,2,0.2192
2013,NUTS,2010,BE32,2,0.3381
2015,NUTS,2010,BE32,2,0.5599
2011,NUTS,2010,BE33,2,0.1575
2013,NUTS,2010,BE33,2,0.7856
2015,NUTS,2010,BE33,2,0.7645
2011,NUTS,2010,BE34,2,0.1071
2013,NUTS,2010,BE34,2,0.0747
2015,NUTS,2010,BE34,2,0.1087
2011,NUTS,2010,BE35,2,0.1894
2013,NUTS,2010,BE35,2,0.4857
2015,NUTS,2010,BE35,2,0.5605
2011,NUTS,2010,BG,0,0.4729
2012,NUTS,2010,BG,0,0.4807
2013,NUTS,2010,BG,0,0.5161
2014,NUTS,2010,BG,0,0.5717
2015,NUTS,2010,BG,0,0.6069
2016,NUTS,2010,BG,0,0.697
2017,NUTS,2010,BG,0,0.6532
2018,NUTS,2010,BG,0,0.6975
2019,NUTS,2010,BG,0,0.7104
2011,NUTS,2010,BG3,1,0.2273
2012,NUTS,2010,BG3,1,0.2661
2013,NUTS,2010,BG3,1,0.288
2014,NUTS,2010,BG3,1,0.3515
2015,NUTS,2010,BG3,1,0.4023
2016,NUTS,2010,BG3,1,0.3634
