year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_f_pc_emp_fte_total
1998,NUTS,2010,AT,0,0.1965
2002,NUTS,2010,AT,0,0.2283
2004,NUTS,2010,AT,0,0.2783
2006,NUTS,2010,AT,0,0.2982
2007,NUTS,2010,AT,0,0.3206
2009,NUTS,2010,AT,0,0.3509
2011,NUTS,2010,AT,0,0.3677
2013,NUTS,2010,AT,0,0.3789
2015,NUTS,2010,AT,0,0.3972
2017,NUTS,2010,AT,0,0.3894
2019,NUTS,2010,AT,0,0.4191
2000,NUTS,2010,BE,0,0.3862
2001,NUTS,2010,BE,0,0.4078
2002,NUTS,2010,BE,0,0.4036
2003,NUTS,2010,BE,0,0.4146
2004,NUTS,2010,BE,0,0.4306
2005,NUTS,2010,BE,0,0.4302
2006,NUTS,2010,BE,0,0.4541
2007,NUTS,2010,BE,0,0.4597
2008,NUTS,2010,BE,0,0.4836
2009,NUTS,2010,BE,0,0.4998
2010,NUTS,2010,BE,0,0.5109
2011,NUTS,2010,BE,0,0.5169
2012,NUTS,2010,BE,0,0.5137
2013,NUTS,2010,BE,0,0.5223
2014,NUTS,2010,BE,0,0.5295
2015,NUTS,2010,BE,0,0.5926
2016,NUTS,2010,BE,0,0.5633
2017,NUTS,2010,BE,0,0.5634
2018,NUTS,2010,BE,0,0.5509
2019,NUTS,2010,BE,0,0.5521
2000,NUTS,2010,BG,0,0.067
2001,NUTS,2010,BG,0,0.0708
2002,NUTS,2010,BG,0,0.0837
2003,NUTS,2010,BG,0,0.0865
2004,NUTS,2010,BG,0,0.0886
2005,NUTS,2010,BG,0,0.0931
2006,NUTS,2010,BG,0,0.0929
2007,NUTS,2010,BG,0,0.1189
2008,NUTS,2010,BG,0,0.1238
2009,NUTS,2010,BG,0,0.1628
2010,NUTS,2010,BG,0,0.1468
2011,NUTS,2010,BG,0,0.1787
2012,NUTS,2010,BG,0,0.1514
2013,NUTS,2010,BG,0,0.1644
2014,NUTS,2010,BG,0,0.1799
2015,NUTS,2010,BG,0,0.1697
2016,NUTS,2010,BG,0,0.216
2017,NUTS,2010,BG,0,0.1631
2018,NUTS,2010,BG,0,0.1673
2019,NUTS,2010,BG,0,0.1576
1998,NUTS,2010,CY,0,0.0304
1999,NUTS,2010,CY,0,0.0345
2000,NUTS,2010,CY,0,0.0339
2001,NUTS,2010,CY,0,0.0339
2002,NUTS,2010,CY,0,0.049
2003,NUTS,2010,CY,0,0.0618
2004,NUTS,2010,CY,0,0.089
2005,NUTS,2010,CY,0,0.1064
2006,NUTS,2010,CY,0,0.1061
2007,NUTS,2010,CY,0,0.1102
2008,NUTS,2010,CY,0,0.097
2009,NUTS,2010,CY,0,0.1259
2010,NUTS,2010,CY,0,0.1274
2011,NUTS,2010,CY,0,0.1358
2012,NUTS,2010,CY,0,0.132
2013,NUTS,2010,CY,0,0.1429
2014,NUTS,2010,CY,0,0.1349
2015,NUTS,2010,CY,0,0.1345
2016,NUTS,2010,CY,0,0.134
2017,NUTS,2010,CY,0,0.152
2018,NUTS,2010,CY,0,0.1581
2019,NUTS,2010,CY,0,0.1759
2000,NUTS,2010,CZ,0,0.106
2001,NUTS,2010,CZ,0,0.1153
2002,NUTS,2010,CZ,0,0.1123
2003,NUTS,2010,CZ,0,0.1142
2004,NUTS,2010,CZ,0,0.1145
2005,NUTS,2010,CZ,0,0.2117
2006,NUTS,2010,CZ,0,0.2414
2007,NUTS,2010,CZ,0,0.2302
2008,NUTS,2010,CZ,0,0.2386
2009,NUTS,2010,CZ,0,0.2543
2010,NUTS,2010,CZ,0,0.2673
2011,NUTS,2010,CZ,0,0.2763
2012,NUTS,2010,CZ,0,0.3113
2013,NUTS,2010,CZ,0,0.3034
2014,NUTS,2010,CZ,0,0.3083
2015,NUTS,2010,CZ,0,0.313
2016,NUTS,2010,CZ,0,0.2708
2017,NUTS,2010,CZ,0,0.2737
