year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_fte_bes_rse_t
1981,NUTS,2010,AT,0,2886.0
1984,NUTS,2010,AT,0,3354.0
1985,NUTS,2010,AT,0,3359.0
1989,NUTS,2010,AT,0,4010.0
1993,NUTS,2010,AT,0,6995.0
1998,NUTS,2010,AT,0,11716.0
2002,NUTS,2010,AT,0,16001.0
2004,NUTS,2010,AT,0,16508.0
2005,NUTS,2010,AT,0,18155.0
2006,NUTS,2010,AT,0,18471.0
2007,NUTS,2010,AT,0,20058.0
2008,NUTS,2010,AT,0,21852.0
2009,NUTS,2010,AT,0,21599.0
2010,NUTS,2010,AT,0,22799.0
2011,NUTS,2010,AT,0,23138.0
2012,NUTS,2010,AT,0,25180.0
2013,NUTS,2010,AT,0,25752.0
2014,NUTS,2010,AT,0,27361.0
2015,NUTS,2010,AT,0,27872.0
2016,NUTS,2010,AT,0,29615.0
2017,NUTS,2010,AT,0,29948.0
2018,NUTS,2010,AT,0,31598.0
2019,NUTS,2010,AT,0,33868.0
2020,NUTS,2010,AT,0,32588.0
2002,NUTS,2010,AT1,1,8061.0
2004,NUTS,2010,AT1,1,7471.0
2006,NUTS,2010,AT1,1,8095.0
2007,NUTS,2010,AT1,1,8780.0
2009,NUTS,2010,AT1,1,8964.0
2011,NUTS,2010,AT1,1,9322.0
2013,NUTS,2010,AT1,1,9860.0
2015,NUTS,2010,AT1,1,10173.0
2017,NUTS,2010,AT1,1,10162.0
2019,NUTS,2010,AT1,1,10798.0
2002,NUTS,2010,AT11,2,150.0
2004,NUTS,2010,AT11,2,138.0
2006,NUTS,2010,AT11,2,145.0
2007,NUTS,2010,AT11,2,167.0
2009,NUTS,2010,AT11,2,146.0
2011,NUTS,2010,AT11,2,261.0
2013,NUTS,2010,AT11,2,340.0
2015,NUTS,2010,AT11,2,356.0
2017,NUTS,2010,AT11,2,428.0
2019,NUTS,2010,AT11,2,441.0
2002,NUTS,2010,AT12,2,1445.0
2004,NUTS,2010,AT12,2,1390.0
2006,NUTS,2010,AT12,2,1792.0
2007,NUTS,2010,AT12,2,1798.0
2009,NUTS,2010,AT12,2,1911.0
2011,NUTS,2010,AT12,2,2432.0
2013,NUTS,2010,AT12,2,2359.0
2015,NUTS,2010,AT12,2,2432.0
2017,NUTS,2010,AT12,2,2555.0
2019,NUTS,2010,AT12,2,3112.0
2002,NUTS,2010,AT13,2,6467.0
2004,NUTS,2010,AT13,2,5943.0
2006,NUTS,2010,AT13,2,6158.0
2007,NUTS,2010,AT13,2,6814.0
2009,NUTS,2010,AT13,2,6907.0
2011,NUTS,2010,AT13,2,6630.0
2013,NUTS,2010,AT13,2,7162.0
2015,NUTS,2010,AT13,2,7385.0
2017,NUTS,2010,AT13,2,7179.0
2019,NUTS,2010,AT13,2,7245.0
2002,NUTS,2010,AT2,1,3615.0
2004,NUTS,2010,AT2,1,4181.0
2006,NUTS,2010,AT2,1,5015.0
2007,NUTS,2010,AT2,1,5261.0
2009,NUTS,2010,AT2,1,5846.0
2011,NUTS,2010,AT2,1,6427.0
2013,NUTS,2010,AT2,1,6574.0
2015,NUTS,2010,AT2,1,7484.0
2017,NUTS,2010,AT2,1,8440.0
2019,NUTS,2010,AT2,1,10436.0
2002,NUTS,2010,AT21,2,1007.0
2004,NUTS,2010,AT21,2,1261.0
2006,NUTS,2010,AT21,2,1498.0
2007,NUTS,2010,AT21,2,1604.0
2009,NUTS,2010,AT21,2,1776.0
2011,NUTS,2010,AT21,2,1685.0
2013,NUTS,2010,AT21,2,1716.0
2015,NUTS,2010,AT21,2,1972.0
2017,NUTS,2010,AT21,2,2157.0
