year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_act_fte_rse_f
2011,NUTS,2010,AT,0,0.0057
2013,NUTS,2010,AT,0,0.0051
2015,NUTS,2010,AT,0,0.008
2017,NUTS,2010,AT,0,0.0088
2019,NUTS,2010,AT,0,0.0094
2011,NUTS,2010,AT1,1,0.0117
2013,NUTS,2010,AT1,1,0.0106
2015,NUTS,2010,AT1,1,0.0165
2017,NUTS,2010,AT1,1,0.0176
2019,NUTS,2010,AT1,1,0.019
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT12,2,0.008
2013,NUTS,2010,AT12,2,0.0086
2015,NUTS,2010,AT12,2,0.0117
2017,NUTS,2010,AT12,2,0.0132
2011,NUTS,2010,AT13,2,0.0171
2013,NUTS,2010,AT13,2,0.0141
2015,NUTS,2010,AT13,2,0.0233
2017,NUTS,2010,AT13,2,0.0243
2019,NUTS,2010,AT13,2,0.0259
2019,NUTS,2010,AT2,1,0.0005
2011,NUTS,2010,AT21,2,0.0023
2019,NUTS,2010,AT3,1,0.0026
2011,NUTS,2010,AT31,2,0.0014
2013,NUTS,2010,AT31,2,0.0015
2015,NUTS,2010,AT31,2,0.0003
2017,NUTS,2010,AT31,2,0.0004
2019,NUTS,2010,AT31,2,0.0012
2015,NUTS,2010,AT32,2,0.0078
2017,NUTS,2010,AT32,2,0.013
2019,NUTS,2010,AT32,2,0.0108
2013,NUTS,2010,AT33,2,0.0002
2019,NUTS,2010,AT33,2,0.0005
2011,NUTS,2010,AT34,2,0.0
2013,NUTS,2010,AT34,2,0.0
2019,NUTS,2010,AT34,2,0.0
2011,NUTS,2010,BE,0,0.0049
2012,NUTS,2010,BE,0,0.0036
2013,NUTS,2010,BE,0,0.0036
2014,NUTS,2010,BE,0,0.0039
2015,NUTS,2010,BE,0,0.0061
2016,NUTS,2010,BE,0,0.0085
2017,NUTS,2010,BE,0,0.0097
2018,NUTS,2010,BE,0,0.0196
2019,NUTS,2010,BE,0,0.0202
2011,NUTS,2010,BE1,1,0.0156
2012,NUTS,2010,BE1,1,0.0266
2013,NUTS,2010,BE1,1,0.0256
2014,NUTS,2010,BE1,1,0.0272
2015,NUTS,2010,BE1,1,0.0402
2016,NUTS,2010,BE1,1,0.0414
2017,NUTS,2010,BE1,1,0.0511
2018,NUTS,2010,BE1,1,0.152
2019,NUTS,2010,BE1,1,0.153
2011,NUTS,2010,BE10,2,0.0156
2012,NUTS,2010,BE10,2,0.0266
2013,NUTS,2010,BE10,2,0.0256
2014,NUTS,2010,BE10,2,0.0272
2015,NUTS,2010,BE10,2,0.0402
2016,NUTS,2010,BE10,2,0.0414
2017,NUTS,2010,BE10,2,0.0511
2018,NUTS,2010,BE10,2,0.152
2019,NUTS,2010,BE10,2,0.153
2011,NUTS,2010,BE2,1,0.0056
2012,NUTS,2010,BE2,1,0.0015
2013,NUTS,2010,BE2,1,0.0017
2014,NUTS,2010,BE2,1,0.0018
2015,NUTS,2010,BE2,1,0.0033
2016,NUTS,2010,BE2,1,0.0064
2017,NUTS,2010,BE2,1,0.0068
2018,NUTS,2010,BE2,1,0.0057
2019,NUTS,2010,BE2,1,0.0068
2011,NUTS,2010,BE3,1,0.0
2014,NUTS,2010,BE3,1,0.0
2015,NUTS,2010,BE3,1,0.0
2016,NUTS,2010,BE3,1,0.0011
2017,NUTS,2010,BE3,1,0.0011
2018,NUTS,2010,BE3,1,0.0011
2019,NUTS,2010,BE3,1,0.0011
2011,NUTS,2010,BG,0,0.0024
2012,NUTS,2010,BG,0,0.0038
2013,NUTS,2010,BG,0,0.003
2014,NUTS,2010,BG,0,0.0033
2015,NUTS,2010,BG,0,0.0039
2016,NUTS,2010,BG,0,0.0013
2017,NUTS,2010,BG,0,0.003
2018,NUTS,2010,BG,0,0.003
2019,NUTS,2010,BG,0,0.0036
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2011,NUTS,2010,BG32,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2011,NUTS,2010,BG33,2,0.0
2012,NUTS,2010,BG33,2,0.0
2016,NUTS,2010,BG33,2,0.0
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2011,NUTS,2010,BG41,2,0.0062
2012,NUTS,2010,BG41,2,0.0106
2015,NUTS,2010,BG41,2,0.0108
2017,NUTS,2010,BG41,2,0.0052
2018,NUTS,2010,BG41,2,0.004
2019,NUTS,2010,BG41,2,0.0068
2014,NUTS,2010,BG42,2,0.0
2011,NUTS,2010,CY,0,0.0132
2012,NUTS,2010,CY,0,0.0142
2013,NUTS,2010,CY,0,0.0113
2014,NUTS,2010,CY,0,0.0144
2015,NUTS,2010,CY,0,0.0102
2016,NUTS,2010,CY,0,0.0091
2017,NUTS,2010,CY,0,0.0104
2018,NUTS,2010,CY,0,0.0101
2019,NUTS,2010,CY,0,0.0223
2011,NUTS,2010,CZ,0,0.0034
2012,NUTS,2010,CZ,0,0.0044
2013,NUTS,2010,CZ,0,0.0034
2014,NUTS,2010,CZ,0,0.0036
2015,NUTS,2010,CZ,0,0.0031
2016,NUTS,2010,CZ,0,0.0026
2017,NUTS,2010,CZ,0,0.0033
2018,NUTS,2010,CZ,0,0.0029
2019,NUTS,2010,CZ,0,0.0034
2020,NUTS,2010,CZ,0,0.0034
2011,NUTS,2010,CZ0,1,0.0034
2012,NUTS,2010,CZ0,1,0.0043
2013,NUTS,2010,CZ0,1,0.0033
2014,NUTS,2010,CZ0,1,0.0036
2015,NUTS,2010,CZ0,1,0.0031
2016,NUTS,2010,CZ0,1,0.0025
2017,NUTS,2010,CZ0,1,0.0033
2018,NUTS,2010,CZ0,1,0.0028
2019,NUTS,2010,CZ0,1,0.0033
2020,NUTS,2010,CZ0,1,0.0033
2011,NUTS,2010,CZ01,2,0.0126
2012,NUTS,2010,CZ01,2,0.0166
2013,NUTS,2010,CZ01,2,0.0154
2014,NUTS,2010,CZ01,2,0.017
2015,NUTS,2010,CZ01,2,0.0131
