year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_pc_act_fte_t
2011,NUTS,2010,AT,0,0.3841
2012,NUTS,2010,AT,0,0.3936
2013,NUTS,2010,AT,0,0.3936
2014,NUTS,2010,AT,0,0.4068
2015,NUTS,2010,AT,0,0.4076
2016,NUTS,2010,AT,0,0.3944
2017,NUTS,2010,AT,0,0.3971
2018,NUTS,2010,AT,0,0.4166
2019,NUTS,2010,AT,0,0.4216
2020,NUTS,2010,AT,0,0.4349
2011,NUTS,2010,AT1,1,0.4824
2013,NUTS,2010,AT1,1,0.4989
2019,NUTS,2010,AT1,1,0.525
2011,NUTS,2010,AT11,2,0.0186
2013,NUTS,2010,AT11,2,0.0289
2019,NUTS,2010,AT11,2,0.0515
2011,NUTS,2010,AT12,2,0.0356
2013,NUTS,2010,AT12,2,0.0693
2015,NUTS,2010,AT12,2,0.0807
2017,NUTS,2010,AT12,2,0.118
2019,NUTS,2010,AT12,2,0.1547
2011,NUTS,2010,AT13,2,0.9937
2013,NUTS,2010,AT13,2,0.9771
2015,NUTS,2010,AT13,2,0.985
2017,NUTS,2010,AT13,2,0.9085
2019,NUTS,2010,AT13,2,0.9234
2011,NUTS,2010,AT2,1,0.4006
2013,NUTS,2010,AT2,1,0.4059
2017,NUTS,2010,AT2,1,0.4334
2019,NUTS,2010,AT2,1,0.4517
2011,NUTS,2010,AT21,2,0.1341
2013,NUTS,2010,AT21,2,0.1297
2015,NUTS,2010,AT21,2,0.1098
2017,NUTS,2010,AT21,2,0.1222
2019,NUTS,2010,AT21,2,0.1219
2011,NUTS,2010,AT22,2,0.5184
2013,NUTS,2010,AT22,2,0.5286
2015,NUTS,2010,AT22,2,0.5782
2017,NUTS,2010,AT22,2,0.5688
2019,NUTS,2010,AT22,2,0.5945
2011,NUTS,2010,AT3,1,0.2493
2013,NUTS,2010,AT3,1,0.2524
2019,NUTS,2010,AT3,1,0.2698
2011,NUTS,2010,AT31,2,0.1558
2013,NUTS,2010,AT31,2,0.1599
2015,NUTS,2010,AT31,2,0.1548
2017,NUTS,2010,AT31,2,0.1503
2019,NUTS,2010,AT31,2,0.1609
2011,NUTS,2010,AT32,2,0.2699
2013,NUTS,2010,AT32,2,0.279
2015,NUTS,2010,AT32,2,0.3196
2017,NUTS,2010,AT32,2,0.3128
2019,NUTS,2010,AT32,2,0.3411
2011,NUTS,2010,AT33,2,0.54
2013,NUTS,2010,AT33,2,0.5284
2015,NUTS,2010,AT33,2,0.5423
2017,NUTS,2010,AT33,2,0.5135
2019,NUTS,2010,AT33,2,0.5529
2011,NUTS,2010,AT34,2,0.0227
2013,NUTS,2010,AT34,2,0.0295
2019,NUTS,2010,AT34,2,0.0401
2011,NUTS,2010,BE,0,0.4711
2012,NUTS,2010,BE,0,0.4693
2013,NUTS,2010,BE,0,0.4719
2014,NUTS,2010,BE,0,0.4817
2015,NUTS,2010,BE,0,0.5307
2016,NUTS,2010,BE,0,0.5057
2017,NUTS,2010,BE,0,0.5069
2018,NUTS,2010,BE,0,0.5069
2019,NUTS,2010,BE,0,0.5125
2020,NUTS,2010,BE,0,0.56
2011,NUTS,2010,BE1,1,0.8082
2012,NUTS,2010,BE1,1,0.7958
2013,NUTS,2010,BE1,1,0.7971
2014,NUTS,2010,BE1,1,0.849
2015,NUTS,2010,BE1,1,0.9745
2016,NUTS,2010,BE1,1,0.932
2017,NUTS,2010,BE1,1,0.9524
2018,NUTS,2010,BE1,1,0.9031
2019,NUTS,2010,BE1,1,0.8964
2011,NUTS,2010,BE10,2,0.8082
2012,NUTS,2010,BE10,2,0.7958
2013,NUTS,2010,BE10,2,0.7971
2014,NUTS,2010,BE10,2,0.849
2015,NUTS,2010,BE10,2,0.9745
2016,NUTS,2010,BE10,2,0.932
2017,NUTS,2010,BE10,2,0.9524
2018,NUTS,2010,BE10,2,0.9031
2019,NUTS,2010,BE10,2,0.8964
2011,NUTS,2010,BE2,1,0.4558
2012,NUTS,2010,BE2,1,0.4642
2013,NUTS,2010,BE2,1,0.4726
