year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_pc_act_hc_rse_f
2017,NUTS,2010,BG34,2,0.1482
2013,NUTS,2010,BG4,1,0.228
2014,NUTS,2010,BG4,1,0.2479
2016,NUTS,2010,BG4,1,0.3427
2017,NUTS,2010,BG4,1,0.2798
2019,NUTS,2010,BG4,1,0.3008
2011,NUTS,2010,BG41,2,0.3131
2013,NUTS,2010,BG41,2,0.2937
2014,NUTS,2010,BG41,2,0.3097
2015,NUTS,2010,BG41,2,0.3004
2016,NUTS,2010,BG41,2,0.4463
2017,NUTS,2010,BG41,2,0.3289
2018,NUTS,2010,BG41,2,0.3576
2019,NUTS,2010,BG41,2,0.292
2013,NUTS,2010,BG42,2,0.1219
2014,NUTS,2010,BG42,2,0.1469
2016,NUTS,2010,BG42,2,0.1617
2017,NUTS,2010,BG42,2,0.1969
2019,NUTS,2010,BG42,2,0.3158
2012,NUTS,2010,CH,0,0.736
2015,NUTS,2010,CH,0,0.8289
2017,NUTS,2010,CH,0,0.8473
2019,NUTS,2010,CH,0,0.9194
2011,NUTS,2010,CY,0,0.2371
2012,NUTS,2010,CY,0,0.2353
2013,NUTS,2010,CY,0,0.302
2014,NUTS,2010,CY,0,0.2792
2015,NUTS,2010,CY,0,0.2827
2016,NUTS,2010,CY,0,0.2864
2017,NUTS,2010,CY,0,0.3005
2018,NUTS,2010,CY,0,0.3106
2019,NUTS,2010,CY,0,0.3316
2011,NUTS,2010,CZ,0,0.3204
2012,NUTS,2010,CZ,0,0.3189
2013,NUTS,2010,CZ,0,0.3555
2014,NUTS,2010,CZ,0,0.3541
2015,NUTS,2010,CZ,0,0.3662
2016,NUTS,2010,CZ,0,0.3474
2017,NUTS,2010,CZ,0,0.3689
2018,NUTS,2010,CZ,0,0.3788
2019,NUTS,2010,CZ,0,0.4025
2020,NUTS,2010,CZ,0,0.4216
2011,NUTS,2010,CZ0,1,0.3158
2012,NUTS,2010,CZ0,1,0.3141
2013,NUTS,2010,CZ0,1,0.3495
2014,NUTS,2010,CZ0,1,0.3483
2015,NUTS,2010,CZ0,1,0.359
2016,NUTS,2010,CZ0,1,0.3399
2017,NUTS,2010,CZ0,1,0.3604
2018,NUTS,2010,CZ0,1,0.3689
2019,NUTS,2010,CZ0,1,0.3917
2020,NUTS,2010,CZ0,1,0.4106
2011,NUTS,2010,CZ01,2,0.9962
2012,NUTS,2010,CZ01,2,0.9037
2013,NUTS,2010,CZ01,2,1.0775
2014,NUTS,2010,CZ01,2,1.0077
2015,NUTS,2010,CZ01,2,0.9667
2016,NUTS,2010,CZ01,2,0.8913
2017,NUTS,2010,CZ01,2,1.0117
2018,NUTS,2010,CZ01,2,1.0071
2019,NUTS,2010,CZ01,2,1.0459
2020,NUTS,2010,CZ01,2,1.0721
2011,NUTS,2010,CZ02,2,0.0137
2012,NUTS,2010,CZ02,2,0.015
2013,NUTS,2010,CZ02,2,0.01
2014,NUTS,2010,CZ02,2,0.0134
2015,NUTS,2010,CZ02,2,0.0215
2016,NUTS,2010,CZ02,2,0.0256
2017,NUTS,2010,CZ02,2,0.0239
2018,NUTS,2010,CZ02,2,0.0246
2019,NUTS,2010,CZ02,2,0.0272
2020,NUTS,2010,CZ02,2,0.0262
2011,NUTS,2010,CZ03,2,0.2673
2012,NUTS,2010,CZ03,2,0.2471
2013,NUTS,2010,CZ03,2,0.2667
2014,NUTS,2010,CZ03,2,0.2909
2015,NUTS,2010,CZ03,2,0.2725
2016,NUTS,2010,CZ03,2,0.2835
2017,NUTS,2010,CZ03,2,0.2873
2018,NUTS,2010,CZ03,2,0.2976
2019,NUTS,2010,CZ03,2,0.2944
2020,NUTS,2010,CZ03,2,0.3001
2011,NUTS,2010,CZ04,2,0.0424
2012,NUTS,2010,CZ04,2,0.0403
2013,NUTS,2010,CZ04,2,0.0627
2014,NUTS,2010,CZ04,2,0.0628
2015,NUTS,2010,CZ04,2,0.0639
2016,NUTS,2010,CZ04,2,0.0651
2017,NUTS,2010,CZ04,2,0.0665
2018,NUTS,2010,CZ04,2,0.074
2019,NUTS,2010,CZ04,2,0.0631
2020,NUTS,2010,CZ04,2,0.0868
2011,NUTS,2010,CZ05,2,0.2149
2012,NUTS,2010,CZ05,2,0.1968
2013,NUTS,2010,CZ05,2,0.2091
2014,NUTS,2010,CZ05,2,0.2236
2015,NUTS,2010,CZ05,2,0.227
2016,NUTS,2010,CZ05,2,0.2369
2017,NUTS,2010,CZ05,2,0.2456
2018,NUTS,2010,CZ05,2,0.2567
2019,NUTS,2010,CZ05,2,0.2917
2020,NUTS,2010,CZ05,2,0.2967
2011,NUTS,2010,CZ06,2,0.4298
2012,NUTS,2010,CZ06,2,0.4305
2013,NUTS,2010,CZ06,2,0.4434
2014,NUTS,2010,CZ06,2,0.4589
2015,NUTS,2010,CZ06,2,0.5113
2016,NUTS,2010,CZ06,2,0.4477
2017,NUTS,2010,CZ06,2,0.4944
2018,NUTS,2010,CZ06,2,0.4975
2019,NUTS,2010,CZ06,2,0.5144
2020,NUTS,2010,CZ06,2,0.5473
2011,NUTS,2010,CZ07,2,0.1799
2012,NUTS,2010,CZ07,2,0.279
2013,NUTS,2010,CZ07,2,0.3295
2014,NUTS,2010,CZ07,2,0.3413
2015,NUTS,2010,CZ07,2,0.3812
2016,NUTS,2010,CZ07,2,0.3638
2017,NUTS,2010,CZ07,2,0.3119
2018,NUTS,2010,CZ07,2,0.3396
2019,NUTS,2010,CZ07,2,0.4308
2020,NUTS,2010,CZ07,2,0.4487
2011,NUTS,2010,CZ08,2,0.2814
2012,NUTS,2010,CZ08,2,0.3112
2013,NUTS,2010,CZ08,2,0.3148
2014,NUTS,2010,CZ08,2,0.3009
2015,NUTS,2010,CZ08,2,0.3265
2016,NUTS,2010,CZ08,2,0.3215
2017,NUTS,2010,CZ08,2,0.3158
2018,NUTS,2010,CZ08,2,0.3262
2019,NUTS,2010,CZ08,2,0.3327
2020,NUTS,2010,CZ08,2,0.363
2011,NUTS,2010,DE,0,0.4753
2012,NUTS,2010,DE,0,0.5028
2013,NUTS,2010,DE,0,0.5306
2014,NUTS,2010,DE,0,0.5399
2015,NUTS,2010,DE,0,0.5539
2016,NUTS,2010,DE,0,0.5504
2017,NUTS,2010,DE,0,0.5664
2018,NUTS,2010,DE,0,0.5845
2019,NUTS,2010,DE,0,0.592
2011,NUTS,2010,DK,0,0.7611
2012,NUTS,2010,DK,0,0.8348
2013,NUTS,2010,DK,0,0.8802
2014,NUTS,2010,DK,0,0.8724
2015,NUTS,2010,DK,0,0.8856
2016,NUTS,2010,DK,0,0.8615
2017,NUTS,2010,DK,0,0.8253
2018,NUTS,2010,DK,0,0.871
2019,NUTS,2010,DK,0,0.8786
2011,NUTS,2010,DK0,1,0.7802
2012,NUTS,2010,DK0,1,0.8183
2013,NUTS,2010,DK0,1,0.8636
2014,NUTS,2010,DK0,1,0.8531
2015,NUTS,2010,DK0,1,0.8691
2016,NUTS,2010,DK0,1,0.8426
2017,NUTS,2010,DK0,1,0.8085
2018,NUTS,2010,DK0,1,0.8542
2019,NUTS,2010,DK0,1,0.8608
2011,NUTS,2010,DK01,2,1.2311
2012,NUTS,2010,DK01,2,1.1863
2013,NUTS,2010,DK01,2,1.2994
2014,NUTS,2010,DK01,2,1.3068
2015,NUTS,2010,DK01,2,1.3579
2016,NUTS,2010,DK01,2,1.2446
2017,NUTS,2010,DK01,2,1.2398
2019,NUTS,2010,DK01,2,1.3406
2011,NUTS,2010,DK02,2,0.3397
2012,NUTS,2010,DK02,2,0.3188
2013,NUTS,2010,DK02,2,0.3023
2014,NUTS,2010,DK02,2,0.3221
2015,NUTS,2010,DK02,2,0.2603
2016,NUTS,2010,DK02,2,0.2956
2017,NUTS,2010,DK02,2,0.2797
2019,NUTS,2010,DK02,2,0.345
2011,NUTS,2010,DK03,2,0.4219
2012,NUTS,2010,DK03,2,0.4726
2013,NUTS,2010,DK03,2,0.4832
2014,NUTS,2010,DK03,2,0.5125
2015,NUTS,2010,DK03,2,0.5485
2016,NUTS,2010,DK03,2,0.5279
2017,NUTS,2010,DK03,2,0.3327
2019,NUTS,2010,DK03,2,0.322
2011,NUTS,2010,DK04,2,0.7871
2012,NUTS,2010,DK04,2,0.8408
2013,NUTS,2010,DK04,2,0.868
2014,NUTS,2010,DK04,2,0.8129
2015,NUTS,2010,DK04,2,0.8245
2016,NUTS,2010,DK04,2,0.8915
2017,NUTS,2010,DK04,2,0.7741
2019,NUTS,2010,DK04,2,0.7901
2011,NUTS,2010,DK05,2,0.5986
2012,NUTS,2010,DK05,2,0.9179
2013,NUTS,2010,DK05,2,0.9447
2014,NUTS,2010,DK05,2,0.8007
2015,NUTS,2010,DK05,2,0.7537
