year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_rse_t_pc_emp_hc
2019,NUTS,2010,CZ07,2,0.002
2020,NUTS,2010,CZ07,2,0.0012
2011,NUTS,2010,CZ08,2,0.0
2012,NUTS,2010,CZ08,2,0.0001
2013,NUTS,2010,CZ08,2,0.0
2014,NUTS,2010,CZ08,2,0.0011
2015,NUTS,2010,CZ08,2,0.0009
2016,NUTS,2010,CZ08,2,0.003
2017,NUTS,2010,CZ08,2,0.0024
2018,NUTS,2010,CZ08,2,0.0019
2019,NUTS,2010,CZ08,2,0.006
2020,NUTS,2010,CZ08,2,0.003
2011,NUTS,2010,DK,0,0.0093
2012,NUTS,2010,DK,0,0.0104
2013,NUTS,2010,DK,0,0.01
2014,NUTS,2010,DK,0,0.0101
2015,NUTS,2010,DK,0,0.0099
2016,NUTS,2010,DK,0,0.0104
2017,NUTS,2010,DK,0,0.0087
2018,NUTS,2010,DK,0,0.0077
2019,NUTS,2010,DK,0,0.0103
2020,NUTS,2010,DK,0,0.0104
2011,NUTS,2010,DK0,1,0.009
2012,NUTS,2010,DK0,1,0.0101
2013,NUTS,2010,DK0,1,0.0097
2014,NUTS,2010,DK0,1,0.0098
2015,NUTS,2010,DK0,1,0.0096
2016,NUTS,2010,DK0,1,0.0101
2017,NUTS,2010,DK0,1,0.0084
2018,NUTS,2010,DK0,1,0.0074
2019,NUTS,2010,DK0,1,0.0099
2011,NUTS,2010,DK01,2,0.027
2012,NUTS,2010,DK01,2,0.0296
2013,NUTS,2010,DK01,2,0.0277
2014,NUTS,2010,DK01,2,0.0278
2015,NUTS,2010,DK01,2,0.0264
2016,NUTS,2010,DK01,2,0.0272
2017,NUTS,2010,DK01,2,0.023
2019,NUTS,2010,DK01,2,0.0284
2011,NUTS,2010,DK02,2,0.0026
2012,NUTS,2010,DK02,2,0.0027
2013,NUTS,2010,DK02,2,0.0027
2014,NUTS,2010,DK02,2,0.0027
2015,NUTS,2010,DK02,2,0.0035
2016,NUTS,2010,DK02,2,0.0037
2017,NUTS,2010,DK02,2,0.0031
2019,NUTS,2010,DK02,2,0.0033
2012,NUTS,2010,DK03,2,0.0011
2013,NUTS,2010,DK03,2,0.0013
2014,NUTS,2010,DK03,2,0.0015
2015,NUTS,2010,DK03,2,0.0016
2016,NUTS,2010,DK03,2,0.0022
2017,NUTS,2010,DK03,2,0.0014
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,0.0029
2011,NUTS,2010,EA19,2,0.0142
2012,NUTS,2010,EA19,2,0.0142
2013,NUTS,2010,EA19,2,0.0098
2014,NUTS,2010,EA19,2,0.0104
2016,NUTS,2010,EA19,2,0.0113
2017,NUTS,2010,EA19,2,0.0108
2018,NUTS,2010,EA19,2,0.0115
2011,NUTS,2010,EE,0,0.0173
2012,NUTS,2010,EE,0,0.0212
2013,NUTS,2010,EE,0,0.0179
2014,NUTS,2010,EE,0,0.0183
2015,NUTS,2010,EE,0,0.0198
2016,NUTS,2010,EE,0,0.0198
2017,NUTS,2010,EE,0,0.0181
2018,NUTS,2010,EE,0,0.0191
2019,NUTS,2010,EE,0,0.0174
2011,NUTS,2010,EL,0,0.0112
2013,NUTS,2010,EL,0,0.0131
2015,NUTS,2010,EL,0,0.0115
2017,NUTS,2010,EL,0,0.014
2019,NUTS,2010,EL,0,0.0123
2011,NUTS,2010,EL3,1,0.0236
2013,NUTS,2010,EL3,1,0.0234
2015,NUTS,2010,EL3,1,0.0199
2017,NUTS,2010,EL3,1,0.0275
2019,NUTS,2010,EL3,1,0.023
2011,NUTS,2010,EL30,2,0.0236
2013,NUTS,2010,EL30,2,0.0234
2015,NUTS,2010,EL30,2,0.0199
2017,NUTS,2010,EL30,2,0.0275
2019,NUTS,2010,EL30,2,0.023
2011,NUTS,2010,EL4,1,0.0022
2013,NUTS,2010,EL4,1,0.0094
2015,NUTS,2010,EL4,1,0.0089
2017,NUTS,2010,EL4,1,0.016
2019,NUTS,2010,EL4,1,0.0087
2011,NUTS,2010,EL41,2,0.0045
2013,NUTS,2010,EL41,2,0.0015
2015,NUTS,2010,EL41,2,0.0015
2017,NUTS,2010,EL41,2,0.0043
2019,NUTS,2010,EL41,2,0.0107
2011,NUTS,2010,EL42,2,0.0054
2013,NUTS,2010,EL42,2,0.0098
2015,NUTS,2010,EL42,2,0.0076
2017,NUTS,2010,EL42,2,0.0086
2019,NUTS,2010,EL42,2,0.009
2011,NUTS,2010,EL43,2,0.0
2013,NUTS,2010,EL43,2,0.0116
2015,NUTS,2010,EL43,2,0.012
2017,NUTS,2010,EL43,2,0.0234
2019,NUTS,2010,EL43,2,0.0079
2011,NUTS,2010,EL5,1,0.006
2013,NUTS,2010,EL5,1,0.0103
2015,NUTS,2010,EL5,1,0.0099
2017,NUTS,2010,EL5,1,0.0054
2019,NUTS,2010,EL5,1,0.0072
2011,NUTS,2010,EL51,2,0.0
2013,NUTS,2010,EL51,2,0.0027
2015,NUTS,2010,EL51,2,0.0025
2017,NUTS,2010,EL51,2,0.0019
2019,NUTS,2010,EL51,2,0.0009
2011,NUTS,2010,EL52,2,0.0075
2013,NUTS,2010,EL52,2,0.0146
2015,NUTS,2010,EL52,2,0.0143
2017,NUTS,2010,EL52,2,0.0051
2019,NUTS,2010,EL52,2,0.0096
2011,NUTS,2010,EL53,2,0.0155
2013,NUTS,2010,EL53,2,0.0065
2015,NUTS,2010,EL53,2,0.0037
2017,NUTS,2010,EL53,2,0.0118
2019,NUTS,2010,EL53,2,0.0092
2011,NUTS,2010,EL54,2,0.0008
2013,NUTS,2010,EL54,2,0.0038
2015,NUTS,2010,EL54,2,0.0038
2017,NUTS,2010,EL54,2,0.0086
2019,NUTS,2010,EL54,2,0.0035
2011,NUTS,2010,EL6,1,0.0008
2013,NUTS,2010,EL6,1,0.001
2015,NUTS,2010,EL6,1,0.0009
2017,NUTS,2010,EL6,1,0.0015
2019,NUTS,2010,EL6,1,0.0022
2011,NUTS,2010,EL61,2,0.0004
2013,NUTS,2010,EL61,2,0.0004
2015,NUTS,2010,EL61,2,0.0004
2017,NUTS,2010,EL61,2,0.0012
2019,NUTS,2010,EL61,2,0.0008
2011,NUTS,2010,EL62,2,0.0
2013,NUTS,2010,EL62,2,0.0
2015,NUTS,2010,EL62,2,0.0
2017,NUTS,2010,EL62,2,0.0
2019,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2013,NUTS,2010,EL63,2,0.0005
2015,NUTS,2010,EL63,2,0.0
2017,NUTS,2010,EL63,2,0.0
2019,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,0.0025
2013,NUTS,2010,EL64,2,0.0023
2015,NUTS,2010,EL64,2,0.0022
2017,NUTS,2010,EL64,2,0.0021
2019,NUTS,2010,EL64,2,0.0
2011,NUTS,2010,EL65,2,0.0009
2013,NUTS,2010,EL65,2,0.0016
2015,NUTS,2010,EL65,2,0.0016
2017,NUTS,2010,EL65,2,0.0034
2019,NUTS,2010,EL65,2,0.009
2011,NUTS,2010,ES,0,0.0027
2012,NUTS,2010,ES,0,0.0029
2013,NUTS,2010,ES,0,0.0027
2014,NUTS,2010,ES,0,0.0027
2015,NUTS,2010,ES,0,0.0027
2016,NUTS,2010,ES,0,0.0034
2017,NUTS,2010,ES,0,0.003
2018,NUTS,2010,ES,0,0.0025
2019,NUTS,2010,ES,0,0.0023
2011,NUTS,2010,ES1,1,0.0038
2012,NUTS,2010,ES1,1,0.0042
2013,NUTS,2010,ES1,1,0.0031
2015,NUTS,2010,ES1,1,0.0033
2016,NUTS,2010,ES1,1,0.0039
2017,NUTS,2010,ES1,1,0.004
2018,NUTS,2010,ES1,1,0.0049
2014,NUTS,2010,ES11,2,0.0009
2015,NUTS,2010,ES11,2,0.0013
2016,NUTS,2010,ES11,2,0.0037
2017,NUTS,2010,ES11,2,0.0041
2018,NUTS,2010,ES11,2,0.0037
2019,NUTS,2010,ES11,2,0.0036
2012,NUTS,2010,ES12,2,0.0026
2013,NUTS,2010,ES12,2,0.0019
2014,NUTS,2010,ES12,2,0.0021
2015,NUTS,2010,ES12,2,0.0027
2016,NUTS,2010,ES12,2,0.0021
2017,NUTS,2010,ES12,2,0.002
2018,NUTS,2010,ES12,2,0.002
2019,NUTS,2010,ES12,2,0.0018
2011,NUTS,2010,ES13,2,0.0216
2015,NUTS,2010,ES13,2,0.0132
2016,NUTS,2010,ES13,2,0.0077
2017,NUTS,2010,ES13,2,0.0067
2018,NUTS,2010,ES13,2,0.0149
2011,NUTS,2010,ES2,1,0.0021
2013,NUTS,2010,ES2,1,0.0035
2015,NUTS,2010,ES2,1,0.0026
2019,NUTS,2010,ES2,1,0.001
2011,NUTS,2010,ES21,2,0.0023
2012,NUTS,2010,ES21,2,0.0034
2013,NUTS,2010,ES21,2,0.0029
2014,NUTS,2010,ES21,2,0.0023
2015,NUTS,2010,ES21,2,0.0026
2016,NUTS,2010,ES21,2,0.0038
2017,NUTS,2010,ES21,2,0.0032
2018,NUTS,2010,ES21,2,0.0017
2019,NUTS,2010,ES21,2,0.0018
2011,NUTS,2010,ES22,2,0.0029
2015,NUTS,2010,ES22,2,0.003
2011,NUTS,2010,ES23,2,0.003
2012,NUTS,2010,ES23,2,0.0071
2014,NUTS,2010,ES23,2,0.0031
2015,NUTS,2010,ES23,2,0.0023
2016,NUTS,2010,ES23,2,0.0023
2017,NUTS,2010,ES23,2,0.003
2018,NUTS,2010,ES23,2,0.0022
2011,NUTS,2010,ES24,2,0.0013
2012,NUTS,2010,ES24,2,0.0018
2013,NUTS,2010,ES24,2,0.0019
2014,NUTS,2010,ES24,2,0.0021
2015,NUTS,2010,ES24,2,0.0026
2016,NUTS,2010,ES24,2,0.002
2017,NUTS,2010,ES24,2,0.0019
2018,NUTS,2010,ES24,2,0.0007
2011,NUTS,2010,ES3,1,0.0038
2012,NUTS,2010,ES3,1,0.005
2013,NUTS,2010,ES3,1,0.0046
2014,NUTS,2010,ES3,1,0.0039
2015,NUTS,2010,ES3,1,0.0044
2016,NUTS,2010,ES3,1,0.0037
2017,NUTS,2010,ES3,1,0.0045
2018,NUTS,2010,ES3,1,0.0042
2019,NUTS,2010,ES3,1,0.0039
2011,NUTS,2010,ES30,2,0.0038
2012,NUTS,2010,ES30,2,0.005
2013,NUTS,2010,ES30,2,0.0046
2014,NUTS,2010,ES30,2,0.0039
2015,NUTS,2010,ES30,2,0.0044
2016,NUTS,2010,ES30,2,0.0037
2017,NUTS,2010,ES30,2,0.0045
2018,NUTS,2010,ES30,2,0.0042
2019,NUTS,2010,ES30,2,0.0039
2011,NUTS,2010,ES4,1,0.0027
2013,NUTS,2010,ES4,1,0.0013
2014,NUTS,2010,ES4,1,0.0013
2015,NUTS,2010,ES4,1,0.0016
2016,NUTS,2010,ES4,1,0.0015
2018,NUTS,2010,ES4,1,0.0016
2019,NUTS,2010,ES4,1,0.0014
2012,NUTS,2010,ES41,2,0.0014
2013,NUTS,2010,ES41,2,0.001
2014,NUTS,2010,ES41,2,0.0011
2015,NUTS,2010,ES41,2,0.0012
2017,NUTS,2010,ES41,2,0.001
2018,NUTS,2010,ES41,2,0.0012
2019,NUTS,2010,ES41,2,0.001
2013,NUTS,2010,ES42,2,0.0006
2014,NUTS,2010,ES42,2,0.0006
2015,NUTS,2010,ES42,2,0.0008
2017,NUTS,2010,ES42,2,0.0006
2011,NUTS,2010,ES43,2,0.0029
2013,NUTS,2010,ES43,2,0.0035
2014,NUTS,2010,ES43,2,0.0034
2015,NUTS,2010,ES43,2,0.0042
2016,NUTS,2010,ES43,2,0.0041
2011,NUTS,2010,ES5,1,0.003
2012,NUTS,2010,ES5,1,0.0029
2013,NUTS,2010,ES5,1,0.0029
2014,NUTS,2010,ES5,1,0.0035
2015,NUTS,2010,ES5,1,0.0032
2016,NUTS,2010,ES5,1,0.0048
2017,NUTS,2010,ES5,1,0.0036
2018,NUTS,2010,ES5,1,0.003
2011,NUTS,2010,ES51,2,0.0037
2012,NUTS,2010,ES51,2,0.0034
2013,NUTS,2010,ES51,2,0.0032
2014,NUTS,2010,ES51,2,0.0044
2015,NUTS,2010,ES51,2,0.0043
2016,NUTS,2010,ES51,2,0.007
2017,NUTS,2010,ES51,2,0.0049
2018,NUTS,2010,ES51,2,0.0047
2019,NUTS,2010,ES51,2,0.0042
2011,NUTS,2010,ES52,2,0.002
2012,NUTS,2010,ES52,2,0.0019
2013,NUTS,2010,ES52,2,0.0022
2014,NUTS,2010,ES52,2,0.0021
2015,NUTS,2010,ES52,2,0.0017
2016,NUTS,2010,ES52,2,0.0018
2017,NUTS,2010,ES52,2,0.0018
2018,NUTS,2010,ES52,2,0.0006
2019,NUTS,2010,ES52,2,0.0007
2011,NUTS,2010,ES53,2,0.0026
2012,NUTS,2010,ES53,2,0.0036
2013,NUTS,2010,ES53,2,0.0034
2014,NUTS,2010,ES53,2,0.0033
2015,NUTS,2010,ES53,2,0.0024
2016,NUTS,2010,ES53,2,0.0028
2017,NUTS,2010,ES53,2,0.0026
2018,NUTS,2010,ES53,2,0.002
2011,NUTS,2010,ES6,1,0.0015
2012,NUTS,2010,ES6,1,0.0014
2013,NUTS,2010,ES6,1,0.0014
2014,NUTS,2010,ES6,1,0.0013
2015,NUTS,2010,ES6,1,0.0013
2016,NUTS,2010,ES6,1,0.0023
2017,NUTS,2010,ES6,1,0.0013
2018,NUTS,2010,ES6,1,0.0007
2019,NUTS,2010,ES6,1,0.0007
2011,NUTS,2010,ES61,2,0.0014
2012,NUTS,2010,ES61,2,0.0012
2013,NUTS,2010,ES61,2,0.0015
2014,NUTS,2010,ES61,2,0.0014
2015,NUTS,2010,ES61,2,0.0011
2016,NUTS,2010,ES61,2,0.0024
2017,NUTS,2010,ES61,2,0.0013
2018,NUTS,2010,ES61,2,0.0008
2019,NUTS,2010,ES61,2,0.0007
2012,NUTS,2010,ES62,2,0.0027
2013,NUTS,2010,ES62,2,0.0012
2014,NUTS,2010,ES62,2,0.0011
2015,NUTS,2010,ES62,2,0.0021
2016,NUTS,2010,ES62,2,0.0016
2018,NUTS,2010,ES62,2,0.0005
2019,NUTS,2010,ES62,2,0.0008
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,0.0008
2012,NUTS,2010,ES7,1,0.0009
2013,NUTS,2010,ES7,1,0.0008
2014,NUTS,2010,ES7,1,0.0015
2015,NUTS,2010,ES7,1,0.0014
2016,NUTS,2010,ES7,1,0.0014
2017,NUTS,2010,ES7,1,0.0012
2018,NUTS,2010,ES7,1,0.0004
2011,NUTS,2010,ES70,2,0.0008
2012,NUTS,2010,ES70,2,0.0009
2013,NUTS,2010,ES70,2,0.0008
2014,NUTS,2010,ES70,2,0.0015
2015,NUTS,2010,ES70,2,0.0014
2016,NUTS,2010,ES70,2,0.0014
2017,NUTS,2010,ES70,2,0.0012
2018,NUTS,2010,ES70,2,0.0004
2011,NUTS,2010,EU27_2020,7,0.0115
2012,NUTS,2010,EU27_2020,7,0.0116
2013,NUTS,2010,EU27_2020,7,0.0083
2014,NUTS,2010,EU27_2020,7,0.0087
2015,NUTS,2010,EU27_2020,7,0.0086
2016,NUTS,2010,EU27_2020,7,0.0096
2017,NUTS,2010,EU27_2020,7,0.0096
2018,NUTS,2010,EU27_2020,7,0.0102
2019,NUTS,2010,EU27_2020,7,0.0111
2011,NUTS,2010,FI,0,0.0275
2012,NUTS,2010,FI,0,0.0262
2013,NUTS,2010,FI,0,0.0256
2014,NUTS,2010,FI,0,0.0295
2015,NUTS,2010,FI,0,0.0296
2016,NUTS,2010,FI,0,0.0292
2017,NUTS,2010,FI,0,0.0286
2018,NUTS,2010,FI,0,0.0299
2019,NUTS,2010,FI,0,0.0289
2017,NUTS,2010,FI1,1,0.0276
2018,NUTS,2010,FI1,1,0.0288
2019,NUTS,2010,FI1,1,0.0278
2017,NUTS,2010,FI19,2,0.017
2018,NUTS,2010,FI19,2,0.0194
2019,NUTS,2010,FI19,2,0.0204
2017,NUTS,2010,FI1B,2,0.0659
2018,NUTS,2010,FI1B,2,0.0671
2019,NUTS,2010,FI1B,2,0.0626
2017,NUTS,2010,FI1C,2,0.0066
2018,NUTS,2010,FI1C,2,0.0076
2019,NUTS,2010,FI1C,2,0.0079
2017,NUTS,2010,FI1D,2,0.0011
2018,NUTS,2010,FI1D,2,0.0009
2019,NUTS,2010,FI1D,2,0.0011
2017,NUTS,2010,FI2,1,0.0
2018,NUTS,2010,FI2,1,0.0
2019,NUTS,2010,FI2,1,0.0
2017,NUTS,2010,FI20,2,0.0
2018,NUTS,2010,FI20,2,0.0
2019,NUTS,2010,FI20,2,0.0
2011,NUTS,2010,FR,0,0.0138
2012,NUTS,2010,FR,0,0.0159
2013,NUTS,2010,FR,0,0.0167
2014,NUTS,2010,FR,0,0.0174
2016,NUTS,2010,FR,0,0.0208
2017,NUTS,2010,FR,0,0.0206
2018,NUTS,2010,FR,0,0.022
2011,NUTS,2010,HR,0,0.0011
2011,NUTS,2010,HR0,1,0.001
2011,NUTS,2010,HR03,2,0.0033
2011,NUTS,2010,HR04,2,0.0
2012,NUTS,2010,HR04,2,0.0
2011,NUTS,2010,IS,0,0.0478
2016,NUTS,2010,IS,0,0.0
2017,NUTS,2010,IS,0,0.0
2018,NUTS,2010,IS,0,0.0
2011,NUTS,2010,IT,0,0.0241
2012,NUTS,2010,IT,0,0.0248
2013,NUTS,2010,IT,0,0.0273
2014,NUTS,2010,IT,0,0.0295
2015,NUTS,2010,IT,0,0.031
2016,NUTS,2010,IT,0,0.0301
