year,nuts_id,nuts_year_spec,rd_government_eur_hab
2014,AT,2016,55.0
2015,AT,2016,56.0
2016,AT,2016,90.8
2017,AT,2016,91.9
2018,AT,2016,98.1
2014,BE,2016,76.9
2015,BE,2016,82.7
2016,BE,2016,92.5
2017,BE,2016,98.1
2018,BE,2016,106.8
2014,BG,2016,11.6
2015,BG,2016,12.5
2016,BG,2016,11.1
2017,BG,2016,12.7
2018,BG,2016,13.3
2014,CH,2016,19.3
2015,CH,2016,22.0
2017,CH,2016,19.7
2014,CY,2016,14.4
2015,CY,2016,13.1
2016,CY,2016,12.3
2017,CY,2016,12.9
2018,CY,2016,12.9
2014,CZ,2016,53.5
2015,CZ,2016,62.9
2016,CZ,2016,51.0
2017,CZ,2016,56.0
2018,CZ,2016,61.7
2014,DE,2016,152.5
2015,DE,2016,153.8
2016,DE,2016,154.8
2017,DE,2016,163.4
2018,DE,2016,171.1
2014,DK,2016,31.6
2015,DK,2016,32.9
2016,DK,2016,34.0
2017,DK,2016,46.1
2018,DK,2016,45.0
2014,EE,2016,23.9
2015,EE,2016,24.9
2016,EE,2016,23.5
2017,EE,2016,27.2
2018,EE,2016,31.7
2014,EL,2016,37.8
2015,EL,2016,44.1
2016,EL,2016,40.7
2017,EL,2016,41.9
2018,EL,2016,45.4
2014,ES,2016,51.8
2015,ES,2016,54.3
2016,ES,2016,52.8
2017,ES,2016,53.6
2018,ES,2016,53.9
2014,FI,2016,103.3
2015,FI,2016,90.7
2016,FI,2016,88.1
2017,FI,2016,95.8
2018,FI,2016,97.0
2014,FR,2016,93.1
2015,FR,2016,95.7
2016,FR,2016,94.7
2017,FR,2016,94.6
2018,FR,2016,96.3
2014,HR,2016,20.9
2015,HR,2016,21.8
2016,HR,2016,20.4
2017,HR,2016,22.8
2018,HR,2016,24.4
2014,HU,2016,19.9
2015,HU,2016,20.4
2016,HU,2016,18.7
2017,HU,2016,21.4
2018,HU,2016,22.8
2014,IE,2016,28.1
2015,IE,2016,29.1
2016,IE,2016,28.2
2017,IE,2016,29.8
2018,IE,2016,32.8
2014,IS,2016,48.7
2015,IS,2016,48.7
2016,IS,2016,56.3
2017,IS,2016,56.4
2018,IS,2016,53.2
2014,IT,2016,48.7
2015,IT,2016,47.9
2016,IT,2016,48.0
2017,IT,2016,48.5
2018,IT,2016,52.0
2014,JP,2016,81.5
2015,JP,2016,80.7
2016,JP,2016,83.7
2017,JP,2016,85.2
2018,JP,2016,84.3
2014,KR,2016,100.7
2015,KR,2016,120.8
2016,KR,2016,121.8
2017,KR,2016,128.5
2018,KR,2016,128.8
2014,LT,2016,21.8
2015,LT,2016,22.8
2016,LT,2016,29.6
2017,LT,2016,37.1
2018,LT,2016,33.8
2014,LU,2016,342.0
2015,LU,2016,350.6
2016,LU,2016,314.8
2017,LU,2016,291.0
2018,LU,2016,304.8
2014,LV,2016,19.5
2015,LV,2016,19.6
2016,LV,2016,17.8
2017,LV,2016,18.5
2018,LV,2016,21.9
2014,ME,2016,4.3
2015,ME,2016,4.2
2016,ME,2016,4.4
2017,ME,2016,7.2
2018,ME,2016,10.1
2015,MK,2016,2.7
2016,MK,2016,2.2
2017,MK,2016,1.9
2018,MK,2016,1.8
2014,MT,2016,14.1
2015,MT,2016,26.8
2016,MT,2016,1.7
2017,MT,2016,1.3
2018,MT,2016,1.8
2014,NL,2016,52.8
2015,NL,2016,53.3
2016,NL,2016,54.4
2017,NL,2016,53.1
2018,NL,2016,56.5
2014,NO,2016,192.3
2015,NO,2016,195.8
2016,NO,2016,185.2
2017,NO,2016,192.9
2018,NO,2016,198.4
2014,PL,2016,24.3
2015,PL,2016,27.7
2016,PL,2016,2.7
2017,PL,2016,2.9
2018,PL,2016,3.1
2014,PT,2016,13.4
2015,PT,2016,14.0
2016,PT,2016,12.1
2017,PT,2016,13.7
2018,PT,2016,14.3
2014,RO,2016,12.4
2015,RO,2016,15.1
2016,RO,2016,13.8
2017,RO,2016,15.6
2018,RO,2016,16.1
2014,RS,2016,8.8
2015,RS,2016,11.1
2016,RS,2016,11.4
2017,RS,2016,13.1
2018,RS,2016,15.9
2014,RU,2016,35.3
2014,SE,2016,52.9
2015,SE,2016,51.4
2016,SE,2016,52.3
2017,SE,2016,58.5
2018,SE,2016,55.9
2014,SI,2016,52.5
2015,SI,2016,55.9
2016,SI,2016,52.9
2017,SI,2016,53.6
2018,SI,2016,58.5
2014,SK,2016,35.0
2015,SK,2016,47.7
2016,SK,2016,25.3
2017,SK,2016,28.7
2018,SK,2016,29.3
2014,TR,2016,7.7
2015,TR,2016,9.1
2016,TR,2016,8.9
2017,TR,2016,8.7
2018,TR,2016,7.7
2014,UK,2016,42.8
2015,UK,2016,44.6
2016,UK,2016,40.5
2017,UK,2016,38.0
2018,UK,2016,42.0
2014,US,2016,127.8
2015,US,2016,153.5
2016,US,2016,146.8
2017,US,2016,147.3
2018,US,2016,156.1
