year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_pc_emp_hc_total_pnp
1998,NUTS,2010,AT,0,0.0119
2002,NUTS,2010,AT,0,0.0189
2004,NUTS,2010,AT,0,0.0189
2006,NUTS,2010,AT,0,0.0134
2007,NUTS,2010,AT,0,0.0108
2009,NUTS,2010,AT,0,0.021
2011,NUTS,2010,AT,0,0.0239
2013,NUTS,2010,AT,0,0.0248
2015,NUTS,2010,AT,0,0.0288
2017,NUTS,2010,AT,0,0.0299
2019,NUTS,2010,AT,0,0.0337
2007,NUTS,2010,AT1,1,0.0209
2009,NUTS,2010,AT1,1,0.046
2011,NUTS,2010,AT1,1,0.0495
2013,NUTS,2010,AT1,1,0.0512
2015,NUTS,2010,AT1,1,0.0611
2017,NUTS,2010,AT1,1,0.0616
2019,NUTS,2010,AT1,1,0.0694
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2002,NUTS,2010,AT12,2,0.0044
2004,NUTS,2010,AT12,2,0.0047
2006,NUTS,2010,AT12,2,0.0045
2007,NUTS,2010,AT12,2,0.0049
2009,NUTS,2010,AT12,2,0.0385
2011,NUTS,2010,AT12,2,0.0426
2013,NUTS,2010,AT12,2,0.0463
2015,NUTS,2010,AT12,2,0.051
2017,NUTS,2010,AT12,2,0.0569
2002,NUTS,2010,AT13,2,0.0557
2004,NUTS,2010,AT13,2,0.0621
2006,NUTS,2010,AT13,2,0.0501
2007,NUTS,2010,AT13,2,0.0402
2009,NUTS,2010,AT13,2,0.061
2011,NUTS,2010,AT13,2,0.0643
2013,NUTS,2010,AT13,2,0.0641
2015,NUTS,2010,AT13,2,0.0804
2017,NUTS,2010,AT13,2,0.0757
2019,NUTS,2010,AT13,2,0.0896
2006,NUTS,2010,AT2,1,0.0047
2019,NUTS,2010,AT2,1,0.0054
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,0.0068
2002,NUTS,2010,AT22,2,0.0117
2004,NUTS,2010,AT22,2,0.0121
2006,NUTS,2010,AT22,2,0.0068
2009,NUTS,2010,AT22,2,0.0
2002,NUTS,2010,AT3,1,0.0123
2004,NUTS,2010,AT3,1,0.0107
2007,NUTS,2010,AT3,1,0.0044
2019,NUTS,2010,AT3,1,0.0074
2002,NUTS,2010,AT31,2,0.007
2004,NUTS,2010,AT31,2,0.0043
2006,NUTS,2010,AT31,2,0.006
2009,NUTS,2010,AT31,2,0.0035
2011,NUTS,2010,AT31,2,0.0073
