year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_pc_act_hc_total_hes
1998,NUTS,2010,AT,0,0.5182
2002,NUTS,2010,AT,0,0.603
2004,NUTS,2010,AT,0,0.7179
2006,NUTS,2010,AT,0,0.7849
2007,NUTS,2010,AT,0,0.8477
2009,NUTS,2010,AT,0,0.9206
2011,NUTS,2010,AT,0,0.9917
2013,NUTS,2010,AT,0,1.0333
2015,NUTS,2010,AT,0,1.0776
2017,NUTS,2010,AT,0,1.0875
2019,NUTS,2010,AT,0,1.1842
2011,NUTS,2010,AT1,1,1.2292
2013,NUTS,2010,AT1,1,1.2956
2019,NUTS,2010,AT1,1,1.44
2011,NUTS,2010,AT11,2,0.0768
2013,NUTS,2010,AT11,2,0.1154
2019,NUTS,2010,AT11,2,0.1454
2002,NUTS,2010,AT12,2,0.0187
2004,NUTS,2010,AT12,2,0.025
2006,NUTS,2010,AT12,2,0.0467
2007,NUTS,2010,AT12,2,0.0537
2009,NUTS,2010,AT12,2,0.0645
2011,NUTS,2010,AT12,2,0.069
2013,NUTS,2010,AT12,2,0.1361
2015,NUTS,2010,AT12,2,0.161
2017,NUTS,2010,AT12,2,0.2183
2019,NUTS,2010,AT12,2,0.2819
2002,NUTS,2010,AT13,2,1.613
2004,NUTS,2010,AT13,2,1.9842
2006,NUTS,2010,AT13,2,2.0736
2007,NUTS,2010,AT13,2,2.234
2009,NUTS,2010,AT13,2,2.4164
2011,NUTS,2010,AT13,2,2.5081
2013,NUTS,2010,AT13,2,2.5289
2015,NUTS,2010,AT13,2,2.5682
2017,NUTS,2010,AT13,2,2.4742
2019,NUTS,2010,AT13,2,2.6602
2006,NUTS,2010,AT2,1,0.7507
2007,NUTS,2010,AT2,1,0.8568
2009,NUTS,2010,AT2,1,0.9634
2011,NUTS,2010,AT2,1,1.0594
2013,NUTS,2010,AT2,1,1.0677
2017,NUTS,2010,AT2,1,1.1845
2019,NUTS,2010,AT2,1,1.3033
2006,NUTS,2010,AT21,2,0.292
2007,NUTS,2010,AT21,2,0.3154
2009,NUTS,2010,AT21,2,0.3184
2011,NUTS,2010,AT21,2,0.351
2013,NUTS,2010,AT21,2,0.3286
2015,NUTS,2010,AT21,2,0.3137
2017,NUTS,2010,AT21,2,0.3567
2019,NUTS,2010,AT21,2,0.4507
2002,NUTS,2010,AT22,2,0.8164
2004,NUTS,2010,AT22,2,0.8785
2006,NUTS,2010,AT22,2,0.9538
2007,NUTS,2010,AT22,2,1.0985
2009,NUTS,2010,AT22,2,1.2501
2011,NUTS,2010,AT22,2,1.3736
2013,NUTS,2010,AT22,2,1.4019
2015,NUTS,2010,AT22,2,1.5233
2017,NUTS,2010,AT22,2,1.5496
2019,NUTS,2010,AT22,2,1.6743
2002,NUTS,2010,AT3,1,0.3552
2011,NUTS,2010,AT3,1,0.6453
2013,NUTS,2010,AT3,1,0.6774
2019,NUTS,2010,AT3,1,0.7876
2002,NUTS,2010,AT31,2,0.1714
2004,NUTS,2010,AT31,2,0.2117
2006,NUTS,2010,AT31,2,0.2388
2007,NUTS,2010,AT31,2,0.2339
2009,NUTS,2010,AT31,2,0.2609
2011,NUTS,2010,AT31,2,0.3194
2013,NUTS,2010,AT31,2,0.3177
2015,NUTS,2010,AT31,2,0.3594
2017,NUTS,2010,AT31,2,0.3595
2019,NUTS,2010,AT31,2,0.3804
2006,NUTS,2010,AT32,2,0.6059
2007,NUTS,2010,AT32,2,0.622
2009,NUTS,2010,AT32,2,0.7172
2011,NUTS,2010,AT32,2,0.8273
2013,NUTS,2010,AT32,2,0.9245
2015,NUTS,2010,AT32,2,1.0403
2017,NUTS,2010,AT32,2,1.1182
2019,NUTS,2010,AT32,2,1.1474
2002,NUTS,2010,AT33,2,0.8818
2004,NUTS,2010,AT33,2,1.1049
2006,NUTS,2010,AT33,2,1.2175
2007,NUTS,2010,AT33,2,1.3333
2009,NUTS,2010,AT33,2,1.3437
2011,NUTS,2010,AT33,2,1.4705
2013,NUTS,2010,AT33,2,1.5109
2015,NUTS,2010,AT33,2,1.5242
2017,NUTS,2010,AT33,2,1.5526
2019,NUTS,2010,AT33,2,1.684
2011,NUTS,2010,AT34,2,0.0196
2013,NUTS,2010,AT34,2,0.0382
2019,NUTS,2010,AT34,2,0.0647
2002,NUTS,2010,BE,0,0.6809
2003,NUTS,2010,BE,0,0.6859
2004,NUTS,2010,BE,0,0.7345
2005,NUTS,2010,BE,0,0.742
2006,NUTS,2010,BE,0,0.784
2007,NUTS,2010,BE,0,0.7952
2008,NUTS,2010,BE,0,0.8254
2009,NUTS,2010,BE,0,0.8518
2010,NUTS,2010,BE,0,0.8501
2011,NUTS,2010,BE,0,0.8795
2012,NUTS,2010,BE,0,0.8786
2013,NUTS,2010,BE,0,0.8805
2014,NUTS,2010,BE,0,0.945
2015,NUTS,2010,BE,0,0.9361
2016,NUTS,2010,BE,0,0.9624
2017,NUTS,2010,BE,0,0.9662
2018,NUTS,2010,BE,0,1.0354
2019,NUTS,2010,BE,0,1.0279
2012,NUTS,2010,BE1,1,1.7099
2013,NUTS,2010,BE1,1,1.7048
2014,NUTS,2010,BE1,1,1.8699
2015,NUTS,2010,BE1,1,1.7347
2016,NUTS,2010,BE1,1,1.7264
2017,NUTS,2010,BE1,1,1.7132
2018,NUTS,2010,BE1,1,2.0103
2019,NUTS,2010,BE1,1,1.9145
2012,NUTS,2010,BE10,2,1.7099
2013,NUTS,2010,BE10,2,1.7048
2014,NUTS,2010,BE10,2,1.8699
2015,NUTS,2010,BE10,2,1.7347
2016,NUTS,2010,BE10,2,1.7264
2017,NUTS,2010,BE10,2,1.7132
2018,NUTS,2010,BE10,2,2.0103
2019,NUTS,2010,BE10,2,1.9145
2012,NUTS,2010,BE2,1,0.8477
2013,NUTS,2010,BE2,1,0.8605
2014,NUTS,2010,BE2,1,0.9194
2015,NUTS,2010,BE2,1,0.9329
2016,NUTS,2010,BE2,1,0.9462
2017,NUTS,2010,BE2,1,0.9413
2018,NUTS,2010,BE2,1,0.9664
2019,NUTS,2010,BE2,1,0.9743
2012,NUTS,2010,BE3,1,0.6462
2013,NUTS,2010,BE3,1,0.6279
2014,NUTS,2010,BE3,1,0.6698
2015,NUTS,2010,BE3,1,0.6555
2016,NUTS,2010,BE3,1,0.7126
2017,NUTS,2010,BE3,1,0.7382
2018,NUTS,2010,BE3,1,0.8089
2019,NUTS,2010,BE3,1,0.801
2000,NUTS,2010,BG,0,0.0749
2001,NUTS,2010,BG,0,0.083
2002,NUTS,2010,BG,0,0.097
2003,NUTS,2010,BG,0,0.1048
2004,NUTS,2010,BG,0,0.1145
2005,NUTS,2010,BG,0,0.1286
2006,NUTS,2010,BG,0,0.125
2007,NUTS,2010,BG,0,0.1566
2008,NUTS,2010,BG,0,0.166
2009,NUTS,2010,BG,0,0.2279
2010,NUTS,2010,BG,0,0.2308
2011,NUTS,2010,BG,0,0.2543
2012,NUTS,2010,BG,0,0.2606
2013,NUTS,2010,BG,0,0.2637
2014,NUTS,2010,BG,0,0.3155
2015,NUTS,2010,BG,0,0.3205
2016,NUTS,2010,BG,0,0.3538
2017,NUTS,2010,BG,0,0.3231
2018,NUTS,2010,BG,0,0.3512
2019,NUTS,2010,BG,0,0.3413
2003,NUTS,2010,BG3,1,0.094
2004,NUTS,2010,BG3,1,0.1041
2005,NUTS,2010,BG3,1,0.1338
2006,NUTS,2010,BG3,1,0.1332
2007,NUTS,2010,BG3,1,0.1518
2009,NUTS,2010,BG3,1,0.1972
2010,NUTS,2010,BG3,1,0.195
