year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_lsr_p_mhab
1990,NUTS,2010,AT,0,0.392
1991,NUTS,2010,AT,0,0.13
1992,NUTS,2010,AT,0,0.256
1993,NUTS,2010,AT,0,0.127
1995,NUTS,2010,AT,0,0.252
1996,NUTS,2010,AT,0,0.126
1997,NUTS,2010,AT,0,0.126
1998,NUTS,2010,AT,0,0.063
1999,NUTS,2010,AT,0,0.94
2000,NUTS,2010,AT,0,0.459
2001,NUTS,2010,AT,0,0.343
2002,NUTS,2010,AT,0,0.347
2003,NUTS,2010,AT,0,0.905
2004,NUTS,2010,AT,0,0.368
2005,NUTS,2010,AT,0,0.122
2006,NUTS,2010,AT,0,0.363
2007,NUTS,2010,AT,0,0.664
2008,NUTS,2010,AT,0,0.361
2009,NUTS,2010,AT,0,0.75
2010,NUTS,2010,AT,0,0.359
2011,NUTS,2010,AT,0,0.507
2012,NUTS,2010,AT,0,0.119
2000,NUTS,2010,AT1,1,0.795
2002,NUTS,2010,AT1,1,0.825
2003,NUTS,2010,AT1,1,0.585
2004,NUTS,2010,AT1,1,0.29
2005,NUTS,2010,AT1,1,0.287
2006,NUTS,2010,AT1,1,0.285
2007,NUTS,2010,AT1,1,0.85
2008,NUTS,2010,AT1,1,0.282
2010,NUTS,2010,AT1,1,0.279
2011,NUTS,2010,AT1,1,0.904
2000,NUTS,2010,AT11,2,1.81
2000,NUTS,2010,AT12,2,0.866
2002,NUTS,2010,AT12,2,1.249
2003,NUTS,2010,AT12,2,0.323
2004,NUTS,2010,AT12,2,0.321
2007,NUTS,2010,AT12,2,0.579
2008,NUTS,2010,AT12,2,0.157
2011,NUTS,2010,AT12,2,1.087
2011,NUTS,2010,AT121,3,4.149
2007,NUTS,2010,AT125,3,2.668
2002,NUTS,2010,AT126,3,5.505
2003,NUTS,2010,AT126,3,1.786
2004,NUTS,2010,AT126,3,1.767
2007,NUTS,2010,AT126,3,1.121
2008,NUTS,2010,AT126,3,0.839
2011,NUTS,2010,AT126,3,1.634
2002,NUTS,2010,AT127,3,1.362
2007,NUTS,2010,AT127,3,0.807
2011,NUTS,2010,AT127,3,0.785
2000,NUTS,2010,AT13,2,0.536
2002,NUTS,2010,AT13,2,0.554
2003,NUTS,2010,AT13,2,0.942
2004,NUTS,2010,AT13,2,0.31
2005,NUTS,2010,AT13,2,0.613
2006,NUTS,2010,AT13,2,0.605
2007,NUTS,2010,AT13,2,1.252
2008,NUTS,2010,AT13,2,0.449
2010,NUTS,2010,AT13,2,0.592
2011,NUTS,2010,AT13,2,0.881
2000,NUTS,2010,AT130,3,0.536
2002,NUTS,2010,AT130,3,0.554
2003,NUTS,2010,AT130,3,0.942
2004,NUTS,2010,AT130,3,0.31
2005,NUTS,2010,AT130,3,0.613
2006,NUTS,2010,AT130,3,0.605
2007,NUTS,2010,AT130,3,1.252
2008,NUTS,2010,AT130,3,0.449
2010,NUTS,2010,AT130,3,0.592
2011,NUTS,2010,AT130,3,0.881
2003,NUTS,2010,AT2,1,0.915
2006,NUTS,2010,AT2,1,0.994
2003,NUTS,2010,AT21,2,2.864
2006,NUTS,2010,AT21,2,2.682
2003,NUTS,2010,AT211,3,5.935
2006,NUTS,2010,AT211,3,5.507
2006,NUTS,2010,AT22,2,0.208
2006,NUTS,2010,AT221,3,0.654
2000,NUTS,2010,AT3,1,0.345
2001,NUTS,2010,AT3,1,0.945
2003,NUTS,2010,AT3,1,1.135
2004,NUTS,2010,AT3,1,0.678
2007,NUTS,2010,AT3,1,0.836
2008,NUTS,2010,AT3,1,0.667
2009,NUTS,2010,AT3,1,2.08
2010,NUTS,2010,AT3,1,0.665
2011,NUTS,2010,AT3,1,0.332
2012,NUTS,2010,AT3,1,0.33
2001,NUTS,2010,AT32,2,0.486
2001,NUTS,2010,AT323,3,0.754
2009,NUTS,2010,AT33,2,1.423
2011,NUTS,2010,AT33,2,1.413
2009,NUTS,2010,AT333,3,6.616
2009,NUTS,2010,AT335,3,2.802
2011,NUTS,2010,AT335,3,4.152
2000,NUTS,2010,AT34,2,2.871
2001,NUTS,2010,AT34,2,7.14
2003,NUTS,2010,AT34,2,9.391
2004,NUTS,2010,AT34,2,5.601
2007,NUTS,2010,AT34,2,6.863
2008,NUTS,2010,AT34,2,5.471
2009,NUTS,2010,AT34,2,14.303
2010,NUTS,2010,AT34,2,5.429
2012,NUTS,2010,AT34,2,2.696
2001,NUTS,2010,AT342,3,9.483
2003,NUTS,2010,AT342,3,12.461
2004,NUTS,2010,AT342,3,7.428
2007,NUTS,2010,AT342,3,9.073
2008,NUTS,2010,AT342,3,7.214
2009,NUTS,2010,AT342,3,18.836
2010,NUTS,2010,AT342,3,7.14
2012,NUTS,2010,AT342,3,3.533
1990,NUTS,2010,BE,0,0.121
1992,NUTS,2010,BE,0,0.2
1993,NUTS,2010,BE,0,0.182
1995,NUTS,2010,BE,0,0.099
1996,NUTS,2010,BE,0,0.099
1997,NUTS,2010,BE,0,0.197
1998,NUTS,2010,BE,0,0.268
1999,NUTS,2010,BE,0,0.522
2000,NUTS,2010,BE,0,0.098
2001,NUTS,2010,BE,0,0.504
2002,NUTS,2010,BE,0,0.104
2003,NUTS,2010,BE,0,0.097
2004,NUTS,2010,BE,0,0.075
2005,NUTS,2010,BE,0,0.527
2006,NUTS,2010,BE,0,0.404
2008,NUTS,2010,BE,0,0.031
2009,NUTS,2010,BE,0,0.093
2010,NUTS,2010,BE,0,0.339
2011,NUTS,2010,BE,0,0.221
2001,NUTS,2010,BE1,1,0.207
2002,NUTS,2010,BE1,1,0.204
2004,NUTS,2010,BE1,1,0.45
2006,NUTS,2010,BE1,1,0.982
2001,NUTS,2010,BE10,2,0.207
2002,NUTS,2010,BE10,2,0.204
2004,NUTS,2010,BE10,2,0.45
2006,NUTS,2010,BE10,2,0.982
2001,NUTS,2010,BE100,3,0.207
2002,NUTS,2010,BE100,3,0.204
2004,NUTS,2010,BE100,3,0.45
2006,NUTS,2010,BE100,3,0.982
2000,NUTS,2010,BE2,1,0.168
2001,NUTS,2010,BE2,1,0.835
2002,NUTS,2010,BE2,1,0.055
2003,NUTS,2010,BE2,1,0.167
2005,NUTS,2010,BE2,1,0.827
2006,NUTS,2010,BE2,1,0.535
