year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_emp_hc_total_bes_t
1998,NUTS,2010,AT,0,0.6827
2002,NUTS,2010,AT,0,0.924
2004,NUTS,2010,AT,0,1.061
2006,NUTS,2010,AT,0,1.1984
2007,NUTS,2010,AT,0,1.2513
2009,NUTS,2010,AT,0,1.2962
2011,NUTS,2010,AT,0,1.4727
2013,NUTS,2010,AT,0,1.6208
2015,NUTS,2010,AT,0,1.7455
2017,NUTS,2010,AT,0,1.7043
2019,NUTS,2010,AT,0,1.8522
2002,NUTS,2010,AT1,1,0.9926
2004,NUTS,2010,AT1,1,1.1185
2006,NUTS,2010,AT1,1,1.2084
2007,NUTS,2010,AT1,1,1.2389
2009,NUTS,2010,AT1,1,1.1909
2011,NUTS,2010,AT1,1,1.3247
2013,NUTS,2010,AT1,1,1.3723
2015,NUTS,2010,AT1,1,1.4386
2017,NUTS,2010,AT1,1,1.3034
2019,NUTS,2010,AT1,1,1.4579
2002,NUTS,2010,AT11,2,0.2943
2004,NUTS,2010,AT11,2,0.3314
2006,NUTS,2010,AT11,2,0.3094
2007,NUTS,2010,AT11,2,0.3701
2009,NUTS,2010,AT11,2,0.4888
2011,NUTS,2010,AT11,2,0.6318
2013,NUTS,2010,AT11,2,0.7254
2015,NUTS,2010,AT11,2,0.7793
2017,NUTS,2010,AT11,2,0.8066
2019,NUTS,2010,AT11,2,0.8278
2002,NUTS,2010,AT12,2,0.5122
2004,NUTS,2010,AT12,2,0.5878
2006,NUTS,2010,AT12,2,0.6738
2007,NUTS,2010,AT12,2,0.6793
2009,NUTS,2010,AT12,2,0.7626
2011,NUTS,2010,AT12,2,0.8641
2013,NUTS,2010,AT12,2,0.9358
2015,NUTS,2010,AT12,2,1.0113
2017,NUTS,2010,AT12,2,0.9811
2019,NUTS,2010,AT12,2,1.0853
2002,NUTS,2010,AT13,2,1.5872
2004,NUTS,2010,AT13,2,1.7921
2006,NUTS,2010,AT13,2,1.9041
2007,NUTS,2010,AT13,2,1.9681
2009,NUTS,2010,AT13,2,1.7479
2011,NUTS,2010,AT13,2,1.9101
2013,NUTS,2010,AT13,2,1.9103
2015,NUTS,2010,AT13,2,1.9707
2017,NUTS,2010,AT13,2,1.697
2019,NUTS,2010,AT13,2,1.9064
2002,NUTS,2010,AT2,1,1.0442
2004,NUTS,2010,AT2,1,1.2291
2006,NUTS,2010,AT2,1,1.373
2007,NUTS,2010,AT2,1,1.4523
2009,NUTS,2010,AT2,1,1.5298
2011,NUTS,2010,AT2,1,1.8276
2013,NUTS,2010,AT2,1,2.1393
2015,NUTS,2010,AT2,1,2.3433
2017,NUTS,2010,AT2,1,2.2857
2019,NUTS,2010,AT2,1,2.5048
