year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_mio_eur_total
1981,NUTS,2010,AT,0,696.078
1982,NUTS,2010,AT,0,826.786
1983,NUTS,2010,AT,0,928.684
1984,NUTS,2010,AT,0,1032.971
1985,NUTS,2010,AT,0,1098.422
1986,NUTS,2010,AT,0,1249.084
1987,NUTS,2010,AT,0,1340.059
1988,NUTS,2010,AT,0,1449.138
1989,NUTS,2010,AT,0,1576.379
1990,NUTS,2010,AT,0,1770.14
1991,NUTS,2010,AT,0,2007.037
1992,NUTS,2010,AT,0,2132.743
1993,NUTS,2010,AT,0,2326.338
1994,NUTS,2010,AT,0,2592.205
1995,NUTS,2010,AT,0,2820.125
1996,NUTS,2010,AT,0,2955.598
1997,NUTS,2010,AT,0,3108.909
1998,NUTS,2010,AT,0,3376.872
1999,NUTS,2010,AT,0,3761.8
2000,NUTS,2010,AT,0,4028.67
2001,NUTS,2010,AT,0,4393.09
2002,NUTS,2010,AT,0,4684.313
2003,NUTS,2010,AT,0,5041.98
2004,NUTS,2010,AT,0,5249.546
2005,NUTS,2010,AT,0,6029.81
2006,NUTS,2010,AT,0,6318.587
2007,NUTS,2010,AT,0,6867.815
2008,NUTS,2010,AT,0,7548.06
2009,NUTS,2010,AT,0,7479.745
2010,NUTS,2010,AT,0,8066.44
2011,NUTS,2010,AT,0,8276.335
2012,NUTS,2010,AT,0,9287.84
2013,NUTS,2010,AT,0,9571.282
2014,NUTS,2010,AT,0,10275.18
2015,NUTS,2010,AT,0,10499.146
2016,NUTS,2010,AT,0,11145.02
2017,NUTS,2010,AT,0,11289.781
2018,NUTS,2010,AT,0,11911.85
2019,NUTS,2010,AT,0,12441.232
2020,NUTS,2010,AT,0,12143.11
1989,NUTS,2010,AT1,1,878.901
1993,NUTS,2010,AT1,1,1332.29
1998,NUTS,2010,AT1,1,1842.471
2002,NUTS,2010,AT1,1,2338.118
2004,NUTS,2010,AT1,1,2540.263
2006,NUTS,2010,AT1,1,2926.016
2007,NUTS,2010,AT1,1,3170.32
2009,NUTS,2010,AT1,1,3491.495
2011,NUTS,2010,AT1,1,3634.037
2013,NUTS,2010,AT1,1,3815.886
2015,NUTS,2010,AT1,1,4180.931
2017,NUTS,2010,AT1,1,4464.973
2019,NUTS,2010,AT1,1,4869.478
1989,NUTS,2010,AT11,2,4.873
1993,NUTS,2010,AT11,2,11.363
1998,NUTS,2010,AT11,2,7.946
2002,NUTS,2010,AT11,2,32.681
2004,NUTS,2010,AT11,2,29.325
2006,NUTS,2010,AT11,2,34.383
2007,NUTS,2010,AT11,2,37.458
2009,NUTS,2010,AT11,2,49.284
2011,NUTS,2010,AT11,2,56.846
2013,NUTS,2010,AT11,2,67.346
2015,NUTS,2010,AT11,2,79.729
2017,NUTS,2010,AT11,2,74.392
2019,NUTS,2010,AT11,2,80.172
1989,NUTS,2010,AT12,2,96.439
1993,NUTS,2010,AT12,2,102.879
1998,NUTS,2010,AT12,2,195.669
2002,NUTS,2010,AT12,2,284.848
2004,NUTS,2010,AT12,2,326.623
2006,NUTS,2010,AT12,2,461.53
2007,NUTS,2010,AT12,2,514.866
2009,NUTS,2010,AT12,2,595.62
2011,NUTS,2010,AT12,2,706.439
2013,NUTS,2010,AT12,2,809.844
