year,region_type,region_year_spec,region_id,region_level,pat_ep_rtot_gdp_beur
2000,NUTS,2010,AT,0,5.551
2001,NUTS,2010,AT,0,5.473
2002,NUTS,2010,AT,0,5.701
2003,NUTS,2010,AT,0,6.029
2004,NUTS,2010,AT,0,5.989
2005,NUTS,2010,AT,0,6.044
2006,NUTS,2010,AT,0,6.581
2007,NUTS,2010,AT,0,6.101
2008,NUTS,2010,AT,0,5.578
2009,NUTS,2010,AT,0,5.959
2010,NUTS,2010,AT,0,5.974
2011,NUTS,2010,AT,0,5.814
2012,NUTS,2010,AT,0,5.062
2000,NUTS,2010,AT1,1,3.97
2001,NUTS,2010,AT1,1,4.228
2002,NUTS,2010,AT1,1,4.533
2003,NUTS,2010,AT1,1,5.254
2004,NUTS,2010,AT1,1,5.051
2005,NUTS,2010,AT1,1,5.043
2006,NUTS,2010,AT1,1,5.846
2007,NUTS,2010,AT1,1,4.99
2008,NUTS,2010,AT1,1,3.964
2009,NUTS,2010,AT1,1,3.905
2010,NUTS,2010,AT1,1,3.764
2011,NUTS,2010,AT1,1,3.762
2012,NUTS,2010,AT1,1,3.438
2000,NUTS,2010,AT11,2,3.957
2001,NUTS,2010,AT11,2,2.723
2002,NUTS,2010,AT11,2,2.668
2003,NUTS,2010,AT11,2,4.484
2004,NUTS,2010,AT11,2,3.7
2005,NUTS,2010,AT11,2,2.988
2006,NUTS,2010,AT11,2,4.848
2007,NUTS,2010,AT11,2,4.608
2008,NUTS,2010,AT11,2,3.372
2009,NUTS,2010,AT11,2,4.059
2010,NUTS,2010,AT11,2,3.591
2011,NUTS,2010,AT11,2,2.533
2012,NUTS,2010,AT11,2,2.459
2001,NUTS,2010,AT111,3,1.616
2003,NUTS,2010,AT111,3,4.262
2004,NUTS,2010,AT111,3,3.743
2006,NUTS,2010,AT111,3,1.42
2007,NUTS,2010,AT111,3,0.234
2008,NUTS,2010,AT111,3,2.451
2009,NUTS,2010,AT111,3,1.383
2010,NUTS,2010,AT111,3,0.686
2011,NUTS,2010,AT111,3,3.525
2012,NUTS,2010,AT111,3,1.063
2000,NUTS,2010,AT112,3,5.74
2001,NUTS,2010,AT112,3,2.913
2002,NUTS,2010,AT112,3,3.221
2003,NUTS,2010,AT112,3,4.254
2004,NUTS,2010,AT112,3,4.407
2005,NUTS,2010,AT112,3,4.529
2006,NUTS,2010,AT112,3,5.54
