year,region_type,region_year_spec,region_id,region_level,pat_ep_rtot_p_mhab
2011,NUTS,2010,AT,0,214.237
2012,NUTS,2010,AT,0,190.874
2011,NUTS,2010,AT1,1,141.666
2012,NUTS,2010,AT1,1,131.476
2011,NUTS,2010,AT11,2,61.74
2012,NUTS,2010,AT11,2,62.74
2011,NUTS,2010,AT111,3,71.99
2012,NUTS,2010,AT111,3,22.097
2011,NUTS,2010,AT112,3,64.338
2012,NUTS,2010,AT112,3,76.279
2011,NUTS,2010,AT113,3,53.816
2012,NUTS,2010,AT113,3,57.511
2011,NUTS,2010,AT12,2,142.32
2012,NUTS,2010,AT12,2,145.362
2011,NUTS,2010,AT121,3,215.314
2012,NUTS,2010,AT121,3,271.268
2011,NUTS,2010,AT122,3,110.302
2012,NUTS,2010,AT122,3,111.58
2011,NUTS,2010,AT123,3,125.806
2012,NUTS,2010,AT123,3,65.517
2011,NUTS,2010,AT124,3,64.612
2012,NUTS,2010,AT124,3,91.769
2011,NUTS,2010,AT125,3,61.609
2012,NUTS,2010,AT125,3,59.575
2011,NUTS,2010,AT126,3,137.718
2012,NUTS,2010,AT126,3,173.653
2011,NUTS,2010,AT127,3,209.471
2012,NUTS,2010,AT127,3,156.88
2011,NUTS,2010,AT13,2,154.405
2012,NUTS,2010,AT13,2,129.86
2011,NUTS,2010,AT130,3,154.405
2012,NUTS,2010,AT130,3,129.86
2011,NUTS,2010,AT2,1,191.348
2012,NUTS,2010,AT2,1,180.232
2011,NUTS,2010,AT21,2,123.276
2012,NUTS,2010,AT21,2,102.405
2011,NUTS,2010,AT211,3,140.179
2012,NUTS,2010,AT211,3,141.668
2011,NUTS,2010,AT212,3,117.51
2012,NUTS,2010,AT212,3,71.453
2011,NUTS,2010,AT213,3,97.606
2012,NUTS,2010,AT213,3,56.842
2011,NUTS,2010,AT22,2,222.756
2012,NUTS,2010,AT22,2,216.034
2011,NUTS,2010,AT221,3,393.84
2012,NUTS,2010,AT221,3,356.053
2011,NUTS,2010,AT222,3,87.038
2012,NUTS,2010,AT222,3,62.045
2011,NUTS,2010,AT223,3,203.619
2012,NUTS,2010,AT223,3,175.779
2011,NUTS,2010,AT224,3,109.695
2012,NUTS,2010,AT224,3,133.427
2011,NUTS,2010,AT225,3,162.657
2012,NUTS,2010,AT225,3,150.879
2011,NUTS,2010,AT226,3,96.058
2012,NUTS,2010,AT226,3,181.657
2011,NUTS,2010,AT3,1,304.621
2012,NUTS,2010,AT3,1,259.005
2011,NUTS,2010,AT31,2,287.983
2012,NUTS,2010,AT31,2,252.563
2011,NUTS,2010,AT311,3,257.703
2012,NUTS,2010,AT311,3,218.946
2011,NUTS,2010,AT312,3,360.686
2012,NUTS,2010,AT312,3,328.141
2011,NUTS,2010,AT313,3,168.764
2012,NUTS,2010,AT313,3,152.51
2011,NUTS,2010,AT314,3,256.017
2012,NUTS,2010,AT314,3,242.591
2011,NUTS,2010,AT315,3,277.494
2012,NUTS,2010,AT315,3,206.758
2011,NUTS,2010,AT32,2,194.19
2012,NUTS,2010,AT32,2,142.759
2011,NUTS,2010,AT321,3,228.069
2011,NUTS,2010,AT322,3,68.354
2012,NUTS,2010,AT322,3,85.864
2011,NUTS,2010,AT323,3,251.43
2012,NUTS,2010,AT323,3,178.08
2011,NUTS,2010,AT33,2,205.211
2012,NUTS,2010,AT33,2,185.783
2011,NUTS,2010,AT331,3,432.499
2012,NUTS,2010,AT331,3,337.082
2011,NUTS,2010,AT332,3,233.24
2012,NUTS,2010,AT332,3,207.58
2011,NUTS,2010,AT333,3,117.89
2012,NUTS,2010,AT333,3,233.129
2011,NUTS,2010,AT334,3,92.986
2012,NUTS,2010,AT334,3,65.268
2011,NUTS,2010,AT335,3,207.264
2012,NUTS,2010,AT335,3,181.02
2011,NUTS,2010,AT34,2,716.437
2012,NUTS,2010,AT34,2,590.064
2011,NUTS,2010,AT341,3,340.26
2012,NUTS,2010,AT341,3,404.949
2011,NUTS,2010,AT342,3,833.896
2012,NUTS,2010,AT342,3,647.488
2011,NUTS,2010,BE,0,136.817
2012,NUTS,2010,BE,0,115.271
2011,NUTS,2010,BE1,1,112.52
2012,NUTS,2010,BE1,1,94.778
2011,NUTS,2010,BE10,2,112.52
2012,NUTS,2010,BE10,2,94.778
2011,NUTS,2010,BE100,3,112.52
2012,NUTS,2010,BE100,3,94.778
2011,NUTS,2010,BE2,1,155.7
2012,NUTS,2010,BE2,1,137.554
2011,NUTS,2010,BE21,2,134.018
2012,NUTS,2010,BE21,2,146.899
2011,NUTS,2010,BE211,3,139.99
2012,NUTS,2010,BE211,3,180.082
2011,NUTS,2010,BE212,3,117.709
2012,NUTS,2010,BE212,3,92.996
2011,NUTS,2010,BE213,3,132.535
2012,NUTS,2010,BE213,3,110.974
2011,NUTS,2010,BE22,2,119.785
2012,NUTS,2010,BE22,2,70.653
2011,NUTS,2010,BE221,3,149.695
2012,NUTS,2010,BE221,3,79.209
2011,NUTS,2010,BE222,3,121.032
2012,NUTS,2010,BE222,3,81.71
2011,NUTS,2010,BE223,3,56.325
2012,NUTS,2010,BE223,3,39.878
2011,NUTS,2010,BE23,2,154.431
2012,NUTS,2010,BE23,2,128.601
2011,NUTS,2010,BE231,3,76.433
2012,NUTS,2010,BE231,3,69.631
2011,NUTS,2010,BE232,3,129.124
2012,NUTS,2010,BE232,3,89.464
2011,NUTS,2010,BE233,3,88.59
2012,NUTS,2010,BE233,3,92.203
2011,NUTS,2010,BE234,3,257.326
2012,NUTS,2010,BE234,3,203.754
2011,NUTS,2010,BE235,3,123.281
2012,NUTS,2010,BE235,3,73.881
2011,NUTS,2010,BE236,3,74.108
2012,NUTS,2010,BE236,3,101.366
2011,NUTS,2010,BE24,2,265.429
2012,NUTS,2010,BE24,2,232.927
2011,NUTS,2010,BE241,3,137.903
2012,NUTS,2010,BE241,3,118.903
2011,NUTS,2010,BE242,3,422.204
2012,NUTS,2010,BE242,3,373.314
2011,NUTS,2010,BE25,2,113.955
2012,NUTS,2010,BE25,2,93.831
2011,NUTS,2010,BE251,3,106.014
2012,NUTS,2010,BE251,3,81.419
2011,NUTS,2010,BE252,3,119.531
2012,NUTS,2010,BE252,3,49.668
2011,NUTS,2010,BE253,3,119.118
2012,NUTS,2010,BE253,3,82.195
2011,NUTS,2010,BE254,3,148.223
2012,NUTS,2010,BE254,3,100.249
2011,NUTS,2010,BE255,3,61.742
2012,NUTS,2010,BE255,3,59.884
2011,NUTS,2010,BE256,3,159.6
2012,NUTS,2010,BE256,3,132.875
2011,NUTS,2010,BE257,3,90.602
2012,NUTS,2010,BE257,3,116.749
2011,NUTS,2010,BE258,3,32.966
2012,NUTS,2010,BE258,3,134.656
2011,NUTS,2010,BE3,1,109.25
2012,NUTS,2010,BE3,1,80.422
2011,NUTS,2010,BE31,2,313.021
2012,NUTS,2010,BE31,2,230.175
2011,NUTS,2010,BE310,3,313.021
2012,NUTS,2010,BE310,3,230.175
2011,NUTS,2010,BE32,2,74.681
2012,NUTS,2010,BE32,2,38.239
2011,NUTS,2010,BE321,3,46.47
2012,NUTS,2010,BE321,3,66.438
2011,NUTS,2010,BE322,3,108.983
2012,NUTS,2010,BE322,3,16.953
2011,NUTS,2010,BE323,3,67.113
2012,NUTS,2010,BE323,3,57.285
2011,NUTS,2010,BE324,3,47.901
2012,NUTS,2010,BE324,3,15.148
2011,NUTS,2010,BE325,3,83.618
2012,NUTS,2010,BE325,3,64.597
2011,NUTS,2010,BE326,3,45.381
2012,NUTS,2010,BE326,3,28.941
2011,NUTS,2010,BE327,3,35.756
2012,NUTS,2010,BE327,3,39.086
2011,NUTS,2010,BE33,2,89.425
2012,NUTS,2010,BE33,2,87.272
2011,NUTS,2010,BE331,3,50.458
2012,NUTS,2010,BE331,3,46.419
2011,NUTS,2010,BE332,3,82.206
2012,NUTS,2010,BE332,3,71.529
2011,NUTS,2010,BE334,3,86.85
2012,NUTS,2010,BE334,3,105.267
2011,NUTS,2010,BE335,3,109.955
2012,NUTS,2010,BE335,3,115.205
2011,NUTS,2010,BE336,3,149.884
2012,NUTS,2010,BE336,3,178.283
2011,NUTS,2010,BE34,2,149.631
2012,NUTS,2010,BE34,2,113.053
2011,NUTS,2010,BE341,3,314.863
2012,NUTS,2010,BE341,3,194.767
2011,NUTS,2010,BE342,3,156.077
2012,NUTS,2010,BE342,3,116.452
2011,NUTS,2010,BE343,3,17.968
2012,NUTS,2010,BE343,3,41.433
2011,NUTS,2010,BE344,3,78.564
2012,NUTS,2010,BE344,3,16.302
2011,NUTS,2010,BE345,3,180.99
2012,NUTS,2010,BE345,3,206.476
2011,NUTS,2010,BE35,2,63.102
2012,NUTS,2010,BE35,2,42.242
2011,NUTS,2010,BE351,3,15.42
2012,NUTS,2010,BE351,3,1.283
2011,NUTS,2010,BE352,3,87.157
2012,NUTS,2010,BE352,3,61.56
2011,NUTS,2010,BE353,3,30.249
2012,NUTS,2010,BE353,3,19.969
2011,NUTS,2010,BG,0,3.58
2012,NUTS,2010,BG,0,4.172
2011,NUTS,2010,BG3,1,1.643
2012,NUTS,2010,BG3,1,1.597
2012,NUTS,2010,BG31,2,1.399
2012,NUTS,2010,BG311,3,1.709
2012,NUTS,2010,BG313,3,5.415
2011,NUTS,2010,BG32,2,4.257
2012,NUTS,2010,BG32,2,3.55
2011,NUTS,2010,BG322,3,29.876
2012,NUTS,2010,BG322,3,22.243
2012,NUTS,2010,BG323,3,1.412
2011,NUTS,2010,BG33,2,2.587
2012,NUTS,2010,BG33,2,1.559
2011,NUTS,2010,BG331,3,5.266
2012,NUTS,2010,BG332,3,7.975
2012,NUTS,2010,BG34,2,0.233
2012,NUTS,2010,BG343,3,1.922
2011,NUTS,2010,BG4,1,5.595
2012,NUTS,2010,BG4,1,6.607
2011,NUTS,2010,BG41,2,8.694
2012,NUTS,2010,BG41,2,9.328
2011,NUTS,2010,BG411,3,14.36
2012,NUTS,2010,BG411,3,13.636
2012,NUTS,2010,BG412,3,0.814
2012,NUTS,2010,BG415,3,14.816
2011,NUTS,2010,BG42,2,1.128
2012,NUTS,2010,BG42,2,2.665
2011,NUTS,2010,BG421,3,2.444
2012,NUTS,2010,BG421,3,5.757
2011,NUTS,2010,CH,0,414.454
2012,NUTS,2010,CH,0,332.222
2011,NUTS,2010,CH0,1,407.231
2012,NUTS,2010,CH0,1,326.216
2011,NUTS,2010,CH01,2,370.828
2012,NUTS,2010,CH01,2,266.99
2011,NUTS,2010,CH011,3,557.929
2012,NUTS,2010,CH011,3,433.477
2011,NUTS,2010,CH012,3,148.712
2012,NUTS,2010,CH012,3,105.576
2011,NUTS,2010,CH013,3,230.995
2012,NUTS,2010,CH013,3,115.67
2011,NUTS,2010,CH02,2,302.962
2012,NUTS,2010,CH02,2,239.078
2011,NUTS,2010,CH021,3,244.519
2012,NUTS,2010,CH021,3,188.966
2011,NUTS,2010,CH022,3,199.718
2012,NUTS,2010,CH022,3,136.545
2011,NUTS,2010,CH023,3,321.994
2012,NUTS,2010,CH023,3,230.32
2011,NUTS,2010,CH024,3,808.205
2012,NUTS,2010,CH024,3,670.043
2011,NUTS,2010,CH025,3,220.328
2012,NUTS,2010,CH025,3,326.472
2011,NUTS,2010,CH03,2,636.699
2012,NUTS,2010,CH03,2,554.471
2011,NUTS,2010,CH031,3,870.938
2012,NUTS,2010,CH031,3,688.679
2011,NUTS,2010,CH032,3,487.384
2012,NUTS,2010,CH032,3,335.742
2011,NUTS,2010,CH033,3,632.84
2012,NUTS,2010,CH033,3,611.437
2011,NUTS,2010,CH04,2,466.576
2012,NUTS,2010,CH04,2,385.113
2011,NUTS,2010,CH040,3,466.576
2012,NUTS,2010,CH040,3,385.113
2011,NUTS,2010,CH05,2,382.643
2012,NUTS,2010,CH05,2,302.236
2011,NUTS,2010,CH051,3,115.261
2012,NUTS,2010,CH051,3,240.967
2011,NUTS,2010,CH052,3,593.012
2012,NUTS,2010,CH052,3,318.775
2011,NUTS,2010,CH053,3,349.699
2012,NUTS,2010,CH053,3,243.468
2011,NUTS,2010,CH054,3,318.715
2012,NUTS,2010,CH054,3,285.841
2011,NUTS,2010,CH055,3,429.186
2012,NUTS,2010,CH055,3,339.104
2011,NUTS,2010,CH056,3,316.217
2012,NUTS,2010,CH056,3,303.069
2011,NUTS,2010,CH057,3,332.389
