year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_total_fte_hes
1998,NUTS,2010,AT,0,3100.0
2002,NUTS,2010,AT,0,3781.0
2004,NUTS,2010,AT,0,4586.0
2006,NUTS,2010,AT,0,5144.0
2007,NUTS,2010,AT,0,5653.0
2009,NUTS,2010,AT,0,6393.0
2011,NUTS,2010,AT,0,6847.0
2013,NUTS,2010,AT,0,7189.0
2015,NUTS,2010,AT,0,7638.0
2017,NUTS,2010,AT,0,7699.0
2019,NUTS,2010,AT,0,8440.0
2012,NUTS,2010,BA,0,241.0
2013,NUTS,2010,BA,0,357.0
2014,NUTS,2010,BA,0,676.0
2019,NUTS,2010,BA,0,844.0
2000,NUTS,2010,BE,0,6632.0
2001,NUTS,2010,BE,0,6941.0
2002,NUTS,2010,BE,0,6958.0
2003,NUTS,2010,BE,0,7239.0
2004,NUTS,2010,BE,0,7652.0
2005,NUTS,2010,BE,0,7906.0
2006,NUTS,2010,BE,0,8455.0
2007,NUTS,2010,BE,0,8859.0
2008,NUTS,2010,BE,0,9552.0
2009,NUTS,2010,BE,0,9917.0
2010,NUTS,2010,BE,0,10310.0
2011,NUTS,2010,BE,0,10523.0
2012,NUTS,2010,BE,0,10510.0
2013,NUTS,2010,BE,0,10785.0
2014,NUTS,2010,BE,0,11093.0
2015,NUTS,2010,BE,0,12456.0
2016,NUTS,2010,BE,0,11869.0
2017,NUTS,2010,BE,0,11977.0
2018,NUTS,2010,BE,0,12142.0
2019,NUTS,2010,BE,0,12395.0
1993,NUTS,2010,BG,0,6762.0
1994,NUTS,2010,BG,0,2829.0
1995,NUTS,2010,BG,0,3420.0
1996,NUTS,2010,BG,0,3040.0
1997,NUTS,2010,BG,0,1353.0
1998,NUTS,2010,BG,0,1078.0
1999,NUTS,2010,BG,0,1026.0
2000,NUTS,2010,BG,0,870.0
2001,NUTS,2010,BG,0,904.0
2002,NUTS,2010,BG,0,1080.0
2003,NUTS,2010,BG,0,1141.0
2004,NUTS,2010,BG,0,1202.0
2005,NUTS,2010,BG,0,1283.0
2006,NUTS,2010,BG,0,1343.0
2007,NUTS,2010,BG,0,1793.0
2008,NUTS,2010,BG,0,1920.0
2009,NUTS,2010,BG,0,2408.0
2010,NUTS,2010,BG,0,2052.0
2011,NUTS,2010,BG,0,2438.0
2012,NUTS,2010,BG,0,2053.0
2013,NUTS,2010,BG,0,2220.0
2014,NUTS,2010,BG,0,2454.0
2015,NUTS,2010,BG,0,2345.0
2016,NUTS,2010,BG,0,2951.0
2017,NUTS,2010,BG,0,2306.0
2018,NUTS,2010,BG,0,2364.0
2019,NUTS,2010,BG,0,2271.0
1998,NUTS,2010,CY,0,34.0
1999,NUTS,2010,CY,0,39.0
2000,NUTS,2010,CY,0,41.0
2001,NUTS,2010,CY,0,44.0
2002,NUTS,2010,CY,0,67.0
2003,NUTS,2010,CY,0,88.0
2004,NUTS,2010,CY,0,128.0
2005,NUTS,2010,CY,0,157.0
2006,NUTS,2010,CY,0,165.0
2007,NUTS,2010,CY,0,183.0
2008,NUTS,2010,CY,0,163.0
2009,NUTS,2010,CY,0,220.0
2010,NUTS,2010,CY,0,233.0
2011,NUTS,2010,CY,0,253.0
2012,NUTS,2010,CY,0,239.0
2013,NUTS,2010,CY,0,247.0
2014,NUTS,2010,CY,0,238.0
2015,NUTS,2010,CY,0,231.0
2016,NUTS,2010,CY,0,230.0
2017,NUTS,2010,CY,0,272.0
2018,NUTS,2010,CY,0,297.0
2019,NUTS,2010,CY,0,338.0
2000,NUTS,2010,CZ,0,2158.0
2001,NUTS,2010,CZ,0,2348.0
2002,NUTS,2010,CZ,0,2297.0
2003,NUTS,2010,CZ,0,2316.0
2004,NUTS,2010,CZ,0,2318.0
2005,NUTS,2010,CZ,0,4316.0
2006,NUTS,2010,CZ,0,4984.0
2007,NUTS,2010,CZ,0,4817.0
2008,NUTS,2010,CZ,0,5045.0
2009,NUTS,2010,CZ,0,5291.0
2010,NUTS,2010,CZ,0,5499.0
2011,NUTS,2010,CZ,0,5703.0
2012,NUTS,2010,CZ,0,6472.0
2013,NUTS,2010,CZ,0,6383.0
2014,NUTS,2010,CZ,0,6536.0
2015,NUTS,2010,CZ,0,6758.0
2016,NUTS,2010,CZ,0,5984.0
2017,NUTS,2010,CZ,0,6162.0
2018,NUTS,2010,CZ,0,7348.0
2019,NUTS,2010,CZ,0,8035.0
2020,NUTS,2010,CZ,0,8125.0
1997,NUTS,2010,DE,0,35299.0
1999,NUTS,2010,DE,0,36384.0
2000,NUTS,2010,DE,0,36173.0
2001,NUTS,2010,DE,0,36990.0
2002,NUTS,2010,DE,0,38063.0
2003,NUTS,2010,DE,0,37294.0
2004,NUTS,2010,DE,0,35337.0
2005,NUTS,2010,DE,0,38082.0
2006,NUTS,2010,DE,0,40110.0
2007,NUTS,2010,DE,0,42954.0
2008,NUTS,2010,DE,0,45270.0
2009,NUTS,2010,DE,0,48341.0
2010,NUTS,2010,DE,0,50220.0
2011,NUTS,2010,DE,0,52040.0
2012,NUTS,2010,DE,0,53753.0
2013,NUTS,2010,DE,0,56012.0
2014,NUTS,2010,DE,0,57078.0
2015,NUTS,2010,DE,0,58195.0
2016,NUTS,2010,DE,0,60640.0
2017,NUTS,2010,DE,0,61572.0
2018,NUTS,2010,DE,0,63634.0
2019,NUTS,2010,DE,0,64054.0
1999,NUTS,2010,DK,0,3150.0
2000,NUTS,2010,DK,0,3128.0
2001,NUTS,2010,DK,0,3327.0
2002,NUTS,2010,DK,0,4874.0
2003,NUTS,2010,DK,0,4719.0
2004,NUTS,2010,DK,0,4994.0
2005,NUTS,2010,DK,0,5219.0
2006,NUTS,2010,DK,0,5605.0
2007,NUTS,2010,DK,0,6320.0
2009,NUTS,2010,DK,0,7738.0
2010,NUTS,2010,DK,0,8631.0
2011,NUTS,2010,DK,0,8797.0
2012,NUTS,2010,DK,0,9345.0
2013,NUTS,2010,DK,0,10054.0
2014,NUTS,2010,DK,0,9378.0
2015,NUTS,2010,DK,0,9821.0
2016,NUTS,2010,DK,0,10526.0
2017,NUTS,2010,DK,0,10480.0
2018,NUTS,2010,DK,0,10662.0
2019,NUTS,2010,DK,0,10938.0
1999,NUTS,2010,DK0,1,3150.0
2000,NUTS,2010,DK0,1,3128.0
2001,NUTS,2010,DK0,1,3363.0
2002,NUTS,2010,DK0,1,4577.0
2003,NUTS,2010,DK0,1,4718.0
1996,NUTS,2010,EE,0,1001.0
1997,NUTS,2010,EE,0,1392.0
