year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_pc_act_fte_t
2018,NUTS,2010,DEA5,2,0.0877
2019,NUTS,2010,DEA5,2,0.0869
2011,NUTS,2010,DEB,1,0.0979
2012,NUTS,2010,DEB,1,0.0964
2013,NUTS,2010,DEB,1,0.0935
2014,NUTS,2010,DEB,1,0.0945
2015,NUTS,2010,DEB,1,0.0993
2016,NUTS,2010,DEB,1,0.1047
2017,NUTS,2010,DEB,1,0.1113
2018,NUTS,2010,DEB,1,0.1148
2019,NUTS,2010,DEB,1,0.1226
2011,NUTS,2010,DEB1,2,0.021
2012,NUTS,2010,DEB1,2,0.0206
2013,NUTS,2010,DEB1,2,0.0313
2014,NUTS,2010,DEB1,2,0.0282
2015,NUTS,2010,DEB1,2,0.0257
2016,NUTS,2010,DEB1,2,0.0276
2017,NUTS,2010,DEB1,2,0.0272
2018,NUTS,2010,DEB1,2,0.0289
2019,NUTS,2010,DEB1,2,0.0317
2011,NUTS,2010,DEB2,2,0.0418
2012,NUTS,2010,DEB2,2,0.0482
2013,NUTS,2010,DEB2,2,0.0155
2014,NUTS,2010,DEB2,2,0.0138
2015,NUTS,2010,DEB2,2,0.0117
2016,NUTS,2010,DEB2,2,0.0124
2017,NUTS,2010,DEB2,2,0.0121
2018,NUTS,2010,DEB2,2,0.014
2019,NUTS,2010,DEB2,2,0.0255
2011,NUTS,2010,DEB3,2,0.1696
2012,NUTS,2010,DEB3,2,0.1648
2013,NUTS,2010,DEB3,2,0.1593
2014,NUTS,2010,DEB3,2,0.1646
2015,NUTS,2010,DEB3,2,0.1774
2016,NUTS,2010,DEB3,2,0.1867
2017,NUTS,2010,DEB3,2,0.1998
2018,NUTS,2010,DEB3,2,0.2061
2019,NUTS,2010,DEB3,2,0.2154
2011,NUTS,2010,DEC,1,0.2145
2012,NUTS,2010,DEC,1,0.2214
2013,NUTS,2010,DEC,1,0.2217
2014,NUTS,2010,DEC,1,0.2214
2015,NUTS,2010,DEC,1,0.2384
2016,NUTS,2010,DEC,1,0.2334
2017,NUTS,2010,DEC,1,0.2233
2018,NUTS,2010,DEC,1,0.2268
2019,NUTS,2010,DEC,1,0.2801
2011,NUTS,2010,DEC0,2,0.2145
2012,NUTS,2010,DEC0,2,0.2214
2013,NUTS,2010,DEC0,2,0.2217
2014,NUTS,2010,DEC0,2,0.2214
2015,NUTS,2010,DEC0,2,0.2384
2016,NUTS,2010,DEC0,2,0.2334
2017,NUTS,2010,DEC0,2,0.2233
2018,NUTS,2010,DEC0,2,0.2268
2019,NUTS,2010,DEC0,2,0.2801
2011,NUTS,2010,DED,1,0.3358
2012,NUTS,2010,DED,1,0.3515
2013,NUTS,2010,DED,1,0.3554
2014,NUTS,2010,DED,1,0.3525
2015,NUTS,2010,DED,1,0.3642
2016,NUTS,2010,DED,1,0.3662
2017,NUTS,2010,DED,1,0.3821
2018,NUTS,2010,DED,1,0.3988
2019,NUTS,2010,DED,1,0.4108
2011,NUTS,2010,DED2,2,0.5108
2012,NUTS,2010,DED2,2,0.5345
2013,NUTS,2010,DED2,2,0.275
2014,NUTS,2010,DED2,2,0.5417
2015,NUTS,2010,DED2,2,0.5393
2016,NUTS,2010,DED2,2,0.551
2017,NUTS,2010,DED2,2,0.5619
2018,NUTS,2010,DED2,2,0.5844
2019,NUTS,2010,DED2,2,0.5968
2011,NUTS,2010,DED4,2,0.0901
2012,NUTS,2010,DED4,2,0.1016
2013,NUTS,2010,DED4,2,0.4681
2014,NUTS,2010,DED4,2,0.1109
2015,NUTS,2010,DED4,2,0.1239
2016,NUTS,2010,DED4,2,0.1211
2017,NUTS,2010,DED4,2,0.1251
2018,NUTS,2010,DED4,2,0.1346
2019,NUTS,2010,DED4,2,0.1399
2011,NUTS,2010,DED5,2,0.4177
2012,NUTS,2010,DED5,2,0.4253
2013,NUTS,2010,DED5,2,0.3185
2014,NUTS,2010,DED5,2,0.4036
2015,NUTS,2010,DED5,2,0.425
2016,NUTS,2010,DED5,2,0.4246
2017,NUTS,2010,DED5,2,0.4609
2018,NUTS,2010,DED5,2,0.4695
2019,NUTS,2010,DED5,2,0.4851
2011,NUTS,2010,DEE,1,0.196
2012,NUTS,2010,DEE,1,0.2155
2013,NUTS,2010,DEE,1,0.2206
2014,NUTS,2010,DEE,1,0.2291
2015,NUTS,2010,DEE,1,0.2288
2016,NUTS,2010,DEE,1,0.2283
2017,NUTS,2010,DEE,1,0.245
2018,NUTS,2010,DEE,1,0.2595
2019,NUTS,2010,DEE,1,0.2577
2011,NUTS,2010,DEE0,2,0.196
2012,NUTS,2010,DEE0,2,0.2155
2013,NUTS,2010,DEE0,2,0.2206
2014,NUTS,2010,DEE0,2,0.2291
2015,NUTS,2010,DEE0,2,0.2288
2016,NUTS,2010,DEE0,2,0.2283
2017,NUTS,2010,DEE0,2,0.245
2018,NUTS,2010,DEE0,2,0.2595
2019,NUTS,2010,DEE0,2,0.2577
2011,NUTS,2010,DEF,1,0.1694
2012,NUTS,2010,DEF,1,0.1809
2013,NUTS,2010,DEF,1,0.1897
2014,NUTS,2010,DEF,1,0.1987
2015,NUTS,2010,DEF,1,0.1778
2016,NUTS,2010,DEF,1,0.1747
2017,NUTS,2010,DEF,1,0.1839
2018,NUTS,2010,DEF,1,0.1831
2019,NUTS,2010,DEF,1,0.1834
2011,NUTS,2010,DEF0,2,0.1694
2012,NUTS,2010,DEF0,2,0.1809
2013,NUTS,2010,DEF0,2,0.1897
2014,NUTS,2010,DEF0,2,0.1987
2015,NUTS,2010,DEF0,2,0.1778
2016,NUTS,2010,DEF0,2,0.1747
2017,NUTS,2010,DEF0,2,0.1839
2018,NUTS,2010,DEF0,2,0.1831
2019,NUTS,2010,DEF0,2,0.1834
2011,NUTS,2010,DEG,1,0.2104
2012,NUTS,2010,DEG,1,0.2151
2013,NUTS,2010,DEG,1,0.2194
2014,NUTS,2010,DEG,1,0.2215
2015,NUTS,2010,DEG,1,0.2241
2016,NUTS,2010,DEG,1,0.2153
2017,NUTS,2010,DEG,1,0.2241
2018,NUTS,2010,DEG,1,0.2405
2019,NUTS,2010,DEG,1,0.2394
2011,NUTS,2010,DEG0,2,0.2104
2012,NUTS,2010,DEG0,2,0.2151
2013,NUTS,2010,DEG0,2,0.2194
2014,NUTS,2010,DEG0,2,0.2215
2015,NUTS,2010,DEG0,2,0.2241
2016,NUTS,2010,DEG0,2,0.2153
2017,NUTS,2010,DEG0,2,0.2241
2018,NUTS,2010,DEG0,2,0.2405
2019,NUTS,2010,DEG0,2,0.2394
2011,NUTS,2010,DK,0,0.0538
2012,NUTS,2010,DK,0,0.0553
2013,NUTS,2010,DK,0,0.0558
2014,NUTS,2010,DK,0,0.0607
2015,NUTS,2010,DK,0,0.0639
2016,NUTS,2010,DK,0,0.0606
2017,NUTS,2010,DK,0,0.0761
2018,NUTS,2010,DK,0,0.0765
2019,NUTS,2010,DK,0,0.0746
2020,NUTS,2010,DK,0,0.0753
2011,NUTS,2010,DK0,1,0.0548
2012,NUTS,2010,DK0,1,0.0538
2013,NUTS,2010,DK0,1,0.0542
2014,NUTS,2010,DK0,1,0.0589
2015,NUTS,2010,DK0,1,0.062
2016,NUTS,2010,DK0,1,0.0586
2017,NUTS,2010,DK0,1,0.0738
2018,NUTS,2010,DK0,1,0.0741
2019,NUTS,2010,DK0,1,0.0722
2011,NUTS,2010,DK01,2,0.1055
2012,NUTS,2010,DK01,2,0.0958
2013,NUTS,2010,DK01,2,0.0872
2014,NUTS,2010,DK01,2,0.0896
2015,NUTS,2010,DK01,2,0.0849
2016,NUTS,2010,DK01,2,0.0768
2017,NUTS,2010,DK01,2,0.1306
2019,NUTS,2010,DK01,2,0.1329
2011,NUTS,2010,DK02,2,0.0293
2012,NUTS,2010,DK02,2,0.0289
2013,NUTS,2010,DK02,2,0.036
2014,NUTS,2010,DK02,2,0.0535
2015,NUTS,2010,DK02,2,0.0661
2016,NUTS,2010,DK02,2,0.0391
2017,NUTS,2010,DK02,2,0.0498
2019,NUTS,2010,DK02,2,0.0484
2011,NUTS,2010,DK03,2,0.0361
2012,NUTS,2010,DK03,2,0.031
2013,NUTS,2010,DK03,2,0.0338
2014,NUTS,2010,DK03,2,0.0394
2015,NUTS,2010,DK03,2,0.0426
2016,NUTS,2010,DK03,2,0.0496
2017,NUTS,2010,DK03,2,0.0088
2019,NUTS,2010,DK03,2,0.0083
2011,NUTS,2010,DK04,2,0.0377
2012,NUTS,2010,DK04,2,0.0507
2013,NUTS,2010,DK04,2,0.0553
2014,NUTS,2010,DK04,2,0.0568
2015,NUTS,2010,DK04,2,0.0663
2016,NUTS,2010,DK04,2,0.0722
2017,NUTS,2010,DK04,2,0.0575
2019,NUTS,2010,DK04,2,0.0472
2011,NUTS,2010,DK05,2,0.0052
2012,NUTS,2010,DK05,2,0.007
2013,NUTS,2010,DK05,2,0.0116
2014,NUTS,2010,DK05,2,0.0102
2015,NUTS,2010,DK05,2,0.0106
2016,NUTS,2010,DK05,2,0.0113
2017,NUTS,2010,DK05,2,0.0863
2019,NUTS,2010,DK05,2,0.0893
2011,NUTS,2010,EA19,2,0.1758
2012,NUTS,2010,EA19,2,0.1774
2013,NUTS,2010,EA19,2,0.175
2014,NUTS,2010,EA19,2,0.1763
2015,NUTS,2010,EA19,2,0.1779
2016,NUTS,2010,EA19,2,0.1781
2017,NUTS,2010,EA19,2,0.1801
2018,NUTS,2010,EA19,2,0.1842
2019,NUTS,2010,EA19,2,0.1871
2020,NUTS,2010,EA19,2,0.1924
2011,NUTS,2010,EE,0,0.116
2012,NUTS,2010,EE,0,0.1162
2013,NUTS,2010,EE,0,0.1287
2014,NUTS,2010,EE,0,0.1223
2015,NUTS,2010,EE,0,0.1196
2016,NUTS,2010,EE,0,0.117
2017,NUTS,2010,EE,0,0.1276
2018,NUTS,2010,EE,0,0.1024
2019,NUTS,2010,EE,0,0.1063
2020,NUTS,2010,EE,0,0.1183
2011,NUTS,2010,EL,0,0.1983
2012,NUTS,2010,EL,0,0.2074
2013,NUTS,2010,EL,0,0.2394
2014,NUTS,2010,EL,0,0.2349
2015,NUTS,2010,EL,0,0.2879
2016,NUTS,2010,EL,0,0.2485
2017,NUTS,2010,EL,0,0.2571
2018,NUTS,2010,EL,0,0.2872
2019,NUTS,2010,EL,0,0.2997
2020,NUTS,2010,EL,0,0.3224
2011,NUTS,2010,EL3,1,0.2404
2013,NUTS,2010,EL3,1,0.2995
2015,NUTS,2010,EL3,1,0.3586
2017,NUTS,2010,EL3,1,0.3613
2019,NUTS,2010,EL3,1,0.4294
2011,NUTS,2010,EL30,2,0.2404
2013,NUTS,2010,EL30,2,0.2995
2015,NUTS,2010,EL30,2,0.3586
2017,NUTS,2010,EL30,2,0.3613
2019,NUTS,2010,EL30,2,0.4294
2011,NUTS,2010,EL4,1,0.3119
2013,NUTS,2010,EL4,1,0.4011
2015,NUTS,2010,EL4,1,0.4494
2017,NUTS,2010,EL4,1,0.4222
2019,NUTS,2010,EL4,1,0.4057
2011,NUTS,2010,EL41,2,0.1019
2013,NUTS,2010,EL41,2,0.1201
2015,NUTS,2010,EL41,2,0.3314
2017,NUTS,2010,EL41,2,0.2511
2019,NUTS,2010,EL41,2,0.229
2011,NUTS,2010,EL42,2,0.165
2013,NUTS,2010,EL42,2,0.1577
2015,NUTS,2010,EL42,2,0.1459
2017,NUTS,2010,EL42,2,0.1267
2019,NUTS,2010,EL42,2,0.1542
2011,NUTS,2010,EL43,2,0.4448
2013,NUTS,2010,EL43,2,0.6165
2015,NUTS,2010,EL43,2,0.6543
2017,NUTS,2010,EL43,2,0.6335
2019,NUTS,2010,EL43,2,0.5972
2011,NUTS,2010,EL5,1,0.1495
2013,NUTS,2010,EL5,1,0.1696
2015,NUTS,2010,EL5,1,0.183
2017,NUTS,2010,EL5,1,0.1656
2019,NUTS,2010,EL5,1,0.2029
2011,NUTS,2010,EL51,2,0.0374
2013,NUTS,2010,EL51,2,0.0963
2015,NUTS,2010,EL51,2,0.078
2017,NUTS,2010,EL51,2,0.0692
2019,NUTS,2010,EL51,2,0.11
2011,NUTS,2010,EL52,2,0.1605
2013,NUTS,2010,EL52,2,0.1699
2015,NUTS,2010,EL52,2,0.1984
2017,NUTS,2010,EL52,2,0.203
2019,NUTS,2010,EL52,2,0.2454
2011,NUTS,2010,EL53,2,0.3305
2013,NUTS,2010,EL53,2,0.145
2015,NUTS,2010,EL53,2,0.3309
2017,NUTS,2010,EL53,2,0.1617
2019,NUTS,2010,EL53,2,0.1462
2011,NUTS,2010,EL54,2,0.1413
2013,NUTS,2010,EL54,2,0.3187
2015,NUTS,2010,EL54,2,0.1632
2017,NUTS,2010,EL54,2,0.1282
2019,NUTS,2010,EL54,2,0.1759
2011,NUTS,2010,EL6,1,0.1224
2013,NUTS,2010,EL6,1,0.1366
2015,NUTS,2010,EL6,1,0.2113
2017,NUTS,2010,EL6,1,0.1147
2019,NUTS,2010,EL6,1,0.1413
2011,NUTS,2010,EL61,2,0.0957
2013,NUTS,2010,EL61,2,0.1012
2015,NUTS,2010,EL61,2,0.1419
2017,NUTS,2010,EL61,2,0.0907
2019,NUTS,2010,EL61,2,0.0989
2011,NUTS,2010,EL62,2,0.1184
2013,NUTS,2010,EL62,2,0.1066
2015,NUTS,2010,EL62,2,0.2177
2017,NUTS,2010,EL62,2,0.0703
2019,NUTS,2010,EL62,2,0.1097
2011,NUTS,2010,EL63,2,0.1031
2013,NUTS,2010,EL63,2,0.206
2015,NUTS,2010,EL63,2,0.2881
2017,NUTS,2010,EL63,2,0.1762
2019,NUTS,2010,EL63,2,0.1533
2011,NUTS,2010,EL64,2,0.1101
2013,NUTS,2010,EL64,2,0.0753
2015,NUTS,2010,EL64,2,0.1469
2017,NUTS,2010,EL64,2,0.0489
2019,NUTS,2010,EL64,2,0.0787
2011,NUTS,2010,EL65,2,0.1931
2013,NUTS,2010,EL65,2,0.1731
2015,NUTS,2010,EL65,2,0.2707
2017,NUTS,2010,EL65,2,0.1519
2019,NUTS,2010,EL65,2,0.2546
2011,NUTS,2010,ES,0,0.1886
2012,NUTS,2010,ES,0,0.1795
2013,NUTS,2010,ES,0,0.1708
2014,NUTS,2010,ES,0,0.1699
2015,NUTS,2010,ES,0,0.1743
2016,NUTS,2010,ES,0,0.1764
2017,NUTS,2010,ES,0,0.1786
2018,NUTS,2010,ES,0,0.1784
2019,NUTS,2010,ES,0,0.1814
2020,NUTS,2010,ES,0,0.1876
2011,NUTS,2010,ES1,1,0.1235
2013,NUTS,2010,ES1,1,0.1133
2014,NUTS,2010,ES1,1,0.1152
2015,NUTS,2010,ES1,1,0.118
2016,NUTS,2010,ES1,1,0.1218
2017,NUTS,2010,ES1,1,0.1192
2018,NUTS,2010,ES1,1,0.1277
2019,NUTS,2010,ES1,1,0.1327
2013,NUTS,2010,ES11,2,0.1083
2014,NUTS,2010,ES11,2,0.1096
2015,NUTS,2010,ES11,2,0.1095
2016,NUTS,2010,ES11,2,0.1111
2017,NUTS,2010,ES11,2,0.1188
2018,NUTS,2010,ES11,2,0.1307
2019,NUTS,2010,ES11,2,0.1336
2012,NUTS,2010,ES12,2,0.1316
2013,NUTS,2010,ES12,2,0.1198
2014,NUTS,2010,ES12,2,0.1139
2015,NUTS,2010,ES12,2,0.1207
2016,NUTS,2010,ES12,2,0.1254
2017,NUTS,2010,ES12,2,0.1106
2018,NUTS,2010,ES12,2,0.1102
2019,NUTS,2010,ES12,2,0.1134
2011,NUTS,2010,ES13,2,0.1496
2012,NUTS,2010,ES13,2,0.149
2013,NUTS,2010,ES13,2,0.1248
2014,NUTS,2010,ES13,2,0.1431
2015,NUTS,2010,ES13,2,0.152
2016,NUTS,2010,ES13,2,0.1644
2017,NUTS,2010,ES13,2,0.1353
2018,NUTS,2010,ES13,2,0.1437
2019,NUTS,2010,ES13,2,0.1606
2011,NUTS,2010,ES2,1,0.1407
2012,NUTS,2010,ES2,1,0.1438
2013,NUTS,2010,ES2,1,0.1433
2014,NUTS,2010,ES2,1,0.1434
2016,NUTS,2010,ES2,1,0.1471
2017,NUTS,2010,ES2,1,0.1493
2018,NUTS,2010,ES2,1,0.158
2019,NUTS,2010,ES2,1,0.1588
2011,NUTS,2010,ES21,2,0.1016
2012,NUTS,2010,ES21,2,0.1188
2013,NUTS,2010,ES21,2,0.1219
2014,NUTS,2010,ES21,2,0.1184
2015,NUTS,2010,ES21,2,0.1188
2016,NUTS,2010,ES21,2,0.1207
2017,NUTS,2010,ES21,2,0.1228
2018,NUTS,2010,ES21,2,0.134
2019,NUTS,2010,ES21,2,0.1343
2011,NUTS,2010,ES22,2,0.1214
2012,NUTS,2010,ES22,2,0.1167
2013,NUTS,2010,ES22,2,0.1249
2014,NUTS,2010,ES22,2,0.1268
2016,NUTS,2010,ES22,2,0.1405
2017,NUTS,2010,ES22,2,0.1442
2018,NUTS,2010,ES22,2,0.1524
2019,NUTS,2010,ES22,2,0.1578
2011,NUTS,2010,ES23,2,0.1941
2012,NUTS,2010,ES23,2,0.183
2013,NUTS,2010,ES23,2,0.1701
2014,NUTS,2010,ES23,2,0.1611
2015,NUTS,2010,ES23,2,0.1633
2016,NUTS,2010,ES23,2,0.1673
2017,NUTS,2010,ES23,2,0.1762
2018,NUTS,2010,ES23,2,0.1809
2019,NUTS,2010,ES23,2,0.1786
2011,NUTS,2010,ES24,2,0.2012
2012,NUTS,2010,ES24,2,0.1873
2013,NUTS,2010,ES24,2,0.1801
2014,NUTS,2010,ES24,2,0.1869
2015,NUTS,2010,ES24,2,0.1845
2016,NUTS,2010,ES24,2,0.1874
2017,NUTS,2010,ES24,2,0.1878
2018,NUTS,2010,ES24,2,0.1933
2019,NUTS,2010,ES24,2,0.1934
2011,NUTS,2010,ES3,1,0.4356
2012,NUTS,2010,ES3,1,0.4066
2013,NUTS,2010,ES3,1,0.3753
2014,NUTS,2010,ES3,1,0.3772
2015,NUTS,2010,ES3,1,0.373
2016,NUTS,2010,ES3,1,0.3801
2017,NUTS,2010,ES3,1,0.3888
2018,NUTS,2010,ES3,1,0.3718
2019,NUTS,2010,ES3,1,0.3743
2011,NUTS,2010,ES30,2,0.4356
2012,NUTS,2010,ES30,2,0.4066
2013,NUTS,2010,ES30,2,0.3753
2014,NUTS,2010,ES30,2,0.3772
2015,NUTS,2010,ES30,2,0.373
2016,NUTS,2010,ES30,2,0.3801
2017,NUTS,2010,ES30,2,0.3888
2018,NUTS,2010,ES30,2,0.3718
2019,NUTS,2010,ES30,2,0.3743
2011,NUTS,2010,ES4,1,0.0852
2013,NUTS,2010,ES4,1,0.0694
2014,NUTS,2010,ES4,1,0.0677
2015,NUTS,2010,ES4,1,0.074
2016,NUTS,2010,ES4,1,0.0715
2017,NUTS,2010,ES4,1,0.0731
2018,NUTS,2010,ES4,1,0.0795
2019,NUTS,2010,ES4,1,0.0801
2012,NUTS,2010,ES41,2,0.0806
2013,NUTS,2010,ES41,2,0.0776
2014,NUTS,2010,ES41,2,0.0811
2015,NUTS,2010,ES41,2,0.0793
2016,NUTS,2010,ES41,2,0.0801
2017,NUTS,2010,ES41,2,0.0833
2018,NUTS,2010,ES41,2,0.0864
2019,NUTS,2010,ES41,2,0.0862
2013,NUTS,2010,ES42,2,0.0484
2014,NUTS,2010,ES42,2,0.0481
2015,NUTS,2010,ES42,2,0.0504
2016,NUTS,2010,ES42,2,0.0504
2017,NUTS,2010,ES42,2,0.0488
2018,NUTS,2010,ES42,2,0.0521
2019,NUTS,2010,ES42,2,0.0535
2011,NUTS,2010,ES43,2,0.1245
2012,NUTS,2010,ES43,2,0.114
2013,NUTS,2010,ES43,2,0.0923
2014,NUTS,2010,ES43,2,0.0761
2015,NUTS,2010,ES43,2,0.1087
2016,NUTS,2010,ES43,2,0.093
2017,NUTS,2010,ES43,2,0.0985
2018,NUTS,2010,ES43,2,0.1184
2019,NUTS,2010,ES43,2,0.1187
2011,NUTS,2010,ES5,1,0.1864
2012,NUTS,2010,ES5,1,0.1805
2013,NUTS,2010,ES5,1,0.178
2014,NUTS,2010,ES5,1,0.1779
2015,NUTS,2010,ES5,1,0.1831
2016,NUTS,2010,ES5,1,0.1852
2017,NUTS,2010,ES5,1,0.188
2018,NUTS,2010,ES5,1,0.1868
2019,NUTS,2010,ES5,1,0.1889
2011,NUTS,2010,ES51,2,0.2428
2012,NUTS,2010,ES51,2,0.2455
2013,NUTS,2010,ES51,2,0.2451
2014,NUTS,2010,ES51,2,0.248
2015,NUTS,2010,ES51,2,0.2589
2016,NUTS,2010,ES51,2,0.258
2017,NUTS,2010,ES51,2,0.267
2018,NUTS,2010,ES51,2,0.2654
2019,NUTS,2010,ES51,2,0.2656
2011,NUTS,2010,ES52,2,0.1182
2012,NUTS,2010,ES52,2,0.1023
2013,NUTS,2010,ES52,2,0.098
2014,NUTS,2010,ES52,2,0.0956
2015,NUTS,2010,ES52,2,0.0942
2016,NUTS,2010,ES52,2,0.1006
2017,NUTS,2010,ES52,2,0.0921
2018,NUTS,2010,ES52,2,0.0911
2019,NUTS,2010,ES52,2,0.0936
2011,NUTS,2010,ES53,2,0.0952
2012,NUTS,2010,ES53,2,0.0819
2013,NUTS,2010,ES53,2,0.0758
2014,NUTS,2010,ES53,2,0.0668
2015,NUTS,2010,ES53,2,0.0674
2016,NUTS,2010,ES53,2,0.0728
2017,NUTS,2010,ES53,2,0.0814
2018,NUTS,2010,ES53,2,0.0807
2019,NUTS,2010,ES53,2,0.0885
2011,NUTS,2010,ES6,1,0.1332
2012,NUTS,2010,ES6,1,0.1239
2013,NUTS,2010,ES6,1,0.1202
2014,NUTS,2010,ES6,1,0.1184
2015,NUTS,2010,ES6,1,0.1266
2016,NUTS,2010,ES6,1,0.127
2017,NUTS,2010,ES6,1,0.1237
2018,NUTS,2010,ES6,1,0.1221
2019,NUTS,2010,ES6,1,0.1265
2011,NUTS,2010,ES61,2,0.1418
2012,NUTS,2010,ES61,2,0.1337
2013,NUTS,2010,ES61,2,0.1295
2014,NUTS,2010,ES61,2,0.1283
2015,NUTS,2010,ES61,2,0.1376
2016,NUTS,2010,ES61,2,0.1385
2017,NUTS,2010,ES61,2,0.1344
2018,NUTS,2010,ES61,2,0.1327
2019,NUTS,2010,ES61,2,0.1377
2012,NUTS,2010,ES62,2,0.0819
2013,NUTS,2010,ES62,2,0.0805
2014,NUTS,2010,ES62,2,0.0748
2015,NUTS,2010,ES62,2,0.0759
2016,NUTS,2010,ES62,2,0.0749
2017,NUTS,2010,ES62,2,0.0767
2018,NUTS,2010,ES62,2,0.0772
2019,NUTS,2010,ES62,2,0.0787
2011,NUTS,2010,ES7,1,0.1183
2012,NUTS,2010,ES7,1,0.1088
2013,NUTS,2010,ES7,1,0.1054
2014,NUTS,2010,ES7,1,0.0956
2015,NUTS,2010,ES7,1,0.0943
2016,NUTS,2010,ES7,1,0.0937
2017,NUTS,2010,ES7,1,0.0992
2018,NUTS,2010,ES7,1,0.102
2019,NUTS,2010,ES7,1,0.1007
2011,NUTS,2010,ES70,2,0.1183
2012,NUTS,2010,ES70,2,0.1088
2013,NUTS,2010,ES70,2,0.1054
2014,NUTS,2010,ES70,2,0.0956
2015,NUTS,2010,ES70,2,0.0943
2016,NUTS,2010,ES70,2,0.0937
2017,NUTS,2010,ES70,2,0.0992
2018,NUTS,2010,ES70,2,0.102
2019,NUTS,2010,ES70,2,0.1007
2011,NUTS,2010,EU27_2020,7,0.1699
2012,NUTS,2010,EU27_2020,7,0.1711
2013,NUTS,2010,EU27_2020,7,0.1697
2014,NUTS,2010,EU27_2020,7,0.1703
2015,NUTS,2010,EU27_2020,7,0.1721
2016,NUTS,2010,EU27_2020,7,0.1633
2017,NUTS,2010,EU27_2020,7,0.1657
2018,NUTS,2010,EU27_2020,7,0.1706
2019,NUTS,2010,EU27_2020,7,0.1723
2020,NUTS,2010,EU27_2020,7,0.1773
2011,NUTS,2010,FI,0,0.2641
2012,NUTS,2010,FI,0,0.2439
2013,NUTS,2010,FI,0,0.2435
2014,NUTS,2010,FI,0,0.227
2015,NUTS,2010,FI,0,0.175
2016,NUTS,2010,FI,0,0.1563
2017,NUTS,2010,FI,0,0.1628
2018,NUTS,2010,FI,0,0.1601
2019,NUTS,2010,FI,0,0.1584
2020,NUTS,2010,FI,0,0.1662
2012,NUTS,2010,FI1,1,0.2582
2013,NUTS,2010,FI1,1,0.2581
2015,NUTS,2010,FI1,1,0.1902
2016,NUTS,2010,FI1,1,0.1738
2017,NUTS,2010,FI1,1,0.1576
2018,NUTS,2010,FI1,1,0.1547
2019,NUTS,2010,FI1,1,0.1528
2011,NUTS,2010,FI19,2,0.1268
2012,NUTS,2010,FI19,2,0.1181
2013,NUTS,2010,FI19,2,0.121
2015,NUTS,2010,FI19,2,0.0875
2016,NUTS,2010,FI19,2,0.0871
2017,NUTS,2010,FI19,2,0.0534
2018,NUTS,2010,FI19,2,0.0519
2019,NUTS,2010,FI19,2,0.05
2011,NUTS,2010,FI1B,2,0.5306
2012,NUTS,2010,FI1B,2,0.4747
2013,NUTS,2010,FI1B,2,0.4767
2015,NUTS,2010,FI1B,2,0.3715
2016,NUTS,2010,FI1B,2,0.3397
2017,NUTS,2010,FI1B,2,0.3267
2018,NUTS,2010,FI1B,2,0.3246
2019,NUTS,2010,FI1B,2,0.3211
2011,NUTS,2010,FI1C,2,0.1391
2012,NUTS,2010,FI1C,2,0.1311
2013,NUTS,2010,FI1C,2,0.1331
2015,NUTS,2010,FI1C,2,0.0916
2016,NUTS,2010,FI1C,2,0.0798
2017,NUTS,2010,FI1C,2,0.057
2018,NUTS,2010,FI1C,2,0.0525
2019,NUTS,2010,FI1C,2,0.0494
2011,NUTS,2010,FI1D,2,0.2333
2012,NUTS,2010,FI1D,2,0.2246
2013,NUTS,2010,FI1D,2,0.2116
2015,NUTS,2010,FI1D,2,0.1299
2016,NUTS,2010,FI1D,2,0.1125
2017,NUTS,2010,FI1D,2,0.1144
2018,NUTS,2010,FI1D,2,0.1084
2019,NUTS,2010,FI1D,2,0.1063
2012,NUTS,2010,FI2,1,0.0
2013,NUTS,2010,FI2,1,0.0
2015,NUTS,2010,FI2,1,0.0
2016,NUTS,2010,FI2,1,0.0
2017,NUTS,2010,FI2,1,0.0
2018,NUTS,2010,FI2,1,0.0
2019,NUTS,2010,FI2,1,0.0
2012,NUTS,2010,FI20,2,0.0
2013,NUTS,2010,FI20,2,0.0
2015,NUTS,2010,FI20,2,0.0
2016,NUTS,2010,FI20,2,0.0
2017,NUTS,2010,FI20,2,0.0
2018,NUTS,2010,FI20,2,0.0
2019,NUTS,2010,FI20,2,0.0
2011,NUTS,2010,FR,0,0.1713
2012,NUTS,2010,FR,0,0.1709
2013,NUTS,2010,FR,0,0.1703
2014,NUTS,2010,FR,0,0.1695
2015,NUTS,2010,FR,0,0.168
2016,NUTS,2010,FR,0,0.1679
2017,NUTS,2010,FR,0,0.1671
2018,NUTS,2010,FR,0,0.1665
2019,NUTS,2010,FR,0,0.1676
2020,NUTS,2010,FR,0,0.1705
2011,NUTS,2010,FR1,1,0.3113
2012,NUTS,2010,FR1,1,0.3128
2013,NUTS,2010,FR1,1,0.3105
2011,NUTS,2010,FR10,2,0.3113
2012,NUTS,2010,FR10,2,0.3128
2013,NUTS,2010,FR10,2,0.3105
2011,NUTS,2010,FR2,1,0.047
2012,NUTS,2010,FR2,1,0.0473
2013,NUTS,2010,FR2,1,0.0465
2011,NUTS,2010,FR21,2,0.0096
2012,NUTS,2010,FR21,2,0.0178
2013,NUTS,2010,FR21,2,0.0078
2011,NUTS,2010,FR22,2,0.0225
2012,NUTS,2010,FR22,2,0.0272
2013,NUTS,2010,FR22,2,0.0265
2011,NUTS,2010,FR23,2,0.0085
2012,NUTS,2010,FR23,2,0.008
