year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_pc_act_fte_t
2015,NUTS,2010,BE,0,0.1313
2016,NUTS,2010,BE,0,0.1348
2017,NUTS,2010,BE,0,0.1405
2018,NUTS,2010,BE,0,0.1505
2019,NUTS,2010,BE,0,0.1539
2020,NUTS,2010,BE,0,0.1664
2011,NUTS,2010,BE1,1,0.2204
2012,NUTS,2010,BE1,1,0.3422
2013,NUTS,2010,BE1,1,0.3419
2014,NUTS,2010,BE1,1,0.2937
2015,NUTS,2010,BE1,1,0.3187
2016,NUTS,2010,BE1,1,0.3301
2017,NUTS,2010,BE1,1,0.3348
2018,NUTS,2010,BE1,1,0.3585
2019,NUTS,2010,BE1,1,0.3562
2011,NUTS,2010,BE10,2,0.2204
2012,NUTS,2010,BE10,2,0.3422
2013,NUTS,2010,BE10,2,0.3419
2014,NUTS,2010,BE10,2,0.2937
2015,NUTS,2010,BE10,2,0.3187
2016,NUTS,2010,BE10,2,0.3301
2017,NUTS,2010,BE10,2,0.3348
2018,NUTS,2010,BE10,2,0.3585
2019,NUTS,2010,BE10,2,0.3562
2011,NUTS,2010,BE2,1,0.1095
2012,NUTS,2010,BE2,1,0.1293
2013,NUTS,2010,BE2,1,0.1315
2014,NUTS,2010,BE2,1,0.1458
2015,NUTS,2010,BE2,1,0.1442
2016,NUTS,2010,BE2,1,0.1523
2017,NUTS,2010,BE2,1,0.1605
2018,NUTS,2010,BE2,1,0.1718
2019,NUTS,2010,BE2,1,0.1765
2011,NUTS,2010,BE3,1,0.0218
2012,NUTS,2010,BE3,1,0.0231
2013,NUTS,2010,BE3,1,0.0227
2014,NUTS,2010,BE3,1,0.0372
2015,NUTS,2010,BE3,1,0.0369
2016,NUTS,2010,BE3,1,0.0277
2017,NUTS,2010,BE3,1,0.0277
2018,NUTS,2010,BE3,1,0.0282
2019,NUTS,2010,BE3,1,0.0295
2011,NUTS,2010,BG,0,0.2804
2012,NUTS,2010,BG,0,0.2813
2013,NUTS,2010,BG,0,0.2711
2014,NUTS,2010,BG,0,0.2637
2015,NUTS,2010,BG,0,0.2546
2016,NUTS,2010,BG,0,0.2519
2017,NUTS,2010,BG,0,0.2442
2018,NUTS,2010,BG,0,0.2528
2019,NUTS,2010,BG,0,0.254
2020,NUTS,2010,BG,0,0.2577
2011,NUTS,2010,BG3,1,0.0863
2012,NUTS,2010,BG3,1,0.0951
2013,NUTS,2010,BG3,1,0.0909
2014,NUTS,2010,BG3,1,0.0888
2015,NUTS,2010,BG3,1,0.079
2016,NUTS,2010,BG3,1,0.0795
2017,NUTS,2010,BG3,1,0.0784
2018,NUTS,2010,BG3,1,0.0881
2019,NUTS,2010,BG3,1,0.0896
2011,NUTS,2010,BG31,2,0.1283
2012,NUTS,2010,BG31,2,0.1514
2013,NUTS,2010,BG31,2,0.1524
2014,NUTS,2010,BG31,2,0.1496
2015,NUTS,2010,BG31,2,0.1411
2016,NUTS,2010,BG31,2,0.1444
2018,NUTS,2010,BG31,2,0.1515
2019,NUTS,2010,BG31,2,0.15
2011,NUTS,2010,BG32,2,0.0274
2012,NUTS,2010,BG32,2,0.0358
2013,NUTS,2010,BG32,2,0.035
2014,NUTS,2010,BG32,2,0.0346
2015,NUTS,2010,BG32,2,0.0226
2016,NUTS,2010,BG32,2,0.0197
2017,NUTS,2010,BG32,2,0.0195
