year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_gov_eur_hab
1981,NUTS,2010,AT,0,8.3
1985,NUTS,2010,AT,0,12.2
1989,NUTS,2010,AT,0,15.5
1993,NUTS,2010,AT,0,26.2
1998,NUTS,2010,AT,0,27.3
2002,NUTS,2010,AT,0,33.0
2004,NUTS,2010,AT,0,33.1
2005,NUTS,2010,AT,0,38.3
2006,NUTS,2010,AT,0,40.0
2007,NUTS,2010,AT,0,44.3
2008,NUTS,2010,AT,0,48.5
2009,NUTS,2010,AT,0,47.9
2010,NUTS,2010,AT,0,50.6
2011,NUTS,2010,AT,0,50.8
2012,NUTS,2010,AT,0,50.6
2013,NUTS,2010,AT,0,50.3
2014,NUTS,2010,AT,0,55.0
2015,NUTS,2010,AT,0,56.0
2016,NUTS,2010,AT,0,90.8
2017,NUTS,2010,AT,0,91.9
2018,NUTS,2010,AT,0,96.5
2019,NUTS,2010,AT,0,103.1
2020,NUTS,2010,AT,0,99.7
1993,NUTS,2010,AT1,1,43.7
1998,NUTS,2010,AT1,1,45.4
2002,NUTS,2010,AT1,1,53.5
2004,NUTS,2010,AT1,1,50.7
2006,NUTS,2010,AT1,1,
2007,NUTS,2010,AT1,1,
2009,NUTS,2010,AT1,1,
2011,NUTS,2010,AT1,1,78.9
2013,NUTS,2010,AT1,1,73.7
2015,NUTS,2010,AT1,1,
2017,NUTS,2010,AT1,1,
2019,NUTS,2010,AT1,1,168.7
1993,NUTS,2010,AT11,2,7.8
1998,NUTS,2010,AT11,2,7.2
2002,NUTS,2010,AT11,2,7.2
2004,NUTS,2010,AT11,2,10.4
2006,NUTS,2010,AT11,2,
2007,NUTS,2010,AT11,2,
2009,NUTS,2010,AT11,2,
2011,NUTS,2010,AT11,2,9.5
2013,NUTS,2010,AT11,2,10.6
2015,NUTS,2010,AT11,2,
2017,NUTS,2010,AT11,2,
2019,NUTS,2010,AT11,2,
1993,NUTS,2010,AT12,2,7.4
1998,NUTS,2010,AT12,2,9.1
2002,NUTS,2010,AT12,2,8.7
2004,NUTS,2010,AT12,2,9.5
2006,NUTS,2010,AT12,2,16.9
2007,NUTS,2010,AT12,2,19.2
2009,NUTS,2010,AT12,2,23.4
2011,NUTS,2010,AT12,2,23.7
2013,NUTS,2010,AT12,2,26.1
2015,NUTS,2010,AT12,2,47.5
2017,NUTS,2010,AT12,2,62.6
2019,NUTS,2010,AT12,2,
1993,NUTS,2010,AT13,2,85.6
1998,NUTS,2010,AT13,2,88.3
2002,NUTS,2010,AT13,2,105.8
2004,NUTS,2010,AT13,2,97.6
2006,NUTS,2010,AT13,2,115.8
2007,NUTS,2010,AT13,2,129.4
2009,NUTS,2010,AT13,2,136.2
2011,NUTS,2010,AT13,2,142.7
2013,NUTS,2010,AT13,2,128.2
2015,NUTS,2010,AT13,2,133.0
2017,NUTS,2010,AT13,2,250.4
2019,NUTS,2010,AT13,2,277.6
1993,NUTS,2010,AT2,1,12.7
1998,NUTS,2010,AT2,1,16.5
2002,NUTS,2010,AT2,1,23.8
2004,NUTS,2010,AT2,1,26.5
2006,NUTS,2010,AT2,1,34.8
2007,NUTS,2010,AT2,1,
2009,NUTS,2010,AT2,1,
2011,NUTS,2010,AT2,1,
2013,NUTS,2010,AT2,1,
2015,NUTS,2010,AT2,1,38.2
2017,NUTS,2010,AT2,1,
2019,NUTS,2010,AT2,1,71.0
1993,NUTS,2010,AT21,2,11.0
1998,NUTS,2010,AT21,2,14.2
2002,NUTS,2010,AT21,2,13.0
2004,NUTS,2010,AT21,2,16.9
2006,NUTS,2010,AT21,2,19.5
2007,NUTS,2010,AT21,2,
2009,NUTS,2010,AT21,2,
2011,NUTS,2010,AT21,2,20.6
2013,NUTS,2010,AT21,2,
2015,NUTS,2010,AT21,2,
2017,NUTS,2010,AT21,2,
2019,NUTS,2010,AT21,2,
1993,NUTS,2010,AT22,2,13.5
1998,NUTS,2010,AT22,2,18.5
2002,NUTS,2010,AT22,2,28.9
2004,NUTS,2010,AT22,2,30.9
2006,NUTS,2010,AT22,2,42.0
2007,NUTS,2010,AT22,2,
2009,NUTS,2010,AT22,2,43.3
2011,NUTS,2010,AT22,2,
2013,NUTS,2010,AT22,2,
2015,NUTS,2010,AT22,2,
2017,NUTS,2010,AT22,2,
2019,NUTS,2010,AT22,2,
1993,NUTS,2010,AT3,1,11.3
1998,NUTS,2010,AT3,1,12.8
2002,NUTS,2010,AT3,1,14.8
2004,NUTS,2010,AT3,1,16.5
2006,NUTS,2010,AT3,1,
2007,NUTS,2010,AT3,1,18.9
2009,NUTS,2010,AT3,1,
2011,NUTS,2010,AT3,1,
2013,NUTS,2010,AT3,1,
2015,NUTS,2010,AT3,1,
2017,NUTS,2010,AT3,1,
2019,NUTS,2010,AT3,1,41.7
1993,NUTS,2010,AT31,2,7.1
1998,NUTS,2010,AT31,2,10.2
2002,NUTS,2010,AT31,2,9.7
2004,NUTS,2010,AT31,2,10.3
2006,NUTS,2010,AT31,2,11.2
2007,NUTS,2010,AT31,2,11.7
2009,NUTS,2010,AT31,2,12.6
2011,NUTS,2010,AT31,2,12.1
2013,NUTS,2010,AT31,2,12.3
2015,NUTS,2010,AT31,2,14.9
2017,NUTS,2010,AT31,2,25.9
2019,NUTS,2010,AT31,2,34.7
1993,NUTS,2010,AT32,2,10.2
1998,NUTS,2010,AT32,2,13.6
2002,NUTS,2010,AT32,2,16.5
2004,NUTS,2010,AT32,2,19.2
2006,NUTS,2010,AT32,2,20.0
2007,NUTS,2010,AT32,2,
2009,NUTS,2010,AT32,2,27.5
2011,NUTS,2010,AT32,2,
2013,NUTS,2010,AT32,2,
2015,NUTS,2010,AT32,2,52.8
2017,NUTS,2010,AT32,2,48.2
2019,NUTS,2010,AT32,2,51.4
1993,NUTS,2010,AT33,2,21.9
1998,NUTS,2010,AT33,2,21.0
2002,NUTS,2010,AT33,2,21.1
2004,NUTS,2010,AT33,2,22.9
2006,NUTS,2010,AT33,2,21.8
2007,NUTS,2010,AT33,2,
2009,NUTS,2010,AT33,2,
2011,NUTS,2010,AT33,2,33.5
2013,NUTS,2010,AT33,2,37.8
2015,NUTS,2010,AT33,2,
2017,NUTS,2010,AT33,2,
2019,NUTS,2010,AT33,2,52.5
1993,NUTS,2010,AT34,2,9.6
1998,NUTS,2010,AT34,2,8.6
2002,NUTS,2010,AT34,2,20.3
2004,NUTS,2010,AT34,2,24.8
2006,NUTS,2010,AT34,2,
2007,NUTS,2010,AT34,2,
2009,NUTS,2010,AT34,2,
2011,NUTS,2010,AT34,2,26.9
2013,NUTS,2010,AT34,2,30.6
2015,NUTS,2010,AT34,2,34.0
2017,NUTS,2010,AT34,2,32.7
2019,NUTS,2010,AT34,2,33.5
2012,NUTS,2010,BA,0,1.3
1983,NUTS,2010,BE,0,8.3
1984,NUTS,2010,BE,0,8.6
1985,NUTS,2010,BE,0,9.8
1986,NUTS,2010,BE,0,9.9
1987,NUTS,2010,BE,0,9.1
1988,NUTS,2010,BE,0,9.7
1989,NUTS,2010,BE,0,14.4
1991,NUTS,2010,BE,0,16.3
1993,NUTS,2010,BE,0,15.6
1994,NUTS,2010,BE,0,16.4
1995,NUTS,2010,BE,0,17.2
1996,NUTS,2010,BE,0,20.8
1997,NUTS,2010,BE,0,21.7
1998,NUTS,2010,BE,0,25.1
1999,NUTS,2010,BE,0,28.0
2000,NUTS,2010,BE,0,30.5
2001,NUTS,2010,BE,0,32.2
2002,NUTS,2010,BE,0,36.1
2003,NUTS,2010,BE,0,34.2
2004,NUTS,2010,BE,0,40.3
2005,NUTS,2010,BE,0,44.4
2006,NUTS,2010,BE,0,45.3
2007,NUTS,2010,BE,0,48.5
2008,NUTS,2010,BE,0,57.1
2009,NUTS,2010,BE,0,59.3
2010,NUTS,2010,BE,0,58.2
2011,NUTS,2010,BE,0,59.9
2012,NUTS,2010,BE,0,67.5
2013,NUTS,2010,BE,0,69.6
2014,NUTS,2010,BE,0,76.9
2015,NUTS,2010,BE,0,82.7
2016,NUTS,2010,BE,0,92.5
2017,NUTS,2010,BE,0,98.1
2018,NUTS,2010,BE,0,105.9
2019,NUTS,2010,BE,0,116.0
2020,NUTS,2010,BE,0,123.0
1993,NUTS,2010,BE1,1,47.3
1994,NUTS,2010,BE1,1,46.5
1995,NUTS,2010,BE1,1,47.2
1996,NUTS,2010,BE1,1,44.6
1997,NUTS,2010,BE1,1,46.2
1998,NUTS,2010,BE1,1,50.1
1999,NUTS,2010,BE1,1,49.3
2000,NUTS,2010,BE1,1,56.3
2001,NUTS,2010,BE1,1,57.5
2002,NUTS,2010,BE1,1,66.6
2003,NUTS,2010,BE1,1,67.2
2004,NUTS,2010,BE1,1,70.7
2005,NUTS,2010,BE1,1,70.8
2006,NUTS,2010,BE1,1,78.0
2007,NUTS,2010,BE1,1,78.2
2008,NUTS,2010,BE1,1,107.2
2009,NUTS,2010,BE1,1,107.1
2010,NUTS,2010,BE1,1,82.6
2011,NUTS,2010,BE1,1,81.7
2012,NUTS,2010,BE1,1,96.4
2013,NUTS,2010,BE1,1,104.1
2014,NUTS,2010,BE1,1,117.0
2015,NUTS,2010,BE1,1,129.1
2016,NUTS,2010,BE1,1,129.8
2017,NUTS,2010,BE1,1,133.1
2018,NUTS,2010,BE1,1,151.9
2019,NUTS,2010,BE1,1,157.3
1993,NUTS,2010,BE10,2,47.3
1994,NUTS,2010,BE10,2,46.5
1995,NUTS,2010,BE10,2,47.2
1996,NUTS,2010,BE10,2,44.6
1997,NUTS,2010,BE10,2,46.2
1998,NUTS,2010,BE10,2,50.1
1999,NUTS,2010,BE10,2,49.3
2000,NUTS,2010,BE10,2,56.3
2001,NUTS,2010,BE10,2,57.5
2002,NUTS,2010,BE10,2,66.6
2003,NUTS,2010,BE10,2,67.2
2004,NUTS,2010,BE10,2,70.7
2005,NUTS,2010,BE10,2,70.8
2006,NUTS,2010,BE10,2,78.0
2007,NUTS,2010,BE10,2,78.2
2008,NUTS,2010,BE10,2,107.2
2009,NUTS,2010,BE10,2,107.1
2010,NUTS,2010,BE10,2,82.6
2011,NUTS,2010,BE10,2,81.7
2012,NUTS,2010,BE10,2,96.4
2013,NUTS,2010,BE10,2,104.1
2014,NUTS,2010,BE10,2,117.0
2015,NUTS,2010,BE10,2,129.1
2016,NUTS,2010,BE10,2,129.8
2017,NUTS,2010,BE10,2,133.1
2018,NUTS,2010,BE10,2,151.9
2019,NUTS,2010,BE10,2,157.3
1993,NUTS,2010,BE2,1,16.4
1994,NUTS,2010,BE2,1,9.9
1995,NUTS,2010,BE2,1,11.0
1996,NUTS,2010,BE2,1,10.9
1997,NUTS,2010,BE2,1,12.0
1998,NUTS,2010,BE2,1,32.3
1999,NUTS,2010,BE2,1,37.1
2000,NUTS,2010,BE2,1,39.5
2001,NUTS,2010,BE2,1,42.1
2002,NUTS,2010,BE2,1,47.0
2003,NUTS,2010,BE2,1,43.5
2004,NUTS,2010,BE2,1,55.7
2005,NUTS,2010,BE2,1,62.8
2006,NUTS,2010,BE2,1,63.0
2007,NUTS,2010,BE2,1,68.4
2008,NUTS,2010,BE2,1,74.4
2009,NUTS,2010,BE2,1,78.1
2010,NUTS,2010,BE2,1,82.4
2011,NUTS,2010,BE2,1,85.0
2012,NUTS,2010,BE2,1,95.0
2013,NUTS,2010,BE2,1,97.2
2014,NUTS,2010,BE2,1,104.9
2015,NUTS,2010,BE2,1,112.2
2016,NUTS,2010,BE2,1,131.6
2017,NUTS,2010,BE2,1,140.7
2018,NUTS,2010,BE2,1,151.1
2019,NUTS,2010,BE2,1,167.5
2010,NUTS,2010,BE21,2,
2011,NUTS,2010,BE21,2,
2012,NUTS,2010,BE21,2,
2013,NUTS,2010,BE21,2,
2014,NUTS,2010,BE21,2,
2015,NUTS,2010,BE21,2,
2016,NUTS,2010,BE21,2,
2017,NUTS,2010,BE21,2,
2018,NUTS,2010,BE21,2,
2019,NUTS,2010,BE21,2,
2010,NUTS,2010,BE22,2,
2011,NUTS,2010,BE22,2,
2012,NUTS,2010,BE22,2,
2013,NUTS,2010,BE22,2,
2014,NUTS,2010,BE22,2,
2015,NUTS,2010,BE22,2,
2016,NUTS,2010,BE22,2,
2017,NUTS,2010,BE22,2,
2018,NUTS,2010,BE22,2,
2019,NUTS,2010,BE22,2,
2010,NUTS,2010,BE23,2,
2011,NUTS,2010,BE23,2,
2012,NUTS,2010,BE23,2,
2013,NUTS,2010,BE23,2,
2014,NUTS,2010,BE23,2,
2015,NUTS,2010,BE23,2,
2016,NUTS,2010,BE23,2,
2017,NUTS,2010,BE23,2,
2018,NUTS,2010,BE23,2,
2019,NUTS,2010,BE23,2,
2010,NUTS,2010,BE24,2,
2011,NUTS,2010,BE24,2,
2012,NUTS,2010,BE24,2,
2013,NUTS,2010,BE24,2,
2014,NUTS,2010,BE24,2,
2015,NUTS,2010,BE24,2,
2016,NUTS,2010,BE24,2,
2017,NUTS,2010,BE24,2,
2018,NUTS,2010,BE24,2,
2019,NUTS,2010,BE24,2,
2010,NUTS,2010,BE25,2,
2011,NUTS,2010,BE25,2,
2012,NUTS,2010,BE25,2,
2013,NUTS,2010,BE25,2,
2014,NUTS,2010,BE25,2,
2015,NUTS,2010,BE25,2,
2016,NUTS,2010,BE25,2,
2017,NUTS,2010,BE25,2,
2018,NUTS,2010,BE25,2,
2019,NUTS,2010,BE25,2,
1993,NUTS,2010,BE3,1,5.2
1994,NUTS,2010,BE3,1,4.9
1995,NUTS,2010,BE3,1,4.8
1996,NUTS,2010,BE3,1,5.8
1997,NUTS,2010,BE3,1,5.6
1998,NUTS,2010,BE3,1,5.3
1999,NUTS,2010,BE3,1,5.7
2000,NUTS,2010,BE3,1,7.1
2001,NUTS,2010,BE3,1,7.5
2002,NUTS,2010,BE3,1,7.9
2003,NUTS,2010,BE3,1,8.0
2004,NUTS,2010,BE3,1,3.7
2005,NUTS,2010,BE3,1,3.9
2006,NUTS,2010,BE3,1,4.0
2007,NUTS,2010,BE3,1,4.0
2008,NUTS,2010,BE3,1,11.0
2009,NUTS,2010,BE3,1,11.0
2010,NUTS,2010,BE3,1,7.3
2011,NUTS,2010,BE3,1,8.0
2012,NUTS,2010,BE3,1,8.8
2013,NUTS,2010,BE3,1,8.9
2014,NUTS,2010,BE3,1,13.5
2015,NUTS,2010,BE3,1,14.6
2016,NUTS,2010,BE3,1,9.8
2017,NUTS,2010,BE3,1,10.0
2018,NUTS,2010,BE3,1,9.0
2019,NUTS,2010,BE3,1,9.1
2010,NUTS,2010,BE31,2,
2011,NUTS,2010,BE31,2,
2012,NUTS,2010,BE31,2,
2013,NUTS,2010,BE31,2,
2014,NUTS,2010,BE31,2,
2015,NUTS,2010,BE31,2,
2016,NUTS,2010,BE31,2,
2017,NUTS,2010,BE31,2,
2018,NUTS,2010,BE31,2,
2019,NUTS,2010,BE31,2,
2010,NUTS,2010,BE32,2,
2011,NUTS,2010,BE32,2,
2012,NUTS,2010,BE32,2,
2013,NUTS,2010,BE32,2,
2014,NUTS,2010,BE32,2,
2015,NUTS,2010,BE32,2,
2016,NUTS,2010,BE32,2,
2017,NUTS,2010,BE32,2,
2018,NUTS,2010,BE32,2,
2019,NUTS,2010,BE32,2,
2010,NUTS,2010,BE33,2,
2011,NUTS,2010,BE33,2,
2012,NUTS,2010,BE33,2,
2013,NUTS,2010,BE33,2,
2014,NUTS,2010,BE33,2,
2015,NUTS,2010,BE33,2,
2016,NUTS,2010,BE33,2,
2017,NUTS,2010,BE33,2,
2018,NUTS,2010,BE33,2,
2019,NUTS,2010,BE33,2,
2010,NUTS,2010,BE34,2,
2011,NUTS,2010,BE34,2,
2012,NUTS,2010,BE34,2,
2013,NUTS,2010,BE34,2,
2014,NUTS,2010,BE34,2,
2015,NUTS,2010,BE34,2,
2016,NUTS,2010,BE34,2,
2017,NUTS,2010,BE34,2,
2018,NUTS,2010,BE34,2,
2019,NUTS,2010,BE34,2,
2010,NUTS,2010,BE35,2,
2011,NUTS,2010,BE35,2,
2012,NUTS,2010,BE35,2,
2013,NUTS,2010,BE35,2,
2014,NUTS,2010,BE35,2,
2015,NUTS,2010,BE35,2,
2016,NUTS,2010,BE35,2,
2017,NUTS,2010,BE35,2,
2018,NUTS,2010,BE35,2,
2019,NUTS,2010,BE35,2,
1987,NUTS,2010,BG,0,38.3
1988,NUTS,2010,BG,0,31.4
1989,NUTS,2010,BG,0,44.2
1990,NUTS,2010,BG,0,9.2
1991,NUTS,2010,BG,0,2.6
1992,NUTS,2010,BG,0,3.1
1993,NUTS,2010,BG,0,5.4
1994,NUTS,2010,BG,0,3.5
1995,NUTS,2010,BG,0,3.1
1996,NUTS,2010,BG,0,1.6
1997,NUTS,2010,BG,0,3.9
1998,NUTS,2010,BG,0,5.9
1999,NUTS,2010,BG,0,6.1
2000,NUTS,2010,BG,0,6.0
2001,NUTS,2010,BG,0,5.9
2002,NUTS,2010,BG,0,7.4
2003,NUTS,2010,BG,0,8.0
2004,NUTS,2010,BG,0,8.6
2005,NUTS,2010,BG,0,9.2
2006,NUTS,2010,BG,0,10.2
2007,NUTS,2010,BG,0,10.8
2008,NUTS,2010,BG,0,12.9
2009,NUTS,2010,BG,0,13.7
2010,NUTS,2010,BG,0,10.8
2011,NUTS,2010,BG,0,10.7
2012,NUTS,2010,BG,0,10.4
2013,NUTS,2010,BG,0,10.9
2014,NUTS,2010,BG,0,11.6
2015,NUTS,2010,BG,0,12.5
2016,NUTS,2010,BG,0,11.1
2017,NUTS,2010,BG,0,12.7
2018,NUTS,2010,BG,0,13.3
2019,NUTS,2010,BG,0,18.2
2020,NUTS,2010,BG,0,19.4
2002,NUTS,2010,BG3,1,1.4
2003,NUTS,2010,BG3,1,1.5
2004,NUTS,2010,BG3,1,1.7
2005,NUTS,2010,BG3,1,1.8
2006,NUTS,2010,BG3,1,2.3
2007,NUTS,2010,BG3,1,2.6
2008,NUTS,2010,BG3,1,3.0
2009,NUTS,2010,BG3,1,3.2
2010,NUTS,2010,BG3,1,2.7
2011,NUTS,2010,BG3,1,2.9
2012,NUTS,2010,BG3,1,2.7
2013,NUTS,2010,BG3,1,3.0
2014,NUTS,2010,BG3,1,2.7
2015,NUTS,2010,BG3,1,2.9
2016,NUTS,2010,BG3,1,3.3
2017,NUTS,2010,BG3,1,3.4
2018,NUTS,2010,BG3,1,3.6
2019,NUTS,2010,BG3,1,4.5
2002,NUTS,2010,BG31,2,1.7
2003,NUTS,2010,BG31,2,1.7
2004,NUTS,2010,BG31,2,1.8
2005,NUTS,2010,BG31,2,2.0
2006,NUTS,2010,BG31,2,2.4
2007,NUTS,2010,BG31,2,2.7
2008,NUTS,2010,BG31,2,2.3
2009,NUTS,2010,BG31,2,3.5
2010,NUTS,2010,BG31,2,3.0
2011,NUTS,2010,BG31,2,3.1
2012,NUTS,2010,BG31,2,2.9
2013,NUTS,2010,BG31,2,3.3
2014,NUTS,2010,BG31,2,
2015,NUTS,2010,BG31,2,3.6
2016,NUTS,2010,BG31,2,3.5
2017,NUTS,2010,BG31,2,
2018,NUTS,2010,BG31,2,4.7
2019,NUTS,2010,BG31,2,5.5
2002,NUTS,2010,BG32,2,0.2
2003,NUTS,2010,BG32,2,0.5
2004,NUTS,2010,BG32,2,0.6
2005,NUTS,2010,BG32,2,0.6
2006,NUTS,2010,BG32,2,0.6
2007,NUTS,2010,BG32,2,0.8
2008,NUTS,2010,BG32,2,0.9
2009,NUTS,2010,BG32,2,0.8
2010,NUTS,2010,BG32,2,0.9
2011,NUTS,2010,BG32,2,1.1
2012,NUTS,2010,BG32,2,0.7
2013,NUTS,2010,BG32,2,0.6
2014,NUTS,2010,BG32,2,0.6
2015,NUTS,2010,BG32,2,0.2
2016,NUTS,2010,BG32,2,0.2
2017,NUTS,2010,BG32,2,0.2
2018,NUTS,2010,BG32,2,0.2
2019,NUTS,2010,BG32,2,0.4
2002,NUTS,2010,BG33,2,2.7
2003,NUTS,2010,BG33,2,3.2
2004,NUTS,2010,BG33,2,3.3
2005,NUTS,2010,BG33,2,3.7
2006,NUTS,2010,BG33,2,4.4
2007,NUTS,2010,BG33,2,4.9
2008,NUTS,2010,BG33,2,5.7
2009,NUTS,2010,BG33,2,6.4
2010,NUTS,2010,BG33,2,5.0
2011,NUTS,2010,BG33,2,5.5
2012,NUTS,2010,BG33,2,5.4
2013,NUTS,2010,BG33,2,6.0
2014,NUTS,2010,BG33,2,
2015,NUTS,2010,BG33,2,5.8
2016,NUTS,2010,BG33,2,7.4
2017,NUTS,2010,BG33,2,6.9
2018,NUTS,2010,BG33,2,7.5
2019,NUTS,2010,BG33,2,8.9
2002,NUTS,2010,BG34,2,0.9
2003,NUTS,2010,BG34,2,0.8
2004,NUTS,2010,BG34,2,1.1
2005,NUTS,2010,BG34,2,1.1
2006,NUTS,2010,BG34,2,1.8
2007,NUTS,2010,BG34,2,2.0
2008,NUTS,2010,BG34,2,2.7
2009,NUTS,2010,BG34,2,2.1
2010,NUTS,2010,BG34,2,1.9
2011,NUTS,2010,BG34,2,2.0
2012,NUTS,2010,BG34,2,1.8
2013,NUTS,2010,BG34,2,1.9
2014,NUTS,2010,BG34,2,2.0
2015,NUTS,2010,BG34,2,2.0
2016,NUTS,2010,BG34,2,2.1
2017,NUTS,2010,BG34,2,
2018,NUTS,2010,BG34,2,2.1
2019,NUTS,2010,BG34,2,3.1
2002,NUTS,2010,BG4,1,14.1
2003,NUTS,2010,BG4,1,15.2
2004,NUTS,2010,BG4,1,16.2
2005,NUTS,2010,BG4,1,17.4
2006,NUTS,2010,BG4,1,18.7
2007,NUTS,2010,BG4,1,19.6
2008,NUTS,2010,BG4,1,23.5
2009,NUTS,2010,BG4,1,24.7
2010,NUTS,2010,BG4,1,19.3
2011,NUTS,2010,BG4,1,18.7
2012,NUTS,2010,BG4,1,18.3
2013,NUTS,2010,BG4,1,19.0
2014,NUTS,2010,BG4,1,20.6
2015,NUTS,2010,BG4,1,22.2
2016,NUTS,2010,BG4,1,19.0
2017,NUTS,2010,BG4,1,22.1
2018,NUTS,2010,BG4,1,22.9
2019,NUTS,2010,BG4,1,31.8
1999,NUTS,2010,BG41,2,20.8
2000,NUTS,2010,BG41,2,20.1
2002,NUTS,2010,BG41,2,23.8
2003,NUTS,2010,BG41,2,25.3
2004,NUTS,2010,BG41,2,
2005,NUTS,2010,BG41,2,28.8
2006,NUTS,2010,BG41,2,31.0
2007,NUTS,2010,BG41,2,32.0
2008,NUTS,2010,BG41,2,38.7
2009,NUTS,2010,BG41,2,40.6
2010,NUTS,2010,BG41,2,31.2
2011,NUTS,2010,BG41,2,30.1
2012,NUTS,2010,BG41,2,29.4
2013,NUTS,2010,BG41,2,30.4
2014,NUTS,2010,BG41,2,33.3
2015,NUTS,2010,BG41,2,35.5
2016,NUTS,2010,BG41,2,30.3
2017,NUTS,2010,BG41,2,35.0
2018,NUTS,2010,BG41,2,36.0
2019,NUTS,2010,BG41,2,50.4
2002,NUTS,2010,BG42,2,1.3
2003,NUTS,2010,BG42,2,1.5
2004,NUTS,2010,BG42,2,
2005,NUTS,2010,BG42,2,1.6
2006,NUTS,2010,BG42,2,1.7
2007,NUTS,2010,BG42,2,2.2
2008,NUTS,2010,BG42,2,2.1
2009,NUTS,2010,BG42,2,2.2
2010,NUTS,2010,BG42,2,2.4
2011,NUTS,2010,BG42,2,2.4
2012,NUTS,2010,BG42,2,2.3
2013,NUTS,2010,BG42,2,2.4
2014,NUTS,2010,BG42,2,2.1
2015,NUTS,2010,BG42,2,2.6
2016,NUTS,2010,BG42,2,2.3
2017,NUTS,2010,BG42,2,2.8
2018,NUTS,2010,BG42,2,3.4
2019,NUTS,2010,BG42,2,4.0
1981,NUTS,2010,CH,0,18.0
1983,NUTS,2010,CH,0,19.7
1986,NUTS,2010,CH,0,38.8
1988,NUTS,2010,CH,0,27.4
1989,NUTS,2010,CH,0,30.2
1990,NUTS,2010,CH,0,25.7
1991,NUTS,2010,CH,0,28.3
1992,NUTS,2010,CH,0,27.3
1994,NUTS,2010,CH,0,23.9
1996,NUTS,2010,CH,0,22.6
1998,NUTS,2010,CH,0,17.4
2000,NUTS,2010,CH,0,12.5
2002,NUTS,2010,CH,0,13.2
2004,NUTS,2010,CH,0,12.3
2006,NUTS,2010,CH,0,10.2
2008,NUTS,2010,CH,0,10.0
2010,NUTS,2010,CH,0,11.6
2012,NUTS,2010,CH,0,14.5
2014,NUTS,2010,CH,0,19.3
2015,NUTS,2010,CH,0,22.0
2017,NUTS,2010,CH,0,19.7
2019,NUTS,2010,CH,0,22.5
1981,NUTS,2010,CH0,1,18.0
1983,NUTS,2010,CH0,1,19.7
1986,NUTS,2010,CH0,1,38.8
1988,NUTS,2010,CH0,1,27.4
1989,NUTS,2010,CH0,1,30.2
1990,NUTS,2010,CH0,1,25.7
1991,NUTS,2010,CH0,1,28.3
1992,NUTS,2010,CH0,1,27.3
1994,NUTS,2010,CH0,1,23.9
1996,NUTS,2010,CH0,1,22.6
1998,NUTS,2010,CH0,1,17.4
2000,NUTS,2010,CH0,1,12.5
2002,NUTS,2010,CH0,1,13.2
2004,NUTS,2010,CH0,1,12.3
2006,NUTS,2010,CH0,1,10.2
2008,NUTS,2010,CH0,1,10.0
2010,NUTS,2010,CH0,1,11.6
2012,NUTS,2010,CH0,1,14.5
2014,NUTS,2010,CH0,1,19.3
2015,NUTS,2010,CH0,1,22.0
2017,NUTS,2010,CH0,1,19.7
2019,NUTS,2010,CH0,1,22.5
1991,NUTS,2010,CY,0,11.9
1992,NUTS,2010,CY,0,13.3
1998,NUTS,2010,CY,0,15.5
1999,NUTS,2010,CY,0,15.5
2000,NUTS,2010,CY,0,16.5
2001,NUTS,2010,CY,0,17.9
2002,NUTS,2010,CY,0,19.5
2003,NUTS,2010,CY,0,21.8
2004,NUTS,2010,CY,0,23.4
2005,NUTS,2010,CY,0,24.0
2006,NUTS,2010,CY,0,24.0
2007,NUTS,2010,CY,0,22.4
2008,NUTS,2010,CY,0,21.7
2009,NUTS,2010,CY,0,21.3
2010,NUTS,2010,CY,0,20.6
2011,NUTS,2010,CY,0,17.5
2012,NUTS,2010,CY,0,15.9
2013,NUTS,2010,CY,0,14.2
2014,NUTS,2010,CY,0,14.4
2015,NUTS,2010,CY,0,13.1
2016,NUTS,2010,CY,0,12.3
2017,NUTS,2010,CY,0,12.9
2018,NUTS,2010,CY,0,12.9
2019,NUTS,2010,CY,0,13.9
2020,NUTS,2010,CY,0,13.7
1991,NUTS,2010,CY0,1,11.9
1992,NUTS,2010,CY0,1,13.3
1998,NUTS,2010,CY0,1,15.5
1999,NUTS,2010,CY0,1,15.5
2000,NUTS,2010,CY0,1,16.5
2001,NUTS,2010,CY0,1,17.9
2002,NUTS,2010,CY0,1,19.5
2003,NUTS,2010,CY0,1,21.8
2004,NUTS,2010,CY0,1,23.4
2005,NUTS,2010,CY0,1,24.0
2006,NUTS,2010,CY0,1,24.0
2007,NUTS,2010,CY0,1,22.4
2008,NUTS,2010,CY0,1,21.7
2009,NUTS,2010,CY0,1,21.3
2010,NUTS,2010,CY0,1,20.6
2011,NUTS,2010,CY0,1,17.5
2012,NUTS,2010,CY0,1,15.9
2013,NUTS,2010,CY0,1,14.2
2014,NUTS,2010,CY0,1,14.4
2015,NUTS,2010,CY0,1,13.1
2016,NUTS,2010,CY0,1,12.3
2017,NUTS,2010,CY0,1,12.9
2018,NUTS,2010,CY0,1,12.9
2019,NUTS,2010,CY0,1,13.9
2020,NUTS,2010,CY0,1,13.7
1991,NUTS,2010,CY00,2,11.9
1992,NUTS,2010,CY00,2,13.3
1998,NUTS,2010,CY00,2,15.5
1999,NUTS,2010,CY00,2,15.5
2000,NUTS,2010,CY00,2,16.5
2001,NUTS,2010,CY00,2,17.9
2002,NUTS,2010,CY00,2,19.5
