year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_t_pc_emp_hc
2011,NUTS,2010,AT,0,1.6476
2013,NUTS,2010,AT,0,1.7729
2015,NUTS,2010,AT,0,1.9187
2017,NUTS,2010,AT,0,1.9988
2019,NUTS,2010,AT,0,2.1771
2011,NUTS,2010,AT1,1,1.8936
2013,NUTS,2010,AT1,1,2.0342
2015,NUTS,2010,AT1,1,2.1311
2017,NUTS,2010,AT1,1,2.1753
2019,NUTS,2010,AT1,1,2.3308
2011,NUTS,2010,AT11,2,0.3615
2013,NUTS,2010,AT11,2,0.4716
2015,NUTS,2010,AT11,2,0.4977
2017,NUTS,2010,AT11,2,0.5314
2019,NUTS,2010,AT11,2,0.5839
2011,NUTS,2010,AT12,2,0.545
2013,NUTS,2010,AT12,2,0.5927
2015,NUTS,2010,AT12,2,0.6572
2017,NUTS,2010,AT12,2,0.7031
2019,NUTS,2010,AT12,2,0.8552
2011,NUTS,2010,AT13,2,3.5214
2013,NUTS,2010,AT13,2,3.714
2015,NUTS,2010,AT13,2,3.8602
2017,NUTS,2010,AT13,2,3.873
2019,NUTS,2010,AT13,2,3.9901
2011,NUTS,2010,AT2,1,1.8705
2013,NUTS,2010,AT2,1,1.9052
2015,NUTS,2010,AT2,1,2.1743
2017,NUTS,2010,AT2,1,2.2741
2019,NUTS,2010,AT2,1,2.6263
2011,NUTS,2010,AT21,2,1.0429
2013,NUTS,2010,AT21,2,1.0548
2015,NUTS,2010,AT21,2,1.1682
2017,NUTS,2010,AT21,2,1.2495
2019,NUTS,2010,AT21,2,1.4485
2011,NUTS,2010,AT22,2,2.2342
2013,NUTS,2010,AT22,2,2.2798
2015,NUTS,2010,AT22,2,2.6132
2017,NUTS,2010,AT22,2,2.719
2019,NUTS,2010,AT22,2,3.1337
2011,NUTS,2010,AT3,1,1.1763
2013,NUTS,2010,AT3,1,1.3268
2015,NUTS,2010,AT3,1,1.4477
2017,NUTS,2010,AT3,1,1.5596
2019,NUTS,2010,AT3,1,1.6645
2011,NUTS,2010,AT31,2,1.0746
2013,NUTS,2010,AT31,2,1.2604
2015,NUTS,2010,AT31,2,1.3894
2017,NUTS,2010,AT31,2,1.4587
2019,NUTS,2010,AT31,2,1.6207
2011,NUTS,2010,AT32,2,1.1466
2013,NUTS,2010,AT32,2,1.2414
2015,NUTS,2010,AT32,2,1.4169
2017,NUTS,2010,AT32,2,1.6309
2019,NUTS,2010,AT32,2,1.7041
2011,NUTS,2010,AT33,2,1.6917
2013,NUTS,2010,AT33,2,1.7693
2015,NUTS,2010,AT33,2,1.8586
2017,NUTS,2010,AT33,2,2.0291
2019,NUTS,2010,AT33,2,2.1042
2011,NUTS,2010,AT34,2,0.6136
2013,NUTS,2010,AT34,2,0.833
2015,NUTS,2010,AT34,2,0.9184
2017,NUTS,2010,AT34,2,0.9422
2019,NUTS,2010,AT34,2,0.9327
2011,NUTS,2010,BE,0,1.414
2013,NUTS,2010,BE,0,1.4877
2015,NUTS,2010,BE,0,1.6383
2017,NUTS,2010,BE,0,1.7194
2019,NUTS,2010,BE,0,1.9232
2011,NUTS,2010,BE1,1,2.6722
2013,NUTS,2010,BE1,1,3.1396
2015,NUTS,2010,BE1,1,3.1735
2017,NUTS,2010,BE1,1,3.2961
2019,NUTS,2010,BE1,1,3.8305
2011,NUTS,2010,BE10,2,2.6722
2013,NUTS,2010,BE10,2,3.1396
2015,NUTS,2010,BE10,2,3.1735
2017,NUTS,2010,BE10,2,3.2961
2019,NUTS,2010,BE10,2,3.8305
2011,NUTS,2010,BE2,1,1.3301
2013,NUTS,2010,BE2,1,1.4208
2015,NUTS,2010,BE2,1,1.5947
2017,NUTS,2010,BE2,1,1.6518
2019,NUTS,2010,BE2,1,1.8991
2011,NUTS,2010,BE21,2,1.432
2013,NUTS,2010,BE21,2,1.3431
2015,NUTS,2010,BE21,2,1.495
2011,NUTS,2010,BE22,2,0.5757
2013,NUTS,2010,BE22,2,0.7036
2015,NUTS,2010,BE22,2,0.9063
2011,NUTS,2010,BE23,2,1.4807
2013,NUTS,2010,BE23,2,1.6403
2015,NUTS,2010,BE23,2,1.851
2011,NUTS,2010,BE24,2,2.4326
2013,NUTS,2010,BE24,2,2.5803
2015,NUTS,2010,BE24,2,2.8595
2011,NUTS,2010,BE25,2,0.488
2013,NUTS,2010,BE25,2,0.6678
2015,NUTS,2010,BE25,2,0.6981
2011,NUTS,2010,BE3,1,1.1571
2013,NUTS,2010,BE3,1,1.0683
2015,NUTS,2010,BE3,1,1.1631
