year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_fte_total_total_f
1998,NUTS,2010,AT,0,0.4189
2002,NUTS,2010,AT,0,0.4969
2004,NUTS,2010,AT,0,0.5771
2006,NUTS,2010,AT,0,0.6349
2007,NUTS,2010,AT,0,0.6773
2009,NUTS,2010,AT,0,0.7303
2011,NUTS,2010,AT,0,0.7712
2013,NUTS,2010,AT,0,0.7911
2015,NUTS,2010,AT,0,0.8386
2017,NUTS,2010,AT,0,0.88
2019,NUTS,2010,AT,0,0.9571
2000,NUTS,2010,BE,0,0.7811
2001,NUTS,2010,BE,0,0.845
2002,NUTS,2010,BE,0,0.8185
2003,NUTS,2010,BE,0,0.8255
2004,NUTS,2010,BE,0,0.8305
2005,NUTS,2010,BE,0,0.8394
2006,NUTS,2010,BE,0,0.867
2007,NUTS,2010,BE,0,0.8812
2008,NUTS,2010,BE,0,0.9163
2009,NUTS,2010,BE,0,0.931
2010,NUTS,2010,BE,0,0.931
2011,NUTS,2010,BE,0,0.9723
2000,NUTS,2010,BG,0,0.5196
2001,NUTS,2010,BG,0,0.4985
2002,NUTS,2010,BG,0,0.519
2003,NUTS,2010,BG,0,0.5404
2004,NUTS,2010,BG,0,0.5374
2005,NUTS,2010,BG,0,0.541
2006,NUTS,2010,BG,0,0.5213
2007,NUTS,2010,BG,0,0.5381
2008,NUTS,2010,BG,0,0.5391
2009,NUTS,2010,BG,0,0.5948
2010,NUTS,2010,BG,0,0.5662
2011,NUTS,2010,BG,0,0.5895
2012,NUTS,2010,BG,0,0.5766
2013,NUTS,2010,BG,0,0.5943
2014,NUTS,2010,BG,0,0.6366
2015,NUTS,2010,BG,0,0.7102
2016,NUTS,2010,BG,0,0.8026
2017,NUTS,2010,BG,0,0.7333
2018,NUTS,2010,BG,0,0.7936
2019,NUTS,2010,BG,0,0.8043
1998,NUTS,2010,CY,0,0.1595
1999,NUTS,2010,CY,0,0.2073
2000,NUTS,2010,CY,0,0.1885
2001,NUTS,2010,CY,0,0.1853
2002,NUTS,2010,CY,0,0.2166
2003,NUTS,2010,CY,0,0.2335
2004,NUTS,2010,CY,0,0.2575
2005,NUTS,2010,CY,0,0.2779
2006,NUTS,2010,CY,0,0.2835
2007,NUTS,2010,CY,0,0.2711
2008,NUTS,2010,CY,0,0.2638
2009,NUTS,2010,CY,0,0.2791
2010,NUTS,2010,CY,0,0.2686
2011,NUTS,2010,CY,0,0.2626
2012,NUTS,2010,CY,0,0.2507
2013,NUTS,2010,CY,0,0.2521
2014,NUTS,2010,CY,0,0.2587
2015,NUTS,2010,CY,0,0.2521
2016,NUTS,2010,CY,0,0.2765
2017,NUTS,2010,CY,0,0.31
2018,NUTS,2010,CY,0,0.3414
2019,NUTS,2010,CY,0,0.3958
2000,NUTS,2010,CZ,0,0.3529
2001,NUTS,2010,CZ,0,0.3851
2002,NUTS,2010,CZ,0,0.3772
2003,NUTS,2010,CZ,0,0.3939
2004,NUTS,2010,CZ,0,0.3918
2005,NUTS,2010,CZ,0,0.6249
2006,NUTS,2010,CZ,0,0.6641
2007,NUTS,2010,CZ,0,0.6974
2008,NUTS,2010,CZ,0,0.7009
2009,NUTS,2010,CZ,0,0.701
2010,NUTS,2010,CZ,0,0.7087
2011,NUTS,2010,CZ,0,0.7481
2012,NUTS,2010,CZ,0,0.8002
2013,NUTS,2010,CZ,0,0.806
2014,NUTS,2010,CZ,0,0.8255
2015,NUTS,2010,CZ,0,0.8438
2016,NUTS,2010,CZ,0,0.804
2017,NUTS,2010,CZ,0,0.8386
2018,NUTS,2010,CZ,0,0.9112
2019,NUTS,2010,CZ,0,0.9731
2020,NUTS,2010,CZ,0,1.0004
1997,NUTS,2010,DE,0,0.6471
1999,NUTS,2010,DE,0,0.6706
2001,NUTS,2010,DE,0,0.7016
2003,NUTS,2010,DE,0,0.6798
2005,NUTS,2010,DE,0,0.6702
2007,NUTS,2010,DE,0,0.7021
2009,NUTS,2010,DE,0,0.7772
2011,NUTS,2010,DE,0,0.8529
2013,NUTS,2010,DE,0,0.8711
2015,NUTS,2010,DE,0,0.9236
2017,NUTS,2010,DE,0,0.9635
2019,NUTS,2010,DE,0,1.0171
1999,NUTS,2010,DK,0,0.9152
2001,NUTS,2010,DK,0,1.0769
2002,NUTS,2010,DK,0,1.1924
2003,NUTS,2010,DK,0,1.1612
2005,NUTS,2010,DK,0,1.194
2007,NUTS,2010,DK,0,1.2006
2009,NUTS,2010,DK,0,1.4257
2010,NUTS,2010,DK,0,1.4971
2011,NUTS,2010,DK,0,1.5095
2012,NUTS,2010,DK,0,1.5634
2013,NUTS,2010,DK,0,1.6162
2015,NUTS,2010,DK,0,1.6107
2017,NUTS,2010,DK,0,1.7416
2019,NUTS,2010,DK,0,1.734
1999,NUTS,2010,DK0,1,0.9154
2001,NUTS,2010,DK0,1,1.0815
2002,NUTS,2010,DK0,1,1.1586
2003,NUTS,2010,DK0,1,1.2145
1998,NUTS,2010,EE,0,0.7366
1999,NUTS,2010,EE,0,0.7424
2000,NUTS,2010,EE,0,0.5637
2001,NUTS,2010,EE,0,0.5677
2002,NUTS,2010,EE,0,0.6307
2003,NUTS,2010,EE,0,0.6377
2004,NUTS,2010,EE,0,0.7047
2005,NUTS,2010,EE,0,0.5907
2006,NUTS,2010,EE,0,0.6079
2007,NUTS,2010,EE,0,0.6745
2008,NUTS,2010,EE,0,0.6436
2009,NUTS,2010,EE,0,0.7203
2010,NUTS,2010,EE,0,0.6937
2011,NUTS,2010,EE,0,0.7696
2012,NUTS,2010,EE,0,0.8058
2013,NUTS,2010,EE,0,0.804
2014,NUTS,2010,EE,0,0.8552
2015,NUTS,2010,EE,0,0.8275
2016,NUTS,2010,EE,0,0.7978
2017,NUTS,2010,EE,0,0.8283
2018,NUTS,2010,EE,0,0.8585
2019,NUTS,2010,EE,0,0.8542
2001,NUTS,2010,EL,0,0.6005
2003,NUTS,2010,EL,0,0.5796
2005,NUTS,2010,EL,0,0.6145
2011,NUTS,2010,EL,0,0.7435
2013,NUTS,2010,EL,0,0.8202
2015,NUTS,2010,EL,0,0.9378
2019,NUTS,2010,EL,0,1.0772
1997,NUTS,2010,ES,0,0.4384
1999,NUTS,2010,ES,0,0.492
2001,NUTS,2010,ES,0,0.6029
2002,NUTS,2010,ES,0,0.6388
2003,NUTS,2010,ES,0,0.6912
2004,NUTS,2010,ES,0,0.7239
2005,NUTS,2010,ES,0,0.7565
2006,NUTS,2010,ES,0,0.7909
2007,NUTS,2010,ES,0,0.8239
2008,NUTS,2010,ES,0,0.8541
2009,NUTS,2010,ES,0,0.868
2010,NUTS,2010,ES,0,0.8595
2011,NUTS,2010,ES,0,0.8213
2012,NUTS,2010,ES,0,0.787
2013,NUTS,2010,ES,0,0.77
2014,NUTS,2010,ES,0,0.7586
2015,NUTS,2010,ES,0,0.7717
2016,NUTS,2010,ES,0,0.7888
2017,NUTS,2010,ES,0,0.8228
2018,NUTS,2010,ES,0,0.8592
2019,NUTS,2010,ES,0,0.8819
2010,NUTS,2010,FR,0,0.6735
2011,NUTS,2010,FR,0,0.8528
2012,NUTS,2010,FR,0,0.8676
2013,NUTS,2010,FR,0,0.8722
2014,NUTS,2010,FR,0,0.9186
2016,NUTS,2010,FR,0,0.985
2017,NUTS,2010,FR,0,1.009
2002,NUTS,2010,HR,0,0.8142
2003,NUTS,2010,HR,0,0.6049
