year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_total_t_pc_emp_fte
2016,NUTS,2010,BG3,1,0.0003
2017,NUTS,2010,BG3,1,0.0007
2018,NUTS,2010,BG3,1,0.0009
2019,NUTS,2010,BG3,1,0.0008
2011,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG31,2,0.0
2013,NUTS,2010,BG31,2,0.0
2014,NUTS,2010,BG31,2,0.0
2017,NUTS,2010,BG31,2,0.0
2012,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG32,2,0.0
2014,NUTS,2010,BG32,2,0.0
2015,NUTS,2010,BG32,2,0.0
2016,NUTS,2010,BG32,2,0.0
2017,NUTS,2010,BG32,2,0.0
2018,NUTS,2010,BG32,2,0.0
2019,NUTS,2010,BG32,2,0.0
2013,NUTS,2010,BG33,2,0.0043
2015,NUTS,2010,BG33,2,0.0017
2013,NUTS,2010,BG34,2,0.0
2016,NUTS,2010,BG34,2,0.0
2011,NUTS,2010,BG4,1,0.0055
2012,NUTS,2010,BG4,1,0.0076
2013,NUTS,2010,BG4,1,0.0109
2014,NUTS,2010,BG4,1,0.0075
2015,NUTS,2010,BG4,1,0.0095
2016,NUTS,2010,BG4,1,0.0031
2017,NUTS,2010,BG4,1,0.0083
2018,NUTS,2010,BG4,1,0.0062
2019,NUTS,2010,BG4,1,0.0076
2015,NUTS,2010,BG41,2,0.0146
2016,NUTS,2010,BG41,2,0.0031
2017,NUTS,2010,BG41,2,0.0097
2018,NUTS,2010,BG41,2,0.0057
2019,NUTS,2010,BG41,2,0.0082
2015,NUTS,2010,BG42,2,0.001
2016,NUTS,2010,BG42,2,0.003
2017,NUTS,2010,BG42,2,0.0061
2018,NUTS,2010,BG42,2,0.0072
2019,NUTS,2010,BG42,2,0.0066
2011,NUTS,2010,CY,0,0.0384
2012,NUTS,2010,CY,0,0.0423
2013,NUTS,2010,CY,0,0.0416
2014,NUTS,2010,CY,0,0.0565
2015,NUTS,2010,CY,0,0.0498
2016,NUTS,2010,CY,0,0.05
2017,NUTS,2010,CY,0,0.0539
2018,NUTS,2010,CY,0,0.0531
2019,NUTS,2010,CY,0,0.077
2020,NUTS,2010,CY,0,0.079
2011,NUTS,2010,CZ,0,0.0069
2012,NUTS,2010,CZ,0,0.0066
2013,NUTS,2010,CZ,0,0.0056
2014,NUTS,2010,CZ,0,0.0058
2015,NUTS,2010,CZ,0,0.005
2016,NUTS,2010,CZ,0,0.0044
2017,NUTS,2010,CZ,0,0.0054
2018,NUTS,2010,CZ,0,0.0045
2019,NUTS,2010,CZ,0,0.0054
2020,NUTS,2010,CZ,0,0.0055
2011,NUTS,2010,CZ0,1,0.0068
2012,NUTS,2010,CZ0,1,0.0065
2013,NUTS,2010,CZ0,1,0.0055
2014,NUTS,2010,CZ0,1,0.0057
2015,NUTS,2010,CZ0,1,0.0049
2016,NUTS,2010,CZ0,1,0.0043
2017,NUTS,2010,CZ0,1,0.0053
2018,NUTS,2010,CZ0,1,0.0044
2019,NUTS,2010,CZ0,1,0.0052
2020,NUTS,2010,CZ0,1,0.0053
2011,NUTS,2010,CZ01,2,0.0251
2012,NUTS,2010,CZ01,2,0.0229
2013,NUTS,2010,CZ01,2,0.0217
2014,NUTS,2010,CZ01,2,0.0222
2015,NUTS,2010,CZ01,2,0.0187
2016,NUTS,2010,CZ01,2,0.0195
2017,NUTS,2010,CZ01,2,0.0198
2018,NUTS,2010,CZ01,2,0.0167
2019,NUTS,2010,CZ01,2,0.0205
2020,NUTS,2010,CZ01,2,0.0224
2011,NUTS,2010,CZ02,2,0.0008
2012,NUTS,2010,CZ02,2,0.0009
2013,NUTS,2010,CZ02,2,0.0038
2014,NUTS,2010,CZ02,2,0.0012
2015,NUTS,2010,CZ02,2,0.0018
2016,NUTS,2010,CZ02,2,0.0012
2017,NUTS,2010,CZ02,2,0.0008
2018,NUTS,2010,CZ02,2,0.0005
2019,NUTS,2010,CZ02,2,0.0003
2020,NUTS,2010,CZ02,2,0.0006
2011,NUTS,2010,CZ03,2,0.004
2012,NUTS,2010,CZ03,2,0.0067
2013,NUTS,2010,CZ03,2,0.0076
2014,NUTS,2010,CZ03,2,0.0091
2015,NUTS,2010,CZ03,2,0.0126
2016,NUTS,2010,CZ03,2,0.0102
2017,NUTS,2010,CZ03,2,0.0133
2018,NUTS,2010,CZ03,2,0.0105
2019,NUTS,2010,CZ03,2,0.0116
2020,NUTS,2010,CZ03,2,0.0104
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.0001
2019,NUTS,2010,CZ04,2,0.0001
2020,NUTS,2010,CZ04,2,0.0002
2011,NUTS,2010,CZ05,2,0.0049
2012,NUTS,2010,CZ05,2,0.005
2013,NUTS,2010,CZ05,2,0.0026
2014,NUTS,2010,CZ05,2,0.0009
2015,NUTS,2010,CZ05,2,0.0001
2016,NUTS,2010,CZ05,2,0.0004
2017,NUTS,2010,CZ05,2,0.0023
2018,NUTS,2010,CZ05,2,0.0
2019,NUTS,2010,CZ05,2,0.0013
2020,NUTS,2010,CZ05,2,0.002
2011,NUTS,2010,CZ06,2,0.0069
2012,NUTS,2010,CZ06,2,0.0038
2013,NUTS,2010,CZ06,2,0.0037
2014,NUTS,2010,CZ06,2,0.004
2015,NUTS,2010,CZ06,2,0.0024
2016,NUTS,2010,CZ06,2,0.0006
2017,NUTS,2010,CZ06,2,0.0015
2018,NUTS,2010,CZ06,2,0.0029
2019,NUTS,2010,CZ06,2,0.0028
2020,NUTS,2010,CZ06,2,0.0021
2011,NUTS,2010,CZ07,2,0.003
2012,NUTS,2010,CZ07,2,0.0018
2013,NUTS,2010,CZ07,2,0.0019
2014,NUTS,2010,CZ07,2,0.0031
2015,NUTS,2010,CZ07,2,0.0016
2016,NUTS,2010,CZ07,2,0.0016
2017,NUTS,2010,CZ07,2,0.0012
2018,NUTS,2010,CZ07,2,0.0009
2019,NUTS,2010,CZ07,2,0.0019
2020,NUTS,2010,CZ07,2,0.0019
2011,NUTS,2010,CZ08,2,0.0076
2012,NUTS,2010,CZ08,2,0.0099
2013,NUTS,2010,CZ08,2,0.0012
2014,NUTS,2010,CZ08,2,0.0039
2015,NUTS,2010,CZ08,2,0.0018
2016,NUTS,2010,CZ08,2,0.0009
2017,NUTS,2010,CZ08,2,0.0031
2018,NUTS,2010,CZ08,2,0.0028
2019,NUTS,2010,CZ08,2,0.0019
2020,NUTS,2010,CZ08,2,0.0018
2011,NUTS,2010,DK,0,0.0105
2012,NUTS,2010,DK,0,0.0117
2013,NUTS,2010,DK,0,0.0113
2014,NUTS,2010,DK,0,0.0112
2015,NUTS,2010,DK,0,0.0113
2016,NUTS,2010,DK,0,0.0118
2017,NUTS,2010,DK,0,0.01
2018,NUTS,2010,DK,0,0.0085
2019,NUTS,2010,DK,0,0.0095
2020,NUTS,2010,DK,0,0.0096
2011,NUTS,2010,DK0,1,0.0102
2012,NUTS,2010,DK0,1,0.0113
2013,NUTS,2010,DK0,1,0.011
2014,NUTS,2010,DK0,1,0.0108
2015,NUTS,2010,DK0,1,0.0109
2016,NUTS,2010,DK0,1,0.0114
2017,NUTS,2010,DK0,1,0.0097
2018,NUTS,2010,DK0,1,0.0082
2019,NUTS,2010,DK0,1,0.0092
2011,NUTS,2010,DK01,2,0.0311
2012,NUTS,2010,DK01,2,0.0337
2013,NUTS,2010,DK01,2,0.0322
2014,NUTS,2010,DK01,2,0.0314
2015,NUTS,2010,DK01,2,0.0309
2016,NUTS,2010,DK01,2,0.0319
2017,NUTS,2010,DK01,2,0.0273
2019,NUTS,2010,DK01,2,0.0268
2011,NUTS,2010,DK02,2,0.0018
2012,NUTS,2010,DK02,2,0.0019
2013,NUTS,2010,DK02,2,0.0019
2014,NUTS,2010,DK02,2,0.0019
2015,NUTS,2010,DK02,2,0.0027
2016,NUTS,2010,DK02,2,0.0024
2017,NUTS,2010,DK02,2,0.0013
2019,NUTS,2010,DK02,2,0.0018
2011,NUTS,2010,DK03,2,0.0
2012,NUTS,2010,DK03,2,0.0013
2013,NUTS,2010,DK03,2,0.0012
2014,NUTS,2010,DK03,2,0.0013
2015,NUTS,2010,DK03,2,0.0016
2016,NUTS,2010,DK03,2,0.0018
2017,NUTS,2010,DK03,2,0.0019
2011,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2011,NUTS,2010,DK05,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,0.004
2011,NUTS,2010,EA19,2,0.0143
2012,NUTS,2010,EA19,2,0.0145
2013,NUTS,2010,EA19,2,0.0116
2014,NUTS,2010,EA19,2,0.0125
2015,NUTS,2010,EA19,2,0.0125
2016,NUTS,2010,EA19,2,0.0129
2017,NUTS,2010,EA19,2,0.0125
2018,NUTS,2010,EA19,2,0.0133
2019,NUTS,2010,EA19,2,0.0141
2020,NUTS,2010,EA19,2,0.0148
2011,NUTS,2010,EE,0,0.0157
2012,NUTS,2010,EE,0,0.0156
2013,NUTS,2010,EE,0,0.0146
2014,NUTS,2010,EE,0,0.0159
2015,NUTS,2010,EE,0,0.016
2016,NUTS,2010,EE,0,0.0175
2017,NUTS,2010,EE,0,0.0158
2018,NUTS,2010,EE,0,0.0192
2019,NUTS,2010,EE,0,0.0148
2020,NUTS,2010,EE,0,0.0159
2011,NUTS,2010,EL,0,0.0083
2012,NUTS,2010,EL,0,0.0094
2013,NUTS,2010,EL,0,0.0154
2014,NUTS,2010,EL,0,0.0149
2015,NUTS,2010,EL,0,0.0146
2016,NUTS,2010,EL,0,0.0149
2017,NUTS,2010,EL,0,0.0142
2018,NUTS,2010,EL,0,0.0149
2019,NUTS,2010,EL,0,0.012
2020,NUTS,2010,EL,0,0.0101
2011,NUTS,2010,EL3,1,0.0166
2013,NUTS,2010,EL3,1,0.0274
2015,NUTS,2010,EL3,1,0.0261
2017,NUTS,2010,EL3,1,0.0281
2019,NUTS,2010,EL3,1,0.0198
2011,NUTS,2010,EL30,2,0.0166
2013,NUTS,2010,EL30,2,0.0274
2015,NUTS,2010,EL30,2,0.0261
2017,NUTS,2010,EL30,2,0.0281
2019,NUTS,2010,EL30,2,0.0198
2011,NUTS,2010,EL4,1,0.0024
2013,NUTS,2010,EL4,1,0.0131
2015,NUTS,2010,EL4,1,0.0128
2017,NUTS,2010,EL4,1,0.0165
2019,NUTS,2010,EL4,1,0.0147
2011,NUTS,2010,EL41,2,0.0028
2013,NUTS,2010,EL41,2,0.0046
2015,NUTS,2010,EL41,2,0.0046
2017,NUTS,2010,EL41,2,0.0072
2019,NUTS,2010,EL41,2,0.0239
2011,NUTS,2010,EL42,2,0.0061
2013,NUTS,2010,EL42,2,0.0073
2015,NUTS,2010,EL42,2,0.0052
2017,NUTS,2010,EL42,2,0.012
2019,NUTS,2010,EL42,2,0.015
2011,NUTS,2010,EL43,2,0.0004
2013,NUTS,2010,EL43,2,0.0191
2015,NUTS,2010,EL43,2,0.0201
2017,NUTS,2010,EL43,2,0.0217
2019,NUTS,2010,EL43,2,0.0119
2011,NUTS,2010,EL5,1,0.0054
2013,NUTS,2010,EL5,1,0.0114
2015,NUTS,2010,EL5,1,0.0108
2017,NUTS,2010,EL5,1,0.005
2019,NUTS,2010,EL5,1,0.0073
2011,NUTS,2010,EL51,2,0.0
2013,NUTS,2010,EL51,2,0.0018
2015,NUTS,2010,EL51,2,0.0017
2017,NUTS,2010,EL51,2,0.0019
2019,NUTS,2010,EL51,2,0.0008
2011,NUTS,2010,EL52,2,0.0073
2013,NUTS,2010,EL52,2,0.0162
2015,NUTS,2010,EL52,2,0.0152
2017,NUTS,2010,EL52,2,0.0055
2019,NUTS,2010,EL52,2,0.0097
2011,NUTS,2010,EL53,2,0.0086
2013,NUTS,2010,EL53,2,0.0078
2015,NUTS,2010,EL53,2,0.0068
2017,NUTS,2010,EL53,2,0.0054
2019,NUTS,2010,EL53,2,0.0065
2011,NUTS,2010,EL54,2,0.0021
2013,NUTS,2010,EL54,2,0.0058
2015,NUTS,2010,EL54,2,0.0057
2017,NUTS,2010,EL54,2,0.008
2019,NUTS,2010,EL54,2,0.0063
2011,NUTS,2010,EL6,1,0.0006
2013,NUTS,2010,EL6,1,0.0013
2015,NUTS,2010,EL6,1,0.0011
2017,NUTS,2010,EL6,1,0.0017
2019,NUTS,2010,EL6,1,0.0029
2011,NUTS,2010,EL61,2,0.0004
2013,NUTS,2010,EL61,2,0.0008
2015,NUTS,2010,EL61,2,0.0004
2017,NUTS,2010,EL61,2,0.0012
2019,NUTS,2010,EL61,2,0.0012
2011,NUTS,2010,EL62,2,0.0
2013,NUTS,2010,EL62,2,0.0
2015,NUTS,2010,EL62,2,0.0
2017,NUTS,2010,EL62,2,0.0007
2019,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2013,NUTS,2010,EL63,2,0.001
2015,NUTS,2010,EL63,2,0.0005
2017,NUTS,2010,EL63,2,0.0
2019,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,0.0019
2013,NUTS,2010,EL64,2,0.0025
2015,NUTS,2010,EL64,2,0.0024
2017,NUTS,2010,EL64,2,0.0023
2019,NUTS,2010,EL64,2,0.0
2011,NUTS,2010,EL65,2,0.0008
2013,NUTS,2010,EL65,2,0.0018
2015,NUTS,2010,EL65,2,0.0018
2017,NUTS,2010,EL65,2,0.0038
2019,NUTS,2010,EL65,2,0.0115
2011,NUTS,2010,ES,0,0.0023
2012,NUTS,2010,ES,0,0.0025
2013,NUTS,2010,ES,0,0.0023
2014,NUTS,2010,ES,0,0.0023
2015,NUTS,2010,ES,0,0.0024
2016,NUTS,2010,ES,0,0.0032
2017,NUTS,2010,ES,0,0.0027
2018,NUTS,2010,ES,0,0.003
2019,NUTS,2010,ES,0,0.0029
2020,NUTS,2010,ES,0,0.0029
2011,NUTS,2010,ES1,1,0.0033
2012,NUTS,2010,ES1,1,0.0038
2013,NUTS,2010,ES1,1,0.0029
2015,NUTS,2010,ES1,1,0.0031
2016,NUTS,2010,ES1,1,0.0045
2017,NUTS,2010,ES1,1,0.004
2018,NUTS,2010,ES1,1,0.0055
2014,NUTS,2010,ES11,2,0.0004
2015,NUTS,2010,ES11,2,0.0005
2016,NUTS,2010,ES11,2,0.0028
2017,NUTS,2010,ES11,2,0.003
2018,NUTS,2010,ES11,2,0.0036
2019,NUTS,2010,ES11,2,0.0034
2012,NUTS,2010,ES12,2,0.0018
2013,NUTS,2010,ES12,2,0.0009
2014,NUTS,2010,ES12,2,0.001
2015,NUTS,2010,ES12,2,0.0013
2016,NUTS,2010,ES12,2,0.001
2017,NUTS,2010,ES12,2,0.0008
2018,NUTS,2010,ES12,2,0.0013
2019,NUTS,2010,ES12,2,0.0009
2011,NUTS,2010,ES13,2,0.0206
2015,NUTS,2010,ES13,2,0.0178
2016,NUTS,2010,ES13,2,0.0176
2017,NUTS,2010,ES13,2,0.0135
2018,NUTS,2010,ES13,2,0.0208
2011,NUTS,2010,ES2,1,0.0018
2013,NUTS,2010,ES2,1,0.002
2015,NUTS,2010,ES2,1,0.0018
2019,NUTS,2010,ES2,1,0.001
2011,NUTS,2010,ES21,2,0.0022
2012,NUTS,2010,ES21,2,0.0033
2013,NUTS,2010,ES21,2,0.0025
2014,NUTS,2010,ES21,2,0.002
2015,NUTS,2010,ES21,2,0.0024
2016,NUTS,2010,ES21,2,0.0024
2017,NUTS,2010,ES21,2,0.0019
2018,NUTS,2010,ES21,2,0.0017
2019,NUTS,2010,ES21,2,0.0019
2011,NUTS,2010,ES22,2,0.002
2015,NUTS,2010,ES22,2,0.0018
2011,NUTS,2010,ES23,2,0.0019
2012,NUTS,2010,ES23,2,0.003
2014,NUTS,2010,ES23,2,0.0013
2015,NUTS,2010,ES23,2,0.0013
2016,NUTS,2010,ES23,2,0.0005
2017,NUTS,2010,ES23,2,0.0007
2018,NUTS,2010,ES23,2,0.0005
2011,NUTS,2010,ES24,2,0.0009
2012,NUTS,2010,ES24,2,0.0009
2013,NUTS,2010,ES24,2,0.0007
2014,NUTS,2010,ES24,2,0.0003
2015,NUTS,2010,ES24,2,0.0008
2016,NUTS,2010,ES24,2,0.0006
2017,NUTS,2010,ES24,2,0.0005
2018,NUTS,2010,ES24,2,0.0002
2011,NUTS,2010,ES3,1,0.0046
2012,NUTS,2010,ES3,1,0.0048
2013,NUTS,2010,ES3,1,0.0046
2014,NUTS,2010,ES3,1,0.0039
2015,NUTS,2010,ES3,1,0.0043
2016,NUTS,2010,ES3,1,0.0046
2017,NUTS,2010,ES3,1,0.0045
2018,NUTS,2010,ES3,1,0.0051
2019,NUTS,2010,ES3,1,0.005
2011,NUTS,2010,ES30,2,0.0046
2012,NUTS,2010,ES30,2,0.0048
2013,NUTS,2010,ES30,2,0.0046
2014,NUTS,2010,ES30,2,0.0039
2015,NUTS,2010,ES30,2,0.0043
2016,NUTS,2010,ES30,2,0.0046
2017,NUTS,2010,ES30,2,0.0045
2018,NUTS,2010,ES30,2,0.0051
2019,NUTS,2010,ES30,2,0.005
2011,NUTS,2010,ES4,1,0.0013
2013,NUTS,2010,ES4,1,0.0006
2014,NUTS,2010,ES4,1,0.0007
2015,NUTS,2010,ES4,1,0.0012
2016,NUTS,2010,ES4,1,0.0011
2018,NUTS,2010,ES4,1,0.0012
2019,NUTS,2010,ES4,1,0.001
2012,NUTS,2010,ES41,2,0.0012
2013,NUTS,2010,ES41,2,0.0009
2014,NUTS,2010,ES41,2,0.0012
2015,NUTS,2010,ES41,2,0.0013
2017,NUTS,2010,ES41,2,0.0013
2018,NUTS,2010,ES41,2,0.0008
2019,NUTS,2010,ES41,2,0.0007
2013,NUTS,2010,ES42,2,0.0002
2014,NUTS,2010,ES42,2,0.0001
2015,NUTS,2010,ES42,2,0.0011
2017,NUTS,2010,ES42,2,0.0013
2011,NUTS,2010,ES43,2,0.0007
2013,NUTS,2010,ES43,2,0.0006
2014,NUTS,2010,ES43,2,0.0005
2015,NUTS,2010,ES43,2,0.001
2016,NUTS,2010,ES43,2,0.0014
2011,NUTS,2010,ES5,1,0.0023
2012,NUTS,2010,ES5,1,0.0022
2013,NUTS,2010,ES5,1,0.0022
2014,NUTS,2010,ES5,1,0.0027
2015,NUTS,2010,ES5,1,0.0024
2016,NUTS,2010,ES5,1,0.0042
2017,NUTS,2010,ES5,1,0.0032
2018,NUTS,2010,ES5,1,0.0033
2011,NUTS,2010,ES51,2,0.0034
2012,NUTS,2010,ES51,2,0.0032
2013,NUTS,2010,ES51,2,0.0031
2014,NUTS,2010,ES51,2,0.0039
2015,NUTS,2010,ES51,2,0.0039
2016,NUTS,2010,ES51,2,0.0069
2017,NUTS,2010,ES51,2,0.0053
2018,NUTS,2010,ES51,2,0.0054
2019,NUTS,2010,ES51,2,0.0052
2011,NUTS,2010,ES52,2,0.0007
2012,NUTS,2010,ES52,2,0.0008
2013,NUTS,2010,ES52,2,0.0011
2014,NUTS,2010,ES52,2,0.0012
2015,NUTS,2010,ES52,2,0.0004
2016,NUTS,2010,ES52,2,0.0004
2017,NUTS,2010,ES52,2,0.0004
2018,NUTS,2010,ES52,2,0.0004
2019,NUTS,2010,ES52,2,0.0004
2011,NUTS,2010,ES53,2,0.0009
2012,NUTS,2010,ES53,2,0.0008
2013,NUTS,2010,ES53,2,0.0008
2014,NUTS,2010,ES53,2,0.0008
2015,NUTS,2010,ES53,2,0.0007
2016,NUTS,2010,ES53,2,0.0015
2017,NUTS,2010,ES53,2,0.0013
2018,NUTS,2010,ES53,2,0.0014
2011,NUTS,2010,ES6,1,0.0011
2012,NUTS,2010,ES6,1,0.0021
2013,NUTS,2010,ES6,1,0.0018
2014,NUTS,2010,ES6,1,0.0017
2015,NUTS,2010,ES6,1,0.002
2016,NUTS,2010,ES6,1,0.0025
2017,NUTS,2010,ES6,1,0.0019
2018,NUTS,2010,ES6,1,0.0021
2019,NUTS,2010,ES6,1,0.0022
2011,NUTS,2010,ES61,2,0.0009
2012,NUTS,2010,ES61,2,0.0021
2013,NUTS,2010,ES61,2,0.0022
2014,NUTS,2010,ES61,2,0.002
2015,NUTS,2010,ES61,2,0.0021
2016,NUTS,2010,ES61,2,0.0029
2017,NUTS,2010,ES61,2,0.0021
2018,NUTS,2010,ES61,2,0.0025
2019,NUTS,2010,ES61,2,0.0026
2012,NUTS,2010,ES62,2,0.002
2013,NUTS,2010,ES62,2,0.0004
2014,NUTS,2010,ES62,2,0.0005
2015,NUTS,2010,ES62,2,0.0016
2016,NUTS,2010,ES62,2,0.0007
2018,NUTS,2010,ES62,2,0.0006
2019,NUTS,2010,ES62,2,0.0003
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,0.0009
2012,NUTS,2010,ES7,1,0.001
2013,NUTS,2010,ES7,1,0.0007
2014,NUTS,2010,ES7,1,0.0008
2015,NUTS,2010,ES7,1,0.0006
2016,NUTS,2010,ES7,1,0.0005
2017,NUTS,2010,ES7,1,0.0004
2018,NUTS,2010,ES7,1,0.0004
2011,NUTS,2010,ES70,2,0.0009
2012,NUTS,2010,ES70,2,0.001
2013,NUTS,2010,ES70,2,0.0007
2014,NUTS,2010,ES70,2,0.0008
2015,NUTS,2010,ES70,2,0.0006
2016,NUTS,2010,ES70,2,0.0005
2017,NUTS,2010,ES70,2,0.0004
2018,NUTS,2010,ES70,2,0.0004
2011,NUTS,2010,EU27_2020,7,0.0117
2012,NUTS,2010,EU27_2020,7,0.0119
2013,NUTS,2010,EU27_2020,7,0.0097
2014,NUTS,2010,EU27_2020,7,0.0103
2015,NUTS,2010,EU27_2020,7,0.0102
2016,NUTS,2010,EU27_2020,7,0.0107
2017,NUTS,2010,EU27_2020,7,0.0106
2018,NUTS,2010,EU27_2020,7,0.0114
2019,NUTS,2010,EU27_2020,7,0.0117
2020,NUTS,2010,EU27_2020,7,0.0122
2011,NUTS,2010,FI,0,0.0259
2012,NUTS,2010,FI,0,0.0228
2013,NUTS,2010,FI,0,0.023
2014,NUTS,2010,FI,0,0.0247
2015,NUTS,2010,FI,0,0.0242
2016,NUTS,2010,FI,0,0.0255
2017,NUTS,2010,FI,0,0.0254
2018,NUTS,2010,FI,0,0.027
2019,NUTS,2010,FI,0,0.0245
2020,NUTS,2010,FI,0,0.0253
2017,NUTS,2010,FI1,1,0.0246
2018,NUTS,2010,FI1,1,0.026
2019,NUTS,2010,FI1,1,0.0236
2017,NUTS,2010,FI19,2,0.0202
2018,NUTS,2010,FI19,2,0.0217
2019,NUTS,2010,FI19,2,0.0218
2017,NUTS,2010,FI1B,2,0.0536
