year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_emp_hc_total_t
2011,NUTS,2010,CY,0,0.7236
2012,NUTS,2010,CY,0,0.7299
2013,NUTS,2010,CY,0,0.8395
2014,NUTS,2010,CY,0,0.8332
2015,NUTS,2010,CY,0,0.8346
2016,NUTS,2010,CY,0,0.8732
2017,NUTS,2010,CY,0,0.8973
2018,NUTS,2010,CY,0,0.9626
2019,NUTS,2010,CY,0,1.0129
2011,NUTS,2010,CZ,0,1.7157
2012,NUTS,2010,CZ,0,1.8197
2013,NUTS,2010,CZ,0,1.9132
2014,NUTS,2010,CZ,0,1.9937
2015,NUTS,2010,CZ,0,2.0293
2016,NUTS,2010,CZ,0,1.9911
2017,NUTS,2010,CZ,0,2.1149
2018,NUTS,2010,CZ,0,2.2041
2019,NUTS,2010,CZ,0,2.2729
2020,NUTS,2010,CZ,0,2.3205
2011,NUTS,2010,CZ0,1,1.6887
2012,NUTS,2010,CZ0,1,1.7899
2013,NUTS,2010,CZ0,1,1.8779
2014,NUTS,2010,CZ0,1,1.9571
2015,NUTS,2010,CZ0,1,1.9859
2016,NUTS,2010,CZ0,1,1.9436
2017,NUTS,2010,CZ0,1,2.0632
2018,NUTS,2010,CZ0,1,2.143
2019,NUTS,2010,CZ0,1,2.2077
2020,NUTS,2010,CZ0,1,2.2549
2011,NUTS,2010,CZ01,2,4.8516
2012,NUTS,2010,CZ01,2,4.9163
2013,NUTS,2010,CZ01,2,5.2895
2014,NUTS,2010,CZ01,2,5.432
2015,NUTS,2010,CZ01,2,5.3247
2016,NUTS,2010,CZ01,2,5.0526
2017,NUTS,2010,CZ01,2,5.4116
2018,NUTS,2010,CZ01,2,5.5664
2019,NUTS,2010,CZ01,2,5.6729
2020,NUTS,2010,CZ01,2,5.9101
2011,NUTS,2010,CZ02,2,1.0688
2012,NUTS,2010,CZ02,2,1.0356
2013,NUTS,2010,CZ02,2,1.0687
2014,NUTS,2010,CZ02,2,1.1038
2015,NUTS,2010,CZ02,2,1.1628
2016,NUTS,2010,CZ02,2,1.2518
2017,NUTS,2010,CZ02,2,1.3345
2018,NUTS,2010,CZ02,2,1.4031
2019,NUTS,2010,CZ02,2,1.4237
2020,NUTS,2010,CZ02,2,1.4138
2011,NUTS,2010,CZ03,2,1.1911
2012,NUTS,2010,CZ03,2,1.2938
2013,NUTS,2010,CZ03,2,1.3058
2014,NUTS,2010,CZ03,2,1.3955
2015,NUTS,2010,CZ03,2,1.3881
2016,NUTS,2010,CZ03,2,1.3932
2017,NUTS,2010,CZ03,2,1.4428
2018,NUTS,2010,CZ03,2,1.5552
2019,NUTS,2010,CZ03,2,1.6413
2020,NUTS,2010,CZ03,2,1.5996
2011,NUTS,2010,CZ04,2,0.3295
2012,NUTS,2010,CZ04,2,0.3918
2013,NUTS,2010,CZ04,2,0.4057
2014,NUTS,2010,CZ04,2,0.4754
2015,NUTS,2010,CZ04,2,0.4212
2016,NUTS,2010,CZ04,2,0.3862
2017,NUTS,2010,CZ04,2,0.4314
2018,NUTS,2010,CZ04,2,0.4615
2019,NUTS,2010,CZ04,2,0.4729
2020,NUTS,2010,CZ04,2,0.4822
2011,NUTS,2010,CZ05,2,1.238
2012,NUTS,2010,CZ05,2,1.2985
2013,NUTS,2010,CZ05,2,1.4107
2014,NUTS,2010,CZ05,2,1.3925
2015,NUTS,2010,CZ05,2,1.3875
2016,NUTS,2010,CZ05,2,1.3828
2017,NUTS,2010,CZ05,2,1.4271
2018,NUTS,2010,CZ05,2,1.4568
2019,NUTS,2010,CZ05,2,1.5228
2020,NUTS,2010,CZ05,2,1.5126
2011,NUTS,2010,CZ06,2,2.0015
2012,NUTS,2010,CZ06,2,2.267
2013,NUTS,2010,CZ06,2,2.3154
2014,NUTS,2010,CZ06,2,2.4609
2015,NUTS,2010,CZ06,2,2.7409
2016,NUTS,2010,CZ06,2,2.6623
2017,NUTS,2010,CZ06,2,2.7636
2018,NUTS,2010,CZ06,2,2.8925
2019,NUTS,2010,CZ06,2,2.9471
2020,NUTS,2010,CZ06,2,3.0899
2011,NUTS,2010,CZ07,2,1.1402
2012,NUTS,2010,CZ07,2,1.2527
2013,NUTS,2010,CZ07,2,1.3916
2014,NUTS,2010,CZ07,2,1.4366
2015,NUTS,2010,CZ07,2,1.4549
2016,NUTS,2010,CZ07,2,1.4846
2017,NUTS,2010,CZ07,2,1.5597
2018,NUTS,2010,CZ07,2,1.5845
2019,NUTS,2010,CZ07,2,1.743
2020,NUTS,2010,CZ07,2,1.7374
2011,NUTS,2010,CZ08,2,1.1593
2012,NUTS,2010,CZ08,2,1.2136
2013,NUTS,2010,CZ08,2,1.1584
2014,NUTS,2010,CZ08,2,1.3245
2015,NUTS,2010,CZ08,2,1.3315
2016,NUTS,2010,CZ08,2,1.2857
2017,NUTS,2010,CZ08,2,1.4118
2018,NUTS,2010,CZ08,2,1.3949
2019,NUTS,2010,CZ08,2,1.3508
2020,NUTS,2010,CZ08,2,1.3689
2011,NUTS,2010,DE,0,2.2245
2013,NUTS,2010,DE,0,2.2577
2015,NUTS,2010,DE,0,2.3692
2017,NUTS,2010,DE,0,2.4312
2019,NUTS,2010,DE,0,2.5616
2011,NUTS,2010,DE1,1,3.2163
2013,NUTS,2010,DE1,1,3.2425
2015,NUTS,2010,DE1,1,3.4074
2017,NUTS,2010,DE1,1,3.6776
2019,NUTS,2010,DE1,1,3.8341
2011,NUTS,2010,DE11,2,3.5995
2013,NUTS,2010,DE11,2,3.7333
2015,NUTS,2010,DE11,2,3.932
2017,NUTS,2010,DE11,2,4.4187
2019,NUTS,2010,DE11,2,4.5832
2011,NUTS,2010,DE12,2,3.5333
2013,NUTS,2010,DE12,2,3.4223
2015,NUTS,2010,DE12,2,3.6136
2017,NUTS,2010,DE12,2,3.8634
2019,NUTS,2010,DE12,2,3.9154
2011,NUTS,2010,DE13,2,2.1399
2013,NUTS,2010,DE13,2,2.1403
2015,NUTS,2010,DE13,2,2.2384
2017,NUTS,2010,DE13,2,2.3249
2019,NUTS,2010,DE13,2,2.4782
2011,NUTS,2010,DE14,2,3.2532
2013,NUTS,2010,DE14,2,3.2592
2015,NUTS,2010,DE14,2,3.3656
2017,NUTS,2010,DE14,2,3.3991
2019,NUTS,2010,DE14,2,3.6661
2011,NUTS,2010,DE2,1,2.2979
2013,NUTS,2010,DE2,1,2.3216
2015,NUTS,2010,DE2,1,2.4726
2017,NUTS,2010,DE2,1,2.4746
2019,NUTS,2010,DE2,1,2.7268
2011,NUTS,2010,DE21,2,3.7458
2013,NUTS,2010,DE21,2,3.6767
2015,NUTS,2010,DE21,2,3.8885
2017,NUTS,2010,DE21,2,3.7131
2019,NUTS,2010,DE21,2,4.0475
2015,NUTS,2010,DE22,2,0.7814
2017,NUTS,2010,DE22,2,0.9592
2019,NUTS,2010,DE22,2,1.1583
2015,NUTS,2010,DE23,2,1.5991
2017,NUTS,2010,DE23,2,1.8121
2019,NUTS,2010,DE23,2,2.0527
2011,NUTS,2010,DE24,2,1.3452
2013,NUTS,2010,DE24,2,1.3721
2015,NUTS,2010,DE24,2,1.511
2017,NUTS,2010,DE24,2,1.5445
2019,NUTS,2010,DE24,2,1.9168
2011,NUTS,2010,DE25,2,2.4477
2013,NUTS,2010,DE25,2,2.5745
2015,NUTS,2010,DE25,2,2.6304
2017,NUTS,2010,DE25,2,2.5325
2019,NUTS,2010,DE25,2,2.8488
2011,NUTS,2010,DE26,2,1.922
2013,NUTS,2010,DE26,2,2.0033
2015,NUTS,2010,DE26,2,1.9941
2017,NUTS,2010,DE26,2,2.4107
2019,NUTS,2010,DE26,2,2.459
2011,NUTS,2010,DE27,2,0.9065
2013,NUTS,2010,DE27,2,0.9727
2015,NUTS,2010,DE27,2,1.2405
2017,NUTS,2010,DE27,2,1.2
2019,NUTS,2010,DE27,2,1.3134
2011,NUTS,2010,DE3,1,2.9747
2013,NUTS,2010,DE3,1,2.9398
2015,NUTS,2010,DE3,1,2.996
2017,NUTS,2010,DE3,1,2.8213
2019,NUTS,2010,DE3,1,2.8803
2011,NUTS,2010,DE30,2,2.9747
2013,NUTS,2010,DE30,2,2.9398
2015,NUTS,2010,DE30,2,2.996
2017,NUTS,2010,DE30,2,2.8213
2019,NUTS,2010,DE30,2,2.8803
2011,NUTS,2010,DE4,1,1.1919
2013,NUTS,2010,DE4,1,1.2254
2015,NUTS,2010,DE4,1,1.2616
2017,NUTS,2010,DE4,1,1.3321
2019,NUTS,2010,DE4,1,1.3704
2011,NUTS,2010,DE40,2,1.1919
2013,NUTS,2010,DE40,2,1.2254
2015,NUTS,2010,DE40,2,1.2616
2017,NUTS,2010,DE40,2,1.3321
2019,NUTS,2010,DE40,2,1.3704
2011,NUTS,2010,DE5,1,3.4081
2013,NUTS,2010,DE5,1,3.0757
2015,NUTS,2010,DE5,1,3.2943
2017,NUTS,2010,DE5,1,3.1151
2019,NUTS,2010,DE5,1,3.2982
2011,NUTS,2010,DE50,2,3.4081
2013,NUTS,2010,DE50,2,3.0757
2015,NUTS,2010,DE50,2,3.2943
2017,NUTS,2010,DE50,2,3.1151
2019,NUTS,2010,DE50,2,3.2982
2011,NUTS,2010,DE6,1,2.4539
2013,NUTS,2010,DE6,1,2.5019
2015,NUTS,2010,DE6,1,2.6168
2017,NUTS,2010,DE6,1,2.7583
2019,NUTS,2010,DE6,1,2.8349
2011,NUTS,2010,DE60,2,2.4539
2013,NUTS,2010,DE60,2,2.5019
2015,NUTS,2010,DE60,2,2.6168
2017,NUTS,2010,DE60,2,2.7583
2019,NUTS,2010,DE60,2,2.8349
2011,NUTS,2010,DE7,1,2.2933
2013,NUTS,2010,DE7,1,2.1848
2015,NUTS,2010,DE7,1,2.3462
2017,NUTS,2010,DE7,1,2.3636
2019,NUTS,2010,DE7,1,2.4071
2011,NUTS,2010,DE71,2,2.5571
2013,NUTS,2010,DE71,2,2.3209
2015,NUTS,2010,DE71,2,2.6183
2017,NUTS,2010,DE71,2,2.6149
2019,NUTS,2010,DE71,2,2.6831
2011,NUTS,2010,DE72,2,2.303
2013,NUTS,2010,DE72,2,2.4147
2015,NUTS,2010,DE72,2,2.3972
2017,NUTS,2010,DE72,2,2.4346
2019,NUTS,2010,DE72,2,2.5094
2011,NUTS,2010,DE73,2,1.4508
2013,NUTS,2010,DE73,2,1.5488
2015,NUTS,2010,DE73,2,1.4216
2017,NUTS,2010,DE73,2,1.47
2019,NUTS,2010,DE73,2,1.3936
2011,NUTS,2010,DE8,1,1.4971
2013,NUTS,2010,DE8,1,1.5251
2015,NUTS,2010,DE8,1,1.4957
2017,NUTS,2010,DE8,1,1.5193
2019,NUTS,2010,DE8,1,1.5868
2011,NUTS,2010,DE80,2,1.4971
2013,NUTS,2010,DE80,2,1.5251
2015,NUTS,2010,DE80,2,1.4957
2017,NUTS,2010,DE80,2,1.5193
2019,NUTS,2010,DE80,2,1.5868
2011,NUTS,2010,DE9,1,1.7497
2013,NUTS,2010,DE9,1,1.8057
2015,NUTS,2010,DE9,1,1.8686
2017,NUTS,2010,DE9,1,1.8886
2019,NUTS,2010,DE9,1,1.9599
2011,NUTS,2010,DE91,2,4.4257
2013,NUTS,2010,DE91,2,4.7407
2015,NUTS,2010,DE91,2,4.9082
2017,NUTS,2010,DE91,2,5.059
2019,NUTS,2010,DE91,2,5.1448
2011,NUTS,2010,DE92,2,1.9412
2013,NUTS,2010,DE92,2,1.8916
2015,NUTS,2010,DE92,2,1.97
2017,NUTS,2010,DE92,2,1.913
2019,NUTS,2010,DE92,2,1.9838
2011,NUTS,2010,DE93,2,0.5025
2013,NUTS,2010,DE93,2,0.5361
2015,NUTS,2010,DE93,2,0.4714
2017,NUTS,2010,DE93,2,0.512
2019,NUTS,2010,DE93,2,0.5206
2011,NUTS,2010,DE94,2,0.7502
2013,NUTS,2010,DE94,2,0.8014
2015,NUTS,2010,DE94,2,0.8689
2017,NUTS,2010,DE94,2,0.8925
2019,NUTS,2010,DE94,2,0.9719
2011,NUTS,2010,DEA,1,1.7775
2013,NUTS,2010,DEA,1,1.798
2015,NUTS,2010,DEA,1,1.8627
2017,NUTS,2010,DEA,1,1.904
2019,NUTS,2010,DEA,1,1.9527
2011,NUTS,2010,DEA1,2,1.4463
2013,NUTS,2010,DEA1,2,1.3853
2015,NUTS,2010,DEA1,2,1.5014
2017,NUTS,2010,DEA1,2,1.5111
2019,NUTS,2010,DEA1,2,1.555
2011,NUTS,2010,DEA2,2,2.8609
2013,NUTS,2010,DEA2,2,2.8622
2015,NUTS,2010,DEA2,2,2.9918
2017,NUTS,2010,DEA2,2,2.9988
2019,NUTS,2010,DEA2,2,3.0782
2011,NUTS,2010,DEA3,2,1.1133
2013,NUTS,2010,DEA3,2,1.1776
2015,NUTS,2010,DEA3,2,1.1394
2017,NUTS,2010,DEA3,2,1.147
2019,NUTS,2010,DEA3,2,1.203
2011,NUTS,2010,DEA4,2,1.644
2013,NUTS,2010,DEA4,2,1.7192
2015,NUTS,2010,DEA4,2,1.7097
2017,NUTS,2010,DEA4,2,1.8582
2019,NUTS,2010,DEA4,2,1.9149
2011,NUTS,2010,DEA5,2,1.4905
2013,NUTS,2010,DEA5,2,1.5882
2015,NUTS,2010,DEA5,2,1.605
2017,NUTS,2010,DEA5,2,1.6612
2019,NUTS,2010,DEA5,2,1.6829
2011,NUTS,2010,DEB,1,1.4802
2013,NUTS,2010,DEB,1,1.5177
2015,NUTS,2010,DEB,1,1.6318
2017,NUTS,2010,DEB,1,1.6048
2019,NUTS,2010,DEB,1,1.769
2011,NUTS,2010,DEB1,2,0.5879
2013,NUTS,2010,DEB1,2,0.6207
2015,NUTS,2010,DEB1,2,0.5946
2017,NUTS,2010,DEB1,2,0.6466
2019,NUTS,2010,DEB1,2,0.8021
2011,NUTS,2010,DEB2,2,0.9353
2013,NUTS,2010,DEB2,2,0.861
2015,NUTS,2010,DEB2,2,0.8194
2017,NUTS,2010,DEB2,2,0.7816
2019,NUTS,2010,DEB2,2,0.7798
2011,NUTS,2010,DEB3,2,2.2923
2013,NUTS,2010,DEB3,2,2.3503
2015,NUTS,2010,DEB3,2,2.6257
2017,NUTS,2010,DEB3,2,2.5388
2019,NUTS,2010,DEB3,2,2.7551
2011,NUTS,2010,DEC,1,1.5863
2013,NUTS,2010,DEC,1,1.6646
2015,NUTS,2010,DEC,1,1.754
2017,NUTS,2010,DEC,1,1.8346
2019,NUTS,2010,DEC,1,1.9609
2011,NUTS,2010,DEC0,2,1.5863
2013,NUTS,2010,DEC0,2,1.6646
2015,NUTS,2010,DEC0,2,1.754
2017,NUTS,2010,DEC0,2,1.8346
2019,NUTS,2010,DEC0,2,1.9609
2011,NUTS,2010,DED,1,2.2774
2013,NUTS,2010,DED,1,2.3397
2015,NUTS,2010,DED,1,2.3542
2017,NUTS,2010,DED,1,2.438
2019,NUTS,2010,DED,1,2.5891
2011,NUTS,2010,DED2,2,2.4322
2013,NUTS,2010,DED2,2,2.0697
2015,NUTS,2010,DED2,2,2.9584
2017,NUTS,2010,DED2,2,3.1041
2019,NUTS,2010,DED2,2,3.2126
2011,NUTS,2010,DED4,2,2.1888
2013,NUTS,2010,DED4,2,2.7555
2015,NUTS,2010,DED4,2,1.7285
2017,NUTS,2010,DED4,2,1.7658
2019,NUTS,2010,DED4,2,1.9618
2011,NUTS,2010,DED5,2,2.1585
2013,NUTS,2010,DED5,2,2.1597
2015,NUTS,2010,DED5,2,2.2909
2017,NUTS,2010,DED5,2,2.3473
2019,NUTS,2010,DED5,2,2.4709
2011,NUTS,2010,DEE,1,1.2949
2013,NUTS,2010,DEE,1,1.3808
2015,NUTS,2010,DEE,1,1.3292
2017,NUTS,2010,DEE,1,1.3504
2019,NUTS,2010,DEE,1,1.4583
2011,NUTS,2010,DEE0,2,1.2949
2013,NUTS,2010,DEE0,2,1.3808
2015,NUTS,2010,DEE0,2,1.3292
2017,NUTS,2010,DEE0,2,1.3504
2019,NUTS,2010,DEE0,2,1.4583
2011,NUTS,2010,DEF,1,1.1936
2013,NUTS,2010,DEF,1,1.2741
2015,NUTS,2010,DEF,1,1.2755
2017,NUTS,2010,DEF,1,1.3049
2019,NUTS,2010,DEF,1,1.3412
2011,NUTS,2010,DEF0,2,1.1936
2013,NUTS,2010,DEF0,2,1.2741
2015,NUTS,2010,DEF0,2,1.2755
2017,NUTS,2010,DEF0,2,1.3049
2019,NUTS,2010,DEF0,2,1.3412
2011,NUTS,2010,DEG,1,1.6762
2013,NUTS,2010,DEG,1,1.7178
2015,NUTS,2010,DEG,1,1.7537
2017,NUTS,2010,DEG,1,1.8014
2019,NUTS,2010,DEG,1,1.9238
2011,NUTS,2010,DEG0,2,1.6762
2013,NUTS,2010,DEG0,2,1.7178
2015,NUTS,2010,DEG0,2,1.7537
2017,NUTS,2010,DEG0,2,1.8014
2019,NUTS,2010,DEG0,2,1.9238
2011,NUTS,2010,DK,0,3.3034
2012,NUTS,2010,DK,0,3.3138
2013,NUTS,2010,DK,0,3.3306
2014,NUTS,2010,DK,0,3.2721
2015,NUTS,2010,DK,0,3.2945
2016,NUTS,2010,DK,0,3.274
2017,NUTS,2010,DK,0,3.1047
2018,NUTS,2010,DK,0,3.0431
2019,NUTS,2010,DK,0,3.1214
2020,NUTS,2010,DK,0,3.1447
2011,NUTS,2010,DK0,1,3.2102
2012,NUTS,2010,DK0,1,3.2138
2013,NUTS,2010,DK0,1,3.2305
2014,NUTS,2010,DK0,1,3.1678
2015,NUTS,2010,DK0,1,3.1899
2016,NUTS,2010,DK0,1,3.1646
2017,NUTS,2010,DK0,1,3.004
2018,NUTS,2010,DK0,1,2.9428
2019,NUTS,2010,DK0,1,3.0143
2011,NUTS,2010,DK01,2,5.6355
2012,NUTS,2010,DK01,2,5.6053
2013,NUTS,2010,DK01,2,5.5294
2014,NUTS,2010,DK01,2,5.4993
2015,NUTS,2010,DK01,2,5.4569
2016,NUTS,2010,DK01,2,5.2773
2017,NUTS,2010,DK01,2,5.1469
2019,NUTS,2010,DK01,2,5.2332
2011,NUTS,2010,DK02,2,1.2172
2012,NUTS,2010,DK02,2,1.1177
2013,NUTS,2010,DK02,2,1.1227
2014,NUTS,2010,DK02,2,1.1402
2015,NUTS,2010,DK02,2,1.0801
2016,NUTS,2010,DK02,2,1.0982
2017,NUTS,2010,DK02,2,1.1778
2019,NUTS,2010,DK02,2,1.0931
2011,NUTS,2010,DK03,2,1.6734
2012,NUTS,2010,DK03,2,1.8028
2013,NUTS,2010,DK03,2,1.8252
2014,NUTS,2010,DK03,2,1.9225
2015,NUTS,2010,DK03,2,1.9312
2016,NUTS,2010,DK03,2,2.1074
2017,NUTS,2010,DK03,2,1.5999
2019,NUTS,2010,DK03,2,1.5292
2011,NUTS,2010,DK04,2,3.034
2012,NUTS,2010,DK04,2,2.9787
