year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_pc_emp_fte_rse_t
2011,NUTS,2010,AT,0,0.932
2012,NUTS,2010,AT,0,0.9893
2013,NUTS,2010,AT,0,1.0031
2014,NUTS,2010,AT,0,1.0611
2015,NUTS,2010,AT,0,1.0709
2016,NUTS,2010,AT,0,1.1343
2017,NUTS,2010,AT,0,1.1355
2018,NUTS,2010,AT,0,1.1822
2019,NUTS,2010,AT,0,1.2335
2020,NUTS,2010,AT,0,1.2377
2011,NUTS,2010,AT1,1,1.0257
2013,NUTS,2010,AT1,1,1.0668
2015,NUTS,2010,AT1,1,1.1067
2017,NUTS,2010,AT1,1,1.1457
2019,NUTS,2010,AT1,1,1.2043
2011,NUTS,2010,AT11,2,0.2209
2013,NUTS,2010,AT11,2,0.2881
2015,NUTS,2010,AT11,2,0.301
2017,NUTS,2010,AT11,2,0.3575
2019,NUTS,2010,AT11,2,0.3806
2011,NUTS,2010,AT12,2,0.3691
2013,NUTS,2010,AT12,2,0.3895
2015,NUTS,2010,AT12,2,0.4187
2017,NUTS,2010,AT12,2,0.4569
2019,NUTS,2010,AT12,2,0.5662
2011,NUTS,2010,AT13,2,1.8284
2013,NUTS,2010,AT13,2,1.8636
2015,NUTS,2010,AT13,2,1.921
2017,NUTS,2010,AT13,2,1.943
2019,NUTS,2010,AT13,2,1.9325
2011,NUTS,2010,AT2,1,1.0943
2013,NUTS,2010,AT2,1,1.117
2015,NUTS,2010,AT2,1,1.2492
2017,NUTS,2010,AT2,1,1.3762
2019,NUTS,2010,AT2,1,1.5871
2011,NUTS,2010,AT21,2,0.7824
2013,NUTS,2010,AT21,2,0.7909
2015,NUTS,2010,AT21,2,0.8746
2017,NUTS,2010,AT21,2,0.9521
2019,NUTS,2010,AT21,2,1.0689
2011,NUTS,2010,AT22,2,1.2315
2013,NUTS,2010,AT22,2,1.2606
2015,NUTS,2010,AT22,2,1.4127
2017,NUTS,2010,AT22,2,1.5604
2019,NUTS,2010,AT22,2,1.8103
2011,NUTS,2010,AT3,1,0.6958
2013,NUTS,2010,AT3,1,0.8225
2015,NUTS,2010,AT3,1,0.8805
2017,NUTS,2010,AT3,1,0.9421
2019,NUTS,2010,AT3,1,1.0202
2011,NUTS,2010,AT31,2,0.7082
2013,NUTS,2010,AT31,2,0.8977
2015,NUTS,2010,AT31,2,0.9524
2017,NUTS,2010,AT31,2,0.9931
2019,NUTS,2010,AT31,2,1.1073
2011,NUTS,2010,AT32,2,0.5834
2013,NUTS,2010,AT32,2,0.6439
2015,NUTS,2010,AT32,2,0.719
2017,NUTS,2010,AT32,2,0.8374
2019,NUTS,2010,AT32,2,0.9255
2011,NUTS,2010,AT33,2,0.8777
2013,NUTS,2010,AT33,2,0.8945
2015,NUTS,2010,AT33,2,0.9582
2017,NUTS,2010,AT33,2,1.048
2019,NUTS,2010,AT33,2,1.0655
2011,NUTS,2010,AT34,2,0.459
2013,NUTS,2010,AT34,2,0.6525
2015,NUTS,2010,AT34,2,0.6861
2017,NUTS,2010,AT34,2,0.698
2019,NUTS,2010,AT34,2,0.7422
2011,NUTS,2010,BE,0,0.9549
2012,NUTS,2010,BE,0,1.018
2013,NUTS,2010,BE,0,1.0336
2014,NUTS,2010,BE,0,1.1301
2015,NUTS,2010,BE,0,1.182
2016,NUTS,2010,BE,0,1.1368
2017,NUTS,2010,BE,0,1.1775
2018,NUTS,2010,BE,0,1.2227
2019,NUTS,2010,BE,0,1.2706
2020,NUTS,2010,BE,0,1.4119
2011,NUTS,2010,BE1,1,1.5275
2013,NUTS,2010,BE1,1,1.8659
2014,NUTS,2010,BE1,1,1.8549
2015,NUTS,2010,BE1,1,2.0138
2017,NUTS,2010,BE1,1,2.1334
2019,NUTS,2010,BE1,1,2.3194
2011,NUTS,2010,BE10,2,1.5275
2013,NUTS,2010,BE10,2,1.8659
2014,NUTS,2010,BE10,2,1.8549
2015,NUTS,2010,BE10,2,2.0138
2017,NUTS,2010,BE10,2,2.1334
2019,NUTS,2010,BE10,2,2.3194
2011,NUTS,2010,BE2,1,0.9678
2013,NUTS,2010,BE2,1,1.0267
2014,NUTS,2010,BE2,1,1.1049
2015,NUTS,2010,BE2,1,1.1398
2017,NUTS,2010,BE2,1,1.144
2019,NUTS,2010,BE2,1,1.2748
2011,NUTS,2010,BE21,2,1.0328
2013,NUTS,2010,BE21,2,0.9998
2014,NUTS,2010,BE21,2,1.0723
2015,NUTS,2010,BE21,2,1.1046
2011,NUTS,2010,BE22,2,0.3842
2013,NUTS,2010,BE22,2,0.4532
2014,NUTS,2010,BE22,2,0.5619
2015,NUTS,2010,BE22,2,0.5792
2011,NUTS,2010,BE23,2,1.0542
2013,NUTS,2010,BE23,2,1.1365
2014,NUTS,2010,BE23,2,1.2762
2015,NUTS,2010,BE23,2,1.3023
2011,NUTS,2010,BE24,2,1.832
2013,NUTS,2010,BE24,2,1.8914
2014,NUTS,2010,BE24,2,1.9637
2015,NUTS,2010,BE24,2,2.035
2011,NUTS,2010,BE25,2,0.364
2013,NUTS,2010,BE25,2,0.5167
2014,NUTS,2010,BE25,2,0.5007
2015,NUTS,2010,BE25,2,0.5286
2011,NUTS,2010,BE3,1,0.7235
2013,NUTS,2010,BE3,1,0.7571
2014,NUTS,2010,BE3,1,0.9092
2015,NUTS,2010,BE3,1,0.9518
2017,NUTS,2010,BE3,1,0.8835
2019,NUTS,2010,BE3,1,0.8525
2011,NUTS,2010,BE31,2,2.1286
2013,NUTS,2010,BE31,2,2.7666
2014,NUTS,2010,BE31,2,3.0993
2015,NUTS,2010,BE31,2,2.8034
2011,NUTS,2010,BE32,2,0.4971
2013,NUTS,2010,BE32,2,0.4233
2014,NUTS,2010,BE32,2,0.5427
2015,NUTS,2010,BE32,2,0.6178
2011,NUTS,2010,BE33,2,0.7533
2013,NUTS,2010,BE33,2,0.7232
2014,NUTS,2010,BE33,2,0.8527
2015,NUTS,2010,BE33,2,0.9501
2011,NUTS,2010,BE34,2,0.1377
2013,NUTS,2010,BE34,2,0.0677
2014,NUTS,2010,BE34,2,0.1149
2015,NUTS,2010,BE34,2,0.1201
2011,NUTS,2010,BE35,2,0.3873
2013,NUTS,2010,BE35,2,0.3532
2014,NUTS,2010,BE35,2,0.537
2015,NUTS,2010,BE35,2,0.6659
2011,NUTS,2010,BG,0,0.4125
2012,NUTS,2010,BG,0,0.3959
2013,NUTS,2010,BG,0,0.4309
2014,NUTS,2010,BG,0,0.4573
2015,NUTS,2010,BG,0,0.4852
2016,NUTS,2010,BG,0,0.5489
2017,NUTS,2010,BG,0,0.4978
2018,NUTS,2010,BG,0,0.5454
2019,NUTS,2010,BG,0,0.5473
2020,NUTS,2010,BG,0,0.5592
2011,NUTS,2010,BG3,1,0.1654
2012,NUTS,2010,BG3,1,0.1855
2013,NUTS,2010,BG3,1,0.2007
2014,NUTS,2010,BG3,1,0.227
2015,NUTS,2010,BG3,1,0.25
2016,NUTS,2010,BG3,1,0.2376
2017,NUTS,2010,BG3,1,0.2449
2018,NUTS,2010,BG3,1,0.2759
2019,NUTS,2010,BG3,1,0.2768
2011,NUTS,2010,BG31,2,0.0711
2012,NUTS,2010,BG31,2,0.1301
2013,NUTS,2010,BG31,2,0.1269
2014,NUTS,2010,BG31,2,0.1166
2015,NUTS,2010,BG31,2,0.1844
2016,NUTS,2010,BG31,2,0.2011
2017,NUTS,2010,BG31,2,0.2369
2018,NUTS,2010,BG31,2,0.2851
2019,NUTS,2010,BG31,2,0.2864
2011,NUTS,2010,BG32,2,0.172
2012,NUTS,2010,BG32,2,0.1803
2013,NUTS,2010,BG32,2,0.2098
2014,NUTS,2010,BG32,2,0.3261
2015,NUTS,2010,BG32,2,0.3031
2016,NUTS,2010,BG32,2,0.231
2017,NUTS,2010,BG32,2,0.2716
2018,NUTS,2010,BG32,2,0.3105
2019,NUTS,2010,BG32,2,0.2698
2011,NUTS,2010,BG33,2,0.2707
2012,NUTS,2010,BG33,2,0.3018
2013,NUTS,2010,BG33,2,0.3007
2014,NUTS,2010,BG33,2,0.313
2015,NUTS,2010,BG33,2,0.3115
2016,NUTS,2010,BG33,2,0.3322
2017,NUTS,2010,BG33,2,0.3091
2018,NUTS,2010,BG33,2,0.3453
2019,NUTS,2010,BG33,2,0.3617
2011,NUTS,2010,BG34,2,0.1322
2012,NUTS,2010,BG34,2,0.1265
2013,NUTS,2010,BG34,2,0.1544
2014,NUTS,2010,BG34,2,0.1435
2015,NUTS,2010,BG34,2,0.1931
2016,NUTS,2010,BG34,2,0.1768
2017,NUTS,2010,BG34,2,0.1707
2018,NUTS,2010,BG34,2,0.182
2019,NUTS,2010,BG34,2,0.1999
2011,NUTS,2010,BG4,1,0.616
2012,NUTS,2010,BG4,1,0.5646
2013,NUTS,2010,BG4,1,0.6108
2014,NUTS,2010,BG4,1,0.633
2015,NUTS,2010,BG4,1,0.6668
2016,NUTS,2010,BG4,1,0.7913
2017,NUTS,2010,BG4,1,0.6836
2018,NUTS,2010,BG4,1,0.7391
2019,NUTS,2010,BG4,1,0.7398
2011,NUTS,2010,BG41,2,0.8516
2012,NUTS,2010,BG41,2,0.8134
2013,NUTS,2010,BG41,2,0.8846
2014,NUTS,2010,BG41,2,0.9355
2015,NUTS,2010,BG41,2,0.9566
2016,NUTS,2010,BG41,2,1.1435
2017,NUTS,2010,BG41,2,0.968
2018,NUTS,2010,BG41,2,1.0177
2019,NUTS,2010,BG41,2,1.0139
2011,NUTS,2010,BG42,2,0.2034
2012,NUTS,2010,BG42,2,0.136
2013,NUTS,2010,BG42,2,0.157
2014,NUTS,2010,BG42,2,0.1411
2015,NUTS,2010,BG42,2,0.1819
2016,NUTS,2010,BG42,2,0.1964
2017,NUTS,2010,BG42,2,0.2176
2018,NUTS,2010,BG42,2,0.2689
2019,NUTS,2010,BG42,2,0.2834
2012,NUTS,2010,CH,0,0.8492
2015,NUTS,2010,CH,0,1.0007
2017,NUTS,2010,CH,0,0.994
2019,NUTS,2010,CH,0,1.0534
2011,NUTS,2010,CY,0,0.2375
2012,NUTS,2010,CY,0,0.2348
2013,NUTS,2010,CY,0,0.2489
2014,NUTS,2010,CY,0,0.2542
2015,NUTS,2010,CY,0,0.2446
2016,NUTS,2010,CY,0,0.2538
2017,NUTS,2010,CY,0,0.2794
2018,NUTS,2010,CY,0,0.3121
2019,NUTS,2010,CY,0,0.3602
2020,NUTS,2010,CY,0,0.3741
2011,NUTS,2010,CZ,0,0.6397
2012,NUTS,2010,CZ,0,0.6906
2013,NUTS,2010,CZ,0,0.7072
2014,NUTS,2010,CZ,0,0.7381
2015,NUTS,2010,CZ,0,0.7718
2016,NUTS,2010,CZ,0,0.7444
2017,NUTS,2010,CZ,0,0.7692
2018,NUTS,2010,CZ,0,0.8004
2019,NUTS,2010,CZ,0,0.8251
2020,NUTS,2010,CZ,0,0.869
2011,NUTS,2010,CZ0,1,0.6297
2012,NUTS,2010,CZ0,1,0.6793
2013,NUTS,2010,CZ0,1,0.6942
2014,NUTS,2010,CZ0,1,0.7245
2015,NUTS,2010,CZ0,1,0.7553
2016,NUTS,2010,CZ0,1,0.7266
2017,NUTS,2010,CZ0,1,0.7504
2018,NUTS,2010,CZ0,1,0.7782
