year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_t_fte_rse
1981,NUTS,2010,AT,0,543.0
1985,NUTS,2010,AT,0,518.0
1989,NUTS,2010,AT,0,520.0
1993,NUTS,2010,AT,0,904.0
1998,NUTS,2010,AT,0,954.0
2002,NUTS,2010,AT,0,999.0
2004,NUTS,2010,AT,0,1030.0
2005,NUTS,2010,AT,0,1232.0
2006,NUTS,2010,AT,0,1349.0
2007,NUTS,2010,AT,0,1389.0
2008,NUTS,2010,AT,0,1513.0
2009,NUTS,2010,AT,0,1559.0
2010,NUTS,2010,AT,0,1568.0
2011,NUTS,2010,AT,0,1511.0
2012,NUTS,2010,AT,0,1555.0
2013,NUTS,2010,AT,0,1567.0
2014,NUTS,2010,AT,0,1654.0
2015,NUTS,2010,AT,0,1682.0
2016,NUTS,2010,AT,0,3624.0
2017,NUTS,2010,AT,0,3665.0
2018,NUTS,2010,AT,0,3867.0
2019,NUTS,2010,AT,0,3817.0
2020,NUTS,2010,AT,0,3709.0
2002,NUTS,2010,AT1,1,824.0
2004,NUTS,2010,AT1,1,819.0
2011,NUTS,2010,AT1,1,1153.0
2013,NUTS,2010,AT1,1,1137.0
2019,NUTS,2010,AT1,1,2932.0
2002,NUTS,2010,AT11,2,11.0
2004,NUTS,2010,AT11,2,13.0
2011,NUTS,2010,AT11,2,9.0
2013,NUTS,2010,AT11,2,10.0
2002,NUTS,2010,AT12,2,51.0
2004,NUTS,2010,AT12,2,54.0
2006,NUTS,2010,AT12,2,56.0
2007,NUTS,2010,AT12,2,63.0
2009,NUTS,2010,AT12,2,75.0
2011,NUTS,2010,AT12,2,79.0
2013,NUTS,2010,AT12,2,88.0
2015,NUTS,2010,AT12,2,179.0
2017,NUTS,2010,AT12,2,255.0
2002,NUTS,2010,AT13,2,763.0
2004,NUTS,2010,AT13,2,751.0
2006,NUTS,2010,AT13,2,1006.0
2007,NUTS,2010,AT13,2,1049.0
2009,NUTS,2010,AT13,2,1167.0
2011,NUTS,2010,AT13,2,1064.0
2013,NUTS,2010,AT13,2,1039.0
2015,NUTS,2010,AT13,2,1073.0
2017,NUTS,2010,AT13,2,2531.0
2019,NUTS,2010,AT13,2,2637.0
2002,NUTS,2010,AT2,1,73.0
2004,NUTS,2010,AT2,1,97.0
2006,NUTS,2010,AT2,1,115.0
2015,NUTS,2010,AT2,1,122.0
2019,NUTS,2010,AT2,1,423.0
2002,NUTS,2010,AT21,2,17.0
2004,NUTS,2010,AT21,2,27.0
2006,NUTS,2010,AT21,2,31.0
2011,NUTS,2010,AT21,2,24.0
2002,NUTS,2010,AT22,2,56.0
2004,NUTS,2010,AT22,2,71.0
2006,NUTS,2010,AT22,2,84.0
2009,NUTS,2010,AT22,2,98.0
2002,NUTS,2010,AT3,1,102.0
2004,NUTS,2010,AT3,1,114.0
2007,NUTS,2010,AT3,1,158.0
2019,NUTS,2010,AT3,1,462.0
2002,NUTS,2010,AT31,2,35.0
2004,NUTS,2010,AT31,2,39.0
2006,NUTS,2010,AT31,2,66.0
2007,NUTS,2010,AT31,2,57.0
2009,NUTS,2010,AT31,2,48.0
2011,NUTS,2010,AT31,2,42.0
2013,NUTS,2010,AT31,2,46.0
2015,NUTS,2010,AT31,2,62.0
2017,NUTS,2010,AT31,2,185.0
2019,NUTS,2010,AT31,2,190.0
2002,NUTS,2010,AT32,2,40.0
2004,NUTS,2010,AT32,2,48.0
2006,NUTS,2010,AT32,2,65.0
2009,NUTS,2010,AT32,2,92.0
2015,NUTS,2010,AT32,2,175.0
2017,NUTS,2010,AT32,2,166.0
2019,NUTS,2010,AT32,2,171.0
2002,NUTS,2010,AT33,2,15.0
2004,NUTS,2010,AT33,2,16.0
2006,NUTS,2010,AT33,2,20.0
2013,NUTS,2010,AT33,2,35.0
2019,NUTS,2010,AT33,2,75.0
2002,NUTS,2010,AT34,2,11.0
2004,NUTS,2010,AT34,2,11.0
2011,NUTS,2010,AT34,2,18.0
2013,NUTS,2010,AT34,2,18.0
2015,NUTS,2010,AT34,2,21.0
2017,NUTS,2010,AT34,2,20.0
2019,NUTS,2010,AT34,2,26.0
2002,NUTS,2010,ATZ,1,0.0
2004,NUTS,2010,ATZ,1,0.0
2006,NUTS,2010,ATZ,1,0.0
2007,NUTS,2010,ATZ,1,0.0
2009,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2002,NUTS,2010,ATZZ,2,0.0
2004,NUTS,2010,ATZZ,2,0.0
2006,NUTS,2010,ATZZ,2,0.0
2007,NUTS,2010,ATZZ,2,0.0
2009,NUTS,2010,ATZZ,2,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,62.0
2013,NUTS,2010,BA,0,87.0
2014,NUTS,2010,BA,0,63.0
2019,NUTS,2010,BA,0,35.0
1981,NUTS,2010,BE,0,632.0
1982,NUTS,2010,BE,0,645.0
1983,NUTS,2010,BE,0,662.0
1984,NUTS,2010,BE,0,680.0
1985,NUTS,2010,BE,0,686.0
1986,NUTS,2010,BE,0,693.0
1987,NUTS,2010,BE,0,691.0
1988,NUTS,2010,BE,0,688.0
1989,NUTS,2010,BE,0,843.0
1991,NUTS,2010,BE,0,785.0
1993,NUTS,2010,BE,0,1182.0
1994,NUTS,2010,BE,0,1203.0
1995,NUTS,2010,BE,0,1209.0
1996,NUTS,2010,BE,0,1441.0
1997,NUTS,2010,BE,0,1555.0
1998,NUTS,2010,BE,0,1598.0
1999,NUTS,2010,BE,0,1738.0
