year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_total_t_pc_act_hc
2011,NUTS,2010,AT,0,1.3993
2013,NUTS,2010,AT,0,1.5265
2015,NUTS,2010,AT,0,1.6369
2017,NUTS,2010,AT,0,1.6021
2019,NUTS,2010,AT,0,1.7616
2011,NUTS,2010,AT1,1,1.2438
2013,NUTS,2010,AT1,1,1.2769
2015,NUTS,2010,AT1,1,1.3268
2017,NUTS,2010,AT1,1,1.2053
2019,NUTS,2010,AT1,1,1.3623
2011,NUTS,2010,AT11,2,0.6078
2013,NUTS,2010,AT11,2,0.6938
2015,NUTS,2010,AT11,2,0.7388
2017,NUTS,2010,AT11,2,0.7649
2019,NUTS,2010,AT11,2,0.7975
2011,NUTS,2010,AT12,2,0.8252
2013,NUTS,2010,AT12,2,0.8893
2015,NUTS,2010,AT12,2,0.9585
2017,NUTS,2010,AT12,2,0.934
2019,NUTS,2010,AT12,2,1.0419
2011,NUTS,2010,AT13,2,1.7562
2013,NUTS,2010,AT13,2,1.7337
2015,NUTS,2010,AT13,2,1.7625
2017,NUTS,2010,AT13,2,1.5211
2019,NUTS,2010,AT13,2,1.7298
2011,NUTS,2010,AT2,1,1.7578
2013,NUTS,2010,AT2,1,2.0347
2015,NUTS,2010,AT2,1,2.2231
2017,NUTS,2010,AT2,1,2.1806
2019,NUTS,2010,AT2,1,2.4201
2011,NUTS,2010,AT21,2,1.1918
2013,NUTS,2010,AT21,2,1.2431
2015,NUTS,2010,AT21,2,1.3674
2017,NUTS,2010,AT21,2,1.3299
2019,NUTS,2010,AT21,2,1.5372
2011,NUTS,2010,AT22,2,2.0081
2013,NUTS,2010,AT22,2,2.3862
2015,NUTS,2010,AT22,2,2.6019
2017,NUTS,2010,AT22,2,2.5506
2019,NUTS,2010,AT22,2,2.8022
2011,NUTS,2010,AT3,1,1.3286
2013,NUTS,2010,AT3,1,1.4784
2015,NUTS,2010,AT3,1,1.614
2017,NUTS,2010,AT3,1,1.6995
2019,NUTS,2010,AT3,1,1.8094
2011,NUTS,2010,AT31,2,1.6499
2013,NUTS,2010,AT31,2,1.8825
2015,NUTS,2010,AT31,2,2.0772
2017,NUTS,2010,AT31,2,2.1108
2019,NUTS,2010,AT31,2,2.2944
2011,NUTS,2010,AT32,2,0.884
2013,NUTS,2010,AT32,2,0.959
2015,NUTS,2010,AT32,2,1.0167
2017,NUTS,2010,AT32,2,1.1902
2019,NUTS,2010,AT32,2,1.3321
2011,NUTS,2010,AT33,2,1.0632
2013,NUTS,2010,AT33,2,1.1433
2015,NUTS,2010,AT33,2,1.1866
2017,NUTS,2010,AT33,2,1.2741
2019,NUTS,2010,AT33,2,1.3282
2011,NUTS,2010,AT34,2,1.2435
2013,NUTS,2010,AT34,2,1.3299
2015,NUTS,2010,AT34,2,1.513
2017,NUTS,2010,AT34,2,1.6823
2019,NUTS,2010,AT34,2,1.5819
2011,NUTS,2010,BE,0,0.9553
2013,NUTS,2010,BE,0,1.029
2015,NUTS,2010,BE,0,1.238
2017,NUTS,2010,BE,0,1.5026
2019,NUTS,2010,BE,0,1.7148
2011,NUTS,2010,BE1,1,0.9692
2013,NUTS,2010,BE1,1,1.2362
2015,NUTS,2010,BE1,1,1.6032
2017,NUTS,2010,BE1,1,2.0209
2019,NUTS,2010,BE1,1,2.4324
2011,NUTS,2010,BE10,2,0.9692
2013,NUTS,2010,BE10,2,1.2362
2015,NUTS,2010,BE10,2,1.6032
2017,NUTS,2010,BE10,2,2.0209
2019,NUTS,2010,BE10,2,2.4324
2011,NUTS,2010,BE2,1,0.9855
2013,NUTS,2010,BE2,1,1.1041
2015,NUTS,2010,BE2,1,1.3062
2017,NUTS,2010,BE2,1,1.5621
2019,NUTS,2010,BE2,1,1.8984
2011,NUTS,2010,BE3,1,0.8682
2013,NUTS,2010,BE3,1,0.787
2015,NUTS,2010,BE3,1,0.9415
2017,NUTS,2010,BE3,1,1.1536
2019,NUTS,2010,BE3,1,1.0164
2011,NUTS,2010,BG,0,0.0901
2012,NUTS,2010,BG,0,0.1072
2013,NUTS,2010,BG,0,0.1369
2014,NUTS,2010,BG,0,0.1933
2015,NUTS,2010,BG,0,0.3472
2016,NUTS,2010,BG,0,0.4246
2017,NUTS,2010,BG,0,0.4008
2018,NUTS,2010,BG,0,0.493
2019,NUTS,2010,BG,0,0.5053
2011,NUTS,2010,BG3,1,0.0562
2012,NUTS,2010,BG3,1,0.0589
2013,NUTS,2010,BG3,1,0.0719
2014,NUTS,2010,BG3,1,0.089
2015,NUTS,2010,BG3,1,0.2103
2016,NUTS,2010,BG3,1,0.2208
2017,NUTS,2010,BG3,1,0.2186
2018,NUTS,2010,BG3,1,0.2848
2019,NUTS,2010,BG3,1,0.286
2015,NUTS,2010,BG31,2,0.238
2016,NUTS,2010,BG31,2,0.2888
2017,NUTS,2010,BG31,2,0.2751
2018,NUTS,2010,BG31,2,0.367
2019,NUTS,2010,BG31,2,0.3192
2012,NUTS,2010,BG32,2,0.0552
2013,NUTS,2010,BG32,2,0.076
2014,NUTS,2010,BG32,2,0.1083
2015,NUTS,2010,BG32,2,0.2181
2016,NUTS,2010,BG32,2,0.2041
2017,NUTS,2010,BG32,2,0.257
2018,NUTS,2010,BG32,2,0.31
2019,NUTS,2010,BG32,2,0.3392
2011,NUTS,2010,BG33,2,0.0494
2013,NUTS,2010,BG33,2,0.0674
2015,NUTS,2010,BG33,2,0.1597
2016,NUTS,2010,BG33,2,0.1772
2017,NUTS,2010,BG33,2,0.1589
2018,NUTS,2010,BG33,2,0.205
2019,NUTS,2010,BG33,2,0.2144
2012,NUTS,2010,BG34,2,0.0599
2014,NUTS,2010,BG34,2,0.0874
2015,NUTS,2010,BG34,2,0.2343
2016,NUTS,2010,BG34,2,0.2314
2017,NUTS,2010,BG34,2,0.2101
2018,NUTS,2010,BG34,2,0.2862
2019,NUTS,2010,BG34,2,0.2895
2011,NUTS,2010,BG4,1,0.1198
2012,NUTS,2010,BG4,1,0.1496
2013,NUTS,2010,BG4,1,0.1926
2014,NUTS,2010,BG4,1,0.2813
2015,NUTS,2010,BG4,1,0.4611
2016,NUTS,2010,BG4,1,0.5953
2017,NUTS,2010,BG4,1,0.548
2018,NUTS,2010,BG4,1,0.656
2019,NUTS,2010,BG4,1,0.6741
2011,NUTS,2010,BG41,2,0.1521
2012,NUTS,2010,BG41,2,0.1979
2015,NUTS,2010,BG41,2,0.6149
2016,NUTS,2010,BG41,2,0.7827
2017,NUTS,2010,BG41,2,0.7419
2018,NUTS,2010,BG41,2,0.8697
2019,NUTS,2010,BG41,2,0.8977
2011,NUTS,2010,BG42,2,0.0665
2012,NUTS,2010,BG42,2,0.0714
2015,NUTS,2010,BG42,2,0.211
2016,NUTS,2010,BG42,2,0.2846
2017,NUTS,2010,BG42,2,0.2366
2018,NUTS,2010,BG42,2,0.3009
2019,NUTS,2010,BG42,2,0.3049
2012,NUTS,2010,CH,0,1.1706
2015,NUTS,2010,CH,0,1.2385
2017,NUTS,2010,CH,0,1.1173
2019,NUTS,2010,CH,0,1.2372
2012,NUTS,2010,CH01,2,0.7366
2015,NUTS,2010,CH01,2,0.9634
2017,NUTS,2010,CH01,2,0.8032
2019,NUTS,2010,CH01,2,0.8868
2012,NUTS,2010,CH02,2,0.903
2015,NUTS,2010,CH02,2,0.9176
2017,NUTS,2010,CH02,2,0.8399
2019,NUTS,2010,CH02,2,0.857
2012,NUTS,2010,CH03,2,2.4733
2015,NUTS,2010,CH03,2,2.5029
2017,NUTS,2010,CH03,2,2.2663
2019,NUTS,2010,CH03,2,2.407
2012,NUTS,2010,CH04,2,0.9976
2015,NUTS,2010,CH04,2,1.0463
2017,NUTS,2010,CH04,2,0.9664
2019,NUTS,2010,CH04,2,1.0898
2012,NUTS,2010,CH05,2,1.0524
2015,NUTS,2010,CH05,2,1.055
2017,NUTS,2010,CH05,2,0.7772
2019,NUTS,2010,CH05,2,1.3178
2012,NUTS,2010,CH06,2,0.9921
2015,NUTS,2010,CH06,2,1.195
2017,NUTS,2010,CH06,2,1.169
2019,NUTS,2010,CH06,2,1.0436
2012,NUTS,2010,CH07,2,0.8968
2015,NUTS,2010,CH07,2,0.4651
2017,NUTS,2010,CH07,2,0.8624
2019,NUTS,2010,CH07,2,0.6449
2011,NUTS,2010,CY,0,0.1276
2012,NUTS,2010,CY,0,0.1131
2013,NUTS,2010,CY,0,0.1125
2014,NUTS,2010,CY,0,0.1064
2015,NUTS,2010,CY,0,0.1039
2016,NUTS,2010,CY,0,0.1475
2017,NUTS,2010,CY,0,0.1691
2018,NUTS,2010,CY,0,0.2411
2019,NUTS,2010,CY,0,0.2531
2011,NUTS,2010,CZ,0,0.7275
2012,NUTS,2010,CZ,0,0.8009
2013,NUTS,2010,CZ,0,0.8489
2014,NUTS,2010,CZ,0,0.9257
2015,NUTS,2010,CZ,0,0.947
2016,NUTS,2010,CZ,0,0.9772
2017,NUTS,2010,CZ,0,1.0524
2018,NUTS,2010,CZ,0,1.109
2019,NUTS,2010,CZ,0,1.1456
2020,NUTS,2010,CZ,0,1.1618
2011,NUTS,2010,CZ0,1,0.7167
2012,NUTS,2010,CZ0,1,0.7884
2013,NUTS,2010,CZ0,1,0.8341
2014,NUTS,2010,CZ0,1,0.9097
2015,NUTS,2010,CZ0,1,0.9276
2016,NUTS,2010,CZ0,1,0.9546
2017,NUTS,2010,CZ0,1,1.0272
2018,NUTS,2010,CZ0,1,1.0786
2019,NUTS,2010,CZ0,1,1.1132
2020,NUTS,2010,CZ0,1,1.1298
2011,NUTS,2010,CZ01,2,1.3261
2012,NUTS,2010,CZ01,2,1.5284
2013,NUTS,2010,CZ01,2,1.6715
2014,NUTS,2010,CZ01,2,1.7492
2015,NUTS,2010,CZ01,2,1.7438
2016,NUTS,2010,CZ01,2,1.7853
2017,NUTS,2010,CZ01,2,1.9024
2018,NUTS,2010,CZ01,2,2.0191
2019,NUTS,2010,CZ01,2,2.0773
2020,NUTS,2010,CZ01,2,2.2262
2011,NUTS,2010,CZ02,2,0.7839
2012,NUTS,2010,CZ02,2,0.7781
2013,NUTS,2010,CZ02,2,0.7748
2014,NUTS,2010,CZ02,2,0.785
2015,NUTS,2010,CZ02,2,0.7924
2016,NUTS,2010,CZ02,2,0.83
2017,NUTS,2010,CZ02,2,0.9044
2018,NUTS,2010,CZ02,2,0.9681
2019,NUTS,2010,CZ02,2,0.9917
2020,NUTS,2010,CZ02,2,0.9721
2011,NUTS,2010,CZ03,2,0.4832
2012,NUTS,2010,CZ03,2,0.5904
2013,NUTS,2010,CZ03,2,0.5642
2014,NUTS,2010,CZ03,2,0.6239
2015,NUTS,2010,CZ03,2,0.6466
2016,NUTS,2010,CZ03,2,0.6538
2017,NUTS,2010,CZ03,2,0.6804
2018,NUTS,2010,CZ03,2,0.7661
2019,NUTS,2010,CZ03,2,0.838
2020,NUTS,2010,CZ03,2,0.8073
2011,NUTS,2010,CZ04,2,0.2097
2012,NUTS,2010,CZ04,2,0.2636
2013,NUTS,2010,CZ04,2,0.2528
2014,NUTS,2010,CZ04,2,0.3181
2015,NUTS,2010,CZ04,2,0.2727
2016,NUTS,2010,CZ04,2,0.25
2017,NUTS,2010,CZ04,2,0.2895
2018,NUTS,2010,CZ04,2,0.3052
2019,NUTS,2010,CZ04,2,0.3333
2020,NUTS,2010,CZ04,2,0.3253
2011,NUTS,2010,CZ05,2,0.7807
2012,NUTS,2010,CZ05,2,0.8478
2013,NUTS,2010,CZ05,2,0.9075
2014,NUTS,2010,CZ05,2,0.9235
2015,NUTS,2010,CZ05,2,0.9248
2016,NUTS,2010,CZ05,2,0.9426
2017,NUTS,2010,CZ05,2,0.9731
2018,NUTS,2010,CZ05,2,1.0028
2019,NUTS,2010,CZ05,2,1.0333
2020,NUTS,2010,CZ05,2,1.0053
2011,NUTS,2010,CZ06,2,0.7904
2012,NUTS,2010,CZ06,2,0.8771
2013,NUTS,2010,CZ06,2,0.9607
2014,NUTS,2010,CZ06,2,1.1597
2015,NUTS,2010,CZ06,2,1.2709
2016,NUTS,2010,CZ06,2,1.357
2017,NUTS,2010,CZ06,2,1.3673
2018,NUTS,2010,CZ06,2,1.4535
2019,NUTS,2010,CZ06,2,1.4501
2020,NUTS,2010,CZ06,2,1.5115
2011,NUTS,2010,CZ07,2,0.6723
2012,NUTS,2010,CZ07,2,0.7083
2013,NUTS,2010,CZ07,2,0.772
2014,NUTS,2010,CZ07,2,0.8218
2015,NUTS,2010,CZ07,2,0.8209
2016,NUTS,2010,CZ07,2,0.8665
2017,NUTS,2010,CZ07,2,0.9944
2018,NUTS,2010,CZ07,2,1.0249
2019,NUTS,2010,CZ07,2,1.1181
2020,NUTS,2010,CZ07,2,1.0843
2011,NUTS,2010,CZ08,2,0.5462
2012,NUTS,2010,CZ08,2,0.5406
2013,NUTS,2010,CZ08,2,0.5705
2014,NUTS,2010,CZ08,2,0.6771
2015,NUTS,2010,CZ08,2,0.6843
2016,NUTS,2010,CZ08,2,0.6573
2017,NUTS,2010,CZ08,2,0.8084
2018,NUTS,2010,CZ08,2,0.7446
2019,NUTS,2010,CZ08,2,0.7095
2020,NUTS,2010,CZ08,2,0.7235
2011,NUTS,2010,DE,0,1.0327
2013,NUTS,2010,DE,0,1.0175
2015,NUTS,2010,DE,0,1.1148
2017,NUTS,2010,DE,0,1.1861
2019,NUTS,2010,DE,0,1.2859
2011,NUTS,2010,DE1,1,1.9516
2013,NUTS,2010,DE1,1,1.9587
2015,NUTS,2010,DE1,1,2.107
2017,NUTS,2010,DE1,1,2.3768
2019,NUTS,2010,DE1,1,2.5451
2011,NUTS,2010,DE11,2,2.8417
2013,NUTS,2010,DE11,2,2.9415
2015,NUTS,2010,DE11,2,3.1587
2017,NUTS,2010,DE11,2,3.6355
2019,NUTS,2010,DE11,2,3.822
2011,NUTS,2010,DE12,2,1.5144
2013,NUTS,2010,DE12,2,1.4231
2015,NUTS,2010,DE12,2,1.5834
2017,NUTS,2010,DE12,2,1.8438
2019,NUTS,2010,DE12,2,1.9451
2011,NUTS,2010,DE13,2,0.9514
2013,NUTS,2010,DE13,2,0.9102
2015,NUTS,2010,DE13,2,0.9624
2017,NUTS,2010,DE13,2,1.0354
2019,NUTS,2010,DE13,2,1.174
2011,NUTS,2010,DE14,2,1.8947
2013,NUTS,2010,DE14,2,1.892
2015,NUTS,2010,DE14,2,1.9223
2017,NUTS,2010,DE14,2,1.9806
2019,NUTS,2010,DE14,2,2.2218
2011,NUTS,2010,DE2,1,1.3327
2013,NUTS,2010,DE2,1,1.2865
2015,NUTS,2010,DE2,1,1.429
2017,NUTS,2010,DE2,1,1.4625
2019,NUTS,2010,DE2,1,1.6632
2011,NUTS,2010,DE21,2,2.2548
2013,NUTS,2010,DE21,2,2.094
2015,NUTS,2010,DE21,2,2.3036
2017,NUTS,2010,DE21,2,2.2251
2019,NUTS,2010,DE21,2,2.5205
2011,NUTS,2010,DE22,2,0.4583
2013,NUTS,2010,DE22,2,0.503
2015,NUTS,2010,DE22,2,0.5328
2017,NUTS,2010,DE22,2,0.6928
2019,NUTS,2010,DE22,2,0.8449
2011,NUTS,2010,DE23,2,0.7972
2013,NUTS,2010,DE23,2,0.682
2015,NUTS,2010,DE23,2,0.7844
2017,NUTS,2010,DE23,2,0.9905
2019,NUTS,2010,DE23,2,1.1941
2011,NUTS,2010,DE24,2,0.6606
2013,NUTS,2010,DE24,2,0.6543
2015,NUTS,2010,DE24,2,0.74
2017,NUTS,2010,DE24,2,0.7876
2019,NUTS,2010,DE24,2,1.1404
2011,NUTS,2010,DE25,2,1.3167
2013,NUTS,2010,DE25,2,1.3213
2015,NUTS,2010,DE25,2,1.3661
2017,NUTS,2010,DE25,2,1.2794
2019,NUTS,2010,DE25,2,1.5071
2011,NUTS,2010,DE26,2,0.9334
2013,NUTS,2010,DE26,2,0.9652
2015,NUTS,2010,DE26,2,1.005
2017,NUTS,2010,DE26,2,1.3828
2019,NUTS,2010,DE26,2,1.4231
2011,NUTS,2010,DE27,2,0.6542
2013,NUTS,2010,DE27,2,0.7002
2015,NUTS,2010,DE27,2,0.9367
2017,NUTS,2010,DE27,2,0.8986
2019,NUTS,2010,DE27,2,0.8936
2011,NUTS,2010,DE3,1,0.7815
2013,NUTS,2010,DE3,1,0.7555
2015,NUTS,2010,DE3,1,0.8345
2017,NUTS,2010,DE3,1,0.807
2019,NUTS,2010,DE3,1,0.8596
2011,NUTS,2010,DE30,2,0.7815
2013,NUTS,2010,DE30,2,0.7555
2015,NUTS,2010,DE30,2,0.8345
2017,NUTS,2010,DE30,2,0.807
2019,NUTS,2010,DE30,2,0.8596
2011,NUTS,2010,DE4,1,0.3722
2013,NUTS,2010,DE4,1,0.3634
2015,NUTS,2010,DE4,1,0.4053
2017,NUTS,2010,DE4,1,0.4449
2019,NUTS,2010,DE4,1,0.4315
2011,NUTS,2010,DE40,2,0.3722
2013,NUTS,2010,DE40,2,0.3634
2015,NUTS,2010,DE40,2,0.4053
2017,NUTS,2010,DE40,2,0.4449
2019,NUTS,2010,DE40,2,0.4315
2011,NUTS,2010,DE5,1,1.1687
2013,NUTS,2010,DE5,1,0.787
2015,NUTS,2010,DE5,1,0.9156
2017,NUTS,2010,DE5,1,0.8666
2019,NUTS,2010,DE5,1,0.9735
2011,NUTS,2010,DE50,2,1.1687
2013,NUTS,2010,DE50,2,0.787
2015,NUTS,2010,DE50,2,0.9156
2017,NUTS,2010,DE50,2,0.8666
2019,NUTS,2010,DE50,2,0.9735
2011,NUTS,2010,DE6,1,0.9018
2013,NUTS,2010,DE6,1,0.8979
2015,NUTS,2010,DE6,1,0.9985
2017,NUTS,2010,DE6,1,1.1231
2019,NUTS,2010,DE6,1,1.1203
2011,NUTS,2010,DE60,2,0.9018
2013,NUTS,2010,DE60,2,0.8979
2015,NUTS,2010,DE60,2,0.9985
2017,NUTS,2010,DE60,2,1.1231
2019,NUTS,2010,DE60,2,1.1203
2011,NUTS,2010,DE7,1,1.3013
2013,NUTS,2010,DE7,1,1.1912
2015,NUTS,2010,DE7,1,1.3533
2017,NUTS,2010,DE7,1,1.3597
2019,NUTS,2010,DE7,1,1.3882
2011,NUTS,2010,DE71,2,1.6068
2013,NUTS,2010,DE71,2,1.3896
2015,NUTS,2010,DE71,2,1.6803
2017,NUTS,2010,DE71,2,1.6549
2019,NUTS,2010,DE71,2,1.7121
2011,NUTS,2010,DE72,2,0.682
2013,NUTS,2010,DE72,2,0.733
2015,NUTS,2010,DE72,2,0.7453
2017,NUTS,2010,DE72,2,0.7898
2019,NUTS,2010,DE72,2,0.8133
