year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_total_f_pc_emp_hc
2013,NUTS,2010,ES2,1,0.8757
2019,NUTS,2010,ES2,1,0.8603
2011,NUTS,2010,ES21,2,0.7477
2012,NUTS,2010,ES21,2,0.8477
2013,NUTS,2010,ES21,2,0.8654
2014,NUTS,2010,ES21,2,0.874
2015,NUTS,2010,ES21,2,0.887
2016,NUTS,2010,ES21,2,0.8614
2017,NUTS,2010,ES21,2,0.8927
2018,NUTS,2010,ES21,2,0.8708
2019,NUTS,2010,ES21,2,0.8788
2011,NUTS,2010,ES22,2,1.0727
2011,NUTS,2010,ES23,2,0.4196
2012,NUTS,2010,ES23,2,0.4782
2014,NUTS,2010,ES23,2,0.5972
2015,NUTS,2010,ES23,2,0.5404
2016,NUTS,2010,ES23,2,0.7366
2017,NUTS,2010,ES23,2,0.6096
2018,NUTS,2010,ES23,2,0.6656
2011,NUTS,2010,ES24,2,0.8504
2012,NUTS,2010,ES24,2,0.8835
2013,NUTS,2010,ES24,2,0.9279
2014,NUTS,2010,ES24,2,0.9874
2015,NUTS,2010,ES24,2,0.9932
2016,NUTS,2010,ES24,2,0.9213
2017,NUTS,2010,ES24,2,0.9245
2018,NUTS,2010,ES24,2,0.9206
2011,NUTS,2010,ES3,1,1.133
2012,NUTS,2010,ES3,1,0.9444
2013,NUTS,2010,ES3,1,0.9434
2014,NUTS,2010,ES3,1,0.9758
2015,NUTS,2010,ES3,1,0.9491
2016,NUTS,2010,ES3,1,0.8837
2017,NUTS,2010,ES3,1,0.9049
2018,NUTS,2010,ES3,1,0.9478
2019,NUTS,2010,ES3,1,0.9537
2011,NUTS,2010,ES30,2,1.133
2012,NUTS,2010,ES30,2,0.9444
2013,NUTS,2010,ES30,2,0.9434
2014,NUTS,2010,ES30,2,0.9758
2015,NUTS,2010,ES30,2,0.9491
2016,NUTS,2010,ES30,2,0.8837
2017,NUTS,2010,ES30,2,0.9049
2018,NUTS,2010,ES30,2,0.9478
2019,NUTS,2010,ES30,2,0.9537
2011,NUTS,2010,ES4,1,0.8754
2013,NUTS,2010,ES4,1,0.7521
2014,NUTS,2010,ES4,1,0.7576
2015,NUTS,2010,ES4,1,0.7711
2016,NUTS,2010,ES4,1,0.7534
2018,NUTS,2010,ES4,1,0.7663
2019,NUTS,2010,ES4,1,0.7492
2011,NUTS,2010,ES41,2,1.1791
2012,NUTS,2010,ES41,2,1.1846
2013,NUTS,2010,ES41,2,1.1505
2014,NUTS,2010,ES41,2,1.1619
2015,NUTS,2010,ES41,2,1.1728
2016,NUTS,2010,ES41,2,1.1418
2017,NUTS,2010,ES41,2,1.1493
2018,NUTS,2010,ES41,2,1.1932
2019,NUTS,2010,ES41,2,1.2061
2011,NUTS,2010,ES42,2,0.5966
2012,NUTS,2010,ES42,2,0.5638
2013,NUTS,2010,ES42,2,0.2666
2014,NUTS,2010,ES42,2,0.2759
2015,NUTS,2010,ES42,2,0.3073
2017,NUTS,2010,ES42,2,0.3007
2011,NUTS,2010,ES43,2,0.6041
2013,NUTS,2010,ES43,2,0.6249
2014,NUTS,2010,ES43,2,0.602
2015,NUTS,2010,ES43,2,0.5884
2011,NUTS,2010,ES5,1,0.8788
2012,NUTS,2010,ES5,1,0.9005
2013,NUTS,2010,ES5,1,0.8821
2014,NUTS,2010,ES5,1,0.8822
2015,NUTS,2010,ES5,1,0.8696
2016,NUTS,2010,ES5,1,0.8599
2017,NUTS,2010,ES5,1,0.8589
2018,NUTS,2010,ES5,1,0.8457
2011,NUTS,2010,ES51,2,0.8954
2012,NUTS,2010,ES51,2,0.9215
2013,NUTS,2010,ES51,2,0.9102
2014,NUTS,2010,ES51,2,0.8691
2015,NUTS,2010,ES51,2,0.8671
2016,NUTS,2010,ES51,2,0.8586
2017,NUTS,2010,ES51,2,0.848
2018,NUTS,2010,ES51,2,0.8408
2019,NUTS,2010,ES51,2,0.8478
2011,NUTS,2010,ES52,2,0.9615
2012,NUTS,2010,ES52,2,0.9847
2013,NUTS,2010,ES52,2,0.9594
2014,NUTS,2010,ES52,2,1.0359
2015,NUTS,2010,ES52,2,1.0
2016,NUTS,2010,ES52,2,0.9958
2017,NUTS,2010,ES52,2,1.0122
2018,NUTS,2010,ES52,2,0.9894
2019,NUTS,2010,ES52,2,1.0372
2011,NUTS,2010,ES53,2,0.4367
2012,NUTS,2010,ES53,2,0.4445
2013,NUTS,2010,ES53,2,0.4206
2014,NUTS,2010,ES53,2,0.4152
2015,NUTS,2010,ES53,2,0.4183
2016,NUTS,2010,ES53,2,0.3831
2017,NUTS,2010,ES53,2,0.3705
2018,NUTS,2010,ES53,2,0.3704
2011,NUTS,2010,ES6,1,0.8546
2012,NUTS,2010,ES6,1,0.843
2013,NUTS,2010,ES6,1,0.8585
2014,NUTS,2010,ES6,1,0.839
2015,NUTS,2010,ES6,1,0.8362
2016,NUTS,2010,ES6,1,0.8313
2017,NUTS,2010,ES6,1,0.8467
2018,NUTS,2010,ES6,1,0.8481
2019,NUTS,2010,ES6,1,0.8281
2011,NUTS,2010,ES61,2,0.8736
2012,NUTS,2010,ES61,2,0.8593
2013,NUTS,2010,ES61,2,0.8691
2014,NUTS,2010,ES61,2,0.8457
2015,NUTS,2010,ES61,2,0.8273
2016,NUTS,2010,ES61,2,0.8224
2017,NUTS,2010,ES61,2,0.8385
2018,NUTS,2010,ES61,2,0.8381
2019,NUTS,2010,ES61,2,0.8118
2011,NUTS,2010,ES62,2,0.8099
2012,NUTS,2010,ES62,2,0.8078
2013,NUTS,2010,ES62,2,0.8632
2014,NUTS,2010,ES62,2,0.8525
2015,NUTS,2010,ES62,2,0.9322
2016,NUTS,2010,ES62,2,0.921
2018,NUTS,2010,ES62,2,0.9298
2019,NUTS,2010,ES62,2,0.94
2011,NUTS,2010,ES63,2,0.1477
2011,NUTS,2010,ES64,2,0.2574
2011,NUTS,2010,ES7,1,0.458
2012,NUTS,2010,ES7,1,0.4502
2013,NUTS,2010,ES7,1,0.4415
2014,NUTS,2010,ES7,1,0.4268
2015,NUTS,2010,ES7,1,0.4091
2016,NUTS,2010,ES7,1,0.4249
2017,NUTS,2010,ES7,1,0.4216
2018,NUTS,2010,ES7,1,0.4087
2011,NUTS,2010,ES70,2,0.458
2012,NUTS,2010,ES70,2,0.4502
2013,NUTS,2010,ES70,2,0.4415
2014,NUTS,2010,ES70,2,0.4268
2015,NUTS,2010,ES70,2,0.4091
2016,NUTS,2010,ES70,2,0.4249
2017,NUTS,2010,ES70,2,0.4216
2018,NUTS,2010,ES70,2,0.4087
2011,NUTS,2010,EU27_2020,7,0.73
2012,NUTS,2010,EU27_2020,7,0.7498
2013,NUTS,2010,EU27_2020,7,0.7655
2014,NUTS,2010,EU27_2020,7,0.7685
2015,NUTS,2010,EU27_2020,7,0.7748
2016,NUTS,2010,EU27_2020,7,0.7655
2017,NUTS,2010,EU27_2020,7,0.789
2018,NUTS,2010,EU27_2020,7,0.8074
2019,NUTS,2010,EU27_2020,7,0.8212
2011,NUTS,2010,FI,0,1.2458
2012,NUTS,2010,FI,0,1.2343
2013,NUTS,2010,FI,0,1.1985
2014,NUTS,2010,FI,0,1.2044
2015,NUTS,2010,FI,0,1.1894
2016,NUTS,2010,FI,0,1.1918
2017,NUTS,2010,FI,0,1.2328
2018,NUTS,2010,FI,0,1.2606
2019,NUTS,2010,FI,0,1.3008
2011,NUTS,2010,FR,0,0.478
2012,NUTS,2010,FR,0,0.477
2013,NUTS,2010,FR,0,0.4788
2014,NUTS,2010,FR,0,0.5533
2016,NUTS,2010,FR,0,0.6422
2017,NUTS,2010,FR,0,0.6408
2011,NUTS,2010,HR,0,0.6803
2012,NUTS,2010,HR,0,0.6781
2013,NUTS,2010,HR,0,0.6938
2014,NUTS,2010,HR,0,0.6544
2015,NUTS,2010,HR,0,0.7129
2016,NUTS,2010,HR,0,0.7956
2017,NUTS,2010,HR,0,0.8239
2018,NUTS,2010,HR,0,0.8333
2019,NUTS,2010,HR,0,0.9257
2020,NUTS,2010,HR,0,0.9795
2011,NUTS,2010,HR0,1,0.6615
2012,NUTS,2010,HR0,1,0.6621
2013,NUTS,2010,HR0,1,0.6808
2014,NUTS,2010,HR0,1,0.6443
2015,NUTS,2010,HR0,1,0.7017
2016,NUTS,2010,HR0,1,0.786
2017,NUTS,2010,HR0,1,0.814
2018,NUTS,2010,HR0,1,0.8224
2019,NUTS,2010,HR0,1,0.9104
2020,NUTS,2010,HR0,1,0.9668
2011,NUTS,2010,HR03,2,0.7736
2012,NUTS,2010,HR03,2,0.7758
2013,NUTS,2010,HR03,2,0.7915
2014,NUTS,2010,HR03,2,0.7257
2015,NUTS,2010,HR03,2,0.7099
2016,NUTS,2010,HR03,2,0.7354
2017,NUTS,2010,HR03,2,0.7834
2018,NUTS,2010,HR03,2,0.8145
2019,NUTS,2010,HR03,2,0.9519
2020,NUTS,2010,HR03,2,1.0231
2011,NUTS,2010,HR04,2,0.6099
2012,NUTS,2010,HR04,2,0.6083
2013,NUTS,2010,HR04,2,0.6285
2014,NUTS,2010,HR04,2,0.6036
2015,NUTS,2010,HR04,2,0.6978
2016,NUTS,2010,HR04,2,0.8096
2017,NUTS,2010,HR04,2,0.8289
2018,NUTS,2010,HR04,2,0.8264
2019,NUTS,2010,HR04,2,0.8907
2011,NUTS,2010,HU,0,0.6384
2012,NUTS,2010,HU,0,0.6108
2013,NUTS,2010,HU,0,0.6041
2014,NUTS,2010,HU,0,0.5536
2015,NUTS,2010,HU,0,0.5334
2016,NUTS,2010,HU,0,0.5135
2017,NUTS,2010,HU,0,0.5534
2018,NUTS,2010,HU,0,0.6205
2019,NUTS,2010,HU,0,0.7109
2011,NUTS,2010,HU1,1,0.9061
2012,NUTS,2010,HU1,1,0.8225
