year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_pc_act_fte_total_t
2011,NUTS,2010,AT,0,1.0045
2012,NUTS,2010,AT,0,1.0731
2013,NUTS,2010,AT,0,1.0846
2014,NUTS,2010,AT,0,1.1529
2015,NUTS,2010,AT,0,1.1649
2016,NUTS,2010,AT,0,1.1706
2017,NUTS,2010,AT,0,1.1787
2018,NUTS,2010,AT,0,1.2365
2019,NUTS,2010,AT,0,1.302
2020,NUTS,2010,AT,0,1.2652
2011,NUTS,2010,AT1,1,0.8724
2013,NUTS,2010,AT1,1,0.8491
2015,NUTS,2010,AT1,1,0.8817
2017,NUTS,2010,AT1,1,0.8428
2019,NUTS,2010,AT1,1,0.9393
2011,NUTS,2010,AT11,2,0.3803
2013,NUTS,2010,AT11,2,0.4335
2015,NUTS,2010,AT11,2,0.4754
2017,NUTS,2010,AT11,2,0.4827
2019,NUTS,2010,AT11,2,0.4896
2011,NUTS,2010,AT12,2,0.5656
2013,NUTS,2010,AT12,2,0.5924
2015,NUTS,2010,AT12,2,0.647
2017,NUTS,2010,AT12,2,0.656
2019,NUTS,2010,AT12,2,0.7437
2011,NUTS,2010,AT13,2,1.2523
2013,NUTS,2010,AT13,2,1.1565
2015,NUTS,2010,AT13,2,1.1643
2017,NUTS,2010,AT13,2,1.0688
2019,NUTS,2010,AT13,2,1.179
2011,NUTS,2010,AT2,1,1.2895
2013,NUTS,2010,AT2,1,1.4621
2015,NUTS,2010,AT2,1,1.6137
2017,NUTS,2010,AT2,1,1.6762
2019,NUTS,2010,AT2,1,1.8554
2011,NUTS,2010,AT21,2,0.9854
2013,NUTS,2010,AT21,2,1.024
2015,NUTS,2010,AT21,2,1.0925
2017,NUTS,2010,AT21,2,1.0986
2019,NUTS,2010,AT21,2,1.2474
2011,NUTS,2010,AT22,2,1.4239
2013,NUTS,2010,AT22,2,1.6567
2015,NUTS,2010,AT22,2,1.8444
2017,NUTS,2010,AT22,2,1.9273
2019,NUTS,2010,AT22,2,2.1185
2011,NUTS,2010,AT3,1,0.9618
2013,NUTS,2010,AT3,1,1.1078
2015,NUTS,2010,AT3,1,1.2038
2017,NUTS,2010,AT3,1,1.2631
2019,NUTS,2010,AT3,1,1.3801
2011,NUTS,2010,AT31,2,1.191
2013,NUTS,2010,AT31,2,1.4155
2015,NUTS,2010,AT31,2,1.5419
2017,NUTS,2010,AT31,2,1.5694
2019,NUTS,2010,AT31,2,1.7398
2011,NUTS,2010,AT32,2,0.6036
2013,NUTS,2010,AT32,2,0.6999
2015,NUTS,2010,AT32,2,0.7497
2017,NUTS,2010,AT32,2,0.8773
2019,NUTS,2010,AT32,2,0.969
2011,NUTS,2010,AT33,2,0.8134
2013,NUTS,2010,AT33,2,0.8751
2015,NUTS,2010,AT33,2,0.9136
2017,NUTS,2010,AT33,2,1.0094
2019,NUTS,2010,AT33,2,1.0362
2011,NUTS,2010,AT34,2,0.8819
2013,NUTS,2010,AT34,2,0.9686
2015,NUTS,2010,AT34,2,1.1142
2017,NUTS,2010,AT34,2,1.1401
2019,NUTS,2010,AT34,2,1.2663
2011,NUTS,2010,BE,0,0.7264
2012,NUTS,2010,BE,0,0.7854
2013,NUTS,2010,BE,0,0.7845
2014,NUTS,2010,BE,0,0.8604
2015,NUTS,2010,BE,0,0.903
2016,NUTS,2010,BE,0,0.9437
2017,NUTS,2010,BE,0,1.0135
2018,NUTS,2010,BE,0,1.0692
2019,NUTS,2010,BE,0,1.1423
2020,NUTS,2010,BE,0,1.2826
2011,NUTS,2010,BE1,1,0.6869
2013,NUTS,2010,BE1,1,0.8556
2014,NUTS,2010,BE1,1,0.9287
2015,NUTS,2010,BE1,1,0.9738
2016,NUTS,2010,BE1,1,1.0923
2017,NUTS,2010,BE1,1,1.1505
2018,NUTS,2010,BE1,1,1.3731
2019,NUTS,2010,BE1,1,1.4798
2011,NUTS,2010,BE10,2,0.6869
2013,NUTS,2010,BE10,2,0.8556
2014,NUTS,2010,BE10,2,0.9287
2015,NUTS,2010,BE10,2,0.9738
2016,NUTS,2010,BE10,2,1.0923
2017,NUTS,2010,BE10,2,1.1505
2018,NUTS,2010,BE10,2,1.3731
2019,NUTS,2010,BE10,2,1.4798
2011,NUTS,2010,BE2,1,0.7816
2013,NUTS,2010,BE2,1,0.8212
2014,NUTS,2010,BE2,1,0.8879
2015,NUTS,2010,BE2,1,0.9353
2016,NUTS,2010,BE2,1,0.997
2017,NUTS,2010,BE2,1,1.0706
2018,NUTS,2010,BE2,1,1.1305
2019,NUTS,2010,BE2,1,1.2503
2011,NUTS,2010,BE3,1,0.6142
2013,NUTS,2010,BE3,1,0.6691
2014,NUTS,2010,BE3,1,0.7606
2015,NUTS,2010,BE3,1,0.7888
2016,NUTS,2010,BE3,1,0.7605
2017,NUTS,2010,BE3,1,0.8202
2018,NUTS,2010,BE3,1,0.8003
2019,NUTS,2010,BE3,1,0.7564
2011,NUTS,2010,BG,0,0.074
2012,NUTS,2010,BG,0,0.0912
2013,NUTS,2010,BG,0,0.1162
2014,NUTS,2010,BG,0,0.1644
2015,NUTS,2010,BG,0,0.2898
2016,NUTS,2010,BG,0,0.3522
2017,NUTS,2010,BG,0,0.3281
2018,NUTS,2010,BG,0,0.4053
2019,NUTS,2010,BG,0,0.4227
2020,NUTS,2010,BG,0,0.4288
2011,NUTS,2010,BG3,1,0.0415
2012,NUTS,2010,BG3,1,0.0479
2013,NUTS,2010,BG3,1,0.0608
2014,NUTS,2010,BG3,1,0.0752
2015,NUTS,2010,BG3,1,0.1788
2016,NUTS,2010,BG3,1,0.1868
2017,NUTS,2010,BG3,1,0.1764
2018,NUTS,2010,BG3,1,0.2241
2019,NUTS,2010,BG3,1,0.2253
2015,NUTS,2010,BG31,2,0.2045
2016,NUTS,2010,BG31,2,0.2436
2017,NUTS,2010,BG31,2,0.226
2018,NUTS,2010,BG31,2,0.2994
2019,NUTS,2010,BG31,2,0.2582
2012,NUTS,2010,BG32,2,0.0452
2013,NUTS,2010,BG32,2,0.0687
2014,NUTS,2010,BG32,2,0.0928
2015,NUTS,2010,BG32,2,0.1808
2016,NUTS,2010,BG32,2,0.1696
2017,NUTS,2010,BG32,2,0.208
2018,NUTS,2010,BG32,2,0.2411
2019,NUTS,2010,BG32,2,0.2541
2011,NUTS,2010,BG33,2,0.042
2013,NUTS,2010,BG33,2,0.0526
2015,NUTS,2010,BG33,2,0.1283
2016,NUTS,2010,BG33,2,0.147
2017,NUTS,2010,BG33,2,0.1254
2018,NUTS,2010,BG33,2,0.1588
2019,NUTS,2010,BG33,2,0.1709
2012,NUTS,2010,BG34,2,0.0442
2014,NUTS,2010,BG34,2,0.0801
2015,NUTS,2010,BG34,2,0.2085
2016,NUTS,2010,BG34,2,0.2015
2017,NUTS,2010,BG34,2,0.1692
2018,NUTS,2010,BG34,2,0.2227
2019,NUTS,2010,BG34,2,0.2321
2011,NUTS,2010,BG4,1,0.1029
2012,NUTS,2010,BG4,1,0.1294
2013,NUTS,2010,BG4,1,0.1636
2014,NUTS,2010,BG4,1,0.2397
2015,NUTS,2010,BG4,1,0.382
2016,NUTS,2010,BG4,1,0.4905
2017,NUTS,2010,BG4,1,0.4509
2018,NUTS,2010,BG4,1,0.5483
2019,NUTS,2010,BG4,1,0.5765
2011,NUTS,2010,BG41,2,0.1314
2012,NUTS,2010,BG41,2,0.174
2014,NUTS,2010,BG41,2,0.3504
2015,NUTS,2010,BG41,2,0.511
2016,NUTS,2010,BG41,2,0.6447
2017,NUTS,2010,BG41,2,0.611
2018,NUTS,2010,BG41,2,0.7245
2019,NUTS,2010,BG41,2,0.7727
2011,NUTS,2010,BG42,2,0.0559
2012,NUTS,2010,BG42,2,0.0573
2014,NUTS,2010,BG42,2,0.0658
2015,NUTS,2010,BG42,2,0.1721
2016,NUTS,2010,BG42,2,0.2346
2017,NUTS,2010,BG42,2,0.1938
2018,NUTS,2010,BG42,2,0.2556
2019,NUTS,2010,BG42,2,0.2525
2012,NUTS,2010,CH,0,1.0808
2015,NUTS,2010,CH,0,1.1056
2017,NUTS,2010,CH,0,0.9923
2019,NUTS,2010,CH,0,1.0886
2012,NUTS,2010,CH01,2,0.677
2015,NUTS,2010,CH01,2,0.8478
2017,NUTS,2010,CH01,2,0.7059
2019,NUTS,2010,CH01,2,0.7705
2012,NUTS,2010,CH02,2,0.8112
2015,NUTS,2010,CH02,2,0.7745
2017,NUTS,2010,CH02,2,0.7321
2019,NUTS,2010,CH02,2,0.7373
2012,NUTS,2010,CH03,2,2.3774
2015,NUTS,2010,CH03,2,2.3154
2017,NUTS,2010,CH03,2,2.1228
2019,NUTS,2010,CH03,2,2.2192
2012,NUTS,2010,CH04,2,0.9114
2015,NUTS,2010,CH04,2,0.9398
2017,NUTS,2010,CH04,2,0.8072
2019,NUTS,2010,CH04,2,0.9384
2012,NUTS,2010,CH05,2,0.9454
2015,NUTS,2010,CH05,2,0.9557
2017,NUTS,2010,CH05,2,0.6836
2019,NUTS,2010,CH05,2,1.1516
2012,NUTS,2010,CH06,2,0.9115
2015,NUTS,2010,CH06,2,1.0714
2017,NUTS,2010,CH06,2,1.0448
2019,NUTS,2010,CH06,2,0.914
2012,NUTS,2010,CH07,2,0.7981
2015,NUTS,2010,CH07,2,0.3533
2017,NUTS,2010,CH07,2,0.7442
2019,NUTS,2010,CH07,2,0.4874
2011,NUTS,2010,CY,0,0.0643
2012,NUTS,2010,CY,0,0.0563
2013,NUTS,2010,CY,0,0.0592
2014,NUTS,2010,CY,0,0.0629
2015,NUTS,2010,CY,0,0.062
2016,NUTS,2010,CY,0,0.0885
2017,NUTS,2010,CY,0,0.0998
2018,NUTS,2010,CY,0,0.1525
2019,NUTS,2010,CY,0,0.1714
2020,NUTS,2010,CY,0,0.1822
2011,NUTS,2010,CZ,0,0.5638
2012,NUTS,2010,CZ,0,0.6127
2013,NUTS,2010,CZ,0,0.6366
2014,NUTS,2010,CZ,0,0.6772
2015,NUTS,2010,CZ,0,0.6992
2016,NUTS,2010,CZ,0,0.713
2017,NUTS,2010,CZ,0,0.7616
2018,NUTS,2010,CZ,0,0.8041
2019,NUTS,2010,CZ,0,0.8517
2020,NUTS,2010,CZ,0,0.885
2011,NUTS,2010,CZ0,1,0.5555
2012,NUTS,2010,CZ0,1,0.6031
2013,NUTS,2010,CZ0,1,0.6255
2014,NUTS,2010,CZ0,1,0.6655
2015,NUTS,2010,CZ0,1,0.6849
2016,NUTS,2010,CZ0,1,0.6965
2017,NUTS,2010,CZ0,1,0.7433
2018,NUTS,2010,CZ0,1,0.782
2019,NUTS,2010,CZ0,1,0.8276
2020,NUTS,2010,CZ0,1,0.8606
2011,NUTS,2010,CZ01,2,1.015
2012,NUTS,2010,CZ01,2,1.1503
2013,NUTS,2010,CZ01,2,1.2229
2014,NUTS,2010,CZ01,2,1.2485
2015,NUTS,2010,CZ01,2,1.2825
2016,NUTS,2010,CZ01,2,1.2903
2017,NUTS,2010,CZ01,2,1.4186
2018,NUTS,2010,CZ01,2,1.5309
2019,NUTS,2010,CZ01,2,1.6164
2020,NUTS,2010,CZ01,2,1.7285
2011,NUTS,2010,CZ02,2,0.678
2012,NUTS,2010,CZ02,2,0.6799
2013,NUTS,2010,CZ02,2,0.6813
2014,NUTS,2010,CZ02,2,0.6583
2015,NUTS,2010,CZ02,2,0.671
2016,NUTS,2010,CZ02,2,0.7113
2017,NUTS,2010,CZ02,2,0.7508
2018,NUTS,2010,CZ02,2,0.8137
2019,NUTS,2010,CZ02,2,0.8368
2020,NUTS,2010,CZ02,2,0.8531
2011,NUTS,2010,CZ03,2,0.3846
2012,NUTS,2010,CZ03,2,0.4652
2013,NUTS,2010,CZ03,2,0.4304
2014,NUTS,2010,CZ03,2,0.465
2015,NUTS,2010,CZ03,2,0.4872
2016,NUTS,2010,CZ03,2,0.4932
2017,NUTS,2010,CZ03,2,0.4979
2018,NUTS,2010,CZ03,2,0.5319
2019,NUTS,2010,CZ03,2,0.6316
2020,NUTS,2010,CZ03,2,0.6114
2011,NUTS,2010,CZ04,2,0.141
2012,NUTS,2010,CZ04,2,0.1607
