year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_hes_rse_pc_emp_hc_t
2011,NUTS,2010,AT,0,0.8038
2013,NUTS,2010,AT,0,0.8382
2015,NUTS,2010,AT,0,0.9021
2017,NUTS,2010,AT,0,0.8921
2019,NUTS,2010,AT,0,0.9584
2011,NUTS,2010,AT1,1,0.9893
2013,NUTS,2010,AT1,1,1.0586
2019,NUTS,2010,AT1,1,1.1552
2011,NUTS,2010,AT11,2,0.0695
2013,NUTS,2010,AT11,2,0.103
2019,NUTS,2010,AT11,2,0.1385
2011,NUTS,2010,AT12,2,0.0717
2013,NUTS,2010,AT12,2,0.128
2015,NUTS,2010,AT12,2,0.1482
2017,NUTS,2010,AT12,2,0.1808
2019,NUTS,2010,AT12,2,0.2348
2011,NUTS,2010,AT13,2,2.0756
2013,NUTS,2010,AT13,2,2.134
2015,NUTS,2010,AT13,2,2.2222
2017,NUTS,2010,AT13,2,2.1031
2019,NUTS,2010,AT13,2,2.1787
2011,NUTS,2010,AT2,1,0.865
2013,NUTS,2010,AT2,1,0.8634
2017,NUTS,2010,AT2,1,0.9788
2019,NUTS,2010,AT2,1,1.0734
2011,NUTS,2010,AT21,2,0.2815
2013,NUTS,2010,AT21,2,0.2742
2015,NUTS,2010,AT21,2,0.2573
2017,NUTS,2010,AT21,2,0.2838
2019,NUTS,2010,AT21,2,0.3228
2011,NUTS,2010,AT22,2,1.1214
2013,NUTS,2010,AT22,2,1.123
2015,NUTS,2010,AT22,2,1.317
2017,NUTS,2010,AT22,2,1.2804
2019,NUTS,2010,AT22,2,1.3968
2011,NUTS,2010,AT3,1,0.5276
2013,NUTS,2010,AT3,1,0.5407
2019,NUTS,2010,AT3,1,0.6327
2011,NUTS,2010,AT31,2,0.3341
2013,NUTS,2010,AT31,2,0.3237
2015,NUTS,2010,AT31,2,0.3483
2017,NUTS,2010,AT31,2,0.3496
2019,NUTS,2010,AT31,2,0.3777
2011,NUTS,2010,AT32,2,0.6397
2013,NUTS,2010,AT32,2,0.6691
2015,NUTS,2010,AT32,2,0.7991
2017,NUTS,2010,AT32,2,0.8294
2019,NUTS,2010,AT32,2,0.8564
2011,NUTS,2010,AT33,2,1.0814
2013,NUTS,2010,AT33,2,1.1203
2015,NUTS,2010,AT33,2,1.1444
2017,NUTS,2010,AT33,2,1.1887
2019,NUTS,2010,AT33,2,1.2608
2011,NUTS,2010,AT34,2,0.038
2013,NUTS,2010,AT34,2,0.0422
2019,NUTS,2010,AT34,2,0.0677
2011,NUTS,2010,BE,0,0.7014
2012,NUTS,2010,BE,0,0.7019
2013,NUTS,2010,BE,0,0.7152
2014,NUTS,2010,BE,0,0.7778
2015,NUTS,2010,BE,0,0.7092
2016,NUTS,2010,BE,0,0.7163
2017,NUTS,2010,BE,0,0.7079
2018,NUTS,2010,BE,0,0.7429
2019,NUTS,2010,BE,0,0.7257
2011,NUTS,2010,BE1,1,1.7036
2012,NUTS,2010,BE1,1,1.6563
2013,NUTS,2010,BE1,1,1.7293
2014,NUTS,2010,BE1,1,1.8307
2015,NUTS,2010,BE1,1,1.5375
2016,NUTS,2010,BE1,1,1.5047
2017,NUTS,2010,BE1,1,1.4128
2018,NUTS,2010,BE1,1,1.6027
2019,NUTS,2010,BE1,1,1.4588
2011,NUTS,2010,BE10,2,1.7036
2012,NUTS,2010,BE10,2,1.6563
2013,NUTS,2010,BE10,2,1.7293
2014,NUTS,2010,BE10,2,1.8307
2015,NUTS,2010,BE10,2,1.5375
2016,NUTS,2010,BE10,2,1.5047
2017,NUTS,2010,BE10,2,1.4128
2018,NUTS,2010,BE10,2,1.6027
2019,NUTS,2010,BE10,2,1.4588
2011,NUTS,2010,BE2,1,0.6141
2012,NUTS,2010,BE2,1,0.6243
2013,NUTS,2010,BE2,1,0.6385
2014,NUTS,2010,BE2,1,0.6878
2015,NUTS,2010,BE2,1,0.6924
2016,NUTS,2010,BE2,1,0.6829
2017,NUTS,2010,BE2,1,0.6796
2018,NUTS,2010,BE2,1,0.6964
2019,NUTS,2010,BE2,1,0.6964
2011,NUTS,2010,BE3,1,0.5514
2012,NUTS,2010,BE3,1,0.5397
2013,NUTS,2010,BE3,1,0.5379
2014,NUTS,2010,BE3,1,0.5984
2015,NUTS,2010,BE3,1,0.4458
2016,NUTS,2010,BE3,1,0.5006
2017,NUTS,2010,BE3,1,0.5047
2018,NUTS,2010,BE3,1,0.5213
2019,NUTS,2010,BE3,1,0.5094
2011,NUTS,2010,BG,0,0.244
2012,NUTS,2010,BG,0,0.2512
2013,NUTS,2010,BG,0,0.2555
2014,NUTS,2010,BG,0,0.2946
2015,NUTS,2010,BG,0,0.2693
2016,NUTS,2010,BG,0,0.3024
2017,NUTS,2010,BG,0,0.2613
2018,NUTS,2010,BG,0,0.2794
2019,NUTS,2010,BG,0,0.2639
2011,NUTS,2010,BG3,1,0.1933
2012,NUTS,2010,BG3,1,0.2213
2013,NUTS,2010,BG3,1,0.2235
2014,NUTS,2010,BG3,1,0.2847
2017,NUTS,2010,BG3,1,0.2341
2019,NUTS,2010,BG3,1,0.2331
2011,NUTS,2010,BG32,2,0.3387
2012,NUTS,2010,BG32,2,0.338
2013,NUTS,2010,BG32,2,0.3231
2014,NUTS,2010,BG32,2,0.4243
2015,NUTS,2010,BG32,2,0.4142
2016,NUTS,2010,BG32,2,0.3112
2017,NUTS,2010,BG32,2,0.3142
2018,NUTS,2010,BG32,2,0.3249
2019,NUTS,2010,BG32,2,0.258
2011,NUTS,2010,BG33,2,0.2843
2012,NUTS,2010,BG33,2,0.3292
2013,NUTS,2010,BG33,2,0.354
2014,NUTS,2010,BG33,2,0.4695
2015,NUTS,2010,BG33,2,0.4177
2015,NUTS,2010,BG34,2,0.1472
2016,NUTS,2010,BG34,2,0.1588
2017,NUTS,2010,BG34,2,0.1408
2011,NUTS,2010,BG4,1,0.2776
2012,NUTS,2010,BG4,1,0.2651
2013,NUTS,2010,BG4,1,0.2697
2014,NUTS,2010,BG4,1,0.2858
2017,NUTS,2010,BG4,1,0.2667
2019,NUTS,2010,BG4,1,0.2697
2013,NUTS,2010,BG41,2,0.3432
2014,NUTS,2010,BG41,2,0.3625
2015,NUTS,2010,BG41,2,0.3241
2016,NUTS,2010,BG41,2,0.4524
2017,NUTS,2010,BG41,2,0.333
2018,NUTS,2010,BG41,2,0.351
2019,NUTS,2010,BG41,2,0.2832
2013,NUTS,2010,BG42,2,0.1478
2014,NUTS,2010,BG42,2,0.1609
2017,NUTS,2010,BG42,2,0.1581
2019,NUTS,2010,BG42,2,0.2472
2012,NUTS,2010,CH,0,0.9823
2015,NUTS,2010,CH,0,1.0508
2017,NUTS,2010,CH,0,1.0656
2019,NUTS,2010,CH,0,1.1171
2011,NUTS,2010,CY,0,0.3264
