year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_total_pc_act_fte_t
2011,NUTS,2010,AT,0,1.4596
2012,NUTS,2010,AT,0,1.5362
2013,NUTS,2010,AT,0,1.5468
2014,NUTS,2010,AT,0,1.6323
2015,NUTS,2010,AT,0,1.6458
2016,NUTS,2010,AT,0,1.6956
2017,NUTS,2010,AT,0,1.7073
2018,NUTS,2010,AT,0,1.7909
2019,NUTS,2010,AT,0,1.8591
2020,NUTS,2010,AT,0,1.8359
2011,NUTS,2010,AT1,1,1.481
2013,NUTS,2010,AT1,1,1.4653
2015,NUTS,2010,AT1,1,1.5188
2017,NUTS,2010,AT1,1,1.5667
2019,NUTS,2010,AT1,1,1.7045
2011,NUTS,2010,AT11,2,0.4121
2013,NUTS,2010,AT11,2,0.4754
2015,NUTS,2010,AT11,2,0.5143
2017,NUTS,2010,AT11,2,0.5279
2019,NUTS,2010,AT11,2,0.5566
2011,NUTS,2010,AT12,2,0.6514
2013,NUTS,2010,AT12,2,0.7104
2015,NUTS,2010,AT12,2,0.7942
2017,NUTS,2010,AT12,2,0.8617
2019,NUTS,2010,AT12,2,0.9936
2011,NUTS,2010,AT13,2,2.4648
2013,NUTS,2010,AT13,2,2.3319
2015,NUTS,2010,AT13,2,2.3522
2017,NUTS,2010,AT13,2,2.3709
2019,NUTS,2010,AT13,2,2.5045
2011,NUTS,2010,AT2,1,1.7363
2013,NUTS,2010,AT2,1,1.9075
2015,NUTS,2010,AT2,1,2.0844
2017,NUTS,2010,AT2,1,2.1938
2019,NUTS,2010,AT2,1,2.388
2011,NUTS,2010,AT21,2,1.1375
2013,NUTS,2010,AT21,2,1.1708
2015,NUTS,2010,AT21,2,1.2145
2017,NUTS,2010,AT21,2,1.2435
2019,NUTS,2010,AT21,2,1.388
2011,NUTS,2010,AT22,2,2.0011
2013,NUTS,2010,AT22,2,2.2347
2015,NUTS,2010,AT22,2,2.4693
2017,NUTS,2010,AT22,2,2.607
2019,NUTS,2010,AT22,2,2.8209
2011,NUTS,2010,AT3,1,1.2304
2013,NUTS,2010,AT3,1,1.3867
2015,NUTS,2010,AT3,1,1.4912
2017,NUTS,2010,AT3,1,1.5513
2019,NUTS,2010,AT3,1,1.688
2011,NUTS,2010,AT31,2,1.358
2013,NUTS,2010,AT31,2,1.5878
2015,NUTS,2010,AT31,2,1.7113
2017,NUTS,2010,AT31,2,1.7526
2019,NUTS,2010,AT31,2,1.9344
2011,NUTS,2010,AT32,2,0.9225
2013,NUTS,2010,AT32,2,1.0591
2015,NUTS,2010,AT32,2,1.1486
2017,NUTS,2010,AT32,2,1.2676
2019,NUTS,2010,AT32,2,1.3875
2011,NUTS,2010,AT33,2,1.3669
2013,NUTS,2010,AT33,2,1.4218
2015,NUTS,2010,AT33,2,1.4726
2017,NUTS,2010,AT33,2,1.5484
2019,NUTS,2010,AT33,2,1.6147
2011,NUTS,2010,AT34,2,0.9231
2013,NUTS,2010,AT34,2,1.0169
2015,NUTS,2010,AT34,2,1.1715
2017,NUTS,2010,AT34,2,1.2025
2019,NUTS,2010,AT34,2,1.33
2011,NUTS,2010,BE,0,1.3049
2012,NUTS,2010,BE,0,1.381
2013,NUTS,2010,BE,0,1.3837
2014,NUTS,2010,BE,0,1.4775
2015,NUTS,2010,BE,0,1.5727
2016,NUTS,2010,BE,0,1.5944
2017,NUTS,2010,BE,0,1.6725
2018,NUTS,2010,BE,0,1.7705
2019,NUTS,2010,BE,0,1.8527
2020,NUTS,2010,BE,0,2.0548
2011,NUTS,2010,BE1,1,1.7581
2013,NUTS,2010,BE1,1,2.0343
2014,NUTS,2010,BE1,1,2.1027
2015,NUTS,2010,BE1,1,2.3059
2016,NUTS,2010,BE1,1,2.393
2017,NUTS,2010,BE1,1,2.4888
2018,NUTS,2010,BE1,1,2.9895
2019,NUTS,2010,BE1,1,3.0861
2011,NUTS,2010,BE10,2,1.7581
2013,NUTS,2010,BE10,2,2.0343
2014,NUTS,2010,BE10,2,2.1027
2015,NUTS,2010,BE10,2,2.3059
2016,NUTS,2010,BE10,2,2.393
2017,NUTS,2010,BE10,2,2.4888
2018,NUTS,2010,BE10,2,2.9895
2019,NUTS,2010,BE10,2,3.0861
2011,NUTS,2010,BE2,1,1.3603
2013,NUTS,2010,BE2,1,1.4291
2014,NUTS,2010,BE2,1,1.5163
2015,NUTS,2010,BE2,1,1.5671
2016,NUTS,2010,BE2,1,1.6322
2017,NUTS,2010,BE2,1,1.7172
2018,NUTS,2010,BE2,1,1.7983
2019,NUTS,2010,BE2,1,1.9326
2011,NUTS,2010,BE21,2,1.4187
2013,NUTS,2010,BE21,2,1.361
2014,NUTS,2010,BE21,2,1.494
2015,NUTS,2010,BE21,2,1.5478
2011,NUTS,2010,BE22,2,0.6027
2013,NUTS,2010,BE22,2,0.6994
2014,NUTS,2010,BE22,2,0.8006
2015,NUTS,2010,BE22,2,0.8279
2011,NUTS,2010,BE23,2,1.4955
2013,NUTS,2010,BE23,2,1.6081
2014,NUTS,2010,BE23,2,1.7206
2015,NUTS,2010,BE23,2,1.7556
2011,NUTS,2010,BE24,2,2.4079
2013,NUTS,2010,BE24,2,2.4969
2014,NUTS,2010,BE24,2,2.6073
2015,NUTS,2010,BE24,2,2.6814
2011,NUTS,2010,BE25,2,0.6588
2013,NUTS,2010,BE25,2,0.8038
2014,NUTS,2010,BE25,2,0.7557
2015,NUTS,2010,BE25,2,0.8162
2011,NUTS,2010,BE3,1,1.0121
2013,NUTS,2010,BE3,1,1.0403
2014,NUTS,2010,BE3,1,1.1452
2015,NUTS,2010,BE3,1,1.2819
2016,NUTS,2010,BE3,1,1.192
2017,NUTS,2010,BE3,1,1.2417
2018,NUTS,2010,BE3,1,1.2191
2019,NUTS,2010,BE3,1,1.1767
2011,NUTS,2010,BE31,2,3.1329
2013,NUTS,2010,BE31,2,4.0103
2014,NUTS,2010,BE31,2,4.0018
2015,NUTS,2010,BE31,2,3.9682
2011,NUTS,2010,BE32,2,0.6616
2013,NUTS,2010,BE32,2,0.5592
2014,NUTS,2010,BE32,2,0.6496
2015,NUTS,2010,BE32,2,0.829
2011,NUTS,2010,BE33,2,0.9896
2013,NUTS,2010,BE33,2,0.9548
2014,NUTS,2010,BE33,2,1.0872
2015,NUTS,2010,BE33,2,1.193
2011,NUTS,2010,BE34,2,0.2248
2013,NUTS,2010,BE34,2,0.1526
2014,NUTS,2010,BE34,2,0.171
2015,NUTS,2010,BE34,2,0.1803
2011,NUTS,2010,BE35,2,0.6714
2013,NUTS,2010,BE35,2,0.4999
2014,NUTS,2010,BE35,2,0.7102
2015,NUTS,2010,BE35,2,1.0172
2011,NUTS,2010,BG,0,0.5155
2012,NUTS,2010,BG,0,0.5083
2013,NUTS,2010,BG,0,0.5291
2014,NUTS,2010,BG,0,0.5854
2015,NUTS,2010,BG,0,0.6876
2016,NUTS,2010,BG,0,0.7844
2017,NUTS,2010,BG,0,0.7118
2018,NUTS,2010,BG,0,0.7978
2019,NUTS,2010,BG,0,0.8071
2020,NUTS,2010,BG,0,0.8187
2011,NUTS,2010,BG3,1,0.2418
2012,NUTS,2010,BG3,1,0.2506
2013,NUTS,2010,BG3,1,0.2666
2014,NUTS,2010,BG3,1,0.3094
2015,NUTS,2010,BG3,1,0.3807
2016,NUTS,2010,BG3,1,0.3861
