year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_bes_t_hc_total
1998,NUTS,2010,AT,0,24940.0
2002,NUTS,2010,AT,0,34020.0
2004,NUTS,2010,AT,0,38737.0
2006,NUTS,2010,AT,0,45336.0
2007,NUTS,2010,AT,0,48352.0
2009,NUTS,2010,AT,0,50668.0
2011,NUTS,2010,AT,0,58643.0
2013,NUTS,2010,AT,0,65320.0
2015,NUTS,2010,AT,0,71008.0
2017,NUTS,2010,AT,0,71327.0
2019,NUTS,2010,AT,0,79274.0
2002,NUTS,2010,AT1,1,15261.0
2004,NUTS,2010,AT1,1,16812.0
2006,NUTS,2010,AT1,1,19268.0
2007,NUTS,2010,AT1,1,20191.0
2009,NUTS,2010,AT1,1,19726.0
2011,NUTS,2010,AT1,1,22352.0
2013,NUTS,2010,AT1,1,23501.0
2015,NUTS,2010,AT1,1,25009.0
2017,NUTS,2010,AT1,1,23452.0
2019,NUTS,2010,AT1,1,26758.0
2002,NUTS,2010,AT11,2,359.0
2004,NUTS,2010,AT11,2,395.0
2006,NUTS,2010,AT11,2,396.0
2007,NUTS,2010,AT11,2,490.0
2009,NUTS,2010,AT11,2,654.0
2011,NUTS,2010,AT11,2,846.0
2013,NUTS,2010,AT11,2,972.0
2015,NUTS,2010,AT11,2,1038.0
2017,NUTS,2010,AT11,2,1093.0
2019,NUTS,2010,AT11,2,1130.0
2002,NUTS,2010,AT12,2,3603.0
2004,NUTS,2010,AT12,2,4091.0
2006,NUTS,2010,AT12,2,4957.0
2007,NUTS,2010,AT12,2,5149.0
2009,NUTS,2010,AT12,2,5837.0
2011,NUTS,2010,AT12,2,6745.0
2013,NUTS,2010,AT12,2,7321.0
2015,NUTS,2010,AT12,2,8075.0
2017,NUTS,2010,AT12,2,8053.0
2019,NUTS,2010,AT12,2,8932.0
2002,NUTS,2010,AT13,2,11299.0
2004,NUTS,2010,AT13,2,12326.0
2006,NUTS,2010,AT13,2,13915.0
2007,NUTS,2010,AT13,2,14552.0
2009,NUTS,2010,AT13,2,13235.0
2011,NUTS,2010,AT13,2,14761.0
2013,NUTS,2010,AT13,2,15208.0
2015,NUTS,2010,AT13,2,15896.0
2017,NUTS,2010,AT13,2,14306.0
2019,NUTS,2010,AT13,2,16696.0
2002,NUTS,2010,AT2,1,8014.0
2004,NUTS,2010,AT2,1,9221.0
2006,NUTS,2010,AT2,1,10994.0
2007,NUTS,2010,AT2,1,11925.0
2009,NUTS,2010,AT2,1,12650.0
2011,NUTS,2010,AT2,1,15365.0
2013,NUTS,2010,AT2,1,18015.0
2015,NUTS,2010,AT2,1,19726.0
