year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_fte_t
2017,NUTS,2010,AT34,2,1401.0
2019,NUTS,2010,AT34,2,1512.0
2011,NUTS,2010,ATZ,1,0.0
2013,NUTS,2010,ATZ,1,0.0
2011,NUTS,2010,ATZZ,2,0.0
2013,NUTS,2010,ATZZ,2,0.0
2012,NUTS,2010,BA,0,577.0
2013,NUTS,2010,BA,0,829.0
2014,NUTS,2010,BA,0,1018.0
2019,NUTS,2010,BA,0,1519.0
2011,NUTS,2010,BE,0,42686.0
2012,NUTS,2010,BE,0,45597.0
2013,NUTS,2010,BE,0,46355.0
2014,NUTS,2010,BE,0,50820.0
2015,NUTS,2010,BE,0,53178.0
2016,NUTS,2010,BE,0,51622.0
2017,NUTS,2010,BE,0,54010.0
2018,NUTS,2010,BE,0,57456.0
2019,NUTS,2010,BE,0,60619.0
2020,NUTS,2010,BE,0,66642.0
2011,NUTS,2010,BE1,1,6309.0
2013,NUTS,2010,BE1,1,7699.0
2014,NUTS,2010,BE1,1,7978.0
2015,NUTS,2010,BE1,1,8752.0
2017,NUTS,2010,BE1,1,9669.0
2019,NUTS,2010,BE1,1,10880.0
2011,NUTS,2010,BE10,2,6309.0
2013,NUTS,2010,BE10,2,7699.0
2014,NUTS,2010,BE10,2,7978.0
2015,NUTS,2010,BE10,2,8752.0
2017,NUTS,2010,BE10,2,9669.0
2019,NUTS,2010,BE10,2,10880.0
2011,NUTS,2010,BE2,1,26708.0
2013,NUTS,2010,BE2,1,28488.0
2014,NUTS,2010,BE2,1,30729.0
2015,NUTS,2010,BE2,1,31772.0
2017,NUTS,2010,BE2,1,32372.0
2019,NUTS,2010,BE2,1,37867.0
2011,NUTS,2010,BE21,2,7710.0
2013,NUTS,2010,BE21,2,7549.0
2014,NUTS,2010,BE21,2,8109.0
2015,NUTS,2010,BE21,2,8447.0
2011,NUTS,2010,BE22,2,1437.0
2013,NUTS,2010,BE22,2,1671.0
2014,NUTS,2010,BE22,2,2064.0
2015,NUTS,2010,BE22,2,2113.0
2011,NUTS,2010,BE23,2,6794.0
2013,NUTS,2010,BE23,2,7466.0
2014,NUTS,2010,BE23,2,8400.0
2015,NUTS,2010,BE23,2,8537.0
2011,NUTS,2010,BE24,2,8918.0
2013,NUTS,2010,BE24,2,9171.0
2014,NUTS,2010,BE24,2,9600.0
2015,NUTS,2010,BE24,2,9965.0
2011,NUTS,2010,BE25,2,1849.0
2013,NUTS,2010,BE25,2,2631.0
2014,NUTS,2010,BE25,2,2556.0
2015,NUTS,2010,BE25,2,2710.0
2011,NUTS,2010,BE3,1,9669.0
2013,NUTS,2010,BE3,1,10169.0
2014,NUTS,2010,BE3,1,12112.0
2015,NUTS,2010,BE3,1,12655.0
2017,NUTS,2010,BE3,1,11969.0
2019,NUTS,2010,BE3,1,11871.0
2011,NUTS,2010,BE31,2,3367.0
2013,NUTS,2010,BE31,2,4479.0
2014,NUTS,2010,BE31,2,5018.0
2015,NUTS,2010,BE31,2,4578.0
2011,NUTS,2010,BE32,2,2331.0
2013,NUTS,2010,BE32,2,1988.0
2014,NUTS,2010,BE32,2,2500.0
