year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_total_f_pc_emp_fte
2013,NUTS,2010,SE,0,0.0076
2015,NUTS,2010,SE,0,0.0043
2017,NUTS,2010,SE,0,0.0035
2011,NUTS,2010,SI,0,0.0022
2012,NUTS,2010,SI,0,0.0012
2013,NUTS,2010,SI,0,0.0012
2014,NUTS,2010,SI,0,0.0002
2015,NUTS,2010,SI,0,0.0005
2016,NUTS,2010,SI,0,0.0002
2017,NUTS,2010,SI,0,0.0041
2018,NUTS,2010,SI,0,0.0066
2019,NUTS,2010,SI,0,0.0133
2011,NUTS,2010,SK,0,0.0023
2012,NUTS,2010,SK,0,0.002
2013,NUTS,2010,SK,0,0.0013
2014,NUTS,2010,SK,0,0.0008
2015,NUTS,2010,SK,0,0.0016
2016,NUTS,2010,SK,0,0.002
2017,NUTS,2010,SK,0,0.0019
2018,NUTS,2010,SK,0,0.0013
2019,NUTS,2010,SK,0,0.0003
2020,NUTS,2010,SK,0,0.0004
