year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_f_pc_emp_hc
2011,NUTS,2010,AT31,2,0.3938
2013,NUTS,2010,AT31,2,0.4746
2015,NUTS,2010,AT31,2,0.5231
2017,NUTS,2010,AT31,2,0.5688
2019,NUTS,2010,AT31,2,0.6523
2011,NUTS,2010,AT32,2,0.7409
2013,NUTS,2010,AT32,2,0.8846
2015,NUTS,2010,AT32,2,1.0456
2017,NUTS,2010,AT32,2,1.1743
2019,NUTS,2010,AT32,2,1.2082
2011,NUTS,2010,AT33,2,1.1467
2013,NUTS,2010,AT33,2,1.306
2015,NUTS,2010,AT33,2,1.3626
2017,NUTS,2010,AT33,2,1.5618
2019,NUTS,2010,AT33,2,1.538
2011,NUTS,2010,AT34,2,0.1521
2013,NUTS,2010,AT34,2,0.2058
2015,NUTS,2010,AT34,2,0.2197
2017,NUTS,2010,AT34,2,0.2742
2019,NUTS,2010,AT34,2,0.2837
2011,NUTS,2010,BE,0,1.0389
2013,NUTS,2010,BE,0,1.0792
2015,NUTS,2010,BE,0,1.1964
2017,NUTS,2010,BE,0,1.2919
2019,NUTS,2010,BE,0,1.3333
2011,NUTS,2010,BE1,1,0.6797
2013,NUTS,2010,BE1,1,2.3534
2015,NUTS,2010,BE1,1,2.5448
2017,NUTS,2010,BE1,1,2.6191
2019,NUTS,2010,BE1,1,2.9854
2011,NUTS,2010,BE10,2,0.6797
2013,NUTS,2010,BE10,2,2.3534
2015,NUTS,2010,BE10,2,2.5448
2017,NUTS,2010,BE10,2,2.6191
2019,NUTS,2010,BE10,2,2.9854
2011,NUTS,2010,BE2,1,0.3862
2013,NUTS,2010,BE2,1,0.9982
2015,NUTS,2010,BE2,1,1.0849
2017,NUTS,2010,BE2,1,1.1485
2019,NUTS,2010,BE2,1,1.2713
2011,NUTS,2010,BE21,2,0.5629
2013,NUTS,2010,BE21,2,0.9796
2015,NUTS,2010,BE21,2,1.048
2011,NUTS,2010,BE22,2,0.1485
2013,NUTS,2010,BE22,2,0.4447
2015,NUTS,2010,BE22,2,0.4799
2011,NUTS,2010,BE23,2,0.3432
2013,NUTS,2010,BE23,2,1.2508
2015,NUTS,2010,BE23,2,1.3731
2011,NUTS,2010,BE24,2,0.6087
2013,NUTS,2010,BE24,2,1.8402
2015,NUTS,2010,BE24,2,2.0125
2011,NUTS,2010,BE25,2,0.1459
2013,NUTS,2010,BE25,2,0.27
2015,NUTS,2010,BE25,2,0.2897
2011,NUTS,2010,BE3,1,0.4068
2013,NUTS,2010,BE3,1,0.8254
2015,NUTS,2010,BE3,1,0.9683
2017,NUTS,2010,BE3,1,1.1267
2019,NUTS,2010,BE3,1,0.8893
2011,NUTS,2010,BE31,2,1.8457
2013,NUTS,2010,BE31,2,2.6926
2015,NUTS,2010,BE31,2,3.0582
2011,NUTS,2010,BE32,2,0.2516
2013,NUTS,2010,BE32,2,0.3885
2015,NUTS,2010,BE32,2,0.6368
2011,NUTS,2010,BE33,2,0.1742
2013,NUTS,2010,BE33,2,0.8933
2015,NUTS,2010,BE33,2,0.8733
2011,NUTS,2010,BE34,2,0.1159
2013,NUTS,2010,BE34,2,0.0814
2015,NUTS,2010,BE34,2,0.1213
2011,NUTS,2010,BE35,2,0.2056
2013,NUTS,2010,BE35,2,0.5444
2015,NUTS,2010,BE35,2,0.6259
2011,NUTS,2010,BG,0,0.5322
2012,NUTS,2010,BG,0,0.5456
2013,NUTS,2010,BG,0,0.5925
2014,NUTS,2010,BG,0,0.6455
2015,NUTS,2010,BG,0,0.6706
2016,NUTS,2010,BG,0,0.7578
2017,NUTS,2010,BG,0,0.7026
2018,NUTS,2010,BG,0,0.74
2019,NUTS,2010,BG,0,0.7479
2011,NUTS,2010,BG3,1,0.2584
2012,NUTS,2010,BG3,1,0.3054
2013,NUTS,2010,BG3,1,0.3346
2014,NUTS,2010,BG3,1,0.3991
2015,NUTS,2010,BG3,1,0.4488
2016,NUTS,2010,BG3,1,0.4001
2017,NUTS,2010,BG3,1,0.4087
2018,NUTS,2010,BG3,1,0.4358
2019,NUTS,2010,BG3,1,0.4466
2011,NUTS,2010,BG31,2,0.0806
2012,NUTS,2010,BG31,2,0.1668
2013,NUTS,2010,BG31,2,0.1579
2014,NUTS,2010,BG31,2,0.1308
2015,NUTS,2010,BG31,2,0.2147
2016,NUTS,2010,BG31,2,0.2537
2017,NUTS,2010,BG31,2,0.2547
2018,NUTS,2010,BG31,2,0.2627
2019,NUTS,2010,BG31,2,0.2785
2011,NUTS,2010,BG32,2,0.3442
2012,NUTS,2010,BG32,2,0.3547
2013,NUTS,2010,BG32,2,0.4054
2014,NUTS,2010,BG32,2,0.4798
2015,NUTS,2010,BG32,2,0.5563
2016,NUTS,2010,BG32,2,0.4011
2017,NUTS,2010,BG32,2,0.454
2018,NUTS,2010,BG32,2,0.5112
2019,NUTS,2010,BG32,2,0.4385
2011,NUTS,2010,BG33,2,0.384
2012,NUTS,2010,BG33,2,0.4553
2013,NUTS,2010,BG33,2,0.5165
2014,NUTS,2010,BG33,2,0.6715
2015,NUTS,2010,BG33,2,0.7022
2016,NUTS,2010,BG33,2,0.6488
2017,NUTS,2010,BG33,2,0.6394
2018,NUTS,2010,BG33,2,0.6944
2019,NUTS,2010,BG33,2,0.721
2011,NUTS,2010,BG34,2,0.2082
2012,NUTS,2010,BG34,2,0.2337
2013,NUTS,2010,BG34,2,0.2416
2014,NUTS,2010,BG34,2,0.2675
2015,NUTS,2010,BG34,2,0.2829
2016,NUTS,2010,BG34,2,0.2619
2017,NUTS,2010,BG34,2,0.2592
2018,NUTS,2010,BG34,2,0.2619
2019,NUTS,2010,BG34,2,0.3142
2011,NUTS,2010,BG4,1,0.7471
2012,NUTS,2010,BG4,1,0.7277
2013,NUTS,2010,BG4,1,0.7813
2014,NUTS,2010,BG4,1,0.8193
2015,NUTS,2010,BG4,1,0.8232
2016,NUTS,2010,BG4,1,1.0189
2017,NUTS,2010,BG4,1,0.902
2018,NUTS,2010,BG4,1,0.942
2019,NUTS,2010,BG4,1,0.9445
2011,NUTS,2010,BG41,2,1.0254
2012,NUTS,2010,BG41,2,1.0233
2013,NUTS,2010,BG41,2,1.096
2014,NUTS,2010,BG41,2,1.1398
2015,NUTS,2010,BG41,2,1.117
2016,NUTS,2010,BG41,2,1.4195
2017,NUTS,2010,BG41,2,1.2177
2018,NUTS,2010,BG41,2,1.2426
2019,NUTS,2010,BG41,2,1.2029
2011,NUTS,2010,BG42,2,0.2425
2012,NUTS,2010,BG42,2,0.2171
2013,NUTS,2010,BG42,2,0.2527
2014,NUTS,2010,BG42,2,0.2728
2015,NUTS,2010,BG42,2,0.3012
2016,NUTS,2010,BG42,2,0.3078
2017,NUTS,2010,BG42,2,0.3599
2018,NUTS,2010,BG42,2,0.411
2019,NUTS,2010,BG42,2,0.4963
2012,NUTS,2010,CH,0,1.0046
2015,NUTS,2010,CH,0,1.1637
2017,NUTS,2010,CH,0,1.2126
2019,NUTS,2010,CH,0,1.3054
2011,NUTS,2010,CY,0,0.3849
2012,NUTS,2010,CY,0,0.3967
2013,NUTS,2010,CY,0,0.4936
2014,NUTS,2010,CY,0,0.4693
2015,NUTS,2010,CY,0,0.4674
2016,NUTS,2010,CY,0,0.4721
2017,NUTS,2010,CY,0,0.5011
2018,NUTS,2010,CY,0,0.5261
2019,NUTS,2010,CY,0,0.5661
2011,NUTS,2010,CZ,0,0.6267
2012,NUTS,2010,CZ,0,0.6302
2013,NUTS,2010,CZ,0,0.6909
2014,NUTS,2010,CZ,0,0.6988
2015,NUTS,2010,CZ,0,0.7064
2016,NUTS,2010,CZ,0,0.6775
2017,NUTS,2010,CZ,0,0.711
2018,NUTS,2010,CZ,0,0.7204
2019,NUTS,2010,CZ,0,0.7567
2020,NUTS,2010,CZ,0,0.8014
2011,NUTS,2010,CZ0,1,0.6174
2012,NUTS,2010,CZ0,1,0.6205
2013,NUTS,2010,CZ0,1,0.6784
2014,NUTS,2010,CZ0,1,0.6867
2015,NUTS,2010,CZ0,1,0.6918
2016,NUTS,2010,CZ0,1,0.6619
2017,NUTS,2010,CZ0,1,0.6941
2018,NUTS,2010,CZ0,1,0.7013
2019,NUTS,2010,CZ0,1,0.736
2020,NUTS,2010,CZ0,1,0.78
2011,NUTS,2010,CZ01,2,2.1652
2012,NUTS,2010,CZ01,2,2.1102
2013,NUTS,2010,CZ01,2,2.3142
2014,NUTS,2010,CZ01,2,2.2533
2015,NUTS,2010,CZ01,2,2.1945
2016,NUTS,2010,CZ01,2,2.1586
2017,NUTS,2010,CZ01,2,2.3058
2018,NUTS,2010,CZ01,2,2.264
2019,NUTS,2010,CZ01,2,2.2724
2020,NUTS,2010,CZ01,2,2.3871
2011,NUTS,2010,CZ02,2,0.2569
2012,NUTS,2010,CZ02,2,0.2375
2013,NUTS,2010,CZ02,2,0.2182
2014,NUTS,2010,CZ02,2,0.2179
2015,NUTS,2010,CZ02,2,0.3013
2016,NUTS,2010,CZ02,2,0.2454
2017,NUTS,2010,CZ02,2,0.2685
2018,NUTS,2010,CZ02,2,0.28
2019,NUTS,2010,CZ02,2,0.2887
2020,NUTS,2010,CZ02,2,0.2925
2011,NUTS,2010,CZ03,2,0.3816
2012,NUTS,2010,CZ03,2,0.3511
2013,NUTS,2010,CZ03,2,0.4032
2014,NUTS,2010,CZ03,2,0.4681
2015,NUTS,2010,CZ03,2,0.4227
2016,NUTS,2010,CZ03,2,0.4491
2017,NUTS,2010,CZ03,2,0.4548
2018,NUTS,2010,CZ03,2,0.4665
2019,NUTS,2010,CZ03,2,0.4947
2020,NUTS,2010,CZ03,2,0.5053
2011,NUTS,2010,CZ04,2,0.0914
2012,NUTS,2010,CZ04,2,0.0957
2013,NUTS,2010,CZ04,2,0.1256
2014,NUTS,2010,CZ04,2,0.1206
2015,NUTS,2010,CZ04,2,0.1171
2016,NUTS,2010,CZ04,2,0.1155
2017,NUTS,2010,CZ04,2,0.1275
2018,NUTS,2010,CZ04,2,0.1342
2019,NUTS,2010,CZ04,2,0.1262
2020,NUTS,2010,CZ04,2,0.1468
2011,NUTS,2010,CZ05,2,0.3428
2012,NUTS,2010,CZ05,2,0.3476
2013,NUTS,2010,CZ05,2,0.378
2014,NUTS,2010,CZ05,2,0.3746
2015,NUTS,2010,CZ05,2,0.3838
2016,NUTS,2010,CZ05,2,0.3783
2017,NUTS,2010,CZ05,2,0.4023
2018,NUTS,2010,CZ05,2,0.3978
2019,NUTS,2010,CZ05,2,0.4365
2020,NUTS,2010,CZ05,2,0.4614
2011,NUTS,2010,CZ06,2,0.7539
2012,NUTS,2010,CZ06,2,0.7249
2013,NUTS,2010,CZ06,2,0.811
2014,NUTS,2010,CZ06,2,0.8764
2015,NUTS,2010,CZ06,2,0.8885
2016,NUTS,2010,CZ06,2,0.7896
2017,NUTS,2010,CZ06,2,0.8374
2018,NUTS,2010,CZ06,2,0.8558
2019,NUTS,2010,CZ06,2,0.8976
2020,NUTS,2010,CZ06,2,0.9797
2011,NUTS,2010,CZ07,2,0.2994
2012,NUTS,2010,CZ07,2,0.4017
2013,NUTS,2010,CZ07,2,0.4567
2014,NUTS,2010,CZ07,2,0.47
2015,NUTS,2010,CZ07,2,0.5127
2016,NUTS,2010,CZ07,2,0.4786
2017,NUTS,2010,CZ07,2,0.4274
2018,NUTS,2010,CZ07,2,0.4507
2019,NUTS,2010,CZ07,2,0.5813
2020,NUTS,2010,CZ07,2,0.6042
2011,NUTS,2010,CZ08,2,0.3762
2012,NUTS,2010,CZ08,2,0.4128
2013,NUTS,2010,CZ08,2,0.4226
2014,NUTS,2010,CZ08,2,0.4051
2015,NUTS,2010,CZ08,2,0.4389
2016,NUTS,2010,CZ08,2,0.4367
2017,NUTS,2010,CZ08,2,0.4352
2018,NUTS,2010,CZ08,2,0.4493
2019,NUTS,2010,CZ08,2,0.4673
2020,NUTS,2010,CZ08,2,0.4978
2011,NUTS,2010,DE,0,0.8005
2013,NUTS,2010,DE,0,0.8616
2015,NUTS,2010,DE,0,0.9053
2017,NUTS,2010,DE,0,0.93
2019,NUTS,2010,DE,0,0.9853
2011,NUTS,2010,DK,0,1.526
2012,NUTS,2010,DK,0,1.6601
2013,NUTS,2010,DK,0,1.6248
2015,NUTS,2010,DK,0,1.6507
2017,NUTS,2010,DK,0,1.6723
2019,NUTS,2010,DK,0,1.6474
2011,NUTS,2010,DK0,1,1.4931
2012,NUTS,2010,DK0,1,1.6255
2013,NUTS,2010,DK0,1,1.6526
2015,NUTS,2010,DK0,1,1.6171
2017,NUTS,2010,DK0,1,1.6353
2019,NUTS,2010,DK0,1,1.6122
2011,NUTS,2010,DK01,2,2.8283
2013,NUTS,2010,DK01,2,2.9171
2015,NUTS,2010,DK01,2,2.8283
2017,NUTS,2010,DK01,2,2.9989
2019,NUTS,2010,DK01,2,2.8145
2011,NUTS,2010,DK02,2,0.5616
2013,NUTS,2010,DK02,2,0.6566
2015,NUTS,2010,DK02,2,0.575
2017,NUTS,2010,DK02,2,0.595
2019,NUTS,2010,DK02,2,0.6449
2011,NUTS,2010,DK03,2,0.7295
2013,NUTS,2010,DK03,2,0.8943
2015,NUTS,2010,DK03,2,1.1028
2017,NUTS,2010,DK03,2,0.6214
2019,NUTS,2010,DK03,2,0.6507
2011,NUTS,2010,DK04,2,1.132
2013,NUTS,2010,DK04,2,1.3128
2015,NUTS,2010,DK04,2,1.1738
2017,NUTS,2010,DK04,2,1.1468
2019,NUTS,2010,DK04,2,1.2593
2011,NUTS,2010,DK05,2,0.7219
2013,NUTS,2010,DK05,2,1.0838
2015,NUTS,2010,DK05,2,0.9026
2017,NUTS,2010,DK05,2,1.4002
2019,NUTS,2010,DK05,2,1.5035
2011,NUTS,2010,EA19,2,0.8369
2013,NUTS,2010,EA19,2,0.9052
2015,NUTS,2010,EA19,2,0.9464
2017,NUTS,2010,EA19,2,0.989
2019,NUTS,2010,EA19,2,1.0503
2011,NUTS,2010,EE,0,1.1524
2012,NUTS,2010,EE,0,1.1268
2013,NUTS,2010,EE,0,1.1201
2014,NUTS,2010,EE,0,1.1483
2015,NUTS,2010,EE,0,1.0503
2016,NUTS,2010,EE,0,0.997
2017,NUTS,2010,EE,0,1.0062
2018,NUTS,2010,EE,0,1.0454
2019,NUTS,2010,EE,0,1.0694
2011,NUTS,2010,EL,0,1.0227
2013,NUTS,2010,EL,0,1.4935
2015,NUTS,2010,EL,0,1.553
2017,NUTS,2010,EL,0,1.5269
2019,NUTS,2010,EL,0,1.6285
2011,NUTS,2010,EL3,1,0.9806
2011,NUTS,2010,EL30,2,0.9806
2011,NUTS,2010,EL4,1,1.1673
2011,NUTS,2010,EL41,2,1.0672
2011,NUTS,2010,EL42,2,0.5282
2011,NUTS,2010,EL43,2,1.5092
2011,NUTS,2010,EL5,1,1.2538
2011,NUTS,2010,EL51,2,1.1224
2011,NUTS,2010,EL52,2,1.227
2011,NUTS,2010,EL53,2,0.7348
2011,NUTS,2010,EL54,2,2.0103
2011,NUTS,2010,EL6,1,0.666
2011,NUTS,2010,EL61,2,0.9062
2011,NUTS,2010,EL62,2,0.2997
2011,NUTS,2010,EL63,2,1.2365
2011,NUTS,2010,EL64,2,0.1822
2011,NUTS,2010,EL65,2,0.3537
2011,NUTS,2010,ES,0,1.0391
2012,NUTS,2010,ES,0,1.0512
2013,NUTS,2010,ES,0,1.0576
2014,NUTS,2010,ES,0,1.0601
2015,NUTS,2010,ES,0,1.0665
2016,NUTS,2010,ES,0,1.0615
2017,NUTS,2010,ES,0,1.0781
2018,NUTS,2010,ES,0,1.098
2019,NUTS,2010,ES,0,1.1154
2011,NUTS,2010,ES1,1,0.8551
2012,NUTS,2010,ES1,1,0.8239
2013,NUTS,2010,ES1,1,0.8755
2014,NUTS,2010,ES1,1,0.8223
2015,NUTS,2010,ES1,1,0.8332
2016,NUTS,2010,ES1,1,0.8126
2017,NUTS,2010,ES1,1,0.8586
2018,NUTS,2010,ES1,1,0.8685
2019,NUTS,2010,ES1,1,0.936
2011,NUTS,2010,ES11,2,0.8315
2012,NUTS,2010,ES11,2,0.7962
2013,NUTS,2010,ES11,2,0.8384
2014,NUTS,2010,ES11,2,0.8108
2015,NUTS,2010,ES11,2,0.8071
2016,NUTS,2010,ES11,2,0.8111
2017,NUTS,2010,ES11,2,0.8616
2018,NUTS,2010,ES11,2,0.8942
2019,NUTS,2010,ES11,2,0.9497
2011,NUTS,2010,ES12,2,0.9692
2012,NUTS,2010,ES12,2,0.947
2013,NUTS,2010,ES12,2,1.0474
2014,NUTS,2010,ES12,2,0.9003
2015,NUTS,2010,ES12,2,0.9042
2016,NUTS,2010,ES12,2,0.8296
2017,NUTS,2010,ES12,2,0.9005
2018,NUTS,2010,ES12,2,0.8059
2019,NUTS,2010,ES12,2,0.9248
2011,NUTS,2010,ES13,2,0.7666
2012,NUTS,2010,ES13,2,0.7468
2013,NUTS,2010,ES13,2,0.7541
2014,NUTS,2010,ES13,2,0.7426
2015,NUTS,2010,ES13,2,0.8308
2016,NUTS,2010,ES13,2,0.7897
2017,NUTS,2010,ES13,2,0.7743
2018,NUTS,2010,ES13,2,0.8531
2019,NUTS,2010,ES13,2,0.8901
2011,NUTS,2010,ES2,1,1.2927
2012,NUTS,2010,ES2,1,1.3544
2013,NUTS,2010,ES2,1,1.4007
2014,NUTS,2010,ES2,1,1.4325
2015,NUTS,2010,ES2,1,1.4312
2016,NUTS,2010,ES2,1,1.4019
2017,NUTS,2010,ES2,1,1.4628
2018,NUTS,2010,ES2,1,1.4587
2019,NUTS,2010,ES2,1,1.4368
2011,NUTS,2010,ES21,2,1.4026
2012,NUTS,2010,ES21,2,1.5019
2013,NUTS,2010,ES21,2,1.5573
2014,NUTS,2010,ES21,2,1.5626
2015,NUTS,2010,ES21,2,1.6058
2016,NUTS,2010,ES21,2,1.5557
2017,NUTS,2010,ES21,2,1.6704
2018,NUTS,2010,ES21,2,1.659
2019,NUTS,2010,ES21,2,1.6548
2011,NUTS,2010,ES22,2,1.3602
2012,NUTS,2010,ES22,2,1.3753
2013,NUTS,2010,ES22,2,1.3855
2014,NUTS,2010,ES22,2,1.3936
2015,NUTS,2010,ES22,2,1.3918
2016,NUTS,2010,ES22,2,1.38
2017,NUTS,2010,ES22,2,1.3953
2018,NUTS,2010,ES22,2,1.384
2019,NUTS,2010,ES22,2,1.2657
2011,NUTS,2010,ES23,2,0.8917
2012,NUTS,2010,ES23,2,0.9709
2013,NUTS,2010,ES23,2,0.9364
2014,NUTS,2010,ES23,2,1.0276
2015,NUTS,2010,ES23,2,0.9604
2016,NUTS,2010,ES23,2,1.1745
2017,NUTS,2010,ES23,2,1.1146
2018,NUTS,2010,ES23,2,1.1578
2019,NUTS,2010,ES23,2,1.1323
2011,NUTS,2010,ES24,2,1.1566
2012,NUTS,2010,ES24,2,1.1761
2013,NUTS,2010,ES24,2,1.2443
2014,NUTS,2010,ES24,2,1.3219
2015,NUTS,2010,ES24,2,1.2607
2016,NUTS,2010,ES24,2,1.2026
2017,NUTS,2010,ES24,2,1.2282
2018,NUTS,2010,ES24,2,1.2305
2019,NUTS,2010,ES24,2,1.2288
2011,NUTS,2010,ES3,1,1.4411
2012,NUTS,2010,ES3,1,1.419
2013,NUTS,2010,ES3,1,1.461
2014,NUTS,2010,ES3,1,1.4956
2015,NUTS,2010,ES3,1,1.4635
2016,NUTS,2010,ES3,1,1.5042
2017,NUTS,2010,ES3,1,1.4862
2018,NUTS,2010,ES3,1,1.5541
2019,NUTS,2010,ES3,1,1.587
2011,NUTS,2010,ES30,2,1.4411
2012,NUTS,2010,ES30,2,1.419
2013,NUTS,2010,ES30,2,1.461
2014,NUTS,2010,ES30,2,1.4956
2015,NUTS,2010,ES30,2,1.4635
2016,NUTS,2010,ES30,2,1.5042
2017,NUTS,2010,ES30,2,1.4862
2018,NUTS,2010,ES30,2,1.5541
2019,NUTS,2010,ES30,2,1.587
2011,NUTS,2010,ES4,1,0.9024
2012,NUTS,2010,ES4,1,0.9053
2013,NUTS,2010,ES4,1,0.8229
2014,NUTS,2010,ES4,1,0.8301
2015,NUTS,2010,ES4,1,0.866
2016,NUTS,2010,ES4,1,0.8414
2017,NUTS,2010,ES4,1,0.8601
2018,NUTS,2010,ES4,1,0.8879
2019,NUTS,2010,ES4,1,0.8684
2011,NUTS,2010,ES41,2,1.1856
2012,NUTS,2010,ES41,2,1.1842
2013,NUTS,2010,ES41,2,1.1164
2014,NUTS,2010,ES41,2,1.1413
2015,NUTS,2010,ES41,2,1.1775
2016,NUTS,2010,ES41,2,1.1199
2017,NUTS,2010,ES41,2,1.1348
2018,NUTS,2010,ES41,2,1.1937
2019,NUTS,2010,ES41,2,1.2079
2011,NUTS,2010,ES42,2,0.6299
2012,NUTS,2010,ES42,2,0.6113
2013,NUTS,2010,ES42,2,0.479
2014,NUTS,2010,ES42,2,0.4896
2015,NUTS,2010,ES42,2,0.5296
2016,NUTS,2010,ES42,2,0.5515
2017,NUTS,2010,ES42,2,0.5744
2018,NUTS,2010,ES42,2,0.5674
2019,NUTS,2010,ES42,2,0.5527
2011,NUTS,2010,ES43,2,0.6752
2012,NUTS,2010,ES43,2,0.7125
2013,NUTS,2010,ES43,2,0.7019
2014,NUTS,2010,ES43,2,0.6505
2015,NUTS,2010,ES43,2,0.6772
2016,NUTS,2010,ES43,2,0.6428
2017,NUTS,2010,ES43,2,0.6817
2018,NUTS,2010,ES43,2,0.7052
2019,NUTS,2010,ES43,2,0.606
2011,NUTS,2010,ES5,1,0.9686
2012,NUTS,2010,ES5,1,0.9972
2013,NUTS,2010,ES5,1,1.0028
2014,NUTS,2010,ES5,1,1.0117
2015,NUTS,2010,ES5,1,1.0071
2016,NUTS,2010,ES5,1,1.0051
2017,NUTS,2010,ES5,1,1.0315
2018,NUTS,2010,ES5,1,1.0426
2019,NUTS,2010,ES5,1,1.0719
2011,NUTS,2010,ES51,2,1.0514
2012,NUTS,2010,ES51,2,1.0996
2013,NUTS,2010,ES51,2,1.123
2014,NUTS,2010,ES51,2,1.101
2015,NUTS,2010,ES51,2,1.1327
2016,NUTS,2010,ES51,2,1.1204
2017,NUTS,2010,ES51,2,1.1413
2018,NUTS,2010,ES51,2,1.1623
2019,NUTS,2010,ES51,2,1.172
2011,NUTS,2010,ES52,2,0.9145
2012,NUTS,2010,ES52,2,0.932
2013,NUTS,2010,ES52,2,0.9164
2014,NUTS,2010,ES52,2,0.9819
2015,NUTS,2010,ES52,2,0.917
2016,NUTS,2010,ES52,2,0.9376
2017,NUTS,2010,ES52,2,0.9624
2018,NUTS,2010,ES52,2,0.9814
2019,NUTS,2010,ES52,2,1.036
2011,NUTS,2010,ES53,2,0.6083
2012,NUTS,2010,ES53,2,0.5679
2013,NUTS,2010,ES53,2,0.5444
2014,NUTS,2010,ES53,2,0.5496
2015,NUTS,2010,ES53,2,0.5703
2016,NUTS,2010,ES53,2,0.5435
2017,NUTS,2010,ES53,2,0.595
2018,NUTS,2010,ES53,2,0.5317
2019,NUTS,2010,ES53,2,0.5717
2011,NUTS,2010,ES6,1,0.8888
2012,NUTS,2010,ES6,1,0.8888
2013,NUTS,2010,ES6,1,0.8988
2014,NUTS,2010,ES6,1,0.881
2015,NUTS,2010,ES6,1,0.9235
2016,NUTS,2010,ES6,1,0.9099
2017,NUTS,2010,ES6,1,0.9087
2018,NUTS,2010,ES6,1,0.9143
2019,NUTS,2010,ES6,1,0.9047
2011,NUTS,2010,ES61,2,0.9001
2012,NUTS,2010,ES61,2,0.8988
2013,NUTS,2010,ES61,2,0.9074
2014,NUTS,2010,ES61,2,0.8873
2015,NUTS,2010,ES61,2,0.925
2016,NUTS,2010,ES61,2,0.9034
2017,NUTS,2010,ES61,2,0.8964
2018,NUTS,2010,ES61,2,0.8943
2019,NUTS,2010,ES61,2,0.877
2011,NUTS,2010,ES62,2,0.8866
2012,NUTS,2010,ES62,2,0.8896
2013,NUTS,2010,ES62,2,0.9158
2014,NUTS,2010,ES62,2,0.9041
2015,NUTS,2010,ES62,2,0.9757
2016,NUTS,2010,ES62,2,0.994
2017,NUTS,2010,ES62,2,1.0199
2018,NUTS,2010,ES62,2,1.0534
2019,NUTS,2010,ES62,2,1.0822
2011,NUTS,2010,ES63,2,0.1364
2012,NUTS,2010,ES63,2,0.1325
2013,NUTS,2010,ES63,2,0.1364
2014,NUTS,2010,ES63,2,0.2028
2015,NUTS,2010,ES63,2,0.1474
2011,NUTS,2010,ES64,2,0.2475
2012,NUTS,2010,ES64,2,0.2688
2013,NUTS,2010,ES64,2,0.25
2014,NUTS,2010,ES64,2,0.2526
2015,NUTS,2010,ES64,2,0.25
2011,NUTS,2010,ES7,1,0.544
2012,NUTS,2010,ES7,1,0.5611
2013,NUTS,2010,ES7,1,0.5228
2014,NUTS,2010,ES7,1,0.5131
2015,NUTS,2010,ES7,1,0.4921
2016,NUTS,2010,ES7,1,0.4993
2017,NUTS,2010,ES7,1,0.4969
2018,NUTS,2010,ES7,1,0.4972
2019,NUTS,2010,ES7,1,0.4986
2011,NUTS,2010,ES70,2,0.544
2012,NUTS,2010,ES70,2,0.5611
2013,NUTS,2010,ES70,2,0.5228
2014,NUTS,2010,ES70,2,0.5131
2015,NUTS,2010,ES70,2,0.4921
2016,NUTS,2010,ES70,2,0.4993
2017,NUTS,2010,ES70,2,0.4969
2018,NUTS,2010,ES70,2,0.4972
2019,NUTS,2010,ES70,2,0.4986
2011,NUTS,2010,EU27_2020,7,0.8098
2013,NUTS,2010,EU27_2020,7,0.8739
2015,NUTS,2010,EU27_2020,7,0.9084
2017,NUTS,2010,EU27_2020,7,0.9704
2019,NUTS,2010,EU27_2020,7,1.0288
2011,NUTS,2010,FI,0,1.5907
