year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_pc_act_fte_total_t
2014,NUTS,2010,CY,0,0.0472
2015,NUTS,2010,CY,0,0.0422
2016,NUTS,2010,CY,0,0.0434
2017,NUTS,2010,CY,0,0.0478
2018,NUTS,2010,CY,0,0.0486
2019,NUTS,2010,CY,0,0.0713
2020,NUTS,2010,CY,0,0.0729
2011,NUTS,2010,CZ,0,0.0064
2012,NUTS,2010,CZ,0,0.0062
2013,NUTS,2010,CZ,0,0.0052
2014,NUTS,2010,CZ,0,0.0054
2015,NUTS,2010,CZ,0,0.0048
2016,NUTS,2010,CZ,0,0.0042
2017,NUTS,2010,CZ,0,0.0053
2018,NUTS,2010,CZ,0,0.0044
2019,NUTS,2010,CZ,0,0.0052
2020,NUTS,2010,CZ,0,0.0053
2011,NUTS,2010,CZ0,1,0.0063
2012,NUTS,2010,CZ0,1,0.0061
2013,NUTS,2010,CZ0,1,0.0051
2014,NUTS,2010,CZ0,1,0.0053
2015,NUTS,2010,CZ0,1,0.0047
2016,NUTS,2010,CZ0,1,0.0041
2017,NUTS,2010,CZ0,1,0.0051
2018,NUTS,2010,CZ0,1,0.0043
2019,NUTS,2010,CZ0,1,0.0051
2020,NUTS,2010,CZ0,1,0.0052
2011,NUTS,2010,CZ01,2,0.0242
2012,NUTS,2010,CZ01,2,0.0222
2013,NUTS,2010,CZ01,2,0.021
2014,NUTS,2010,CZ01,2,0.0217
2015,NUTS,2010,CZ01,2,0.0182
2016,NUTS,2010,CZ01,2,0.0191
2017,NUTS,2010,CZ01,2,0.0195
2018,NUTS,2010,CZ01,2,0.0165
2019,NUTS,2010,CZ01,2,0.0202
2020,NUTS,2010,CZ01,2,0.0219
2011,NUTS,2010,CZ02,2,0.0008
2012,NUTS,2010,CZ02,2,0.0008
2013,NUTS,2010,CZ02,2,0.0036
2014,NUTS,2010,CZ02,2,0.0011
2015,NUTS,2010,CZ02,2,0.0018
2016,NUTS,2010,CZ02,2,0.0012
2017,NUTS,2010,CZ02,2,0.0007
2018,NUTS,2010,CZ02,2,0.0004
2019,NUTS,2010,CZ02,2,0.0003
2020,NUTS,2010,CZ02,2,0.0006
2011,NUTS,2010,CZ03,2,0.0038
2012,NUTS,2010,CZ03,2,0.0064
2013,NUTS,2010,CZ03,2,0.0072
2014,NUTS,2010,CZ03,2,0.0086
2015,NUTS,2010,CZ03,2,0.0121
2016,NUTS,2010,CZ03,2,0.0099
2017,NUTS,2010,CZ03,2,0.013
2018,NUTS,2010,CZ03,2,0.0104
2019,NUTS,2010,CZ03,2,0.0114
2020,NUTS,2010,CZ03,2,0.0102
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.0001
2019,NUTS,2010,CZ04,2,0.0001
2020,NUTS,2010,CZ04,2,0.0002
2011,NUTS,2010,CZ05,2,0.0046
2012,NUTS,2010,CZ05,2,0.0046
2013,NUTS,2010,CZ05,2,0.0023
2014,NUTS,2010,CZ05,2,0.0009
2015,NUTS,2010,CZ05,2,0.0001
2016,NUTS,2010,CZ05,2,0.0004
2017,NUTS,2010,CZ05,2,0.0023
2018,NUTS,2010,CZ05,2,0.0
2019,NUTS,2010,CZ05,2,0.0013
2020,NUTS,2010,CZ05,2,0.002
2011,NUTS,2010,CZ06,2,0.0064
2012,NUTS,2010,CZ06,2,0.0035
2013,NUTS,2010,CZ06,2,0.0035
2014,NUTS,2010,CZ06,2,0.0038
2015,NUTS,2010,CZ06,2,0.0023
2016,NUTS,2010,CZ06,2,0.0005
2017,NUTS,2010,CZ06,2,0.0015
2018,NUTS,2010,CZ06,2,0.0028
2019,NUTS,2010,CZ06,2,0.0028
2020,NUTS,2010,CZ06,2,0.002
2011,NUTS,2010,CZ07,2,0.0028
2012,NUTS,2010,CZ07,2,0.0016
2013,NUTS,2010,CZ07,2,0.0017
2014,NUTS,2010,CZ07,2,0.0029
2015,NUTS,2010,CZ07,2,0.0015
2016,NUTS,2010,CZ07,2,0.0015
2017,NUTS,2010,CZ07,2,0.0011
2018,NUTS,2010,CZ07,2,0.0008
2019,NUTS,2010,CZ07,2,0.0018
2020,NUTS,2010,CZ07,2,0.0019
2011,NUTS,2010,CZ08,2,0.0069
2012,NUTS,2010,CZ08,2,0.0089
2013,NUTS,2010,CZ08,2,0.0011
2014,NUTS,2010,CZ08,2,0.0036
2015,NUTS,2010,CZ08,2,0.0017
2016,NUTS,2010,CZ08,2,0.0008
2017,NUTS,2010,CZ08,2,0.0029
2018,NUTS,2010,CZ08,2,0.0027
2019,NUTS,2010,CZ08,2,0.0019
2020,NUTS,2010,CZ08,2,0.0017
2011,NUTS,2010,DK,0,0.0097
