year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_f_pc_act_fte_total_hes
1998,NUTS,2010,AT,0,0.1872
2002,NUTS,2010,AT,0,0.2194
2004,NUTS,2010,AT,0,0.2618
2006,NUTS,2010,AT,0,0.2814
2007,NUTS,2010,AT,0,0.3034
2009,NUTS,2010,AT,0,0.3319
2011,NUTS,2010,AT,0,0.3499
2013,NUTS,2010,AT,0,0.3578
2015,NUTS,2010,AT,0,0.3748
2017,NUTS,2010,AT,0,0.3687
2019,NUTS,2010,AT,0,0.3998
2000,NUTS,2010,BE,0,0.3526
2001,NUTS,2010,BE,0,0.377
2002,NUTS,2010,BE,0,0.3686
2003,NUTS,2010,BE,0,0.3776
2004,NUTS,2010,BE,0,0.3894
2005,NUTS,2010,BE,0,0.3891
2006,NUTS,2010,BE,0,0.4116
2007,NUTS,2010,BE,0,0.4207
2008,NUTS,2010,BE,0,0.4468
2009,NUTS,2010,BE,0,0.4589
2010,NUTS,2010,BE,0,0.4669
2011,NUTS,2010,BE,0,0.4792
2012,NUTS,2010,BE,0,0.4752
2013,NUTS,2010,BE,0,0.4791
2014,NUTS,2010,BE,0,0.4865
2015,NUTS,2010,BE,0,0.5453
2016,NUTS,2010,BE,0,0.5199
2017,NUTS,2010,BE,0,0.5228
2018,NUTS,2010,BE,0,0.5198
2019,NUTS,2010,BE,0,0.5245
2000,NUTS,2010,BG,0,0.0558
2001,NUTS,2010,BG,0,0.057
2002,NUTS,2010,BG,0,0.0691
2003,NUTS,2010,BG,0,0.075
2004,NUTS,2010,BG,0,0.0783
2005,NUTS,2010,BG,0,0.0839
2006,NUTS,2010,BG,0,0.0842
2007,NUTS,2010,BG,0,0.1101
2008,NUTS,2010,BG,0,0.1166
2009,NUTS,2010,BG,0,0.1502
2010,NUTS,2010,BG,0,0.131
2011,NUTS,2010,BG,0,0.1588
2012,NUTS,2010,BG,0,0.1334
2013,NUTS,2010,BG,0,0.1432
2014,NUTS,2010,BG,0,0.1594
2015,NUTS,2010,BG,0,0.1536
2016,NUTS,2010,BG,0,0.1987
2017,NUTS,2010,BG,0,0.1516
2018,NUTS,2010,BG,0,0.1577
2019,NUTS,2010,BG,0,0.1497
1998,NUTS,2010,CY,0,0.0281
1999,NUTS,2010,CY,0,0.0317
2000,NUTS,2010,CY,0,0.0313
2001,NUTS,2010,CY,0,0.0319
2002,NUTS,2010,CY,0,0.0466
2003,NUTS,2010,CY,0,0.0589
2004,NUTS,2010,CY,0,0.0832
2005,NUTS,2010,CY,0,0.099
2006,NUTS,2010,CY,0,0.1003
2007,NUTS,2010,CY,0,0.1051
2008,NUTS,2010,CY,0,0.0926
2009,NUTS,2010,CY,0,0.1191
2010,NUTS,2010,CY,0,0.1189
2011,NUTS,2010,CY,0,0.125
2012,NUTS,2010,CY,0,0.1172
2013,NUTS,2010,CY,0,0.1212
2014,NUTS,2010,CY,0,0.1147
2015,NUTS,2010,CY,0,0.1145
2016,NUTS,2010,CY,0,0.1158
2017,NUTS,2010,CY,0,0.1347
2018,NUTS,2010,CY,0,0.1436
2019,NUTS,2010,CY,0,0.1616
2000,NUTS,2010,CZ,0,0.0948
2001,NUTS,2010,CZ,0,0.1039
2002,NUTS,2010,CZ,0,0.1021
2003,NUTS,2010,CZ,0,0.1028
2004,NUTS,2010,CZ,0,0.1031
2005,NUTS,2010,CZ,0,0.1908
2006,NUTS,2010,CZ,0,0.2199
2007,NUTS,2010,CZ,0,0.2147
2008,NUTS,2010,CZ,0,0.2251
2009,NUTS,2010,CZ,0,0.2344
2010,NUTS,2010,CZ,0,0.2445
2011,NUTS,2010,CZ,0,0.2544
2012,NUTS,2010,CZ,0,0.2856
2013,NUTS,2010,CZ,0,0.2779
2014,NUTS,2010,CZ,0,0.2852
2015,NUTS,2010,CZ,0,0.2937
2016,NUTS,2010,CZ,0,0.2578
2017,NUTS,2010,CZ,0,0.2638
2018,NUTS,2010,CZ,0,0.3124
2019,NUTS,2010,CZ,0,0.3426
2020,NUTS,2010,CZ,0,0.351
1997,NUTS,2010,DE,0,0.2095
1999,NUTS,2010,DE,0,0.2123
2000,NUTS,2010,DE,0,0.2108
2001,NUTS,2010,DE,0,0.2142
2002,NUTS,2010,DE,0,0.2187
2003,NUTS,2010,DE,0,0.2117
2004,NUTS,2010,DE,0,0.1983
2005,NUTS,2010,DE,0,0.2091
2006,NUTS,2010,DE,0,0.2164
2007,NUTS,2010,DE,0,0.23
2008,NUTS,2010,DE,0,0.2418
2009,NUTS,2010,DE,0,0.2617
2010,NUTS,2010,DE,0,0.2756
2011,NUTS,2010,DE,0,0.2819
2012,NUTS,2010,DE,0,0.2907
2013,NUTS,2010,DE,0,0.2996
2014,NUTS,2010,DE,0,0.3036
2015,NUTS,2010,DE,0,0.3081
2016,NUTS,2010,DE,0,0.3153
2017,NUTS,2010,DE,0,0.3191
2018,NUTS,2010,DE,0,0.3294
2019,NUTS,2010,DE,0,0.3282
1999,NUTS,2010,DK,0,0.2376
2000,NUTS,2010,DK,0,0.2364
2001,NUTS,2010,DK,0,0.2503
2002,NUTS,2010,DK,0,0.3687
2003,NUTS,2010,DK,0,0.3583
2004,NUTS,2010,DK,0,0.3721
2005,NUTS,2010,DK,0,0.3892
2006,NUTS,2010,DK,0,0.4121
2007,NUTS,2010,DK,0,0.4661
2009,NUTS,2010,DK,0,0.574
2010,NUTS,2010,DK,0,0.6446
2011,NUTS,2010,DK,0,0.658
2012,NUTS,2010,DK,0,0.7016
2013,NUTS,2010,DK,0,0.7565
2014,NUTS,2010,DK,0,0.7099
2015,NUTS,2010,DK,0,0.739
2016,NUTS,2010,DK,0,0.7763
2017,NUTS,2010,DK,0,0.7655
2018,NUTS,2010,DK,0,0.7737
2019,NUTS,2010,DK,0,0.7841
1999,NUTS,2010,DK0,1,0.2376
2000,NUTS,2010,DK0,1,0.2349
2001,NUTS,2010,DK0,1,0.2541
2002,NUTS,2010,DK0,1,0.3415
2003,NUTS,2010,DK0,1,0.3554
1997,NUTS,2010,EE,0,0.4377
1998,NUTS,2010,EE,0,0.4763
1999,NUTS,2010,EE,0,0.4582
2000,NUTS,2010,EE,0,0.3217
2001,NUTS,2010,EE,0,0.3414
2002,NUTS,2010,EE,0,0.3847
2003,NUTS,2010,EE,0,0.3745
2004,NUTS,2010,EE,0,0.4238
2005,NUTS,2010,EE,0,0.2978
2006,NUTS,2010,EE,0,0.3085
2007,NUTS,2010,EE,0,0.3349
2008,NUTS,2010,EE,0,0.3196
2009,NUTS,2010,EE,0,0.3833
2010,NUTS,2010,EE,0,0.3455
2011,NUTS,2010,EE,0,0.3979
2012,NUTS,2010,EE,0,0.4503
2013,NUTS,2010,EE,0,0.424
2014,NUTS,2010,EE,0,0.4991
2015,NUTS,2010,EE,0,0.4872
2016,NUTS,2010,EE,0,0.4536
2017,NUTS,2010,EE,0,0.4603
2018,NUTS,2010,EE,0,0.4988
2019,NUTS,2010,EE,0,0.4567
1999,NUTS,2010,EL,0,0.481
2001,NUTS,2010,EL,0,0.3463
2003,NUTS,2010,EL,0,0.3457
2005,NUTS,2010,EL,0,0.3785
2011,NUTS,2010,EL,0,0.4361
2013,NUTS,2010,EL,0,0.4738
2015,NUTS,2010,EL,0,0.5158
2017,NUTS,2010,EL,0,0.4646
2019,NUTS,2010,EL,0,0.5447
2001,NUTS,2010,EL3,1,0.3461
2001,NUTS,2010,EL30,2,0.3461
2001,NUTS,2010,EL4,1,0.2016
2001,NUTS,2010,EL41,2,0.2279
2001,NUTS,2010,EL42,2,0.0475
2001,NUTS,2010,EL43,2,0.26
2001,NUTS,2010,EL51,2,0.242
2001,NUTS,2010,EL52,2,0.5475
2001,NUTS,2010,EL53,2,0.0127
2001,NUTS,2010,EL54,2,0.8169
2001,NUTS,2010,EL61,2,0.1505
2001,NUTS,2010,EL62,2,0.1192
2001,NUTS,2010,EL63,2,0.8308
2001,NUTS,2010,EL64,2,0.0042
2001,NUTS,2010,EL65,2,0.0
1997,NUTS,2010,ES,0,0.2209
1999,NUTS,2010,ES,0,0.226
2000,NUTS,2010,ES,0,0.2838
2001,NUTS,2010,ES,0,0.3174
2002,NUTS,2010,ES,0,0.2881
2003,NUTS,2010,ES,0,0.3128
2004,NUTS,2010,ES,0,0.3222
2005,NUTS,2010,ES,0,0.3272
2006,NUTS,2010,ES,0,0.3357
2007,NUTS,2010,ES,0,0.3434
2008,NUTS,2010,ES,0,0.3496
2009,NUTS,2010,ES,0,0.3517
2010,NUTS,2010,ES,0,0.3546
2011,NUTS,2010,ES,0,0.3419
2012,NUTS,2010,ES,0,0.3261
2013,NUTS,2010,ES,0,0.3154
2014,NUTS,2010,ES,0,0.3128
2015,NUTS,2010,ES,0,0.3167
2016,NUTS,2010,ES,0,0.327
2017,NUTS,2010,ES,0,0.3358
2018,NUTS,2010,ES,0,0.3412
2019,NUTS,2010,ES,0,0.3542
2010,NUTS,2010,FR,0,0.1104
2011,NUTS,2010,FR,0,0.2857
2012,NUTS,2010,FR,0,0.2847
2013,NUTS,2010,FR,0,0.2821
2014,NUTS,2010,FR,0,0.3287
2016,NUTS,2010,FR,0,0.3863
2017,NUTS,2010,FR,0,0.3931
2002,NUTS,2010,HR,0,0.4675
2003,NUTS,2010,HR,0,0.2503
2004,NUTS,2010,HR,0,0.2957
2005,NUTS,2010,HR,0,0.246
2006,NUTS,2010,HR,0,0.252
2007,NUTS,2010,HR,0,0.267
2008,NUTS,2010,HR,0,0.279
2009,NUTS,2010,HR,0,0.2691
2010,NUTS,2010,HR,0,0.2771
2011,NUTS,2010,HR,0,0.2794
2012,NUTS,2010,HR,0,0.2775
2013,NUTS,2010,HR,0,0.2845
2014,NUTS,2010,HR,0,0.2564
2015,NUTS,2010,HR,0,0.284
2016,NUTS,2010,HR,0,0.3404
2017,NUTS,2010,HR,0,0.3335
2018,NUTS,2010,HR,0,0.3372
2019,NUTS,2010,HR,0,0.3939
2020,NUTS,2010,HR,0,0.4128
2002,NUTS,2010,HR0,1,0.4561
2003,NUTS,2010,HR0,1,0.2454
2006,NUTS,2010,HU,0,0.2011
2007,NUTS,2010,HU,0,0.1833
2008,NUTS,2010,HU,0,0.1925
2009,NUTS,2010,HU,0,0.1841
2010,NUTS,2010,HU,0,0.1814
2011,NUTS,2010,HU,0,0.1867
2012,NUTS,2010,HU,0,0.1815
2013,NUTS,2010,HU,0,0.1813
2014,NUTS,2010,HU,0,0.1714
2015,NUTS,2010,HU,0,0.1661
2016,NUTS,2010,HU,0,0.1569
2017,NUTS,2010,HU,0,0.1822
2018,NUTS,2010,HU,0,0.2361
2019,NUTS,2010,HU,0,0.2746
2002,NUTS,2010,IE,0,0.1768
2003,NUTS,2010,IE,0,0.209
2004,NUTS,2010,IE,0,0.2329
2005,NUTS,2010,IE,0,0.2422
2006,NUTS,2010,IE,0,0.2515
2007,NUTS,2010,IE,0,0.2606
2008,NUTS,2010,IE,0,0.2888
2009,NUTS,2010,IE,0,0.2834
2010,NUTS,2010,IE,0,0.2857
2011,NUTS,2010,IE,0,0.2791
2012,NUTS,2010,IE,0,0.5973
2013,NUTS,2010,IE,0,0.6477
2014,NUTS,2010,IE,0,0.7037
2015,NUTS,2010,IE,0,0.6099
2016,NUTS,2010,IE,0,0.5079
2017,NUTS,2010,IE,0,0.696
2019,NUTS,2010,IE,0,0.5085
2002,NUTS,2010,IE0,1,0.1857
2003,NUTS,2010,IE0,1,0.2194
2003,NUTS,2010,IS,0,0.4589
2005,NUTS,2010,IS,0,0.4432
2006,NUTS,2010,IS,0,0.4861
2007,NUTS,2010,IS,0,0.4408
2008,NUTS,2010,IS,0,0.4548
2009,NUTS,2010,IS,0,0.6352
2011,NUTS,2010,IS,0,0.6549
2003,NUTS,2010,IT,0,0.279
2004,NUTS,2010,IT,0,0.2769
2005,NUTS,2010,IT,0,0.3139
2006,NUTS,2010,IT,0,0.3188
2007,NUTS,2010,IT,0,0.3394
2008,NUTS,2010,IT,0,0.3398
2009,NUTS,2010,IT,0,0.3582
2010,NUTS,2010,IT,0,0.3473
2011,NUTS,2010,IT,0,0.3515
2012,NUTS,2010,IT,0,0.3537
2013,NUTS,2010,IT,0,0.3549
2014,NUTS,2010,IT,0,0.3443
2015,NUTS,2010,IT,0,0.3526
2016,NUTS,2010,IT,0,0.3633
2017,NUTS,2010,IT,0,0.3627
2018,NUTS,2010,IT,0,0.3662
2019,NUTS,2010,IT,0,0.3775
1998,NUTS,2010,KR,0,0.0845
2000,NUTS,2010,LT,0,0.3504
2001,NUTS,2010,LT,0,0.4405
2002,NUTS,2010,LT,0,0.3869
2003,NUTS,2010,LT,0,0.39
2004,NUTS,2010,LT,0,0.4488
2005,NUTS,2010,LT,0,0.4855
2006,NUTS,2010,LT,0,0.5375
2007,NUTS,2010,LT,0,0.5641
2008,NUTS,2010,LT,0,0.5901
2009,NUTS,2010,LT,0,0.5603
2010,NUTS,2010,LT,0,0.5783
2011,NUTS,2010,LT,0,0.5209
2012,NUTS,2010,LT,0,0.5089
2013,NUTS,2010,LT,0,0.4945
2014,NUTS,2010,LT,0,0.474
2015,NUTS,2010,LT,0,0.4387
2016,NUTS,2010,LT,0,0.4389
2017,NUTS,2010,LT,0,0.4265
2018,NUTS,2010,LT,0,0.4218
2019,NUTS,2010,LT,0,0.4579
2005,NUTS,2010,LU,0,0.0556
2006,NUTS,2010,LU,0,0.0641
2008,NUTS,2010,LU,0,0.1352
2009,NUTS,2010,LU,0,0.204
2010,NUTS,2010,LU,0,0.2153
2011,NUTS,2010,LU,0,0.2378
2012,NUTS,2010,LU,0,0.251
2013,NUTS,2010,LU,0,0.3001
2014,NUTS,2010,LU,0,0.3322
2015,NUTS,2010,LU,0,0.3319
2017,NUTS,2010,LU,0,0.3266
2019,NUTS,2010,LU,0,0.3798
1997,NUTS,2010,LV,0,0.186
1998,NUTS,2010,LV,0,0.2188
1999,NUTS,2010,LV,0,0.2381
2000,NUTS,2010,LV,0,0.301
2001,NUTS,2010,LV,0,0.3186
2002,NUTS,2010,LV,0,0.3066
2003,NUTS,2010,LV,0,0.3113
2004,NUTS,2010,LV,0,0.3417
2005,NUTS,2010,LV,0,0.2852
2006,NUTS,2010,LV,0,0.3347
2007,NUTS,2010,LV,0,0.3755
2008,NUTS,2010,LV,0,0.3536
2009,NUTS,2010,LV,0,0.3116
2010,NUTS,2010,LV,0,0.3094
2011,NUTS,2010,LV,0,0.3446
2012,NUTS,2010,LV,0,0.3761
2013,NUTS,2010,LV,0,0.3499
2014,NUTS,2010,LV,0,0.3564
2015,NUTS,2010,LV,0,0.3541
2016,NUTS,2010,LV,0,0.361
2017,NUTS,2010,LV,0,0.4072
2018,NUTS,2010,LV,0,0.417
2019,NUTS,2010,LV,0,0.4524
2011,NUTS,2010,ME,0,0.1212
2013,NUTS,2010,ME,0,0.1099
2014,NUTS,2010,ME,0,0.1139
2015,NUTS,2010,ME,0,0.1622
2017,NUTS,2010,ME,0,0.1522
2018,NUTS,2010,ME,0,0.1569
2019,NUTS,2010,ME,0,0.1253
2006,NUTS,2010,MK,0,0.0951
2007,NUTS,2010,MK,0,0.0947
2008,NUTS,2010,MK,0,0.0851
2009,NUTS,2010,MK,0,0.0749
2010,NUTS,2010,MK,0,0.1079
2011,NUTS,2010,MK,0,0.0913
2012,NUTS,2010,MK,0,0.119
2015,NUTS,2010,MK,0,0.1853
2016,NUTS,2010,MK,0,0.1895
2017,NUTS,2010,MK,0,0.1611
2018,NUTS,2010,MK,0,0.1734
2019,NUTS,2010,MK,0,0.1557
2002,NUTS,2010,MT,0,0.1755
2003,NUTS,2010,MT,0,0.1853
2004,NUTS,2010,MT,0,0.1932
2005,NUTS,2010,MT,0,0.1987
2006,NUTS,2010,MT,0,0.202
2007,NUTS,2010,MT,0,0.1895
2008,NUTS,2010,MT,0,0.2094
2009,NUTS,2010,MT,0,0.1914
2010,NUTS,2010,MT,0,0.2055
2011,NUTS,2010,MT,0,0.2011
2012,NUTS,2010,MT,0,0.2141
2013,NUTS,2010,MT,0,0.2384
2014,NUTS,2010,MT,0,0.2542
2015,NUTS,2010,MT,0,0.2457
2016,NUTS,2010,MT,0,0.2186
2017,NUTS,2010,MT,0,0.2293
2018,NUTS,2010,MT,0,0.223
2019,NUTS,2010,MT,0,0.2302
1999,NUTS,2010,NL,0,0.3096
2000,NUTS,2010,NL,0,0.3118
2001,NUTS,2010,NL,0,0.3134
2002,NUTS,2010,NL,0,0.3131
2003,NUTS,2010,NL,0,0.3187
