year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_f_fte_total
1998,NUTS,2010,AT,0,6936.0
2002,NUTS,2010,AT,0,8561.0
2004,NUTS,2010,AT,0,10112.0
2006,NUTS,2010,AT,0,11606.0
2007,NUTS,2010,AT,0,12618.0
2009,NUTS,2010,AT,0,14066.0
2011,NUTS,2010,AT,0,15092.0
2013,NUTS,2010,AT,0,15892.0
2015,NUTS,2010,AT,0,17091.0
2017,NUTS,2010,AT,0,18374.0
2019,NUTS,2010,AT,0,20205.0
2012,NUTS,2010,BA,0,454.0
2013,NUTS,2010,BA,0,591.0
2014,NUTS,2010,BA,0,857.0
2019,NUTS,2010,BA,0,1081.0
2000,NUTS,2010,BE,0,14692.0
2001,NUTS,2010,BE,0,15556.0
2002,NUTS,2010,BE,0,15454.0
2003,NUTS,2010,BE,0,15825.0
2004,NUTS,2010,BE,0,16319.0
2005,NUTS,2010,BE,0,17057.0
2006,NUTS,2010,BE,0,17807.0
2007,NUTS,2010,BE,0,18557.0
2008,NUTS,2010,BE,0,19591.0
2009,NUTS,2010,BE,0,20118.0
2010,NUTS,2010,BE,0,20557.0
2011,NUTS,2010,BE,0,21352.0
1993,NUTS,2010,BG,0,22332.0
1994,NUTS,2010,BG,0,12842.0
1995,NUTS,2010,BG,0,13404.0
1996,NUTS,2010,BG,0,13788.0
1997,NUTS,2010,BG,0,10078.0
1998,NUTS,2010,BG,0,10148.0
1999,NUTS,2010,BG,0,8374.0
2000,NUTS,2010,BG,0,8106.0
2001,NUTS,2010,BG,0,7907.0
2002,NUTS,2010,BG,0,8106.0
2003,NUTS,2010,BG,0,8225.0
2004,NUTS,2010,BG,0,8249.0
2005,NUTS,2010,BG,0,8278.0
2006,NUTS,2010,BG,0,8315.0
2007,NUTS,2010,BG,0,8760.0
2008,NUTS,2010,BG,0,8874.0
2009,NUTS,2010,BG,0,9535.0
2010,NUTS,2010,BG,0,8867.0
2011,NUTS,2010,BG,0,9049.0
2012,NUTS,2010,BG,0,8874.0
2013,NUTS,2010,BG,0,9211.0
2014,NUTS,2010,BG,0,9803.0
2015,NUTS,2010,BG,0,10845.0
2016,NUTS,2010,BG,0,11919.0
2017,NUTS,2010,BG,0,11154.0
2018,NUTS,2010,BG,0,11896.0
