year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_t_fte
2015,NUTS,2010,BG31,2,450.0
2016,NUTS,2010,BG31,2,432.0
2018,NUTS,2010,BG31,2,468.0
2019,NUTS,2010,BG31,2,460.0
2011,NUTS,2010,BG32,2,101.0
2012,NUTS,2010,BG32,2,133.0
2013,NUTS,2010,BG32,2,130.0
2014,NUTS,2010,BG32,2,127.0
2015,NUTS,2010,BG32,2,83.0
2016,NUTS,2010,BG32,2,71.0
2017,NUTS,2010,BG32,2,70.0
2018,NUTS,2010,BG32,2,69.0
2019,NUTS,2010,BG32,2,80.0
2011,NUTS,2010,BG33,2,582.0
2012,NUTS,2010,BG33,2,617.0
2013,NUTS,2010,BG33,2,558.0
2014,NUTS,2010,BG33,2,552.0
2015,NUTS,2010,BG33,2,495.0
2016,NUTS,2010,BG33,2,503.0
2017,NUTS,2010,BG33,2,492.0
2018,NUTS,2010,BG33,2,570.0
2019,NUTS,2010,BG33,2,585.0
2011,NUTS,2010,BG34,2,290.0
2012,NUTS,2010,BG34,2,300.0
2013,NUTS,2010,BG34,2,278.0
2014,NUTS,2010,BG34,2,257.0
2015,NUTS,2010,BG34,2,242.0
2016,NUTS,2010,BG34,2,240.0
2018,NUTS,2010,BG34,2,286.0
2019,NUTS,2010,BG34,2,313.0
2011,NUTS,2010,BG4,1,7835.0
2012,NUTS,2010,BG4,1,7732.0
2013,NUTS,2010,BG4,1,7520.0
2014,NUTS,2010,BG4,1,7287.0
2015,NUTS,2010,BG4,1,7058.0
2016,NUTS,2010,BG4,1,6801.0
2017,NUTS,2010,BG4,1,6733.0
2018,NUTS,2010,BG4,1,6784.0
2019,NUTS,2010,BG4,1,6869.0
2011,NUTS,2010,BG41,2,7306.0
2012,NUTS,2010,BG41,2,7192.0
2013,NUTS,2010,BG41,2,6982.0
2014,NUTS,2010,BG41,2,6743.0
2015,NUTS,2010,BG41,2,6559.0
2016,NUTS,2010,BG41,2,6329.0
2017,NUTS,2010,BG41,2,6252.0
2018,NUTS,2010,BG41,2,6266.0
2019,NUTS,2010,BG41,2,6302.0
2011,NUTS,2010,BG42,2,529.0
2012,NUTS,2010,BG42,2,540.0
2013,NUTS,2010,BG42,2,538.0
2014,NUTS,2010,BG42,2,544.0
2015,NUTS,2010,BG42,2,499.0
2016,NUTS,2010,BG42,2,472.0
2017,NUTS,2010,BG42,2,481.0
2018,NUTS,2010,BG42,2,518.0
2019,NUTS,2010,BG42,2,567.0
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,781.0
2014,NUTS,2010,CH,0,897.0
2015,NUTS,2010,CH,0,909.0
2017,NUTS,2010,CH,0,875.0
2019,NUTS,2010,CH,0,1041.0
2011,NUTS,2010,CN_X_HK,5,414316.0
2012,NUTS,2010,CN_X_HK,5,446920.0
2013,NUTS,2010,CN_X_HK,5,467313.0
2014,NUTS,2010,CN_X_HK,5,479435.0
2015,NUTS,2010,CN_X_HK,5,493200.0
2016,NUTS,2010,CN_X_HK,5,505927.0
2017,NUTS,2010,CN_X_HK,5,531629.0
2018,NUTS,2010,CN_X_HK,5,545771.0
2019,NUTS,2010,CN_X_HK,5,566858.0
2011,NUTS,2010,CY,0,253.0
2012,NUTS,2010,CY,0,248.0
2013,NUTS,2010,CY,0,230.0
2014,NUTS,2010,CY,0,217.0
2015,NUTS,2010,CY,0,228.0
2016,NUTS,2010,CY,0,235.0
2017,NUTS,2010,CY,0,246.0
2018,NUTS,2010,CY,0,235.0
2019,NUTS,2010,CY,0,244.0
2020,NUTS,2010,CY,0,245.0
2011,NUTS,2010,CZ,0,11627.0
2012,NUTS,2010,CZ,0,11864.0
2013,NUTS,2010,CZ,0,12275.0
2014,NUTS,2010,CZ,0,12380.0
2015,NUTS,2010,CZ,0,12953.0
2016,NUTS,2010,CZ,0,13099.0
2017,NUTS,2010,CZ,0,13689.0
2018,NUTS,2010,CZ,0,14163.0
2019,NUTS,2010,CZ,0,14530.0
2020,NUTS,2010,CZ,0,14438.0
2011,NUTS,2010,CZ0,1,11627.0
2012,NUTS,2010,CZ0,1,11864.0
2013,NUTS,2010,CZ0,1,12275.0
2014,NUTS,2010,CZ0,1,12380.0
2015,NUTS,2010,CZ0,1,12953.0
2016,NUTS,2010,CZ0,1,13099.0
2017,NUTS,2010,CZ0,1,13689.0
2018,NUTS,2010,CZ0,1,14163.0
2019,NUTS,2010,CZ0,1,14530.0
2020,NUTS,2010,CZ0,1,14438.0
2011,NUTS,2010,CZ01,2,8234.0
2012,NUTS,2010,CZ01,2,8370.0
2013,NUTS,2010,CZ01,2,8631.0
2014,NUTS,2010,CZ01,2,8831.0
2015,NUTS,2010,CZ01,2,8771.0
2016,NUTS,2010,CZ01,2,8463.0
2017,NUTS,2010,CZ01,2,8943.0
2018,NUTS,2010,CZ01,2,9072.0
2019,NUTS,2010,CZ01,2,9294.0
2020,NUTS,2010,CZ01,2,9119.0
2011,NUTS,2010,CZ02,2,1070.0
2012,NUTS,2010,CZ02,2,963.0
2013,NUTS,2010,CZ02,2,1013.0
2014,NUTS,2010,CZ02,2,1073.0
2015,NUTS,2010,CZ02,2,1435.0
2016,NUTS,2010,CZ02,2,1898.0
2017,NUTS,2010,CZ02,2,1896.0
2018,NUTS,2010,CZ02,2,2017.0
2019,NUTS,2010,CZ02,2,2056.0
2020,NUTS,2010,CZ02,2,2118.0
2011,NUTS,2010,CZ03,2,571.0
2012,NUTS,2010,CZ03,2,568.0
2013,NUTS,2010,CZ03,2,618.0
2014,NUTS,2010,CZ03,2,648.0
2015,NUTS,2010,CZ03,2,679.0
2016,NUTS,2010,CZ03,2,690.0
2017,NUTS,2010,CZ03,2,737.0
2018,NUTS,2010,CZ03,2,770.0
2019,NUTS,2010,CZ03,2,806.0
2020,NUTS,2010,CZ03,2,800.0
2011,NUTS,2010,CZ04,2,60.0
2012,NUTS,2010,CZ04,2,66.0
2013,NUTS,2010,CZ04,2,67.0
2014,NUTS,2010,CZ04,2,67.0
2015,NUTS,2010,CZ04,2,58.0
2016,NUTS,2010,CZ04,2,54.0
2017,NUTS,2010,CZ04,2,58.0
2018,NUTS,2010,CZ04,2,68.0
2019,NUTS,2010,CZ04,2,70.0
2020,NUTS,2010,CZ04,2,69.0
2011,NUTS,2010,CZ05,2,154.0
2012,NUTS,2010,CZ05,2,156.0
2013,NUTS,2010,CZ05,2,155.0
2014,NUTS,2010,CZ05,2,153.0
2015,NUTS,2010,CZ05,2,161.0
2016,NUTS,2010,CZ05,2,160.0
2017,NUTS,2010,CZ05,2,156.0
2018,NUTS,2010,CZ05,2,165.0
2019,NUTS,2010,CZ05,2,168.0
2020,NUTS,2010,CZ05,2,171.0
2011,NUTS,2010,CZ06,2,1370.0
2012,NUTS,2010,CZ06,2,1571.0
2013,NUTS,2010,CZ06,2,1627.0
2014,NUTS,2010,CZ06,2,1431.0
2015,NUTS,2010,CZ06,2,1680.0
2016,NUTS,2010,CZ06,2,1661.0
2017,NUTS,2010,CZ06,2,1665.0
2018,NUTS,2010,CZ06,2,1812.0
2019,NUTS,2010,CZ06,2,1878.0
2020,NUTS,2010,CZ06,2,1911.0
2011,NUTS,2010,CZ07,2,51.0
2012,NUTS,2010,CZ07,2,53.0
2013,NUTS,2010,CZ07,2,47.0
2014,NUTS,2010,CZ07,2,55.0
2015,NUTS,2010,CZ07,2,53.0
2016,NUTS,2010,CZ07,2,57.0
2017,NUTS,2010,CZ07,2,121.0
2018,NUTS,2010,CZ07,2,137.0
2019,NUTS,2010,CZ07,2,128.0
2020,NUTS,2010,CZ07,2,125.0
2011,NUTS,2010,CZ08,2,117.0
2012,NUTS,2010,CZ08,2,116.0
2013,NUTS,2010,CZ08,2,118.0
2014,NUTS,2010,CZ08,2,121.0
2015,NUTS,2010,CZ08,2,118.0
2016,NUTS,2010,CZ08,2,116.0
2017,NUTS,2010,CZ08,2,113.0
2018,NUTS,2010,CZ08,2,122.0
2019,NUTS,2010,CZ08,2,131.0
2020,NUTS,2010,CZ08,2,125.0
2015,NUTS,2010,CZZ,1,0.0
2016,NUTS,2010,CZZ,1,0.0
2017,NUTS,2010,CZZ,1,0.0
2018,NUTS,2010,CZZ,1,0.0
2019,NUTS,2010,CZZ,1,0.0
2020,NUTS,2010,CZZ,1,0.0
