year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_eur_hab_total
1981,NUTS,2010,AT,0,92.2
1982,NUTS,2010,AT,0,109.0
1983,NUTS,2010,AT,0,122.8
1984,NUTS,2010,AT,0,136.6
1985,NUTS,2010,AT,0,145.2
1986,NUTS,2010,AT,0,165.1
1987,NUTS,2010,AT,0,177.0
1988,NUTS,2010,AT,0,191.3
1989,NUTS,2010,AT,0,207.6
1990,NUTS,2010,AT,0,231.5
1991,NUTS,2010,AT,0,260.3
1992,NUTS,2010,AT,0,273.5
1993,NUTS,2010,AT,0,295.1
1994,NUTS,2010,AT,0,326.9
1995,NUTS,2010,AT,0,355.0
1996,NUTS,2010,AT,0,371.6
1997,NUTS,2010,AT,0,390.3
1998,NUTS,2010,AT,0,423.6
1999,NUTS,2010,AT,0,471.3
2000,NUTS,2010,AT,0,503.4
2001,NUTS,2010,AT,0,547.7
2002,NUTS,2010,AT,0,580.9
2003,NUTS,2010,AT,0,622.4
2004,NUTS,2010,AT,0,644.7
2005,NUTS,2010,AT,0,735.2
2006,NUTS,2010,AT,0,765.5
2007,NUTS,2010,AT,0,829.1
2008,NUTS,2010,AT,0,908.5
2009,NUTS,2010,AT,0,897.4
2010,NUTS,2010,AT,0,965.9
2011,NUTS,2010,AT,0,988.2
2012,NUTS,2010,AT,0,1104.6
2013,NUTS,2010,AT,0,1132.4
2014,NUTS,2010,AT,0,1207.7
2015,NUTS,2010,AT,0,1223.0
2016,NUTS,2010,AT,0,1281.0
2017,NUTS,2010,AT,0,1286.9
2018,NUTS,2010,AT,0,1350.2
2019,NUTS,2010,AT,0,1404.4
2020,NUTS,2010,AT,0,1364.2
1993,NUTS,2010,AT1,1,401.6
1998,NUTS,2010,AT1,1,550.8
2002,NUTS,2010,AT1,1,689.2
2004,NUTS,2010,AT1,1,737.5
2006,NUTS,2010,AT1,1,833.1
2007,NUTS,2010,AT1,1,898.1
2009,NUTS,2010,AT1,1,979.1
2011,NUTS,2010,AT1,1,1010.3
2013,NUTS,2010,AT1,1,1046.4
2015,NUTS,2010,AT1,1,1123.2
2017,NUTS,2010,AT1,1,1167.2
2019,NUTS,2010,AT1,1,1258.8
1993,NUTS,2010,AT11,2,41.2
1998,NUTS,2010,AT11,2,28.7
2002,NUTS,2010,AT11,2,118.1
2004,NUTS,2010,AT11,2,105.9
2006,NUTS,2010,AT11,2,123.2
2007,NUTS,2010,AT11,2,133.7
2009,NUTS,2010,AT11,2,174.3
2011,NUTS,2010,AT11,2,199.8
2013,NUTS,2010,AT11,2,234.9
2015,NUTS,2010,AT11,2,276.5
2017,NUTS,2010,AT11,2,254.8
2019,NUTS,2010,AT11,2,273.2
1993,NUTS,2010,AT12,2,68.4
1998,NUTS,2010,AT12,2,128.2
2002,NUTS,2010,AT12,2,184.4
2004,NUTS,2010,AT12,2,209.7
2006,NUTS,2010,AT12,2,292.0
2007,NUTS,2010,AT12,2,324.1
2009,NUTS,2010,AT12,2,371.6
2011,NUTS,2010,AT12,2,438.9
2013,NUTS,2010,AT12,2,500.3
2015,NUTS,2010,AT12,2,571.5
2017,NUTS,2010,AT12,2,628.8
2019,NUTS,2010,AT12,2,675.2
1993,NUTS,2010,AT13,2,792.2
1998,NUTS,2010,AT13,2,1063.6
2002,NUTS,2010,AT13,2,1286.1
2004,NUTS,2010,AT13,2,1356.4
2006,NUTS,2010,AT13,2,1470.6
2007,NUTS,2010,AT13,2,1575.9
2009,NUTS,2010,AT13,2,1694.3
2011,NUTS,2010,AT13,2,1685.8
2013,NUTS,2010,AT13,2,1687.7
2015,NUTS,2010,AT13,2,1761.4
2017,NUTS,2010,AT13,2,1790.1
2019,NUTS,2010,AT13,2,1927.1
1993,NUTS,2010,AT2,1,210.4
1998,NUTS,2010,AT2,1,410.9
2002,NUTS,2010,AT2,1,650.1
2004,NUTS,2010,AT2,1,718.9
2006,NUTS,2010,AT2,1,861.0
2007,NUTS,2010,AT2,1,962.5
2009,NUTS,2010,AT2,1,976.9
2011,NUTS,2010,AT2,1,1206.3
2013,NUTS,2010,AT2,1,1420.4
2015,NUTS,2010,AT2,1,1585.2
2017,NUTS,2010,AT2,1,1615.1
2019,NUTS,2010,AT2,1,1834.3
1993,NUTS,2010,AT21,2,64.5
1998,NUTS,2010,AT21,2,216.0
2002,NUTS,2010,AT21,2,409.9
2004,NUTS,2010,AT21,2,554.1
2006,NUTS,2010,AT21,2,704.0
2007,NUTS,2010,AT21,2,746.1
2009,NUTS,2010,AT21,2,695.6
2011,NUTS,2010,AT21,2,862.4
2013,NUTS,2010,AT21,2,912.3
2015,NUTS,2010,AT21,2,1049.6
2017,NUTS,2010,AT21,2,1041.2
2019,NUTS,2010,AT21,2,1232.4
1993,NUTS,2010,AT22,2,279.1
1998,NUTS,2010,AT22,2,503.3
2002,NUTS,2010,AT22,2,763.3
2004,NUTS,2010,AT22,2,796.0
2006,NUTS,2010,AT22,2,934.1
2007,NUTS,2010,AT22,2,1063.2
2009,NUTS,2010,AT22,2,1107.6
2011,NUTS,2010,AT22,2,1364.9
2013,NUTS,2010,AT22,2,1653.5
2015,NUTS,2010,AT22,2,1829.7
2017,NUTS,2010,AT22,2,1875.3
2019,NUTS,2010,AT22,2,2106.0
1993,NUTS,2010,AT3,1,196.2
1998,NUTS,2010,AT3,1,283.7
2002,NUTS,2010,AT3,1,413.9
2004,NUTS,2010,AT3,1,492.3
2006,NUTS,2010,AT3,1,629.5
2007,NUTS,2010,AT3,1,669.2
2009,NUTS,2010,AT3,1,753.7
2011,NUTS,2010,AT3,1,834.3
2013,NUTS,2010,AT3,1,1068.3
2015,NUTS,2010,AT3,1,1134.5
2017,NUTS,2010,AT3,1,1244.9
2019,NUTS,2010,AT3,1,1337.8
1993,NUTS,2010,AT31,2,177.3
1998,NUTS,2010,AT31,2,287.6
2002,NUTS,2010,AT31,2,434.9
2004,NUTS,2010,AT31,2,514.5
2006,NUTS,2010,AT31,2,689.1
2007,NUTS,2010,AT31,2,744.2
2009,NUTS,2010,AT31,2,805.1
2011,NUTS,2010,AT31,2,918.9
2013,NUTS,2010,AT31,2,1225.1
2015,NUTS,2010,AT31,2,1284.6
2017,NUTS,2010,AT31,2,1495.6
2019,NUTS,2010,AT31,2,1610.6
1993,NUTS,2010,AT32,2,163.2
1998,NUTS,2010,AT32,2,180.8
2002,NUTS,2010,AT32,2,263.5
2004,NUTS,2010,AT32,2,319.5
2006,NUTS,2010,AT32,2,382.8
2007,NUTS,2010,AT32,2,399.3
2009,NUTS,2010,AT32,2,460.7
2011,NUTS,2010,AT32,2,544.9
2013,NUTS,2010,AT32,2,671.1
2015,NUTS,2010,AT32,2,714.2
2017,NUTS,2010,AT32,2,806.6
2019,NUTS,2010,AT32,2,911.6
1993,NUTS,2010,AT33,2,290.5
1998,NUTS,2010,AT33,2,389.3
2002,NUTS,2010,AT33,2,504.1
2004,NUTS,2010,AT33,2,632.5
2006,NUTS,2010,AT33,2,801.8
2007,NUTS,2010,AT33,2,822.9
2009,NUTS,2010,AT33,2,972.4
2011,NUTS,2010,AT33,2,1030.1
2013,NUTS,2010,AT33,2,1263.2
2015,NUTS,2010,AT33,2,1324.4
2017,NUTS,2010,AT33,2,1297.6
2019,NUTS,2010,AT33,2,1357.1
1993,NUTS,2010,AT34,2,141.6
1998,NUTS,2010,AT34,2,218.8
2002,NUTS,2010,AT34,2,379.3
2004,NUTS,2010,AT34,2,388.8
2006,NUTS,2010,AT34,2,426.4
2007,NUTS,2010,AT34,2,475.6
2009,NUTS,2010,AT34,2,557.9
2011,NUTS,2010,AT34,2,549.2
2013,NUTS,2010,AT34,2,663.4
2015,NUTS,2010,AT34,2,796.5
2017,NUTS,2010,AT34,2,817.7
2019,NUTS,2010,AT34,2,875.6
2012,NUTS,2010,BA,0,9.3
1983,NUTS,2010,BE,0,148.9
1984,NUTS,2010,BE,0,162.2
1985,NUTS,2010,BE,0,180.3
1986,NUTS,2010,BE,0,193.9
1987,NUTS,2010,BE,0,206.8
1988,NUTS,2010,BE,0,212.8
1989,NUTS,2010,BE,0,237.9
1991,NUTS,2010,BE,0,265.8
1993,NUTS,2010,BE,0,312.3
