year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_emp_hc_total_total_t
2013,NUTS,2010,BG3,1,0.4514
2014,NUTS,2010,BG3,1,0.5379
2015,NUTS,2010,BG3,1,0.6411
2016,NUTS,2010,BG3,1,0.6212
2017,NUTS,2010,BG3,1,0.6146
2018,NUTS,2010,BG3,1,0.7051
2019,NUTS,2010,BG3,1,0.6904
2003,NUTS,2010,BG31,2,0.1666
2004,NUTS,2010,BG31,2,0.1701
2005,NUTS,2010,BG31,2,0.1805
2006,NUTS,2010,BG31,2,0.1974
2007,NUTS,2010,BG31,2,0.2192
2008,NUTS,2010,BG31,2,0.2057
2009,NUTS,2010,BG31,2,0.1828
2010,NUTS,2010,BG31,2,0.2088
2011,NUTS,2010,BG31,2,0.1977
2012,NUTS,2010,BG31,2,0.3123
2013,NUTS,2010,BG31,2,0.3119
2014,NUTS,2010,BG31,2,0.3146
2015,NUTS,2010,BG31,2,0.49
2016,NUTS,2010,BG31,2,0.5529
2017,NUTS,2010,BG31,2,0.508
2018,NUTS,2010,BG31,2,0.6365
2019,NUTS,2010,BG31,2,0.5995
2003,NUTS,2010,BG32,2,0.2188
2004,NUTS,2010,BG32,2,0.2496
2005,NUTS,2010,BG32,2,0.3876
2006,NUTS,2010,BG32,2,0.3574
2007,NUTS,2010,BG32,2,0.3627
2008,NUTS,2010,BG32,2,0.4017
2009,NUTS,2010,BG32,2,0.4281
2010,NUTS,2010,BG32,2,0.4273
2011,NUTS,2010,BG32,2,0.4853
2012,NUTS,2010,BG32,2,0.4584
2013,NUTS,2010,BG32,2,0.4725
2014,NUTS,2010,BG32,2,0.6058
2015,NUTS,2010,BG32,2,0.7011
2016,NUTS,2010,BG32,2,0.5802
2017,NUTS,2010,BG32,2,0.6349
2018,NUTS,2010,BG32,2,0.6985
2019,NUTS,2010,BG32,2,0.6625
2003,NUTS,2010,BG33,2,0.4113
2004,NUTS,2010,BG33,2,0.4362
2005,NUTS,2010,BG33,2,0.3933
2006,NUTS,2010,BG33,2,0.4089
2007,NUTS,2010,BG33,2,0.4151
2008,NUTS,2010,BG33,2,0.4206
2009,NUTS,2010,BG33,2,0.4962
2010,NUTS,2010,BG33,2,0.5724
2011,NUTS,2010,BG33,2,0.5377
2012,NUTS,2010,BG33,2,0.5961
2013,NUTS,2010,BG33,2,0.6204
2014,NUTS,2010,BG33,2,0.7759
2015,NUTS,2010,BG33,2,0.8167
2016,NUTS,2010,BG33,2,0.8004
2017,NUTS,2010,BG33,2,0.8225
2018,NUTS,2010,BG33,2,0.9033
2019,NUTS,2010,BG33,2,0.8837
2003,NUTS,2010,BG34,2,0.2513
2004,NUTS,2010,BG34,2,0.2483
2005,NUTS,2010,BG34,2,0.2467
2006,NUTS,2010,BG34,2,0.3069
2007,NUTS,2010,BG34,2,0.328
2008,NUTS,2010,BG34,2,0.3355
2009,NUTS,2010,BG34,2,0.3802
2010,NUTS,2010,BG34,2,0.3202
2011,NUTS,2010,BG34,2,0.3201
2012,NUTS,2010,BG34,2,0.3562
2013,NUTS,2010,BG34,2,0.3793
2014,NUTS,2010,BG34,2,0.4113
2015,NUTS,2010,BG34,2,0.5257
2016,NUTS,2010,BG34,2,0.5277
2017,NUTS,2010,BG34,2,0.4734
2018,NUTS,2010,BG34,2,0.5728
2019,NUTS,2010,BG34,2,0.5912
2003,NUTS,2010,BG4,1,0.9471
2004,NUTS,2010,BG4,1,0.9252
2005,NUTS,2010,BG4,1,0.9397
2006,NUTS,2010,BG4,1,0.8901
2007,NUTS,2010,BG4,1,0.8758
2008,NUTS,2010,BG4,1,0.8374
2009,NUTS,2010,BG4,1,0.9525
2010,NUTS,2010,BG4,1,0.9403
2011,NUTS,2010,BG4,1,0.9853
2012,NUTS,2010,BG4,1,1.0133
2013,NUTS,2010,BG4,1,1.0332
2014,NUTS,2010,BG4,1,1.1341
2015,NUTS,2010,BG4,1,1.2769
2016,NUTS,2010,BG4,1,1.4715
2017,NUTS,2010,BG4,1,1.3197
2018,NUTS,2010,BG4,1,1.4382
2019,NUTS,2010,BG4,1,1.4242
2000,NUTS,2010,BG41,2,1.4873
2002,NUTS,2010,BG41,2,1.4815
2003,NUTS,2010,BG41,2,1.4413
2004,NUTS,2010,BG41,2,1.4136
2005,NUTS,2010,BG41,2,1.3765
2006,NUTS,2010,BG41,2,1.2945
2007,NUTS,2010,BG41,2,1.2569
2008,NUTS,2010,BG41,2,1.2041
2009,NUTS,2010,BG41,2,1.3554
2010,NUTS,2010,BG41,2,1.2935
2011,NUTS,2010,BG41,2,1.3543
2012,NUTS,2010,BG41,2,1.3985
2013,NUTS,2010,BG41,2,1.4397
2014,NUTS,2010,BG41,2,1.5884
2015,NUTS,2010,BG41,2,1.7356
2016,NUTS,2010,BG41,2,2.0024
2017,NUTS,2010,BG41,2,1.8033
2018,NUTS,2010,BG41,2,1.9237
2019,NUTS,2010,BG41,2,1.871
2003,NUTS,2010,BG42,2,0.2046
2004,NUTS,2010,BG42,2,0.2052
2005,NUTS,2010,BG42,2,0.2522
2006,NUTS,2010,BG42,2,0.2404
2007,NUTS,2010,BG42,2,0.2704
2008,NUTS,2010,BG42,2,0.2556
2009,NUTS,2010,BG42,2,0.2955
2010,NUTS,2010,BG42,2,0.3299
2011,NUTS,2010,BG42,2,0.3388
2012,NUTS,2010,BG42,2,0.3498
2013,NUTS,2010,BG42,2,0.3596
2014,NUTS,2010,BG42,2,0.3953
2015,NUTS,2010,BG42,2,0.5095
2016,NUTS,2010,BG42,2,0.5748
2017,NUTS,2010,BG42,2,0.5272
2018,NUTS,2010,BG42,2,0.6186
2019,NUTS,2010,BG42,2,0.6802
2012,NUTS,2010,CH,0,2.7873
2015,NUTS,2010,CH,0,2.8425
2017,NUTS,2010,CH,0,2.743
2019,NUTS,2010,CH,0,2.9286
1998,NUTS,2010,CY,0,0.4715
1999,NUTS,2010,CY,0,0.5507
2000,NUTS,2010,CY,0,0.566
2001,NUTS,2010,CY,0,0.5757
2002,NUTS,2010,CY,0,0.6289
2003,NUTS,2010,CY,0,0.661
2004,NUTS,2010,CY,0,0.6835
2005,NUTS,2010,CY,0,0.7308
2006,NUTS,2010,CY,0,0.7282
2007,NUTS,2010,CY,0,0.678
2008,NUTS,2010,CY,0,0.6671
2009,NUTS,2010,CY,0,0.6984
2010,NUTS,2010,CY,0,0.688
2011,NUTS,2010,CY,0,0.7236
2012,NUTS,2010,CY,0,0.7299
2013,NUTS,2010,CY,0,0.8395
2014,NUTS,2010,CY,0,0.8332
2015,NUTS,2010,CY,0,0.8346
2016,NUTS,2010,CY,0,0.8732
2017,NUTS,2010,CY,0,0.8973
2018,NUTS,2010,CY,0,0.9626
2019,NUTS,2010,CY,0,1.0129
1998,NUTS,2010,CZ,0,1.0758
1999,NUTS,2010,CZ,0,1.1329
2000,NUTS,2010,CZ,0,1.1569
2001,NUTS,2010,CZ,0,1.1216
2002,NUTS,2010,CZ,0,1.1481
2003,NUTS,2010,CZ,0,1.1986
2004,NUTS,2010,CZ,0,1.2966
2005,NUTS,2010,CZ,0,1.3881
2006,NUTS,2010,CZ,0,1.4502
2007,NUTS,2010,CZ,0,1.505
2008,NUTS,2010,CZ,0,1.5101
2009,NUTS,2010,CZ,0,1.5604
2010,NUTS,2010,CZ,0,1.6196
2011,NUTS,2010,CZ,0,1.7157
2012,NUTS,2010,CZ,0,1.8197
2013,NUTS,2010,CZ,0,1.9132
2014,NUTS,2010,CZ,0,1.9937
2015,NUTS,2010,CZ,0,2.0293
2016,NUTS,2010,CZ,0,1.9911
2017,NUTS,2010,CZ,0,2.1149
2018,NUTS,2010,CZ,0,2.2041
2019,NUTS,2010,CZ,0,2.2729
2020,NUTS,2010,CZ,0,2.3205
1999,NUTS,2010,CZ0,1,1.1179
2000,NUTS,2010,CZ0,1,1.1445
2001,NUTS,2010,CZ0,1,1.1097
2002,NUTS,2010,CZ0,1,1.1346
2003,NUTS,2010,CZ0,1,1.1842
2004,NUTS,2010,CZ0,1,1.2846
2005,NUTS,2010,CZ0,1,1.3724
2006,NUTS,2010,CZ0,1,1.4325
2007,NUTS,2010,CZ0,1,1.4848
2008,NUTS,2010,CZ0,1,1.4894
2009,NUTS,2010,CZ0,1,1.5359
2010,NUTS,2010,CZ0,1,1.5947
2011,NUTS,2010,CZ0,1,1.6887
2012,NUTS,2010,CZ0,1,1.7899
2013,NUTS,2010,CZ0,1,1.8779
2014,NUTS,2010,CZ0,1,1.9571
2015,NUTS,2010,CZ0,1,1.9859
2016,NUTS,2010,CZ0,1,1.9436
2017,NUTS,2010,CZ0,1,2.0632
2018,NUTS,2010,CZ0,1,2.143
2019,NUTS,2010,CZ0,1,2.2077
2020,NUTS,2010,CZ0,1,2.2549
2001,NUTS,2010,CZ01,2,3.4959
2002,NUTS,2010,CZ01,2,3.5478
2003,NUTS,2010,CZ01,2,3.7003
2004,NUTS,2010,CZ01,2,4.0323
2005,NUTS,2010,CZ01,2,4.3481
2006,NUTS,2010,CZ01,2,4.4569
2007,NUTS,2010,CZ01,2,4.7079
2008,NUTS,2010,CZ01,2,4.6377
2009,NUTS,2010,CZ01,2,4.4638
2010,NUTS,2010,CZ01,2,4.4056
2011,NUTS,2010,CZ01,2,4.8516
2012,NUTS,2010,CZ01,2,4.9163
2013,NUTS,2010,CZ01,2,5.2895
2014,NUTS,2010,CZ01,2,5.432
2015,NUTS,2010,CZ01,2,5.3247
2016,NUTS,2010,CZ01,2,5.0526
2017,NUTS,2010,CZ01,2,5.4116
2018,NUTS,2010,CZ01,2,5.5664
2019,NUTS,2010,CZ01,2,5.6729
2020,NUTS,2010,CZ01,2,5.9101
2001,NUTS,2010,CZ02,2,0.794
2002,NUTS,2010,CZ02,2,0.8737
2003,NUTS,2010,CZ02,2,0.9671
2004,NUTS,2010,CZ02,2,0.9727
2005,NUTS,2010,CZ02,2,0.9505
2006,NUTS,2010,CZ02,2,0.9923
2007,NUTS,2010,CZ02,2,0.9731
2008,NUTS,2010,CZ02,2,0.9785
2009,NUTS,2010,CZ02,2,1.0224
2010,NUTS,2010,CZ02,2,1.0518
2011,NUTS,2010,CZ02,2,1.0688
2012,NUTS,2010,CZ02,2,1.0356
2013,NUTS,2010,CZ02,2,1.0687
2014,NUTS,2010,CZ02,2,1.1038
2015,NUTS,2010,CZ02,2,1.1628
2016,NUTS,2010,CZ02,2,1.2518
2017,NUTS,2010,CZ02,2,1.3345
2018,NUTS,2010,CZ02,2,1.4031
2019,NUTS,2010,CZ02,2,1.4237
2020,NUTS,2010,CZ02,2,1.4138
2001,NUTS,2010,CZ03,2,0.6585
2002,NUTS,2010,CZ03,2,0.7233
2003,NUTS,2010,CZ03,2,0.6815
2004,NUTS,2010,CZ03,2,0.7366
2005,NUTS,2010,CZ03,2,0.8253
2006,NUTS,2010,CZ03,2,0.8987
2007,NUTS,2010,CZ03,2,0.8771
2008,NUTS,2010,CZ03,2,0.8515
2009,NUTS,2010,CZ03,2,0.9631
2010,NUTS,2010,CZ03,2,1.1331
2011,NUTS,2010,CZ03,2,1.1911
2012,NUTS,2010,CZ03,2,1.2938
2013,NUTS,2010,CZ03,2,1.3058
2014,NUTS,2010,CZ03,2,1.3955
2015,NUTS,2010,CZ03,2,1.3881
2016,NUTS,2010,CZ03,2,1.3932
2017,NUTS,2010,CZ03,2,1.4428
2018,NUTS,2010,CZ03,2,1.5552
2019,NUTS,2010,CZ03,2,1.6413
2020,NUTS,2010,CZ03,2,1.5996
2001,NUTS,2010,CZ04,2,0.2504
2002,NUTS,2010,CZ04,2,0.2195
2003,NUTS,2010,CZ04,2,0.2221
2004,NUTS,2010,CZ04,2,0.2606
2005,NUTS,2010,CZ04,2,0.2198
2006,NUTS,2010,CZ04,2,0.2929
2007,NUTS,2010,CZ04,2,0.3096
2008,NUTS,2010,CZ04,2,0.2656
2009,NUTS,2010,CZ04,2,0.2817
2010,NUTS,2010,CZ04,2,0.2865
2011,NUTS,2010,CZ04,2,0.3295
2012,NUTS,2010,CZ04,2,0.3918
2013,NUTS,2010,CZ04,2,0.4057
2014,NUTS,2010,CZ04,2,0.4754
2015,NUTS,2010,CZ04,2,0.4212
2016,NUTS,2010,CZ04,2,0.3862
2017,NUTS,2010,CZ04,2,0.4314
2018,NUTS,2010,CZ04,2,0.4615
2019,NUTS,2010,CZ04,2,0.4729
2020,NUTS,2010,CZ04,2,0.4822
2001,NUTS,2010,CZ05,2,0.7286
2002,NUTS,2010,CZ05,2,0.7696
2003,NUTS,2010,CZ05,2,0.7984
2004,NUTS,2010,CZ05,2,0.8928
2005,NUTS,2010,CZ05,2,0.8967
2006,NUTS,2010,CZ05,2,0.9929
2007,NUTS,2010,CZ05,2,1.0481
2008,NUTS,2010,CZ05,2,1.0516
2009,NUTS,2010,CZ05,2,1.1252
2010,NUTS,2010,CZ05,2,1.1772
2011,NUTS,2010,CZ05,2,1.238
2012,NUTS,2010,CZ05,2,1.2985
2013,NUTS,2010,CZ05,2,1.4107
2014,NUTS,2010,CZ05,2,1.3925
2015,NUTS,2010,CZ05,2,1.3875
2016,NUTS,2010,CZ05,2,1.3828
2017,NUTS,2010,CZ05,2,1.4271
2018,NUTS,2010,CZ05,2,1.4568
2019,NUTS,2010,CZ05,2,1.5228
2020,NUTS,2010,CZ05,2,1.5126
2001,NUTS,2010,CZ06,2,1.2978
2002,NUTS,2010,CZ06,2,1.3263
2003,NUTS,2010,CZ06,2,1.377
2004,NUTS,2010,CZ06,2,1.4876
2005,NUTS,2010,CZ06,2,1.6314
2006,NUTS,2010,CZ06,2,1.6128
2007,NUTS,2010,CZ06,2,1.652
2008,NUTS,2010,CZ06,2,1.7758
2009,NUTS,2010,CZ06,2,1.8769
2010,NUTS,2010,CZ06,2,1.9454
2011,NUTS,2010,CZ06,2,2.0015
2012,NUTS,2010,CZ06,2,2.267
2013,NUTS,2010,CZ06,2,2.3154
2014,NUTS,2010,CZ06,2,2.4609
2015,NUTS,2010,CZ06,2,2.7409
2016,NUTS,2010,CZ06,2,2.6623
2017,NUTS,2010,CZ06,2,2.7636
2018,NUTS,2010,CZ06,2,2.8925
2019,NUTS,2010,CZ06,2,2.9471
2020,NUTS,2010,CZ06,2,3.0899
2001,NUTS,2010,CZ07,2,0.6141
