year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pnp_mio_pps_kp05
2019,NUTS,2010,BG4,1,4.742
2012,NUTS,2010,BG41,2,6.472
2013,NUTS,2010,BG41,2,2.15
2014,NUTS,2010,BG41,2,4.387
2015,NUTS,2010,BG41,2,3.883
2016,NUTS,2010,BG41,2,0.899
2017,NUTS,2010,BG41,2,4.108
2018,NUTS,2010,BG41,2,2.453
2019,NUTS,2010,BG41,2,2.788
2012,NUTS,2010,BG42,2,0.212
2014,NUTS,2010,BG42,2,0.099
2015,NUTS,2010,BG42,2,0.143
2016,NUTS,2010,BG42,2,1.003
2017,NUTS,2010,BG42,2,1.2
2018,NUTS,2010,BG42,2,1.17
2019,NUTS,2010,BG42,2,1.954
2011,NUTS,2010,BGZ,1,0.0
2012,NUTS,2010,BGZ,1,0.0
2013,NUTS,2010,BGZ,1,0.0
2014,NUTS,2010,BGZ,1,0.0
2019,NUTS,2010,BGZ,1,0.0
2011,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,BGZZ,2,0.0
2013,NUTS,2010,BGZZ,2,0.0
2014,NUTS,2010,BGZZ,2,0.0
2019,NUTS,2010,BGZZ,2,0.0
2012,NUTS,2010,CH,0,154.45
2015,NUTS,2010,CH,0,242.229
2017,NUTS,2010,CH,0,245.702
2019,NUTS,2010,CH,0,283.266
2012,NUTS,2010,CH0,1,154.45
2015,NUTS,2010,CH0,1,242.229
2017,NUTS,2010,CH0,1,245.702
2019,NUTS,2010,CH0,1,283.266
2011,NUTS,2010,CY,0,13.468
2012,NUTS,2010,CY,0,10.497
2013,NUTS,2010,CY,0,10.621
2014,NUTS,2010,CY,0,13.212
2015,NUTS,2010,CY,0,11.966
2016,NUTS,2010,CY,0,12.299
2017,NUTS,2010,CY,0,12.607
2018,NUTS,2010,CY,0,14.22
2019,NUTS,2010,CY,0,17.835
2020,NUTS,2010,CY,0,19.413
2011,NUTS,2010,CY0,1,13.468
2012,NUTS,2010,CY0,1,10.497
2013,NUTS,2010,CY0,1,10.621
2014,NUTS,2010,CY0,1,13.212
2015,NUTS,2010,CY0,1,11.966
2016,NUTS,2010,CY0,1,12.299
2017,NUTS,2010,CY0,1,12.607
2018,NUTS,2010,CY0,1,14.22
2019,NUTS,2010,CY0,1,17.835
2020,NUTS,2010,CY0,1,19.413
2011,NUTS,2010,CY00,2,13.468
2012,NUTS,2010,CY00,2,10.497
2013,NUTS,2010,CY00,2,10.621
2014,NUTS,2010,CY00,2,13.212
2015,NUTS,2010,CY00,2,11.966
2016,NUTS,2010,CY00,2,12.299
2017,NUTS,2010,CY00,2,12.607
2018,NUTS,2010,CY00,2,14.22
2019,NUTS,2010,CY00,2,17.835
2020,NUTS,2010,CY00,2,19.413
2011,NUTS,2010,CZ,0,18.064
2012,NUTS,2010,CZ,0,19.048
2013,NUTS,2010,CZ,0,13.607
2014,NUTS,2010,CZ,0,17.401
2015,NUTS,2010,CZ,0,16.822
2016,NUTS,2010,CZ,0,9.574
2017,NUTS,2010,CZ,0,12.094
2018,NUTS,2010,CZ,0,10.613
2019,NUTS,2010,CZ,0,14.252
2020,NUTS,2010,CZ,0,14.265
2011,NUTS,2010,CZ0,1,18.064
2012,NUTS,2010,CZ0,1,19.048
2013,NUTS,2010,CZ0,1,13.607
2014,NUTS,2010,CZ0,1,17.401
2015,NUTS,2010,CZ0,1,16.822
2016,NUTS,2010,CZ0,1,9.574
2017,NUTS,2010,CZ0,1,12.094
2018,NUTS,2010,CZ0,1,10.613
2019,NUTS,2010,CZ0,1,14.252
2020,NUTS,2010,CZ0,1,14.265
2011,NUTS,2010,CZ01,2,8.529
2012,NUTS,2010,CZ01,2,9.151
2013,NUTS,2010,CZ01,2,7.398
2014,NUTS,2010,CZ01,2,7.598
2015,NUTS,2010,CZ01,2,7.022
2016,NUTS,2010,CZ01,2,6.746
2017,NUTS,2010,CZ01,2,7.059
2018,NUTS,2010,CZ01,2,5.776
2019,NUTS,2010,CZ01,2,7.337
2020,NUTS,2010,CZ01,2,7.259
2011,NUTS,2010,CZ02,2,0.213
2012,NUTS,2010,CZ02,2,0.23
2013,NUTS,2010,CZ02,2,0.993
2014,NUTS,2010,CZ02,2,0.445
2015,NUTS,2010,CZ02,2,0.444
2016,NUTS,2010,CZ02,2,0.226
2017,NUTS,2010,CZ02,2,0.271
2018,NUTS,2010,CZ02,2,0.149
2019,NUTS,2010,CZ02,2,0.087
2020,NUTS,2010,CZ02,2,0.117
2011,NUTS,2010,CZ03,2,0.98
2012,NUTS,2010,CZ03,2,2.699
2013,NUTS,2010,CZ03,2,0.538
2014,NUTS,2010,CZ03,2,1.15
2015,NUTS,2010,CZ03,2,4.415
2016,NUTS,2010,CZ03,2,1.377
2017,NUTS,2010,CZ03,2,2.353
2018,NUTS,2010,CZ03,2,2.077
2019,NUTS,2010,CZ03,2,1.591
2020,NUTS,2010,CZ03,2,1.573
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.022
2019,NUTS,2010,CZ04,2,0.038
2020,NUTS,2010,CZ04,2,0.039
2011,NUTS,2010,CZ05,2,2.053
2012,NUTS,2010,CZ05,2,1.696
2013,NUTS,2010,CZ05,2,2.126
2014,NUTS,2010,CZ05,2,0.637
2015,NUTS,2010,CZ05,2,0.131
2016,NUTS,2010,CZ05,2,0.105
2017,NUTS,2010,CZ05,2,0.446
2018,NUTS,2010,CZ05,2,0.006
2019,NUTS,2010,CZ05,2,2.91
