year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_pc_act_hc_rse_t
2011,NUTS,2010,AT,0,0.0796
2013,NUTS,2010,AT,0,0.0811
2015,NUTS,2010,AT,0,0.0864
2017,NUTS,2010,AT,0,0.1482
2019,NUTS,2010,AT,0,0.1564
2011,NUTS,2010,AT1,1,0.1408
2013,NUTS,2010,AT1,1,0.1402
2019,NUTS,2010,AT1,1,0.2786
2011,NUTS,2010,AT11,2,0.0194
2013,NUTS,2010,AT11,2,0.0207
2011,NUTS,2010,AT12,2,0.0195
2013,NUTS,2010,AT12,2,0.0214
2015,NUTS,2010,AT12,2,0.0369
2017,NUTS,2010,AT12,2,0.0523
2011,NUTS,2010,AT13,2,0.2789
2013,NUTS,2010,AT13,2,0.2707
2015,NUTS,2010,AT13,2,0.2767
2017,NUTS,2010,AT13,2,0.4893
2019,NUTS,2010,AT13,2,0.5179
2015,NUTS,2010,AT2,1,0.0281
2019,NUTS,2010,AT2,1,0.0742
2011,NUTS,2010,AT21,2,0.0213
2019,NUTS,2010,AT3,1,0.0527
2011,NUTS,2010,AT31,2,0.0194
2013,NUTS,2010,AT31,2,0.016
2015,NUTS,2010,AT31,2,0.0205
2017,NUTS,2010,AT31,2,0.0427
2019,NUTS,2010,AT31,2,0.041
2015,NUTS,2010,AT32,2,0.1124
2017,NUTS,2010,AT32,2,0.1019
2019,NUTS,2010,AT32,2,0.1024
2013,NUTS,2010,AT33,2,0.0262
2019,NUTS,2010,AT33,2,0.0488
2011,NUTS,2010,AT34,2,0.0287
2013,NUTS,2010,AT34,2,0.0273
2015,NUTS,2010,AT34,2,0.0324
2017,NUTS,2010,AT34,2,0.0331
2019,NUTS,2010,AT34,2,0.0342
2011,NUTS,2010,BE,0,0.0667
2012,NUTS,2010,BE,0,0.0817
2013,NUTS,2010,BE,0,0.0828
2014,NUTS,2010,BE,0,0.0908
2015,NUTS,2010,BE,0,0.0913
2016,NUTS,2010,BE,0,0.0967
