year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_hc_bes_total_f
2013,NUTS,2010,BG33,2,0.0408
2015,NUTS,2010,BG33,2,0.138
2016,NUTS,2010,BG33,2,0.1281
2017,NUTS,2010,BG33,2,0.1093
2018,NUTS,2010,BG33,2,0.1816
2019,NUTS,2010,BG33,2,0.1734
2003,NUTS,2010,BG34,2,0.065
2004,NUTS,2010,BG34,2,0.0593
2005,NUTS,2010,BG34,2,0.0293
2006,NUTS,2010,BG34,2,0.0339
2007,NUTS,2010,BG34,2,0.051
2008,NUTS,2010,BG34,2,0.077
2010,NUTS,2010,BG34,2,0.0616
2011,NUTS,2010,BG34,2,0.0491
2014,NUTS,2010,BG34,2,0.0558
2015,NUTS,2010,BG34,2,0.1618
2016,NUTS,2010,BG34,2,0.1639
2017,NUTS,2010,BG34,2,0.1619
2018,NUTS,2010,BG34,2,0.2057
2019,NUTS,2010,BG34,2,0.223
2003,NUTS,2010,BG4,1,0.1102
2004,NUTS,2010,BG4,1,0.1042
2005,NUTS,2010,BG4,1,0.1244
2006,NUTS,2010,BG4,1,0.1062
2007,NUTS,2010,BG4,1,0.1041
2008,NUTS,2010,BG4,1,0.1045
2010,NUTS,2010,BG4,1,0.1202
2011,NUTS,2010,BG4,1,0.1139
2012,NUTS,2010,BG4,1,0.1445
2013,NUTS,2010,BG4,1,0.182
2014,NUTS,2010,BG4,1,0.2372
2015,NUTS,2010,BG4,1,0.3588
2016,NUTS,2010,BG4,1,0.4802
2017,NUTS,2010,BG4,1,0.4588
2018,NUTS,2010,BG4,1,0.5074
2019,NUTS,2010,BG4,1,0.538
2000,NUTS,2010,BG41,2,0.1696
2003,NUTS,2010,BG41,2,0.162
2004,NUTS,2010,BG41,2,0.1563
2005,NUTS,2010,BG41,2,0.1617
2006,NUTS,2010,BG41,2,0.134
2007,NUTS,2010,BG41,2,0.1266
2008,NUTS,2010,BG41,2,0.1226
2009,NUTS,2010,BG41,2,0.1735
2010,NUTS,2010,BG41,2,0.1476
2011,NUTS,2010,BG41,2,0.1367
2012,NUTS,2010,BG41,2,0.1836
2014,NUTS,2010,BG41,2,0.3328
2015,NUTS,2010,BG41,2,0.4672
2016,NUTS,2010,BG41,2,0.6412
2017,NUTS,2010,BG41,2,0.6254
2018,NUTS,2010,BG41,2,0.69
2019,NUTS,2010,BG41,2,0.7376
2003,NUTS,2010,BG42,2,0.0306
2004,NUTS,2010,BG42,2,0.0242
2005,NUTS,2010,BG42,2,0.0664
2006,NUTS,2010,BG42,2,0.0615
2007,NUTS,2010,BG42,2,0.0683
2008,NUTS,2010,BG42,2,0.0758
2010,NUTS,2010,BG42,2,0.0734
2011,NUTS,2010,BG42,2,0.0751
2012,NUTS,2010,BG42,2,0.0802
2014,NUTS,2010,BG42,2,0.0809
2015,NUTS,2010,BG42,2,0.1736
2016,NUTS,2010,BG42,2,0.199
2017,NUTS,2010,BG42,2,0.1771
2018,NUTS,2010,BG42,2,0.1889
2019,NUTS,2010,BG42,2,0.1946
2012,NUTS,2010,CH,0,0.6326
2015,NUTS,2010,CH,0,0.596
2017,NUTS,2010,CH,0,0.6155
2019,NUTS,2010,CH,0,0.644
2008,NUTS,2010,CH01,2,0.5551
2012,NUTS,2010,CH01,2,0.5241
2015,NUTS,2010,CH01,2,0.6023
2017,NUTS,2010,CH01,2,0.4993
2019,NUTS,2010,CH01,2,0.536
2008,NUTS,2010,CH02,2,0.2339
2012,NUTS,2010,CH02,2,0.4094
2015,NUTS,2010,CH02,2,0.3413
2017,NUTS,2010,CH02,2,0.3081
2019,NUTS,2010,CH02,2,0.3117
2008,NUTS,2010,CH03,2,1.2437
2012,NUTS,2010,CH03,2,1.6723
2015,NUTS,2010,CH03,2,1.6366
2017,NUTS,2010,CH03,2,1.8489
2019,NUTS,2010,CH03,2,2.0158
2008,NUTS,2010,CH04,2,0.4236
2012,NUTS,2010,CH04,2,0.4889
2015,NUTS,2010,CH04,2,0.3666
2017,NUTS,2010,CH04,2,0.4194
2019,NUTS,2010,CH04,2,0.3776
2008,NUTS,2010,CH05,2,0.2339
2012,NUTS,2010,CH05,2,0.3393
2015,NUTS,2010,CH05,2,0.3166
2017,NUTS,2010,CH05,2,0.2596
2019,NUTS,2010,CH05,2,0.3693
2008,NUTS,2010,CH06,2,0.2385
2012,NUTS,2010,CH06,2,0.4884
2015,NUTS,2010,CH06,2,0.5466
2017,NUTS,2010,CH06,2,0.573
2019,NUTS,2010,CH06,2,0.5303
2008,NUTS,2010,CH07,2,0.2356
2012,NUTS,2010,CH07,2,0.4616
2015,NUTS,2010,CH07,2,0.1473
2017,NUTS,2010,CH07,2,0.4149
2019,NUTS,2010,CH07,2,0.2937
1998,NUTS,2010,CY,0,0.0744
1999,NUTS,2010,CY,0,0.113
2000,NUTS,2010,CY,0,0.116
2001,NUTS,2010,CY,0,0.118
2002,NUTS,2010,CY,0,0.1167
2003,NUTS,2010,CY,0,0.1273
2004,NUTS,2010,CY,0,0.1253
2005,NUTS,2010,CY,0,0.1226
2006,NUTS,2010,CY,0,0.1262
2007,NUTS,2010,CY,0,0.096
2008,NUTS,2010,CY,0,0.1023
2009,NUTS,2010,CY,0,0.1027
2010,NUTS,2010,CY,0,0.0842
2011,NUTS,2010,CY,0,0.0782
2012,NUTS,2010,CY,0,0.0755
2013,NUTS,2010,CY,0,0.0784
2014,NUTS,2010,CY,0,0.0758
2015,NUTS,2010,CY,0,0.0723
2016,NUTS,2010,CY,0,0.0945
2017,NUTS,2010,CY,0,0.1109
2018,NUTS,2010,CY,0,0.1493
2019,NUTS,2010,CY,0,0.1612
1999,NUTS,2010,CZ,0,0.2717
2000,NUTS,2010,CZ,0,0.2675
2001,NUTS,2010,CZ,0,0.2581
2002,NUTS,2010,CZ,0,0.2728
2003,NUTS,2010,CZ,0,0.2837
2004,NUTS,2010,CZ,0,0.3056
2005,NUTS,2010,CZ,0,0.2528
2006,NUTS,2010,CZ,0,0.256
2007,NUTS,2010,CZ,0,0.282
2008,NUTS,2010,CZ,0,0.2799
2009,NUTS,2010,CZ,0,0.2789
2010,NUTS,2010,CZ,0,0.2939
2011,NUTS,2010,CZ,0,0.3163
2012,NUTS,2010,CZ,0,0.3403
2013,NUTS,2010,CZ,0,0.3683
2014,NUTS,2010,CZ,0,0.3848
2015,NUTS,2010,CZ,0,0.38
2016,NUTS,2010,CZ,0,0.3938
2017,NUTS,2010,CZ,0,0.414
2018,NUTS,2010,CZ,0,0.4259
2019,NUTS,2010,CZ,0,0.4406
2020,NUTS,2010,CZ,0,0.461
1999,NUTS,2010,CZ0,1,0.2695
2000,NUTS,2010,CZ0,1,0.2656
2001,NUTS,2010,CZ0,1,0.2566
2002,NUTS,2010,CZ0,1,0.2713
2003,NUTS,2010,CZ0,1,0.2811
2004,NUTS,2010,CZ0,1,0.3033
2005,NUTS,2010,CZ0,1,0.2506
2006,NUTS,2010,CZ0,1,0.2536
2007,NUTS,2010,CZ0,1,0.2789
2008,NUTS,2010,CZ0,1,0.2767
2009,NUTS,2010,CZ0,1,0.2752
2010,NUTS,2010,CZ0,1,0.2899
2011,NUTS,2010,CZ0,1,0.3117
2012,NUTS,2010,CZ0,1,0.3352
2013,NUTS,2010,CZ0,1,0.3621
2014,NUTS,2010,CZ0,1,0.3786
2015,NUTS,2010,CZ0,1,0.3725
2016,NUTS,2010,CZ0,1,0.3853
2017,NUTS,2010,CZ0,1,0.4043
2018,NUTS,2010,CZ0,1,0.4147
2019,NUTS,2010,CZ0,1,0.4287
2020,NUTS,2010,CZ0,1,0.4489
2001,NUTS,2010,CZ01,2,0.6832
2002,NUTS,2010,CZ01,2,0.6979
2003,NUTS,2010,CZ01,2,0.7163
2004,NUTS,2010,CZ01,2,0.8211
2005,NUTS,2010,CZ01,2,0.5017
2006,NUTS,2010,CZ01,2,0.4614
2007,NUTS,2010,CZ01,2,0.5358
2008,NUTS,2010,CZ01,2,0.5258
2009,NUTS,2010,CZ01,2,0.4793
2010,NUTS,2010,CZ01,2,0.4731
2011,NUTS,2010,CZ01,2,0.6128
2012,NUTS,2010,CZ01,2,0.7204
2013,NUTS,2010,CZ01,2,0.8118
2014,NUTS,2010,CZ01,2,0.8076
2015,NUTS,2010,CZ01,2,0.7816
2016,NUTS,2010,CZ01,2,0.8531
2017,NUTS,2010,CZ01,2,0.837
2018,NUTS,2010,CZ01,2,0.842
2019,NUTS,2010,CZ01,2,0.8506
2020,NUTS,2010,CZ01,2,0.9439
2001,NUTS,2010,CZ02,2,0.3202
2002,NUTS,2010,CZ02,2,0.3813
2003,NUTS,2010,CZ02,2,0.3745
2004,NUTS,2010,CZ02,2,0.3164
2005,NUTS,2010,CZ02,2,0.3204
2006,NUTS,2010,CZ02,2,0.3359
2007,NUTS,2010,CZ02,2,0.3368
2008,NUTS,2010,CZ02,2,0.3491
2009,NUTS,2010,CZ02,2,0.3435
2010,NUTS,2010,CZ02,2,0.3471
2011,NUTS,2010,CZ02,2,0.3557
2012,NUTS,2010,CZ02,2,0.3595
2013,NUTS,2010,CZ02,2,0.3466
2014,NUTS,2010,CZ02,2,0.3232
2015,NUTS,2010,CZ02,2,0.3264
2016,NUTS,2010,CZ02,2,0.3232
2017,NUTS,2010,CZ02,2,0.339
2018,NUTS,2010,CZ02,2,0.3586
2019,NUTS,2010,CZ02,2,0.3512
2020,NUTS,2010,CZ02,2,0.3533
2001,NUTS,2010,CZ03,2,0.1009
2002,NUTS,2010,CZ03,2,0.113
2003,NUTS,2010,CZ03,2,0.1213
2004,NUTS,2010,CZ03,2,0.1189
2005,NUTS,2010,CZ03,2,0.1056
2006,NUTS,2010,CZ03,2,0.1253
2007,NUTS,2010,CZ03,2,0.1229
2008,NUTS,2010,CZ03,2,0.1162
2009,NUTS,2010,CZ03,2,0.1668
2010,NUTS,2010,CZ03,2,0.1614
2011,NUTS,2010,CZ03,2,0.1831
2012,NUTS,2010,CZ03,2,0.1958
2013,NUTS,2010,CZ03,2,0.2012
2014,NUTS,2010,CZ03,2,0.209
2015,NUTS,2010,CZ03,2,0.208
2016,NUTS,2010,CZ03,2,0.2403
2017,NUTS,2010,CZ03,2,0.2596
2018,NUTS,2010,CZ03,2,0.2896
2019,NUTS,2010,CZ03,2,0.3121
2020,NUTS,2010,CZ03,2,0.3004
2001,NUTS,2010,CZ04,2,0.0938
2002,NUTS,2010,CZ04,2,0.1004
2003,NUTS,2010,CZ04,2,0.088
2004,NUTS,2010,CZ04,2,0.1035
2005,NUTS,2010,CZ04,2,0.1077
2006,NUTS,2010,CZ04,2,0.149
2007,NUTS,2010,CZ04,2,0.1414
2008,NUTS,2010,CZ04,2,0.1009
2009,NUTS,2010,CZ04,2,0.1043
2010,NUTS,2010,CZ04,2,0.104
2011,NUTS,2010,CZ04,2,0.1228
2012,NUTS,2010,CZ04,2,0.1409
2013,NUTS,2010,CZ04,2,0.157
2014,NUTS,2010,CZ04,2,0.1678
2015,NUTS,2010,CZ04,2,0.1853
2016,NUTS,2010,CZ04,2,0.1655
2017,NUTS,2010,CZ04,2,0.1637
2018,NUTS,2010,CZ04,2,0.1681
2019,NUTS,2010,CZ04,2,0.2028
2020,NUTS,2010,CZ04,2,0.1858
2001,NUTS,2010,CZ05,2,0.2395
2002,NUTS,2010,CZ05,2,0.2679
2003,NUTS,2010,CZ05,2,0.2812
2004,NUTS,2010,CZ05,2,0.2954
2005,NUTS,2010,CZ05,2,0.2897
2006,NUTS,2010,CZ05,2,0.3035
2007,NUTS,2010,CZ05,2,0.3489
2008,NUTS,2010,CZ05,2,0.3434
2009,NUTS,2010,CZ05,2,0.3362
2010,NUTS,2010,CZ05,2,0.3636
2011,NUTS,2010,CZ05,2,0.3645
2012,NUTS,2010,CZ05,2,0.3924
2013,NUTS,2010,CZ05,2,0.433
2014,NUTS,2010,CZ05,2,0.4196
2015,NUTS,2010,CZ05,2,0.4225
2016,NUTS,2010,CZ05,2,0.4052
2017,NUTS,2010,CZ05,2,0.4446
2018,NUTS,2010,CZ05,2,0.4387
2019,NUTS,2010,CZ05,2,0.4237
2020,NUTS,2010,CZ05,2,0.4252
2001,NUTS,2010,CZ06,2,0.1853
2002,NUTS,2010,CZ06,2,0.2056
2003,NUTS,2010,CZ06,2,0.2773
2004,NUTS,2010,CZ06,2,0.3163
2005,NUTS,2010,CZ06,2,0.2452
2006,NUTS,2010,CZ06,2,0.2191
2007,NUTS,2010,CZ06,2,0.2499
2008,NUTS,2010,CZ06,2,0.2839
2009,NUTS,2010,CZ06,2,0.2875
2010,NUTS,2010,CZ06,2,0.3517
2011,NUTS,2010,CZ06,2,0.3153
2012,NUTS,2010,CZ06,2,0.3218
2013,NUTS,2010,CZ06,2,0.3645
2014,NUTS,2010,CZ06,2,0.4858
2015,NUTS,2010,CZ06,2,0.4344
2016,NUTS,2010,CZ06,2,0.4591
2017,NUTS,2010,CZ06,2,0.4686
2018,NUTS,2010,CZ06,2,0.4761
2019,NUTS,2010,CZ06,2,0.5079
2020,NUTS,2010,CZ06,2,0.5609
2001,NUTS,2010,CZ07,2,0.2081
2002,NUTS,2010,CZ07,2,0.2285
2003,NUTS,2010,CZ07,2,0.1994
2004,NUTS,2010,CZ07,2,0.254
2005,NUTS,2010,CZ07,2,0.3056
2006,NUTS,2010,CZ07,2,0.298
2007,NUTS,2010,CZ07,2,0.3085
2008,NUTS,2010,CZ07,2,0.2941
2009,NUTS,2010,CZ07,2,0.2683
2010,NUTS,2010,CZ07,2,0.2618
2011,NUTS,2010,CZ07,2,0.2933
2012,NUTS,2010,CZ07,2,0.2921
2013,NUTS,2010,CZ07,2,0.3036
2014,NUTS,2010,CZ07,2,0.3051
2015,NUTS,2010,CZ07,2,0.3248
2016,NUTS,2010,CZ07,2,0.3194
2017,NUTS,2010,CZ07,2,0.3388
2018,NUTS,2010,CZ07,2,0.3485
2019,NUTS,2010,CZ07,2,0.3937
2020,NUTS,2010,CZ07,2,0.3941
2001,NUTS,2010,CZ08,2,0.1862
2002,NUTS,2010,CZ08,2,0.1478
2003,NUTS,2010,CZ08,2,0.1334
2004,NUTS,2010,CZ08,2,0.1489
2005,NUTS,2010,CZ08,2,0.1019
2006,NUTS,2010,CZ08,2,0.1109
2007,NUTS,2010,CZ08,2,0.1382
2008,NUTS,2010,CZ08,2,0.1418
2009,NUTS,2010,CZ08,2,0.1541
2010,NUTS,2010,CZ08,2,0.1757
2011,NUTS,2010,CZ08,2,0.181
2012,NUTS,2010,CZ08,2,0.1814
2013,NUTS,2010,CZ08,2,0.1934
2014,NUTS,2010,CZ08,2,0.1955
2015,NUTS,2010,CZ08,2,0.1954
2016,NUTS,2010,CZ08,2,0.2085
2017,NUTS,2010,CZ08,2,0.2636
2018,NUTS,2010,CZ08,2,0.2676
2019,NUTS,2010,CZ08,2,0.26
2020,NUTS,2010,CZ08,2,0.2638
2001,NUTS,2010,DE,0,0.3849
2003,NUTS,2010,DE,0,0.3607
2005,NUTS,2010,DE,0,0.3497
2007,NUTS,2010,DE,0,0.3655
2009,NUTS,2010,DE,0,0.3924
2011,NUTS,2010,DE,0,0.4344
2013,NUTS,2010,DE,0,0.4227
2015,NUTS,2010,DE,0,0.4572
2017,NUTS,2010,DE,0,0.488
2019,NUTS,2010,DE,0,0.5228
2017,NUTS,2010,DE1,1,0.8412
2019,NUTS,2010,DE1,1,0.9031
2017,NUTS,2010,DE11,2,1.0877
2019,NUTS,2010,DE11,2,1.1609
2017,NUTS,2010,DE12,2,0.7505
2019,NUTS,2010,DE12,2,0.7854
2017,NUTS,2010,DE13,2,0.4399
2019,NUTS,2010,DE13,2,0.4783
2017,NUTS,2010,DE14,2,0.9285
