year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_hc_bes_total_f
1998,NUTS,2010,AT,0,0.2317
2002,NUTS,2010,AT,0,0.2958
2004,NUTS,2010,AT,0,0.3686
2006,NUTS,2010,AT,0,0.4199
2007,NUTS,2010,AT,0,0.4354
2009,NUTS,2010,AT,0,0.4702
2011,NUTS,2010,AT,0,0.5182
2013,NUTS,2010,AT,0,0.5691
2015,NUTS,2010,AT,0,0.6028
2017,NUTS,2010,AT,0,0.5803
2019,NUTS,2010,AT,0,0.6425
2002,NUTS,2010,AT1,1,0.3834
2004,NUTS,2010,AT1,1,0.4804
2006,NUTS,2010,AT1,1,0.533
2007,NUTS,2010,AT1,1,0.5429
2009,NUTS,2010,AT1,1,0.5629
2011,NUTS,2010,AT1,1,0.5869
2013,NUTS,2010,AT1,1,0.6185
2015,NUTS,2010,AT1,1,0.6252
2017,NUTS,2010,AT1,1,0.5395
2019,NUTS,2010,AT1,1,0.5938
2002,NUTS,2010,AT11,2,0.1149
2004,NUTS,2010,AT11,2,0.1494
2006,NUTS,2010,AT11,2,0.144
2007,NUTS,2010,AT11,2,0.1445
2009,NUTS,2010,AT11,2,0.2087
2011,NUTS,2010,AT11,2,0.2476
2013,NUTS,2010,AT11,2,0.2785
2015,NUTS,2010,AT11,2,0.2134
2017,NUTS,2010,AT11,2,0.2881
2019,NUTS,2010,AT11,2,0.2189
2002,NUTS,2010,AT12,2,0.1789
2004,NUTS,2010,AT12,2,0.2206
2006,NUTS,2010,AT12,2,0.2828
2007,NUTS,2010,AT12,2,0.2845
2009,NUTS,2010,AT12,2,0.3124
2011,NUTS,2010,AT12,2,0.3168
2013,NUTS,2010,AT12,2,0.3359
2015,NUTS,2010,AT12,2,0.3384
2017,NUTS,2010,AT12,2,0.3061
2019,NUTS,2010,AT12,2,0.3866
2002,NUTS,2010,AT13,2,0.6116
2004,NUTS,2010,AT13,2,0.7738
2006,NUTS,2010,AT13,2,0.8255
2007,NUTS,2010,AT13,2,0.8517
2009,NUTS,2010,AT13,2,0.8577
2011,NUTS,2010,AT13,2,0.8958
2013,NUTS,2010,AT13,2,0.927
2015,NUTS,2010,AT13,2,0.9526
2017,NUTS,2010,AT13,2,0.79
2019,NUTS,2010,AT13,2,0.833
2002,NUTS,2010,AT2,1,0.3084
2004,NUTS,2010,AT2,1,0.3984
2006,NUTS,2010,AT2,1,0.4506
2007,NUTS,2010,AT2,1,0.4807
2009,NUTS,2010,AT2,1,0.5252
2011,NUTS,2010,AT2,1,0.6437
2013,NUTS,2010,AT2,1,0.7228
2015,NUTS,2010,AT2,1,0.7859
2017,NUTS,2010,AT2,1,0.7712
2019,NUTS,2010,AT2,1,0.8789
2002,NUTS,2010,AT21,2,0.1603
2004,NUTS,2010,AT21,2,0.212
2006,NUTS,2010,AT21,2,0.2663
2007,NUTS,2010,AT21,2,0.2727
2009,NUTS,2010,AT21,2,0.3078
2011,NUTS,2010,AT21,2,0.3309
2013,NUTS,2010,AT21,2,0.3404
2015,NUTS,2010,AT21,2,0.4112
2017,NUTS,2010,AT21,2,0.5171
2019,NUTS,2010,AT21,2,0.6162
2002,NUTS,2010,AT22,2,0.3761
2004,NUTS,2010,AT22,2,0.4855
2006,NUTS,2010,AT22,2,0.5322
2007,NUTS,2010,AT22,2,0.5736
2009,NUTS,2010,AT22,2,0.6218
2011,NUTS,2010,AT22,2,0.7825
2013,NUTS,2010,AT22,2,0.8957
2015,NUTS,2010,AT22,2,0.953
2017,NUTS,2010,AT22,2,0.8832
2019,NUTS,2010,AT22,2,0.9932
2002,NUTS,2010,AT3,1,0.1781
2004,NUTS,2010,AT3,1,0.224
2006,NUTS,2010,AT3,1,0.2589
2007,NUTS,2010,AT3,1,0.2717
2009,NUTS,2010,AT3,1,0.3185
2011,NUTS,2010,AT3,1,0.3518
2013,NUTS,2010,AT3,1,0.4104
2015,NUTS,2010,AT3,1,0.4561
2017,NUTS,2010,AT3,1,0.5071
2019,NUTS,2010,AT3,1,0.5532
2002,NUTS,2010,AT31,2,0.1562
2004,NUTS,2010,AT31,2,0.2182
2006,NUTS,2010,AT31,2,0.2673
2007,NUTS,2010,AT31,2,0.2788
2009,NUTS,2010,AT31,2,0.3163
2011,NUTS,2010,AT31,2,0.3735
2013,NUTS,2010,AT31,2,0.4401
2015,NUTS,2010,AT31,2,0.4936
2017,NUTS,2010,AT31,2,0.5082
2019,NUTS,2010,AT31,2,0.6308
2002,NUTS,2010,AT32,2,0.1009
2004,NUTS,2010,AT32,2,0.0974
2006,NUTS,2010,AT32,2,0.1261
2007,NUTS,2010,AT32,2,0.1315
2009,NUTS,2010,AT32,2,0.1577
2011,NUTS,2010,AT32,2,0.1971
2013,NUTS,2010,AT32,2,0.2431
2015,NUTS,2010,AT32,2,0.2769
2017,NUTS,2010,AT32,2,0.3263
2019,NUTS,2010,AT32,2,0.3668
2002,NUTS,2010,AT33,2,0.283
2004,NUTS,2010,AT33,2,0.32
2006,NUTS,2010,AT33,2,0.3393
2007,NUTS,2010,AT33,2,0.3567
2009,NUTS,2010,AT33,2,0.3855
2011,NUTS,2010,AT33,2,0.4681
2013,NUTS,2010,AT33,2,0.5394
2015,NUTS,2010,AT33,2,0.5854
2017,NUTS,2010,AT33,2,0.7016
2019,NUTS,2010,AT33,2,0.6202
2002,NUTS,2010,AT34,2,0.1884
2004,NUTS,2010,AT34,2,0.2562
2006,NUTS,2010,AT34,2,0.2699
2007,NUTS,2010,AT34,2,0.2904
2009,NUTS,2010,AT34,2,0.4367
2011,NUTS,2010,AT34,2,0.2702
2013,NUTS,2010,AT34,2,0.2862
2015,NUTS,2010,AT34,2,0.3218
2017,NUTS,2010,AT34,2,0.3845
2019,NUTS,2010,AT34,2,0.4018
1998,NUTS,2010,BE,0,0.399
1999,NUTS,2010,BE,0,0.4061
2000,NUTS,2010,BE,0,0.4222
2001,NUTS,2010,BE,0,0.474
2002,NUTS,2010,BE,0,0.4646
2003,NUTS,2010,BE,0,0.4648
2004,NUTS,2010,BE,0,0.448
2005,NUTS,2010,BE,0,0.4576
2006,NUTS,2010,BE,0,0.447
2007,NUTS,2010,BE,0,0.454
2008,NUTS,2010,BE,0,0.5099
2009,NUTS,2010,BE,0,0.509
2010,NUTS,2010,BE,0,0.5134
2011,NUTS,2010,BE,0,0.5768
2013,NUTS,2010,BE,0,0.5783
2015,NUTS,2010,BE,0,0.7346
2017,NUTS,2010,BE,0,0.9121
2019,NUTS,2010,BE,0,0.9501
1999,NUTS,2010,BE1,1,0.417
2000,NUTS,2010,BE1,1,0.4197
2001,NUTS,2010,BE1,1,0.4579
2002,NUTS,2010,BE1,1,0.4483
2003,NUTS,2010,BE1,1,0.4382
2004,NUTS,2010,BE1,1,0.4952
2005,NUTS,2010,BE1,1,0.5043
2006,NUTS,2010,BE1,1,0.5841
2007,NUTS,2010,BE1,1,0.5935
2008,NUTS,2010,BE1,1,0.7504
2009,NUTS,2010,BE1,1,0.7538
2010,NUTS,2010,BE1,1,0.6437
2011,NUTS,2010,BE1,1,0.6715
2013,NUTS,2010,BE1,1,0.7431
2015,NUTS,2010,BE1,1,1.0298
2017,NUTS,2010,BE1,1,1.3942
2019,NUTS,2010,BE1,1,1.5715
1999,NUTS,2010,BE10,2,0.417
2000,NUTS,2010,BE10,2,0.4197
2001,NUTS,2010,BE10,2,0.4579
2002,NUTS,2010,BE10,2,0.4483
2003,NUTS,2010,BE10,2,0.4382
2004,NUTS,2010,BE10,2,0.4952
2005,NUTS,2010,BE10,2,0.5043
2006,NUTS,2010,BE10,2,0.5841
2007,NUTS,2010,BE10,2,0.5935
2008,NUTS,2010,BE10,2,0.7504
2009,NUTS,2010,BE10,2,0.7538
2010,NUTS,2010,BE10,2,0.6437
2011,NUTS,2010,BE10,2,0.6715
2013,NUTS,2010,BE10,2,0.7431
2015,NUTS,2010,BE10,2,1.0298
2017,NUTS,2010,BE10,2,1.3942
2019,NUTS,2010,BE10,2,1.5715
1999,NUTS,2010,BE2,1,0.4133
2000,NUTS,2010,BE2,1,0.4344
2001,NUTS,2010,BE2,1,0.5041
2002,NUTS,2010,BE2,1,0.4743
2003,NUTS,2010,BE2,1,0.4701
2004,NUTS,2010,BE2,1,0.4456
2005,NUTS,2010,BE2,1,0.4485
2006,NUTS,2010,BE2,1,0.4364
2007,NUTS,2010,BE2,1,0.4416
2008,NUTS,2010,BE2,1,0.51
2009,NUTS,2010,BE2,1,0.5115
2010,NUTS,2010,BE2,1,0.524
2011,NUTS,2010,BE2,1,0.5474
2013,NUTS,2010,BE2,1,0.5681
2015,NUTS,2010,BE2,1,0.6853
2017,NUTS,2010,BE2,1,0.8258
2019,NUTS,2010,BE2,1,0.9937
1999,NUTS,2010,BE3,1,0.389
2000,NUTS,2010,BE3,1,0.386
2001,NUTS,2010,BE3,1,0.4326
2002,NUTS,2010,BE3,1,0.4677
2003,NUTS,2010,BE3,1,0.4821
2004,NUTS,2010,BE3,1,0.4418
2005,NUTS,2010,BE3,1,0.4528
2006,NUTS,2010,BE3,1,0.4178
2007,NUTS,2010,BE3,1,0.4281
2008,NUTS,2010,BE3,1,0.4253
2009,NUTS,2010,BE3,1,0.4192
2010,NUTS,2010,BE3,1,0.4399
2011,NUTS,2010,BE3,1,0.595
2013,NUTS,2010,BE3,1,0.5317
2015,NUTS,2010,BE3,1,0.7184
2017,NUTS,2010,BE3,1,0.8988
2019,NUTS,2010,BE3,1,0.6181
2000,NUTS,2010,BG,0,0.0787
2001,NUTS,2010,BG,0,0.0659
2002,NUTS,2010,BG,0,0.0642
2003,NUTS,2010,BG,0,0.0785
2004,NUTS,2010,BG,0,0.0744
2005,NUTS,2010,BG,0,0.0763
2006,NUTS,2010,BG,0,0.0713
2007,NUTS,2010,BG,0,0.0741
2008,NUTS,2010,BG,0,0.084
2009,NUTS,2010,BG,0,0.1074
2010,NUTS,2010,BG,0,0.089
2011,NUTS,2010,BG,0,0.0857
2012,NUTS,2010,BG,0,0.0995
2013,NUTS,2010,BG,0,0.1259
2014,NUTS,2010,BG,0,0.161
2015,NUTS,2010,BG,0,0.277
2016,NUTS,2010,BG,0,0.3444
2017,NUTS,2010,BG,0,0.3366
2018,NUTS,2010,BG,0,0.3903
2019,NUTS,2010,BG,0,0.4076
2003,NUTS,2010,BG3,1,0.044
2004,NUTS,2010,BG3,1,0.0401
2005,NUTS,2010,BG3,1,0.0258
2006,NUTS,2010,BG3,1,0.0342
2007,NUTS,2010,BG3,1,0.0415
2008,NUTS,2010,BG3,1,0.0604
2010,NUTS,2010,BG3,1,0.0518
2011,NUTS,2010,BG3,1,0.0525
2012,NUTS,2010,BG3,1,0.0468
2013,NUTS,2010,BG3,1,0.0585
2014,NUTS,2010,BG3,1,0.0675
2015,NUTS,2010,BG3,1,0.1744
2016,NUTS,2010,BG3,1,0.1773
2017,NUTS,2010,BG3,1,0.1799
2018,NUTS,2010,BG3,1,0.2327
2019,NUTS,2010,BG3,1,0.2319
2008,NUTS,2010,BG31,2,0.0378
2015,NUTS,2010,BG31,2,0.1787
2016,NUTS,2010,BG31,2,0.2357
2017,NUTS,2010,BG31,2,0.231
2018,NUTS,2010,BG31,2,0.278
2019,NUTS,2010,BG31,2,0.2378
2003,NUTS,2010,BG32,2,0.0611
2004,NUTS,2010,BG32,2,0.0608
2005,NUTS,2010,BG32,2,0.034
2008,NUTS,2010,BG32,2,0.0726
2009,NUTS,2010,BG32,2,0.0834
2010,NUTS,2010,BG32,2,0.0732
2012,NUTS,2010,BG32,2,0.0603
2013,NUTS,2010,BG32,2,0.0883
2014,NUTS,2010,BG32,2,0.1135
2015,NUTS,2010,BG32,2,0.2312
2016,NUTS,2010,BG32,2,0.2054
2017,NUTS,2010,BG32,2,0.2489
2018,NUTS,2010,BG32,2,0.2907
2019,NUTS,2010,BG32,2,0.306
2006,NUTS,2010,BG33,2,0.0364
2007,NUTS,2010,BG33,2,0.0276
2008,NUTS,2010,BG33,2,0.0513
2009,NUTS,2010,BG33,2,0.0459
2011,NUTS,2010,BG33,2,0.0369
2012,NUTS,2010,BG33,2,0.0336
