year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_gov_total_f_pc_act_fte
2011,NUTS,2010,AT,0,0.0595
2013,NUTS,2010,AT,0,0.0585
2015,NUTS,2010,AT,0,0.0609
2017,NUTS,2010,AT,0,0.1023
2019,NUTS,2010,AT,0,0.1067
2011,NUTS,2010,BE,0,0.0736
2012,NUTS,2010,BE,0,0.1012
2013,NUTS,2010,BE,0,0.1009
2014,NUTS,2010,BE,0,0.1069
2015,NUTS,2010,BE,0,0.11
2016,NUTS,2010,BE,0,0.1118
2017,NUTS,2010,BE,0,0.119
2018,NUTS,2010,BE,0,0.1281
2019,NUTS,2010,BE,0,0.1297
2011,NUTS,2010,BG,0,0.353
2012,NUTS,2010,BG,0,0.3516
2013,NUTS,2010,BG,0,0.3381
2014,NUTS,2010,BG,0,0.3334
2015,NUTS,2010,BG,0,0.3115
2016,NUTS,2010,BG,0,0.3133
2017,NUTS,2010,BG,0,0.2991
2018,NUTS,2010,BG,0,0.3059
2019,NUTS,2010,BG,0,0.3054
2011,NUTS,2010,CY,0,0.0566
2012,NUTS,2010,CY,0,0.055
2013,NUTS,2010,CY,0,0.0535
2014,NUTS,2010,CY,0,0.0532
2015,NUTS,2010,CY,0,0.0539
2016,NUTS,2010,CY,0,0.0593
2017,NUTS,2010,CY,0,0.0641
2018,NUTS,2010,CY,0,0.0593
2019,NUTS,2010,CY,0,0.061
2011,NUTS,2010,CZ,0,0.2447
2012,NUTS,2010,CZ,0,0.2468
2013,NUTS,2010,CZ,0,0.2519
2014,NUTS,2010,CZ,0,0.2526
2015,NUTS,2010,CZ,0,0.2695
2016,NUTS,2010,CZ,0,0.2667
2017,NUTS,2010,CZ,0,0.2799
2018,NUTS,2010,CZ,0,0.2903
2019,NUTS,2010,CZ,0,0.2995
2020,NUTS,2010,CZ,0,0.2956
2011,NUTS,2010,DE,0,0.1977
2012,NUTS,2010,DE,0,0.2035
2013,NUTS,2010,DE,0,0.2082
2014,NUTS,2010,DE,0,0.2154
2015,NUTS,2010,DE,0,0.2165
2016,NUTS,2010,DE,0,0.2171
2017,NUTS,2010,DE,0,0.2237
2018,NUTS,2010,DE,0,0.2324
2019,NUTS,2010,DE,0,0.237
2011,NUTS,2010,DK,0,0.0441
2012,NUTS,2010,DK,0,0.0554
2013,NUTS,2010,DK,0,0.058
2014,NUTS,2010,DK,0,0.0651
2015,NUTS,2010,DK,0,0.0704
2016,NUTS,2010,DK,0,0.0672
2017,NUTS,2010,DK,0,0.0844
2018,NUTS,2010,DK,0,0.0906
2019,NUTS,2010,DK,0,0.0852
2011,NUTS,2010,EE,0,0.1517
2012,NUTS,2010,EE,0,0.1537
2013,NUTS,2010,EE,0,0.1671
2014,NUTS,2010,EE,0,0.1592
2015,NUTS,2010,EE,0,0.1588
2016,NUTS,2010,EE,0,0.1542
2017,NUTS,2010,EE,0,0.1634
2018,NUTS,2010,EE,0,0.1387
2019,NUTS,2010,EE,0,0.1437
2011,NUTS,2010,EL,0,0.1974
2013,NUTS,2010,EL,0,0.233
2015,NUTS,2010,EL,0,0.2871
2017,NUTS,2010,EL,0,0.2464
2019,NUTS,2010,EL,0,0.2979
2011,NUTS,2010,ES,0,0.2142
2012,NUTS,2010,ES,0,0.2011
2013,NUTS,2010,ES,0,0.1907
2014,NUTS,2010,ES,0,0.1875
2015,NUTS,2010,ES,0,0.1924
2016,NUTS,2010,ES,0,0.1943
2017,NUTS,2010,ES,0,0.1994
2018,NUTS,2010,ES,0,0.2016
2019,NUTS,2010,ES,0,0.2067
2011,NUTS,2010,FR,0,0.1498
2012,NUTS,2010,FR,0,0.1499
2013,NUTS,2010,FR,0,0.1502
2014,NUTS,2010,FR,0,0.1498
2016,NUTS,2010,FR,0,0.1488
2017,NUTS,2010,FR,0,0.1489
2011,NUTS,2010,HR,0,0.2438
2012,NUTS,2010,HR,0,0.2366
2013,NUTS,2010,HR,0,0.2336
2014,NUTS,2010,HR,0,0.2167
2015,NUTS,2010,HR,0,0.2112
2016,NUTS,2010,HR,0,0.2087
2017,NUTS,2010,HR,0,0.213
2018,NUTS,2010,HR,0,0.2215
2019,NUTS,2010,HR,0,0.2284
2020,NUTS,2010,HR,0,0.2658
2011,NUTS,2010,HU,0,0.1974
2012,NUTS,2010,HU,0,0.1779
2013,NUTS,2010,HU,0,0.1626
2014,NUTS,2010,HU,0,0.157
2015,NUTS,2010,HU,0,0.1757
2016,NUTS,2010,HU,0,0.1562
2017,NUTS,2010,HU,0,0.1572
2018,NUTS,2010,HU,0,0.1685
2019,NUTS,2010,HU,0,0.2106
2011,NUTS,2010,IE,0,0.0387
2012,NUTS,2010,IE,0,0.0353
2013,NUTS,2010,IE,0,0.0292
2014,NUTS,2010,IE,0,0.0302
2015,NUTS,2010,IE,0,0.0365
2017,NUTS,2010,IE,0,0.0404
2019,NUTS,2010,IE,0,0.0453
2011,NUTS,2010,IS,0,0.3232
2011,NUTS,2010,IT,0,0.1688
2012,NUTS,2010,IT,0,0.1721
2013,NUTS,2010,IT,0,0.178
2014,NUTS,2010,IT,0,0.1722
2015,NUTS,2010,IT,0,0.1798
2016,NUTS,2010,IT,0,0.1757
