year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_total_rse_hc_t
2013,NUTS,2010,BE35,2,1170.0
2015,NUTS,2010,BE35,2,1461.0
2013,NUTS,2010,BEZ,1,0.0
2015,NUTS,2010,BEZ,1,0.0
2019,NUTS,2010,BEZ,1,0.0
2013,NUTS,2010,BEZZ,2,0.0
2015,NUTS,2010,BEZZ,2,0.0
2019,NUTS,2010,BEZZ,2,0.0
2011,NUTS,2010,BG,0,14794.0
2012,NUTS,2010,BG,0,15219.0
2013,NUTS,2010,BG,0,16095.0
2014,NUTS,2010,BG,0,17795.0
2015,NUTS,2010,BG,0,19338.0
2016,NUTS,2010,BG,0,21081.0
2017,NUTS,2010,BG,0,20971.0
2018,NUTS,2010,BG,0,22792.0
2019,NUTS,2010,BG,0,23171.0
2011,NUTS,2010,BG3,1,3587.0
2012,NUTS,2010,BG3,1,4192.0
2013,NUTS,2010,BG3,1,4299.0
2014,NUTS,2010,BG3,1,5131.0
2015,NUTS,2010,BG3,1,5932.0
2016,NUTS,2010,BG3,1,5330.0
2017,NUTS,2010,BG3,1,5840.0
2018,NUTS,2010,BG3,1,6303.0
2019,NUTS,2010,BG3,1,6475.0
2011,NUTS,2010,BG31,2,209.0
2012,NUTS,2010,BG31,2,452.0
2013,NUTS,2010,BG31,2,438.0
2014,NUTS,2010,BG31,2,401.0
2015,NUTS,2010,BG31,2,629.0
2016,NUTS,2010,BG31,2,647.0
2017,NUTS,2010,BG31,2,806.0
2018,NUTS,2010,BG31,2,923.0
2019,NUTS,2010,BG31,2,903.0
2011,NUTS,2010,BG32,2,1215.0
2012,NUTS,2010,BG32,2,1224.0
2013,NUTS,2010,BG32,2,1227.0
2014,NUTS,2010,BG32,2,1551.0
2015,NUTS,2010,BG32,2,1810.0
2016,NUTS,2010,BG32,2,1323.0
2017,NUTS,2010,BG32,2,1519.0
2018,NUTS,2010,BG32,2,1678.0
2019,NUTS,2010,BG32,2,1568.0
2011,NUTS,2010,BG33,2,1383.0
2012,NUTS,2010,BG33,2,1591.0
2013,NUTS,2010,BG33,2,1711.0
2014,NUTS,2010,BG33,2,2182.0
2015,NUTS,2010,BG33,2,2273.0
2016,NUTS,2010,BG33,2,2180.0
2017,NUTS,2010,BG33,2,2316.0
2018,NUTS,2010,BG33,2,2410.0
2019,NUTS,2010,BG33,2,2553.0
2011,NUTS,2010,BG34,2,780.0
2012,NUTS,2010,BG34,2,925.0
2013,NUTS,2010,BG34,2,923.0
2014,NUTS,2010,BG34,2,997.0
2015,NUTS,2010,BG34,2,1220.0
2016,NUTS,2010,BG34,2,1180.0
2017,NUTS,2010,BG34,2,1199.0
2018,NUTS,2010,BG34,2,1292.0
2019,NUTS,2010,BG34,2,1451.0
2011,NUTS,2010,BG4,1,11207.0
2012,NUTS,2010,BG4,1,11027.0
2013,NUTS,2010,BG4,1,11796.0
2014,NUTS,2010,BG4,1,12664.0
2015,NUTS,2010,BG4,1,13406.0
2016,NUTS,2010,BG4,1,15751.0
2017,NUTS,2010,BG4,1,15131.0
2018,NUTS,2010,BG4,1,16489.0
2019,NUTS,2010,BG4,1,16696.0
2011,NUTS,2010,BG41,2,9911.0
2012,NUTS,2010,BG41,2,9803.0
2013,NUTS,2010,BG41,2,10373.0
2014,NUTS,2010,BG41,2,11157.0
2015,NUTS,2010,BG41,2,11770.0
2016,NUTS,2010,BG41,2,13986.0
2017,NUTS,2010,BG41,2,13024.0
2018,NUTS,2010,BG41,2,13974.0
2019,NUTS,2010,BG41,2,13719.0
2011,NUTS,2010,BG42,2,1296.0
2012,NUTS,2010,BG42,2,1224.0
