year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pnp_total_pc_act_hc_t
2019,NUTS,2010,CZ01,2,0.0249
2020,NUTS,2010,CZ01,2,0.0291
2011,NUTS,2010,CZ02,2,0.0012
2012,NUTS,2010,CZ02,2,0.0011
2013,NUTS,2010,CZ02,2,0.0032
2014,NUTS,2010,CZ02,2,0.0031
2015,NUTS,2010,CZ02,2,0.003
2016,NUTS,2010,CZ02,2,0.0015
2017,NUTS,2010,CZ02,2,0.0016
2018,NUTS,2010,CZ02,2,0.0004
2019,NUTS,2010,CZ02,2,0.0004
2020,NUTS,2010,CZ02,2,0.0014
2011,NUTS,2010,CZ03,2,0.0072
2012,NUTS,2010,CZ03,2,0.007
2013,NUTS,2010,CZ03,2,0.0066
2014,NUTS,2010,CZ03,2,0.007
2015,NUTS,2010,CZ03,2,0.0106
2016,NUTS,2010,CZ03,2,0.0097
2017,NUTS,2010,CZ03,2,0.0124
2018,NUTS,2010,CZ03,2,0.0121
2019,NUTS,2010,CZ03,2,0.0121
2020,NUTS,2010,CZ03,2,0.0139
2011,NUTS,2010,CZ04,2,0.0
2012,NUTS,2010,CZ04,2,0.0
2013,NUTS,2010,CZ04,2,0.0
2014,NUTS,2010,CZ04,2,0.0
2015,NUTS,2010,CZ04,2,0.0
2016,NUTS,2010,CZ04,2,0.0
2017,NUTS,2010,CZ04,2,0.0
2018,NUTS,2010,CZ04,2,0.0005
2019,NUTS,2010,CZ04,2,0.0005
2020,NUTS,2010,CZ04,2,0.0005
2011,NUTS,2010,CZ05,2,0.0018
2012,NUTS,2010,CZ05,2,0.0005
2013,NUTS,2010,CZ05,2,0.0003
2014,NUTS,2010,CZ05,2,0.0
2015,NUTS,2010,CZ05,2,0.0003
2016,NUTS,2010,CZ05,2,0.0001
2017,NUTS,2010,CZ05,2,0.0044
2019,NUTS,2010,CZ05,2,0.0026
2020,NUTS,2010,CZ05,2,0.0036
2011,NUTS,2010,CZ06,2,0.0095
2012,NUTS,2010,CZ06,2,0.007
2013,NUTS,2010,CZ06,2,0.0061
2014,NUTS,2010,CZ06,2,0.0058
2015,NUTS,2010,CZ06,2,0.0035
2016,NUTS,2010,CZ06,2,0.0012
2017,NUTS,2010,CZ06,2,0.0019
2018,NUTS,2010,CZ06,2,0.003
2019,NUTS,2010,CZ06,2,0.0038
2020,NUTS,2010,CZ06,2,0.0041
2011,NUTS,2010,CZ07,2,0.0042
2012,NUTS,2010,CZ07,2,0.003
2013,NUTS,2010,CZ07,2,0.0017
2014,NUTS,2010,CZ07,2,0.0025
2015,NUTS,2010,CZ07,2,0.0012
2016,NUTS,2010,CZ07,2,0.001
2017,NUTS,2010,CZ07,2,0.001
2018,NUTS,2010,CZ07,2,0.0007
2019,NUTS,2010,CZ07,2,0.0033
2020,NUTS,2010,CZ07,2,0.0032
2011,NUTS,2010,CZ08,2,0.0005
2012,NUTS,2010,CZ08,2,0.0005
2013,NUTS,2010,CZ08,2,0.0003
2014,NUTS,2010,CZ08,2,0.0018
2015,NUTS,2010,CZ08,2,0.0013
2016,NUTS,2010,CZ08,2,0.0036
2017,NUTS,2010,CZ08,2,0.0028
2018,NUTS,2010,CZ08,2,0.0023
2019,NUTS,2010,CZ08,2,0.0071
2020,NUTS,2010,CZ08,2,0.0041
2011,NUTS,2010,DK,0,0.0128
2012,NUTS,2010,DK,0,0.0146
2013,NUTS,2010,DK,0,0.0143
2014,NUTS,2010,DK,0,0.0142
2015,NUTS,2010,DK,0,0.0145
2016,NUTS,2010,DK,0,0.0144
2017,NUTS,2010,DK,0,0.0117
2018,NUTS,2010,DK,0,0.0102
2019,NUTS,2010,DK,0,0.012
2020,NUTS,2010,DK,0,0.0121
2011,NUTS,2010,DK0,1,0.0125
2012,NUTS,2010,DK0,1,0.0142
2013,NUTS,2010,DK0,1,0.0139
2014,NUTS,2010,DK0,1,0.0137
2015,NUTS,2010,DK0,1,0.014
2016,NUTS,2010,DK0,1,0.014
2017,NUTS,2010,DK0,1,0.0114
2018,NUTS,2010,DK0,1,0.0099
2019,NUTS,2010,DK0,1,0.0116
2011,NUTS,2010,DK01,2,0.0375
2012,NUTS,2010,DK01,2,0.0416
2013,NUTS,2010,DK01,2,0.0402
2014,NUTS,2010,DK01,2,0.0393
2015,NUTS,2010,DK01,2,0.0392
2016,NUTS,2010,DK01,2,0.0381
2017,NUTS,2010,DK01,2,0.0313
2019,NUTS,2010,DK01,2,0.0333
2011,NUTS,2010,DK02,2,0.0029
2012,NUTS,2010,DK02,2,0.003
2013,NUTS,2010,DK02,2,0.0028
2014,NUTS,2010,DK02,2,0.0028
2015,NUTS,2010,DK02,2,0.0038
2016,NUTS,2010,DK02,2,0.0042
2017,NUTS,2010,DK02,2,0.0037
2019,NUTS,2010,DK02,2,0.0039
2012,NUTS,2010,DK03,2,0.0015
2013,NUTS,2010,DK03,2,0.0017
2014,NUTS,2010,DK03,2,0.0017
2015,NUTS,2010,DK03,2,0.0022
2016,NUTS,2010,DK03,2,0.0027
2017,NUTS,2010,DK03,2,0.0018
2012,NUTS,2010,DK04,2,0.0
2013,NUTS,2010,DK04,2,0.0
2014,NUTS,2010,DK04,2,0.0
2015,NUTS,2010,DK04,2,0.0
2016,NUTS,2010,DK04,2,0.0
2017,NUTS,2010,DK04,2,0.0
2012,NUTS,2010,DK05,2,0.0
2013,NUTS,2010,DK05,2,0.0
2014,NUTS,2010,DK05,2,0.0
2015,NUTS,2010,DK05,2,0.0
2016,NUTS,2010,DK05,2,0.0
2017,NUTS,2010,DK05,2,0.0038
2011,NUTS,2010,EA19,2,0.0182
2012,NUTS,2010,EA19,2,0.018
2013,NUTS,2010,EA19,2,0.0141
2014,NUTS,2010,EA19,2,0.015
2016,NUTS,2010,EA19,2,0.0158
2017,NUTS,2010,EA19,2,0.0156
2018,NUTS,2010,EA19,2,0.0169
2011,NUTS,2010,EE,0,0.02
2012,NUTS,2010,EE,0,0.023
2013,NUTS,2010,EE,0,0.0197
2014,NUTS,2010,EE,0,0.0206
2015,NUTS,2010,EE,0,0.0208
2016,NUTS,2010,EE,0,0.0237
2017,NUTS,2010,EE,0,0.0206
2018,NUTS,2010,EE,0,0.0218
2019,NUTS,2010,EE,0,0.0208
2011,NUTS,2010,EL,0,0.0131
2013,NUTS,2010,EL,0,0.0166
2015,NUTS,2010,EL,0,0.0165
2017,NUTS,2010,EL,0,0.0194
2019,NUTS,2010,EL,0,0.0153
2011,NUTS,2010,EL3,1,0.0281
2013,NUTS,2010,EL3,1,0.0258
2015,NUTS,2010,EL3,1,0.0264
2017,NUTS,2010,EL3,1,0.0327
2019,NUTS,2010,EL3,1,0.0278
2011,NUTS,2010,EL30,2,0.0281
2013,NUTS,2010,EL30,2,0.0258
2015,NUTS,2010,EL30,2,0.0264
2017,NUTS,2010,EL30,2,0.0327
2019,NUTS,2010,EL30,2,0.0278
2011,NUTS,2010,EL4,1,0.0027
2013,NUTS,2010,EL4,1,0.0281
2015,NUTS,2010,EL4,1,0.0288
2017,NUTS,2010,EL4,1,0.0457
2019,NUTS,2010,EL4,1,0.0168
2011,NUTS,2010,EL41,2,0.0051
2013,NUTS,2010,EL41,2,0.0036
2015,NUTS,2010,EL41,2,0.0038
2017,NUTS,2010,EL41,2,0.0056
2019,NUTS,2010,EL41,2,0.0198
2011,NUTS,2010,EL42,2,0.0058
2013,NUTS,2010,EL42,2,0.009
2015,NUTS,2010,EL42,2,0.0077
2017,NUTS,2010,EL42,2,0.0145
2019,NUTS,2010,EL42,2,0.0162
2011,NUTS,2010,EL43,2,0.0003
2013,NUTS,2010,EL43,2,0.0458
2015,NUTS,2010,EL43,2,0.0478
2017,NUTS,2010,EL43,2,0.075
2019,NUTS,2010,EL43,2,0.0161
2011,NUTS,2010,EL5,1,0.0063
2013,NUTS,2010,EL5,1,0.0117
2015,NUTS,2010,EL5,1,0.0113
2017,NUTS,2010,EL5,1,0.006
2019,NUTS,2010,EL5,1,0.0081
2011,NUTS,2010,EL51,2,0.0
2013,NUTS,2010,EL51,2,0.0027
2015,NUTS,2010,EL51,2,0.0027
2017,NUTS,2010,EL51,2,0.0023
2019,NUTS,2010,EL51,2,0.0012
2011,NUTS,2010,EL52,2,0.008
2013,NUTS,2010,EL52,2,0.015
2015,NUTS,2010,EL52,2,0.0148
2017,NUTS,2010,EL52,2,0.006
2019,NUTS,2010,EL52,2,0.0106
2011,NUTS,2010,EL53,2,0.0136
2013,NUTS,2010,EL53,2,0.0089
2015,NUTS,2010,EL53,2,0.0051
2017,NUTS,2010,EL53,2,0.0101
2019,NUTS,2010,EL53,2,0.0078
2011,NUTS,2010,EL54,2,0.0021
2013,NUTS,2010,EL54,2,0.0119
2015,NUTS,2010,EL54,2,0.0122
2017,NUTS,2010,EL54,2,0.0086
2019,NUTS,2010,EL54,2,0.0067
2011,NUTS,2010,EL6,1,0.0009
2013,NUTS,2010,EL6,1,0.0013
2015,NUTS,2010,EL6,1,0.0011
2017,NUTS,2010,EL6,1,0.0019
2019,NUTS,2010,EL6,1,0.0028
2011,NUTS,2010,EL61,2,0.0003
2013,NUTS,2010,EL61,2,0.0006
2015,NUTS,2010,EL61,2,0.0003
2017,NUTS,2010,EL61,2,0.0009
2019,NUTS,2010,EL61,2,0.001
2011,NUTS,2010,EL62,2,0.0
2013,NUTS,2010,EL62,2,0.0
2015,NUTS,2010,EL62,2,0.0
2017,NUTS,2010,EL62,2,0.0011
2019,NUTS,2010,EL62,2,0.0
2011,NUTS,2010,EL63,2,0.0
2013,NUTS,2010,EL63,2,0.0007
2015,NUTS,2010,EL63,2,0.0003
2017,NUTS,2010,EL63,2,0.0
2019,NUTS,2010,EL63,2,0.0
2011,NUTS,2010,EL64,2,0.0033
2013,NUTS,2010,EL64,2,0.0025
2015,NUTS,2010,EL64,2,0.0025
2017,NUTS,2010,EL64,2,0.0025
2019,NUTS,2010,EL64,2,0.0
2011,NUTS,2010,EL65,2,0.0008
2013,NUTS,2010,EL65,2,0.002
2015,NUTS,2010,EL65,2,0.002
2017,NUTS,2010,EL65,2,0.0049
2019,NUTS,2010,EL65,2,0.0121
2011,NUTS,2010,ES,0,0.0035
2012,NUTS,2010,ES,0,0.0036
2013,NUTS,2010,ES,0,0.0034
2014,NUTS,2010,ES,0,0.0032
2015,NUTS,2010,ES,0,0.0035
2016,NUTS,2010,ES,0,0.0043
2017,NUTS,2010,ES,0,0.0041
2018,NUTS,2010,ES,0,0.0039
2019,NUTS,2010,ES,0,0.0037
2011,NUTS,2010,ES1,1,0.0052
2012,NUTS,2010,ES1,1,0.0059
2013,NUTS,2010,ES1,1,0.005
2015,NUTS,2010,ES1,1,0.0059
2016,NUTS,2010,ES1,1,0.0062
2017,NUTS,2010,ES1,1,0.0059
2018,NUTS,2010,ES1,1,0.0061
2014,NUTS,2010,ES11,2,0.0009
2015,NUTS,2010,ES11,2,0.0013
2016,NUTS,2010,ES11,2,0.0033
2017,NUTS,2010,ES11,2,0.0038
2018,NUTS,2010,ES11,2,0.0036
2019,NUTS,2010,ES11,2,0.0035
2012,NUTS,2010,ES12,2,0.0035
2013,NUTS,2010,ES12,2,0.0025
2014,NUTS,2010,ES12,2,0.0029
2015,NUTS,2010,ES12,2,0.0037
2016,NUTS,2010,ES12,2,0.003
2017,NUTS,2010,ES12,2,0.0026
2018,NUTS,2010,ES12,2,0.0026
2019,NUTS,2010,ES12,2,0.0024
2011,NUTS,2010,ES13,2,0.0307
2015,NUTS,2010,ES13,2,0.0307
2016,NUTS,2010,ES13,2,0.025
2017,NUTS,2010,ES13,2,0.0211
2018,NUTS,2010,ES13,2,0.0234
2011,NUTS,2010,ES2,1,0.0025
2013,NUTS,2010,ES2,1,0.0037
2015,NUTS,2010,ES2,1,0.0034
2019,NUTS,2010,ES2,1,0.0016
2011,NUTS,2010,ES21,2,0.0029
2012,NUTS,2010,ES21,2,0.0042
2013,NUTS,2010,ES21,2,0.0032
2014,NUTS,2010,ES21,2,0.0027
2015,NUTS,2010,ES21,2,0.0041
2016,NUTS,2010,ES21,2,0.004
2017,NUTS,2010,ES21,2,0.0037
2018,NUTS,2010,ES21,2,0.0019
2019,NUTS,2010,ES21,2,0.002
2011,NUTS,2010,ES22,2,0.0034
2015,NUTS,2010,ES22,2,0.0039
2011,NUTS,2010,ES23,2,0.0031
2012,NUTS,2010,ES23,2,0.0057
2014,NUTS,2010,ES23,2,0.0026
2015,NUTS,2010,ES23,2,0.0019
2016,NUTS,2010,ES23,2,0.002
2017,NUTS,2010,ES23,2,0.0026
2018,NUTS,2010,ES23,2,0.0019
2011,NUTS,2010,ES24,2,0.0014
2012,NUTS,2010,ES24,2,0.0018
2013,NUTS,2010,ES24,2,0.0017
2014,NUTS,2010,ES24,2,0.0018
2015,NUTS,2010,ES24,2,0.0023
2016,NUTS,2010,ES24,2,0.0018
2017,NUTS,2010,ES24,2,0.0019
2018,NUTS,2010,ES24,2,0.0006
2011,NUTS,2010,ES3,1,0.0064
2012,NUTS,2010,ES3,1,0.0068
2013,NUTS,2010,ES3,1,0.0064
2014,NUTS,2010,ES3,1,0.0056
2015,NUTS,2010,ES3,1,0.006
2016,NUTS,2010,ES3,1,0.0065
2017,NUTS,2010,ES3,1,0.0072
2018,NUTS,2010,ES3,1,0.0087
2019,NUTS,2010,ES3,1,0.008
2011,NUTS,2010,ES30,2,0.0064
2012,NUTS,2010,ES30,2,0.0068
2013,NUTS,2010,ES30,2,0.0064
2014,NUTS,2010,ES30,2,0.0056
2015,NUTS,2010,ES30,2,0.006
2016,NUTS,2010,ES30,2,0.0065
2017,NUTS,2010,ES30,2,0.0072
2018,NUTS,2010,ES30,2,0.0087
2019,NUTS,2010,ES30,2,0.008
2011,NUTS,2010,ES4,1,0.0039
2013,NUTS,2010,ES4,1,0.0017
2014,NUTS,2010,ES4,1,0.0016
2015,NUTS,2010,ES4,1,0.0028
2016,NUTS,2010,ES4,1,0.0024
2018,NUTS,2010,ES4,1,0.0027
2019,NUTS,2010,ES4,1,0.0022
2012,NUTS,2010,ES41,2,0.0035
2013,NUTS,2010,ES41,2,0.0023
2014,NUTS,2010,ES41,2,0.0022
2015,NUTS,2010,ES41,2,0.0024
2017,NUTS,2010,ES41,2,0.0016
2018,NUTS,2010,ES41,2,0.0019
2019,NUTS,2010,ES41,2,0.0017
2013,NUTS,2010,ES42,2,0.0004
2014,NUTS,2010,ES42,2,0.0004
2015,NUTS,2010,ES42,2,0.003
2017,NUTS,2010,ES42,2,0.0032
2011,NUTS,2010,ES43,2,0.0026
2013,NUTS,2010,ES43,2,0.0027
2014,NUTS,2010,ES43,2,0.0028
2015,NUTS,2010,ES43,2,0.0036
2016,NUTS,2010,ES43,2,0.0038
2011,NUTS,2010,ES5,1,0.0035
2012,NUTS,2010,ES5,1,0.0033
2013,NUTS,2010,ES5,1,0.0033
2014,NUTS,2010,ES5,1,0.0035
2015,NUTS,2010,ES5,1,0.0034
2016,NUTS,2010,ES5,1,0.0054
2017,NUTS,2010,ES5,1,0.0045
2018,NUTS,2010,ES5,1,0.0038
2011,NUTS,2010,ES51,2,0.0046
2012,NUTS,2010,ES51,2,0.0041
2013,NUTS,2010,ES51,2,0.0039
2014,NUTS,2010,ES51,2,0.0044
2015,NUTS,2010,ES51,2,0.0046
2016,NUTS,2010,ES51,2,0.0081
2017,NUTS,2010,ES51,2,0.0066
2018,NUTS,2010,ES51,2,0.006
2019,NUTS,2010,ES51,2,0.0057
2011,NUTS,2010,ES52,2,0.0018
2012,NUTS,2010,ES52,2,0.0018
2013,NUTS,2010,ES52,2,0.0024
2014,NUTS,2010,ES52,2,0.0021
2015,NUTS,2010,ES52,2,0.0016
2016,NUTS,2010,ES52,2,0.0016
2017,NUTS,2010,ES52,2,0.0016
2018,NUTS,2010,ES52,2,0.0005
2019,NUTS,2010,ES52,2,0.0006
2011,NUTS,2010,ES53,2,0.0034
2012,NUTS,2010,ES53,2,0.0037
2013,NUTS,2010,ES53,2,0.0031
2014,NUTS,2010,ES53,2,0.003
2015,NUTS,2010,ES53,2,0.0028
2016,NUTS,2010,ES53,2,0.0037
2017,NUTS,2010,ES53,2,0.0029
2018,NUTS,2010,ES53,2,0.0025
2011,NUTS,2010,ES6,1,0.0015
2012,NUTS,2010,ES6,1,0.0021
2013,NUTS,2010,ES6,1,0.0019
2014,NUTS,2010,ES6,1,0.0018
2015,NUTS,2010,ES6,1,0.0019
2016,NUTS,2010,ES6,1,0.0024
2017,NUTS,2010,ES6,1,0.0021
2018,NUTS,2010,ES6,1,0.0019
2019,NUTS,2010,ES6,1,0.002
2011,NUTS,2010,ES61,2,0.0015
2012,NUTS,2010,ES61,2,0.0021
2013,NUTS,2010,ES61,2,0.0021
2014,NUTS,2010,ES61,2,0.002
2015,NUTS,2010,ES61,2,0.0019
2016,NUTS,2010,ES61,2,0.0026
2017,NUTS,2010,ES61,2,0.0022
2018,NUTS,2010,ES61,2,0.0022
2019,NUTS,2010,ES61,2,0.0023
2012,NUTS,2010,ES62,2,0.0019
2013,NUTS,2010,ES62,2,0.0008
2014,NUTS,2010,ES62,2,0.0011
2015,NUTS,2010,ES62,2,0.0021
2016,NUTS,2010,ES62,2,0.0017
2018,NUTS,2010,ES62,2,0.0006
2019,NUTS,2010,ES62,2,0.0007
2015,NUTS,2010,ES63,2,0.0
2015,NUTS,2010,ES64,2,0.0
2011,NUTS,2010,ES7,1,0.001
2012,NUTS,2010,ES7,1,0.0011
2013,NUTS,2010,ES7,1,0.001
2014,NUTS,2010,ES7,1,0.0014
2015,NUTS,2010,ES7,1,0.0013
2016,NUTS,2010,ES7,1,0.0014
2017,NUTS,2010,ES7,1,0.0013
2018,NUTS,2010,ES7,1,0.0005
2011,NUTS,2010,ES70,2,0.001
2012,NUTS,2010,ES70,2,0.0011
2013,NUTS,2010,ES70,2,0.001
2014,NUTS,2010,ES70,2,0.0014
2015,NUTS,2010,ES70,2,0.0013
2016,NUTS,2010,ES70,2,0.0014
2017,NUTS,2010,ES70,2,0.0013
2018,NUTS,2010,ES70,2,0.0005
2011,NUTS,2010,EU27_2020,7,0.0149
2012,NUTS,2010,EU27_2020,7,0.0148
2013,NUTS,2010,EU27_2020,7,0.0118
2014,NUTS,2010,EU27_2020,7,0.0124
2016,NUTS,2010,EU27_2020,7,0.0133
2017,NUTS,2010,EU27_2020,7,0.0139
2018,NUTS,2010,EU27_2020,7,0.015
2011,NUTS,2010,FI,0,0.0339
2012,NUTS,2010,FI,0,0.0322
2013,NUTS,2010,FI,0,0.0313
2014,NUTS,2010,FI,0,0.0349
2015,NUTS,2010,FI,0,0.0348
2016,NUTS,2010,FI,0,0.035
2017,NUTS,2010,FI,0,0.0349
2018,NUTS,2010,FI,0,0.0357
2019,NUTS,2010,FI,0,0.0368
2017,NUTS,2010,FI1,1,0.0337
2018,NUTS,2010,FI1,1,0.0345
2019,NUTS,2010,FI1,1,0.0355
2017,NUTS,2010,FI19,2,0.0256
2018,NUTS,2010,FI19,2,0.0277
2019,NUTS,2010,FI19,2,0.0289
2017,NUTS,2010,FI1B,2,0.0769
2018,NUTS,2010,FI1B,2,0.0763
2019,NUTS,2010,FI1B,2,0.077
2017,NUTS,2010,FI1C,2,0.0088
2018,NUTS,2010,FI1C,2,0.0104
2019,NUTS,2010,FI1C,2,0.0118
2017,NUTS,2010,FI1D,2,0.0018
2018,NUTS,2010,FI1D,2,0.0017
2019,NUTS,2010,FI1D,2,0.0015
2017,NUTS,2010,FI2,1,0.0
2018,NUTS,2010,FI2,1,0.0
2019,NUTS,2010,FI2,1,0.0
2017,NUTS,2010,FI20,2,0.0
2018,NUTS,2010,FI20,2,0.0
2019,NUTS,2010,FI20,2,0.0
2011,NUTS,2010,FR,0,0.0266
2012,NUTS,2010,FR,0,0.0294
2013,NUTS,2010,FR,0,0.03
2014,NUTS,2010,FR,0,0.0322
2016,NUTS,2010,FR,0,0.0331
2017,NUTS,2010,FR,0,0.0327
2018,NUTS,2010,FR,0,0.0336
2011,NUTS,2010,HR,0,0.0021
2011,NUTS,2010,HR0,1,0.002
2011,NUTS,2010,HR03,2,0.0064
2011,NUTS,2010,HR04,2,0.0
