year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_pc_act_hc_total_pnp_f
1998,NUTS,2010,AT,0,0.0114
2002,NUTS,2010,AT,0,0.0182
2004,NUTS,2010,AT,0,0.0178
2006,NUTS,2010,AT,0,0.0127
2007,NUTS,2010,AT,0,0.0102
2009,NUTS,2010,AT,0,0.0198
2011,NUTS,2010,AT,0,0.0227
2013,NUTS,2010,AT,0,0.0234
2015,NUTS,2010,AT,0,0.0272
2017,NUTS,2010,AT,0,0.0283
2019,NUTS,2010,AT,0,0.0321
2007,NUTS,2010,AT1,1,0.0195
2009,NUTS,2010,AT1,1,0.0433
2011,NUTS,2010,AT1,1,0.0466
2013,NUTS,2010,AT1,1,0.0478
2015,NUTS,2010,AT1,1,0.0569
2017,NUTS,2010,AT1,1,0.0575
2019,NUTS,2010,AT1,1,0.0652
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2013,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2002,NUTS,2010,AT12,2,0.0042
2004,NUTS,2010,AT12,2,0.0045
2006,NUTS,2010,AT12,2,0.0043
2007,NUTS,2010,AT12,2,0.0047
2009,NUTS,2010,AT12,2,0.0368
2011,NUTS,2010,AT12,2,0.0407
2013,NUTS,2010,AT12,2,0.044
2015,NUTS,2010,AT12,2,0.0486
2017,NUTS,2010,AT12,2,0.0545
2002,NUTS,2010,AT13,2,0.0524
2004,NUTS,2010,AT13,2,0.0562
2006,NUTS,2010,AT13,2,0.0457
2007,NUTS,2010,AT13,2,0.0367
2009,NUTS,2010,AT13,2,0.0564
2011,NUTS,2010,AT13,2,0.0595
2013,NUTS,2010,AT13,2,0.0586
2015,NUTS,2010,AT13,2,0.0734
2017,NUTS,2010,AT13,2,0.069
2019,NUTS,2010,AT13,2,0.0822
2006,NUTS,2010,AT2,1,0.0045
2019,NUTS,2010,AT2,1,0.0052
2006,NUTS,2010,AT21,2,0.0
2011,NUTS,2010,AT21,2,0.0064
2002,NUTS,2010,AT22,2,0.011
2004,NUTS,2010,AT22,2,0.0116
2006,NUTS,2010,AT22,2,0.0064
2009,NUTS,2010,AT22,2,0.0
2002,NUTS,2010,AT3,1,0.0119
2004,NUTS,2010,AT3,1,0.0102
2007,NUTS,2010,AT3,1,0.0042
2019,NUTS,2010,AT3,1,0.0072
2002,NUTS,2010,AT31,2,0.0067
2004,NUTS,2010,AT31,2,0.0041
2006,NUTS,2010,AT31,2,0.0058
2009,NUTS,2010,AT31,2,0.0033
2011,NUTS,2010,AT31,2,0.0071
2013,NUTS,2010,AT31,2,0.0106
2015,NUTS,2010,AT31,2,0.0023
2017,NUTS,2010,AT31,2,0.0022
2019,NUTS,2010,AT31,2,0.0038
