year,region_type,region_year_spec,region_id,region_level,pat_ep_rtec_smc_gdp_beur
2011,NUTS,2010,AT,0,0.156
2012,NUTS,2010,AT,0,0.15
2011,NUTS,2010,AT1,1,0.044
2012,NUTS,2010,AT1,1,0.031
2011,NUTS,2010,AT11,2,0.288
2012,NUTS,2010,AT11,2,0.24
2011,NUTS,2010,AT112,3,0.377
2011,NUTS,2010,AT113,3,0.228
2012,NUTS,2010,AT113,3,0.777
2011,NUTS,2010,AT12,2,0.062
2012,NUTS,2010,AT12,2,0.015
2011,NUTS,2010,AT121,3,0.372
2011,NUTS,2010,AT122,3,0.075
2012,NUTS,2010,AT122,3,0.036
2012,NUTS,2010,AT127,3,0.036
2011,NUTS,2010,AT13,2,0.012
2012,NUTS,2010,AT13,2,0.022
2011,NUTS,2010,AT130,3,0.012
2012,NUTS,2010,AT130,3,0.022
2011,NUTS,2010,AT2,1,0.279
2012,NUTS,2010,AT2,1,0.477
2011,NUTS,2010,AT21,2,0.182
2012,NUTS,2010,AT21,2,0.085
2011,NUTS,2010,AT211,3,0.186
2012,NUTS,2010,AT211,3,0.145
2011,NUTS,2010,AT212,3,0.321
2011,NUTS,2010,AT213,3,0.063
2011,NUTS,2010,AT22,2,0.322
2012,NUTS,2010,AT22,2,0.646
2011,NUTS,2010,AT221,3,0.44
2012,NUTS,2010,AT221,3,1.032
2011,NUTS,2010,AT222,3,0.21
2011,NUTS,2010,AT223,3,0.094
2012,NUTS,2010,AT223,3,0.186
2012,NUTS,2010,AT224,3,0.1
2011,NUTS,2010,AT225,3,0.837
2012,NUTS,2010,AT225,3,1.227
2011,NUTS,2010,AT3,1,0.228
2012,NUTS,2010,AT3,1,0.128
2011,NUTS,2010,AT31,2,0.304
2012,NUTS,2010,AT31,2,0.134
2011,NUTS,2010,AT311,3,1.494
2012,NUTS,2010,AT311,3,0.71
2011,NUTS,2010,AT312,3,0.073
2012,NUTS,2010,AT312,3,0.031
2011,NUTS,2010,AT314,3,0.248
2012,NUTS,2010,AT314,3,0.041
2011,NUTS,2010,AT315,3,0.033
2012,NUTS,2010,AT32,2,0.056
2012,NUTS,2010,AT323,3,0.078
2011,NUTS,2010,AT33,2,0.019
2012,NUTS,2010,AT33,2,0.065
2011,NUTS,2010,AT332,3,0.044
2012,NUTS,2010,AT332,3,0.14
2012,NUTS,2010,AT335,3,0.017
2011,NUTS,2010,AT34,2,0.704
2012,NUTS,2010,AT34,2,0.34
2011,NUTS,2010,AT341,3,0.757
2012,NUTS,2010,AT341,3,0.349
2011,NUTS,2010,AT342,3,0.685
2012,NUTS,2010,AT342,3,0.337
2011,NUTS,2010,BE,0,0.184
2012,NUTS,2010,BE,0,0.168
2011,NUTS,2010,BE1,1,0.105
2012,NUTS,2010,BE1,1,0.068
2011,NUTS,2010,BE10,2,0.105
2012,NUTS,2010,BE10,2,0.068
2011,NUTS,2010,BE100,3,0.105
2012,NUTS,2010,BE100,3,0.068
2011,NUTS,2010,BE2,1,0.234
2012,NUTS,2010,BE2,1,0.238
2011,NUTS,2010,BE21,2,0.027
2012,NUTS,2010,BE21,2,0.074
2011,NUTS,2010,BE211,3,0.006
2012,NUTS,2010,BE211,3,0.083
2011,NUTS,2010,BE212,3,0.043
2011,NUTS,2010,BE213,3,0.07
2012,NUTS,2010,BE213,3,0.101
2011,NUTS,2010,BE22,2,0.028
2012,NUTS,2010,BE22,2,0.065
2011,NUTS,2010,BE221,3,0.046
