year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_total_pc_act_hc_total
1998,NUTS,2010,AT,0,1.3852
2002,NUTS,2010,AT,0,1.7138
2004,NUTS,2010,AT,0,1.9196
2006,NUTS,2010,AT,0,2.1023
2007,NUTS,2010,AT,0,2.2012
2009,NUTS,2010,AT,0,2.3265
2011,NUTS,2010,AT,0,2.5757
2013,NUTS,2010,AT,0,2.7353
2015,NUTS,2010,AT,0,2.9085
2017,NUTS,2010,AT,0,2.9432
2019,NUTS,2010,AT,0,3.2026
2002,NUTS,2010,AT1,1,2.0742
2004,NUTS,2010,AT1,1,2.3023
2006,NUTS,2010,AT1,1,2.3941
2007,NUTS,2010,AT1,1,2.4761
2009,NUTS,2010,AT1,1,2.571
2011,NUTS,2010,AT1,1,2.7562
2013,NUTS,2010,AT1,1,2.8511
2015,NUTS,2010,AT1,1,2.9497
2017,NUTS,2010,AT1,1,2.9395
2019,NUTS,2010,AT1,1,3.2258
2002,NUTS,2010,AT11,2,0.3757
2004,NUTS,2010,AT11,2,0.4282
2006,NUTS,2010,AT11,2,0.3987
2007,NUTS,2010,AT11,2,0.4627
2009,NUTS,2010,AT11,2,0.5646
2011,NUTS,2010,AT11,2,0.7205
2013,NUTS,2010,AT11,2,0.8522
2015,NUTS,2010,AT11,2,0.8975
2017,NUTS,2010,AT11,2,0.9153
2019,NUTS,2010,AT11,2,0.9824
2002,NUTS,2010,AT12,2,0.5526
2004,NUTS,2010,AT12,2,0.6371
2006,NUTS,2010,AT12,2,0.7361
2007,NUTS,2010,AT12,2,0.7484
2009,NUTS,2010,AT12,2,0.8789
2011,NUTS,2010,AT12,2,0.9946
2013,NUTS,2010,AT12,2,1.138
2015,NUTS,2010,AT12,2,1.259
2017,NUTS,2010,AT12,2,1.3213
2019,NUTS,2010,AT12,2,1.4904
2002,NUTS,2010,AT13,2,3.8137
2004,NUTS,2010,AT13,2,4.1892
2006,NUTS,2010,AT13,2,4.3051
2007,NUTS,2010,AT13,2,4.4916
2009,NUTS,2010,AT13,2,4.5489
2011,NUTS,2010,AT13,2,4.8064
2013,NUTS,2010,AT13,2,4.778
2015,NUTS,2010,AT13,2,4.8487
2017,NUTS,2010,AT13,2,4.7308
2019,NUTS,2010,AT13,2,5.0966
2002,NUTS,2010,AT2,1,1.7849
2004,NUTS,2010,AT2,1,2.0623
2006,NUTS,2010,AT2,1,2.2584
2007,NUTS,2010,AT2,1,2.4224
2009,NUTS,2010,AT2,1,2.5937
2011,NUTS,2010,AT2,1,2.9858
2013,NUTS,2010,AT2,1,3.239
2015,NUTS,2010,AT2,1,3.5359
2017,NUTS,2010,AT2,1,3.5511
2019,NUTS,2010,AT2,1,3.915
2002,NUTS,2010,AT21,2,0.9362
2004,NUTS,2010,AT21,2,1.1081
2006,NUTS,2010,AT21,2,1.3057
2007,NUTS,2010,AT21,2,1.3589
2009,NUTS,2010,AT21,2,1.428
2011,NUTS,2010,AT21,2,1.5735
2013,NUTS,2010,AT21,2,1.6059
2015,NUTS,2010,AT21,2,1.6925
2017,NUTS,2010,AT21,2,1.7134
2019,NUTS,2010,AT21,2,1.9771
2002,NUTS,2010,AT22,2,2.1739
2004,NUTS,2010,AT22,2,2.4949
2006,NUTS,2010,AT22,2,2.6822
2007,NUTS,2010,AT22,2,2.8972
2009,NUTS,2010,AT22,2,3.1133
2011,NUTS,2010,AT22,2,3.6103
2013,NUTS,2010,AT22,2,3.9643
2015,NUTS,2010,AT22,2,4.3517
2017,NUTS,2010,AT22,2,4.3504
2019,NUTS,2010,AT22,2,4.754
2002,NUTS,2010,AT3,1,1.2287
