year,region_type,region_year_spec,region_id,region_level,rd_p_persreg_t_rse_pc_emp_fte_total
1998,NUTS,2010,AT,0,0.5123
2002,NUTS,2010,AT,0,0.6552
2004,NUTS,2010,AT,0,0.7109
2005,NUTS,2010,AT,0,0.7672
2006,NUTS,2010,AT,0,0.7718
2007,NUTS,2010,AT,0,0.8198
2008,NUTS,2010,AT,0,0.8783
2009,NUTS,2010,AT,0,0.8868
2010,NUTS,2010,AT,0,0.9275
2011,NUTS,2010,AT,0,0.932
2012,NUTS,2010,AT,0,0.9893
2013,NUTS,2010,AT,0,1.0031
2014,NUTS,2010,AT,0,1.0611
2015,NUTS,2010,AT,0,1.0709
2016,NUTS,2010,AT,0,1.1343
2017,NUTS,2010,AT,0,1.1355
2018,NUTS,2010,AT,0,1.1822
2019,NUTS,2010,AT,0,1.2335
2020,NUTS,2010,AT,0,1.2377
2002,NUTS,2010,AT1,1,0.8322
2004,NUTS,2010,AT1,1,0.8565
2006,NUTS,2010,AT1,1,0.8909
2007,NUTS,2010,AT1,1,0.9491
2009,NUTS,2010,AT1,1,0.9985
2011,NUTS,2010,AT1,1,1.0257
2013,NUTS,2010,AT1,1,1.0668
2015,NUTS,2010,AT1,1,1.1067
2017,NUTS,2010,AT1,1,1.1457
2019,NUTS,2010,AT1,1,1.2043
2002,NUTS,2010,AT11,2,0.1357
2004,NUTS,2010,AT11,2,0.1357
2006,NUTS,2010,AT11,2,0.13
2007,NUTS,2010,AT11,2,0.1443
2009,NUTS,2010,AT11,2,0.1331
2011,NUTS,2010,AT11,2,0.2209
2013,NUTS,2010,AT11,2,0.2881
2015,NUTS,2010,AT11,2,0.301
2017,NUTS,2010,AT11,2,0.3575
2019,NUTS,2010,AT11,2,0.3806
2002,NUTS,2010,AT12,2,0.2172
2004,NUTS,2010,AT12,2,0.2156
2006,NUTS,2010,AT12,2,0.2649
2007,NUTS,2010,AT12,2,0.2618
2009,NUTS,2010,AT12,2,0.2955
2011,NUTS,2010,AT12,2,0.3691
2013,NUTS,2010,AT12,2,0.3895
2015,NUTS,2010,AT12,2,0.4187
2017,NUTS,2010,AT12,2,0.4569
2019,NUTS,2010,AT12,2,0.5662
2002,NUTS,2010,AT13,2,1.5595
2004,NUTS,2010,AT13,2,1.6301
2006,NUTS,2010,AT13,2,1.6544
2007,NUTS,2010,AT13,2,1.7977
2009,NUTS,2010,AT13,2,1.8619
2011,NUTS,2010,AT13,2,1.8284
2013,NUTS,2010,AT13,2,1.8636
2015,NUTS,2010,AT13,2,1.921
2017,NUTS,2010,AT13,2,1.943
2019,NUTS,2010,AT13,2,1.9325
2002,NUTS,2010,AT2,1,0.6943
2004,NUTS,2010,AT2,1,0.8179
2006,NUTS,2010,AT2,1,0.8962
2007,NUTS,2010,AT2,1,0.9185
2009,NUTS,2010,AT2,1,1.015
2011,NUTS,2010,AT2,1,1.0943
2013,NUTS,2010,AT2,1,1.117
2015,NUTS,2010,AT2,1,1.2492
2017,NUTS,2010,AT2,1,1.3762
2019,NUTS,2010,AT2,1,1.5871
2002,NUTS,2010,AT21,2,0.4874
2004,NUTS,2010,AT21,2,0.6302
2006,NUTS,2010,AT21,2,0.7038
2007,NUTS,2010,AT21,2,0.7311
2009,NUTS,2010,AT21,2,0.8023
2011,NUTS,2010,AT21,2,0.7824
2013,NUTS,2010,AT21,2,0.7909
2015,NUTS,2010,AT21,2,0.8746
2017,NUTS,2010,AT21,2,0.9521
2019,NUTS,2010,AT21,2,1.0689
2002,NUTS,2010,AT22,2,0.7901
2004,NUTS,2010,AT22,2,0.9017
2006,NUTS,2010,AT22,2,0.9813
2007,NUTS,2010,AT22,2,1.002
2009,NUTS,2010,AT22,2,1.1103
2011,NUTS,2010,AT22,2,1.2315
2013,NUTS,2010,AT22,2,1.2606
2015,NUTS,2010,AT22,2,1.4127
2017,NUTS,2010,AT22,2,1.5604
2019,NUTS,2010,AT22,2,1.8103
2002,NUTS,2010,AT3,1,0.4398
2004,NUTS,2010,AT3,1,0.5134
2006,NUTS,2010,AT3,1,0.5463
2007,NUTS,2010,AT3,1,0.5884
2009,NUTS,2010,AT3,1,0.6493
2011,NUTS,2010,AT3,1,0.6958
2013,NUTS,2010,AT3,1,0.8225
2015,NUTS,2010,AT3,1,0.8805
2017,NUTS,2010,AT3,1,0.9421
2019,NUTS,2010,AT3,1,1.0202
2002,NUTS,2010,AT31,2,0.4379
2004,NUTS,2010,AT31,2,0.5031
2006,NUTS,2010,AT31,2,0.555
2007,NUTS,2010,AT31,2,0.5973
2009,NUTS,2010,AT31,2,0.6532
2011,NUTS,2010,AT31,2,0.7082
2013,NUTS,2010,AT31,2,0.8977
2015,NUTS,2010,AT31,2,0.9524
2017,NUTS,2010,AT31,2,0.9931
