year,region_type,region_year_spec,region_id,region_level,rd_e_gerdreg_pc_gdp_pnp
1998,NUTS,2010,AT,0,0.01
2002,NUTS,2010,AT,0,0.01
2004,NUTS,2010,AT,0,0.01
2005,NUTS,2010,AT,0,0.01
2006,NUTS,2010,AT,0,0.01
2007,NUTS,2010,AT,0,0.01
2008,NUTS,2010,AT,0,0.01
2009,NUTS,2010,AT,0,0.01
2010,NUTS,2010,AT,0,0.01
2011,NUTS,2010,AT,0,0.01
2012,NUTS,2010,AT,0,0.01
2013,NUTS,2010,AT,0,0.01
2014,NUTS,2010,AT,0,0.01
2015,NUTS,2010,AT,0,0.01
2016,NUTS,2010,AT,0,0.02
2017,NUTS,2010,AT,0,0.02
2018,NUTS,2010,AT,0,0.02
2019,NUTS,2010,AT,0,0.02
2020,NUTS,2010,AT,0,0.02
2006,NUTS,2010,AT1,1,0.01
2007,NUTS,2010,AT1,1,0.01
2009,NUTS,2010,AT1,1,0.03
2011,NUTS,2010,AT1,1,0.03
2013,NUTS,2010,AT1,1,0.03
2015,NUTS,2010,AT1,1,0.03
2017,NUTS,2010,AT1,1,0.04
2019,NUTS,2010,AT1,1,0.04
2006,NUTS,2010,AT11,2,0.0
2007,NUTS,2010,AT11,2,0.0
2009,NUTS,2010,AT11,2,0.0
2011,NUTS,2010,AT11,2,0.0
2015,NUTS,2010,AT11,2,0.0
2017,NUTS,2010,AT11,2,0.0
2002,NUTS,2010,AT12,2,0.0
2004,NUTS,2010,AT12,2,0.0
2006,NUTS,2010,AT12,2,0.0
2007,NUTS,2010,AT12,2,0.0
2009,NUTS,2010,AT12,2,0.03
2011,NUTS,2010,AT12,2,0.03
2013,NUTS,2010,AT12,2,0.03
2015,NUTS,2010,AT12,2,0.04
2017,NUTS,2010,AT12,2,0.04
2002,NUTS,2010,AT13,2,0.03
2004,NUTS,2010,AT13,2,0.03
2006,NUTS,2010,AT13,2,0.02
2007,NUTS,2010,AT13,2,0.02
2009,NUTS,2010,AT13,2,0.03
