year,region_type,region_year_spec,region_id,region_level,hrst_st_rcat_ths_hrstc
2011,NUTS,2010,AT,0,530.1
2012,NUTS,2010,AT,0,563.1
2013,NUTS,2010,AT,0,596.6
2014,NUTS,2010,AT,0,826.9
2015,NUTS,2010,AT,0,850.9
2016,NUTS,2010,AT,0,887.4
2017,NUTS,2010,AT,0,924.2
2018,NUTS,2010,AT,0,956.1
2019,NUTS,2010,AT,0,977.7
2020,NUTS,2010,AT,0,995.5
2011,NUTS,2010,AT1,1,259.2
2012,NUTS,2010,AT1,1,275.6
2013,NUTS,2010,AT1,1,298.5
2014,NUTS,2010,AT1,1,407.8
2015,NUTS,2010,AT1,1,421.1
2016,NUTS,2010,AT1,1,438.0
2017,NUTS,2010,AT1,1,463.2
2018,NUTS,2010,AT1,1,475.2
2019,NUTS,2010,AT1,1,480.0
2020,NUTS,2010,AT1,1,492.5
2011,NUTS,2010,AT11,2,13.1
2012,NUTS,2010,AT11,2,12.0
2013,NUTS,2010,AT11,2,15.1
2014,NUTS,2010,AT11,2,22.8
2015,NUTS,2010,AT11,2,25.4
2016,NUTS,2010,AT11,2,24.9
2017,NUTS,2010,AT11,2,25.5
2018,NUTS,2010,AT11,2,26.1
2019,NUTS,2010,AT11,2,29.2
2020,NUTS,2010,AT11,2,31.5
2011,NUTS,2010,AT12,2,84.7
2012,NUTS,2010,AT12,2,89.6
2013,NUTS,2010,AT12,2,89.9
2014,NUTS,2010,AT12,2,154.7
2015,NUTS,2010,AT12,2,158.5
2016,NUTS,2010,AT12,2,161.7
2017,NUTS,2010,AT12,2,173.7
2018,NUTS,2010,AT12,2,179.6
2019,NUTS,2010,AT12,2,178.0
2020,NUTS,2010,AT12,2,182.1
2011,NUTS,2010,AT13,2,161.5
2012,NUTS,2010,AT13,2,174.0
2013,NUTS,2010,AT13,2,193.5
2014,NUTS,2010,AT13,2,230.3
2015,NUTS,2010,AT13,2,237.2
2016,NUTS,2010,AT13,2,251.3
2017,NUTS,2010,AT13,2,264.0
2018,NUTS,2010,AT13,2,269.5
2019,NUTS,2010,AT13,2,272.8
2020,NUTS,2010,AT13,2,278.8
2011,NUTS,2010,AT2,1,95.5
2012,NUTS,2010,AT2,1,101.9
2013,NUTS,2010,AT2,1,103.3
2014,NUTS,2010,AT2,1,150.4
2015,NUTS,2010,AT2,1,152.9
2016,NUTS,2010,AT2,1,157.7
2017,NUTS,2010,AT2,1,166.0
2018,NUTS,2010,AT2,1,175.7
2019,NUTS,2010,AT2,1,178.7
2020,NUTS,2010,AT2,1,181.8
2011,NUTS,2010,AT21,2,29.2
2012,NUTS,2010,AT21,2,30.1
2013,NUTS,2010,AT21,2,31.4
2014,NUTS,2010,AT21,2,48.1
2015,NUTS,2010,AT21,2,45.6
2016,NUTS,2010,AT21,2,48.0
2017,NUTS,2010,AT21,2,51.6
2018,NUTS,2010,AT21,2,53.0
2019,NUTS,2010,AT21,2,50.9
2020,NUTS,2010,AT21,2,54.4
2011,NUTS,2010,AT22,2,66.2
2012,NUTS,2010,AT22,2,71.8
2013,NUTS,2010,AT22,2,71.9
2014,NUTS,2010,AT22,2,102.3
2015,NUTS,2010,AT22,2,107.3
2016,NUTS,2010,AT22,2,109.8
2017,NUTS,2010,AT22,2,114.4
2018,NUTS,2010,AT22,2,122.7
2019,NUTS,2010,AT22,2,127.9
2020,NUTS,2010,AT22,2,127.4
2011,NUTS,2010,AT3,1,175.4
2012,NUTS,2010,AT3,1,185.5
2013,NUTS,2010,AT3,1,194.8
2014,NUTS,2010,AT3,1,268.7
2015,NUTS,2010,AT3,1,276.9
2016,NUTS,2010,AT3,1,291.7
2017,NUTS,2010,AT3,1,294.9
2018,NUTS,2010,AT3,1,305.3
2019,NUTS,2010,AT3,1,319.0
2020,NUTS,2010,AT3,1,321.3
2011,NUTS,2010,AT31,2,75.2
2012,NUTS,2010,AT31,2,79.8
2013,NUTS,2010,AT31,2,83.6
2014,NUTS,2010,AT31,2,127.3
2015,NUTS,2010,AT31,2,126.8
2016,NUTS,2010,AT31,2,130.7
2017,NUTS,2010,AT31,2,136.0
2018,NUTS,2010,AT31,2,137.5
2019,NUTS,2010,AT31,2,145.8
2020,NUTS,2010,AT31,2,147.1
2011,NUTS,2010,AT32,2,34.9
2012,NUTS,2010,AT32,2,35.1
2013,NUTS,2010,AT32,2,39.4
2014,NUTS,2010,AT32,2,49.9
2015,NUTS,2010,AT32,2,53.1
2016,NUTS,2010,AT32,2,57.4
2017,NUTS,2010,AT32,2,55.5
2018,NUTS,2010,AT32,2,58.3
2019,NUTS,2010,AT32,2,59.6
2020,NUTS,2010,AT32,2,57.7
2011,NUTS,2010,AT33,2,45.4
2012,NUTS,2010,AT33,2,49.0
2013,NUTS,2010,AT33,2,49.2
2014,NUTS,2010,AT33,2,61.8
2015,NUTS,2010,AT33,2,63.9
2016,NUTS,2010,AT33,2,67.6
2017,NUTS,2010,AT33,2,68.4
2018,NUTS,2010,AT33,2,75.7
2019,NUTS,2010,AT33,2,77.5
2020,NUTS,2010,AT33,2,79.3
2011,NUTS,2010,AT34,2,19.9
2012,NUTS,2010,AT34,2,21.6
2013,NUTS,2010,AT34,2,22.6
2014,NUTS,2010,AT34,2,29.6
2015,NUTS,2010,AT34,2,33.1
2016,NUTS,2010,AT34,2,36.0
2017,NUTS,2010,AT34,2,35.0
2018,NUTS,2010,AT34,2,33.8
2019,NUTS,2010,AT34,2,36.1
2020,NUTS,2010,AT34,2,37.2
2011,NUTS,2010,BE,0,1198.4
2012,NUTS,2010,BE,0,1220.5
2013,NUTS,2010,BE,0,1241.8
2014,NUTS,2010,BE,0,1310.3
2015,NUTS,2010,BE,0,1324.3
2016,NUTS,2010,BE,0,1353.9
2017,NUTS,2010,BE,0,1456.7
2018,NUTS,2010,BE,0,1500.1
2019,NUTS,2010,BE,0,1508.2
2020,NUTS,2010,BE,0,1574.8
2011,NUTS,2010,BE1,1,140.6
